# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000  0.221400134310063E-001  0.535118761269845E-005 -0.342281932895323E-002  0.492867073967427E-002  0.977524322969493E-006 -0.306660766619597E-003  0.514471989985259E-003  0.295907626682943E-010  0.118097329844395E-004  0.303629390773394E-001  0.000000000000000E+000  0.213459278724411E-003 -0.977978992776406E-002  0.000000000000000E+000  0.703886408306759E-004  0.101755236044542E-002  0.000000000000000E+000  0.505194244315358E-007  0.303629390773394E-001  0.000000000000000E+000  0.213459278724411E-003 -0.977978992776406E-002  0.000000000000000E+000  0.703886408306759E-004  0.101755236044542E-002  0.000000000000000E+000  0.505194244315358E-007
      0.02000000  0.204666904929876E-001  0.501999649779077E-005 -0.338437787580310E-002  0.956758948877731E-002  0.189121222773906E-005 -0.611453448016449E-003  0.510424188361510E-003  0.287770485281813E-010  0.118278889253167E-004  0.332819196522596E-001  0.000000000000000E+000  0.228762500001229E-003 -0.192603855322583E-001  0.000000000000000E+000  0.145217155060229E-003  0.147864862659069E-002  0.000000000000000E+000  0.734203035305988E-007  0.332819196522596E-001  0.000000000000000E+000  0.228762500001229E-003 -0.192603855322583E-001  0.000000000000000E+000  0.145217155060229E-003  0.147864862659069E-002  0.000000000000000E+000  0.734203035305988E-007
      0.03000000  0.178102394696571E-001  0.450133833826112E-005 -0.332041420060598E-002  0.136510253735711E-001  0.268416392706549E-005 -0.912484916628436E-003  0.503555123716413E-003  0.274667828228590E-010  0.118577791866603E-004  0.380754067354645E-001  0.000000000000000E+000  0.252772766195147E-003 -0.281487008414288E-001  0.000000000000000E+000  0.228782175384039E-003  0.224208595713131E-002  0.000000000000000E+000  0.116235355103399E-006  0.380754067354645E-001  0.000000000000000E+000  0.252772766195147E-003 -0.281487008414288E-001  0.000000000000000E+000  0.228782175384039E-003  0.224208595713131E-002  0.000000000000000E+000  0.116235355103399E-006
      0.04000000  0.143563855155218E-001  0.384104117451460E-005 -0.323110652686785E-002  0.169588485893588E-001  0.331248527976810E-005 -0.120781599543498E-002  0.493708350547079E-003  0.257261560329968E-010  0.118988688667966E-004  0.446376955122088E-001  0.000000000000000E+000  0.283282416157928E-003 -0.361637418224986E-001  0.000000000000000E+000  0.325096440016770E-003  0.330034008324500E-002  0.000000000000000E+000  0.185936622615851E-006  0.446376955122088E-001  0.000000000000000E+000  0.283282416157928E-003 -0.361637418224986E-001  0.000000000000000E+000  0.325096440016770E-003  0.330034008324500E-002  0.000000000000000E+000  0.185936622615851E-006
      0.05000000  0.103407803718715E-001  0.309549324758723E-005 -0.311674226526737E-002  0.193335107253329E-001  0.374973692000556E-005 -0.149544811304462E-002  0.480716375665847E-003  0.236426054151109E-010  0.119504474069127E-004  0.528237987600704E-001  0.000000000000000E+000  0.317270143704402E-003 -0.430423431004341E-001  0.000000000000000E+000  0.437753276069999E-003  0.464299701501990E-002  0.000000000000000E+000  0.292288274796228E-006  0.528237987600704E-001  0.000000000000000E+000  0.317270143704402E-003 -0.430423431004341E-001  0.000000000000000E+000  0.437753276069999E-003  0.464299701501990E-002  0.000000000000000E+000  0.292288274796228E-006
      0.06000000  0.602783797290437E-002  0.232508785396678E-005 -0.297775074924378E-002  0.206907965668782E-001  0.398922588259040E-005 -0.177332046805752E-002  0.464443893199528E-003  0.213199566709930E-010  0.120116650070536E-004  0.624523713071890E-001  0.000000000000000E+000  0.350969103701980E-003 -0.485445409546723E-001  0.000000000000000E+000  0.569798697363223E-003  0.625687113839085E-002  0.000000000000000E+000  0.447849867270197E-006  0.624523713071890E-001  0.000000000000000E+000  0.350969103701980E-003 -0.485445409546723E-001  0.000000000000000E+000  0.569798697363223E-003  0.625687113839085E-002  0.000000000000000E+000  0.447849867270197E-006
      0.07000000  0.168765621266905E-002  0.158734581426436E-005 -0.281473851085778E-002  0.210234280923742E-001  0.404388629982606E-005 -0.203931946886581E-002  0.444832712247391E-003  0.188726831399834E-010  0.120815767806010E-004  0.733093646571348E-001  0.000000000000000E+000  0.379952620125630E-003 -0.524584734770006E-001  0.000000000000000E+000  0.723613485628302E-003  0.812615438596994E-002  0.000000000000000E+000  0.667980470123472E-006  0.733093646571348E-001  0.000000000000000E+000  0.379952620125630E-003 -0.524584734770006E-001  0.000000000000000E+000  0.723613485628302E-003  0.812615438596994E-002  0.000000000000000E+000  0.667980470123472E-006
      0.08000000 -0.242657783411486E-002  0.930580856361481E-006 -0.262852292034827E-002  0.203974022454184E-001  0.394381027849669E-005 -0.229130093315315E-002  0.421942298346419E-003  0.164196202430026E-010  0.121591927090647E-004  0.851523359030177E-001  0.000000000000000E+000  0.399236136880527E-003 -0.546047088173168E-001  0.000000000000000E+000  0.900807481697388E-003  0.102325945347643E-001  0.000000000000000E+000  0.970843612073277E-006  0.851523359030177E-001  0.000000000000000E+000  0.399236136880527E-003 -0.546047088173168E-001  0.000000000000000E+000  0.900807481697388E-003  0.102325945347643E-001  0.000000000000000E+000  0.970843612073277E-006
      0.09000000 -0.609843465464746E-002  0.388887773781674E-006 -0.242016002338426E-002  0.189417373091104E-001  0.373179191777833E-005 -0.252712417041058E-002  0.395980317524351E-003  0.140775046181926E-010  0.122435311114607E-004  0.977153216217717E-001  0.000000000000000E+000  0.403393786895953E-003 -0.548399145736585E-001  0.000000000000000E+000  0.110212813857673E-002  0.125557003100924E-001  0.000000000000000E+000  0.137741298114887E-005  0.977153216217717E-001  0.000000000000000E+000  0.403393786895953E-003 -0.548399145736585E-001  0.000000000000000E+000  0.110212813857673E-002  0.125557003100924E-001  0.000000000000000E+000  0.137741298114887E-005
      0.10000000 -0.916346592364798E-002 -0.209538989060281E-007 -0.219096285231901E-002  0.168329924900111E-001  0.345749588231081E-005 -0.274469576500093E-002  0.367318743902629E-003  0.119547168420756E-010  0.123336730626559E-004  0.110714175943380E+000  0.000000000000000E+000  0.386687711087070E-003 -0.530597953294921E-001  0.000000000000000E+000  0.132738518343239E-002  0.150729706352293E-001  0.000000000000000E+000  0.191147881110161E-005  0.110714175943380E+000  0.000000000000000E+000  0.386687711087070E-003 -0.530597953294921E-001  0.000000000000000E+000  0.132738518343239E-002  0.150729706352293E-001  0.000000000000000E+000  0.191147881110161E-005
