# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233563552168403E+005  0.000000000000000E+000 
      0.02000000 -0.233563552184707E+005 -0.163044464892688E-005 
      0.04000000 -0.233563552185578E+005 -0.171758760018242E-005 
      0.06000000 -0.233563552186255E+005 -0.178523483349226E-005 
      0.08000000 -0.233563552186793E+005 -0.183909090358376E-005 
      0.10000000 -0.233563552187230E+005 -0.188276910759445E-005 
      0.12000000 -0.233563552187589E+005 -0.191869171578002E-005 
      0.14000000 -0.233563552187889E+005 -0.194864990882764E-005 
      0.16000000 -0.233563552188141E+005 -0.197387493011124E-005 
      0.18000000 -0.233563552188356E+005 -0.199530722683098E-005 
      0.20000000 -0.233563552188540E+005 -0.201370163160806E-005 
      0.22000000 -0.233563552188698E+005 -0.202958405241625E-005 
      0.24000000 -0.233563552188836E+005 -0.204338140278721E-005 
      0.26000000 -0.233563552188957E+005 -0.205545872472628E-005 
      0.28000000 -0.233563552189063E+005 -0.206607897222034E-005 
      0.30000000 -0.233563552189157E+005 -0.207548344422208E-005 
      0.32000000 -0.233563552189241E+005 -0.208383919385257E-005 
      0.34000000 -0.233563552189315E+005 -0.209128233846973E-005 
      0.36000000 -0.233563552189382E+005 -0.209799539907623E-005 
      0.38000000 -0.233563552189443E+005 -0.210400312428260E-005 
      0.40000000 -0.233563552189497E+005 -0.210946019290466E-005 
      0.42000000 -0.233563552189547E+005 -0.211440991501083E-005 
      0.44000000 -0.233563552189592E+005 -0.211891416212745E-005 
      0.46000000 -0.233563552189633E+005 -0.212304099293348E-005 
      0.48000000 -0.233563552189671E+005 -0.212683062392102E-005 
      0.50000000 -0.233563552189706E+005 -0.213030780370061E-005 
      0.52000000 -0.233563552189738E+005 -0.213352202949330E-005 
      0.54000000 -0.233563552189767E+005 -0.213649186275701E-005 
      0.56000000 -0.233563552189795E+005 -0.213926989428910E-005 
      0.58000000 -0.233563552189821E+005 -0.214181590759746E-005 
      0.60000000 -0.233563552189845E+005 -0.214422889712422E-005 
      0.62000000 -0.233563552189867E+005 -0.214649030141148E-005 
      0.64000000 -0.233563552189889E+005 -0.214860012045924E-005 
      0.66000000 -0.233563552189908E+005 -0.215058000930171E-005 
      0.68000000 -0.233563552189927E+005 -0.215247946515996E-005 
      0.70000000 -0.233563552189945E+005 -0.215425517796555E-005 
      0.72000000 -0.233563552189962E+005 -0.215594427063428E-005 
      0.74000000 -0.233563552189978E+005 -0.215752199455562E-005 
      0.76000000 -0.233563552189993E+005 -0.215908115701907E-005 
      0.78000000 -0.233563552190008E+005 -0.216053513788776E-005 
      0.80000000 -0.233563552190022E+005 -0.216193034080644E-005 
      0.82000000 -0.233563552190035E+005 -0.216325129789352E-005 
      0.84000000 -0.233563552190048E+005 -0.216453513206481E-005 
      0.86000000 -0.233563552190060E+005 -0.216576946901504E-005 
      0.88000000 -0.233563552190072E+005 -0.216696358947315E-005 
      0.90000000 -0.233563552190083E+005 -0.216808965125231E-005 
      0.92000000 -0.233563552190095E+005 -0.216920952587883E-005 
      0.94000000 -0.233563552190105E+005 -0.217026443540271E-005 
      0.96000000 -0.233563552190116E+005 -0.217131315777395E-005 
      0.98000000 -0.233563552190126E+005 -0.217232785080572E-005 
      1.00000000 -0.233563552190136E+005 -0.217331160807432E-005 
      1.02000000 -0.233563552190145E+005 -0.217425824242713E-005 
      1.04000000 -0.233563552190154E+005 -0.217518940889835E-005 
      1.06000000 -0.233563552190164E+005 -0.217609582675905E-005 
      1.08000000 -0.233563552190172E+005 -0.217698677673816E-005 
