# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000 -0.154935398171969E-002 -0.108815747796326E-005  0.506530536651567E-005  0.813546343693689E-004 -0.458358300677138E-006  0.629958934617516E-006  0.240711633720403E-005  0.139417902864700E-011  0.260541667153569E-010  0.141102840621450E+000  0.000000000000000E+000  0.000000000000000E+000 -0.110587512908619E-001  0.000000000000000E+000  0.000000000000000E+000  0.200323076115555E-001  0.000000000000000E+000  0.000000000000000E+000  0.141102840621450E+000  0.000000000000000E+000  0.000000000000000E+000 -0.110587512908619E-001  0.000000000000000E+000  0.000000000000000E+000  0.200323076115555E-001  0.000000000000000E+000  0.000000000000000E+000
      0.02000000 -0.154283500144269E-002 -0.987933627051143E-006  0.500382954886128E-005  0.173038746824350E-003 -0.909927860303494E-006  0.127231936040141E-005  0.241028224957921E-005  0.180398156241492E-011  0.266571067089095E-010  0.150011324321690E+000  0.000000000000000E+000  0.000000000000000E+000 -0.203958810055974E-001  0.000000000000000E+000  0.000000000000000E+000  0.229193893867418E-001  0.000000000000000E+000  0.000000000000000E+000  0.150011324321690E+000  0.000000000000000E+000  0.000000000000000E+000 -0.203958810055974E-001  0.000000000000000E+000  0.000000000000000E+000  0.229193893867418E-001  0.000000000000000E+000  0.000000000000000E+000
      0.03000000 -0.153924597160276E-002 -0.821392615568517E-006  0.488835668120160E-005  0.283904277715508E-003 -0.134788962648403E-005  0.193618084511551E-005  0.244987980000050E-005  0.249149227409375E-011  0.276448273076405E-010  0.164138987094347E+000  0.000000000000000E+000  0.000000000000000E+000 -0.263969952246390E-001  0.000000000000000E+000  0.000000000000000E+000  0.276384084412480E-001  0.000000000000000E+000  0.000000000000000E+000  0.164138987094347E+000  0.000000000000000E+000  0.000000000000000E+000 -0.263969952246390E-001  0.000000000000000E+000  0.000000000000000E+000  0.276384084412480E-001  0.000000000000000E+000  0.000000000000000E+000
      0.04000000 -0.154873437449946E-002 -0.589250335442418E-006  0.470144987138111E-005  0.419974570461369E-003 -0.176533657892011E-005  0.262447002519240E-005  0.257495680259043E-005  0.346362919469235E-011  0.289914738062428E-010  0.182451547145574E+000  0.000000000000000E+000  0.000000000000000E+000 -0.276557077710305E-001  0.000000000000000E+000  0.000000000000000E+000  0.340534052281302E-001  0.000000000000000E+000  0.000000000000000E+000  0.182451547145574E+000  0.000000000000000E+000  0.000000000000000E+000 -0.276557077710305E-001  0.000000000000000E+000  0.000000000000000E+000  0.340534052281302E-001  0.000000000000000E+000  0.000000000000000E+000
      0.05000000 -0.158403604470934E-002 -0.292474206446561E-006  0.442259579584724E-005  0.583336850229042E-003 -0.215516982496718E-005  0.333187801122495E-005  0.284945207177354E-005  0.473029813588561E-011  0.306607646551300E-010  0.203589023438561E+000  0.000000000000000E+000  0.000000000000000E+000 -0.230619269644715E-001  0.000000000000000E+000  0.000000000000000E+000  0.419803429399815E-001  0.000000000000000E+000  0.000000000000000E+000  0.203589023438561E+000  0.000000000000000E+000  0.000000000000000E+000 -0.230619269644715E-001  0.000000000000000E+000  0.000000000000000E+000  0.419803429399815E-001  0.000000000000000E+000  0.000000000000000E+000
      0.06000000 -0.165914517767168E-002  0.676892862769308E-007  0.403151323018699E-005  0.771377091872307E-003 -0.250994484944314E-005  0.404388370176298E-005  0.334778533845657E-005  0.630440498672284E-011  0.326060943185570E-010  0.225947277041593E+000  0.000000000000000E+000  0.000000000000000E+000 -0.118723807207208E-001  0.000000000000000E+000  0.000000000000000E+000  0.511931254264880E-001  0.000000000000000E+000  0.000000000000000E+000  0.225947277041593E+000  0.000000000000000E+000  0.000000000000000E+000 -0.118723807207208E-001  0.000000000000000E+000  0.000000000000000E+000  0.511931254264880E-001  0.000000000000000E+000  0.000000000000000E+000
      0.07000000 -0.178779397941175E-002  0.489606199402430E-006  0.351164759877029E-005  0.976430359178787E-003 -0.282168358330525E-005  0.473700665995913E-005  0.414962355914693E-005  0.820161247478766E-011  0.347709009544463E-010  0.247774067741603E+000  0.000000000000000E+000  0.000000000000000E+000  0.624078583781591E-002  0.000000000000000E+000  0.000000000000000E+000  0.614309360530940E-001  0.000000000000000E+000  0.000000000000000E+000  0.247774067741603E+000  0.000000000000000E+000  0.000000000000000E+000  0.624078583781591E-002  0.000000000000000E+000  0.000000000000000E+000  0.614309360530940E-001  0.000000000000000E+000  0.000000000000000E+000
      0.08000000 -0.198186519411876E-002  0.971036310284611E-006  0.285341602474455E-005  0.118588812443104E-002 -0.308168741967963E-005  0.538028249152526E-005  0.533412029132594E-005  0.104397088685029E-010  0.370894226988822E-010  0.267273817129479E+000  0.000000000000000E+000  0.000000000000000E+000  0.311661501070717E-001  0.000000000000000E+000  0.000000000000000E+000  0.724066222354588E-001  0.000000000000000E+000  0.000000000000000E+000  0.267273817129479E+000  0.000000000000000E+000  0.000000000000000E+000  0.311661501070717E-001  0.000000000000000E+000  0.000000000000000E+000  0.724066222354588E-001  0.000000000000000E+000  0.000000000000000E+000
      0.09000000 -0.224986852300696E-002  0.150879015139976E-005  0.205679748358763E-005  0.138276888938520E-002 -0.328040197907410E-005  0.593780499343724E-005  0.697395817226911E-005  0.130374848652742E-010  0.394879440285806E-010  0.282714778405919E+000  0.000000000000000E+000  0.000000000000000E+000  0.623551771011155E-001  0.000000000000000E+000  0.000000000000000E+000  0.838158140404194E-001  0.000000000000000E+000  0.000000000000000E+000  0.282714778405919E+000  0.000000000000000E+000  0.000000000000000E+000  0.623551771011155E-001  0.000000000000000E+000  0.000000000000000E+000  0.838158140404194E-001  0.000000000000000E+000  0.000000000000000E+000
      0.10000000 -0.259560997536585E-002  0.209827078103572E-005  0.113294177124898E-005  0.154672211677751E-002 -0.340739274530722E-005  0.637205111710324E-005  0.912954045074740E-005  0.160130655913205E-010  0.418865924960174E-010  0.292532217119038E+000  0.000000000000000E+000  0.000000000000000E+000  0.988501082318169E-001  0.000000000000000E+000  0.000000000000000E+000  0.953464419500220E-001  0.000000000000000E+000  0.000000000000000E+000  0.292532217119038E+000  0.000000000000000E+000  0.000000000000000E+000  0.988501082318169E-001  0.000000000000000E+000  0.000000000000000E+000  0.953464419500220E-001  0.000000000000000E+000  0.000000000000000E+000
