# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000  0.397594821622224E-001  0.218941208961490E-003 -0.343728342253535E-002  0.103281410083289E-001  0.573605425870030E-004 -0.431859074490501E-003  0.168748691849600E-002  0.512254848273943E-007  0.120014195870561E-004  0.141102840621450E+000  0.000000000000000E+000  0.461472050096478E-004 -0.110587512908619E-001  0.000000000000000E+000  0.411257813333704E-004  0.200323076115555E-001  0.000000000000000E+000  0.382089442048265E-008  0.141102840621450E+000  0.000000000000000E+000  0.461472050096478E-004 -0.110587512908619E-001  0.000000000000000E+000  0.411257813333704E-004  0.200323076115555E-001  0.000000000000000E+000  0.382089442048265E-008
      0.02000000  0.360488387940928E-001  0.194969744280130E-003 -0.338158126124835E-002  0.200374408536273E-001  0.109928430449594E-003 -0.866534469115318E-003  0.170101781436510E-002  0.500974610057705E-007  0.121859738125909E-004  0.150011324321690E+000  0.000000000000000E+000  0.399538947131048E-004 -0.203958810055974E-001  0.000000000000000E+000  0.832830782687663E-004  0.229193893867418E-001  0.000000000000000E+000  0.853238482866732E-008  0.150011324321690E+000  0.000000000000000E+000  0.399538947131048E-004 -0.203958810055974E-001  0.000000000000000E+000  0.832830782687663E-004  0.229193893867418E-001  0.000000000000000E+000  0.853238482866732E-008
      0.03000000  0.301230410667835E-001  0.157379856975668E-003 -0.328418107344918E-002  0.285501857790131E-001  0.153353118114442E-003 -0.130573556862723E-002  0.172251071112729E-002  0.482855982171036E-007  0.124907906983801E-004  0.164138987094347E+000  0.000000000000000E+000  0.285959646955344E-004 -0.263969952246390E-001  0.000000000000000E+000  0.127296503152838E-003  0.276384084412480E-001  0.000000000000000E+000  0.170221289118088E-007  0.164138987094347E+000  0.000000000000000E+000  0.285959646955344E-004 -0.263969952246390E-001  0.000000000000000E+000  0.127296503152838E-003  0.276384084412480E-001  0.000000000000000E+000  0.170221289118088E-007
      0.04000000  0.223508189851473E-001  0.109477840558104E-003 -0.313887124048698E-002  0.353678239354742E-001  0.184124418679253E-003 -0.174907374209792E-002  0.175044207923752E-002  0.458871991272387E-007  0.129117716196527E-004  0.182451547145574E+000  0.000000000000000E+000  0.106152129391721E-004 -0.276557077710305E-001  0.000000000000000E+000  0.173589938861179E-003  0.340534052281302E-001  0.000000000000000E+000  0.302461496195717E-007  0.182451547145574E+000  0.000000000000000E+000  0.106152129391721E-004 -0.276557077710305E-001  0.000000000000000E+000  0.173589938861179E-003  0.340534052281302E-001  0.000000000000000E+000  0.302461496195717E-007
      0.05000000  0.132116076556717E-001  0.554425176882179E-004 -0.293815798823626E-002  0.401030770122919E-001  0.199887692196440E-003 -0.219329160575986E-002  0.178280336270121E-002  0.430289622592270E-007  0.134433004317332E-004  0.203589023438561E+000  0.000000000000000E+000 -0.158441920360871E-004 -0.230619269644715E-001  0.000000000000000E+000  0.222018254843756E-003  0.419803429399815E-001  0.000000000000000E+000  0.495431439051433E-007  0.203589023438561E+000  0.000000000000000E+000 -0.158441920360871E-004 -0.230619269644715E-001  0.000000000000000E+000  0.222018254843756E-003  0.419803429399815E-001  0.000000000000000E+000  0.495431439051433E-007
      0.06000000  0.326229474769047E-002 -0.690164583455042E-007 -0.267432504391201E-002  0.425037997794782E-001  0.199645562167594E-003 -0.263179557254414E-002  0.181721556271478E-002  0.398583552564860E-007  0.140783623761579E-004  0.225947277041593E+000  0.000000000000000E+000 -0.528619269130882E-004 -0.118723807207208E-001  0.000000000000000E+000  0.271735831662439E-003  0.511931254264880E-001  0.000000000000000E+000  0.766347455262418E-007  0.225947277041593E+000  0.000000000000000E+000 -0.528619269130882E-004 -0.118723807207208E-001  0.000000000000000E+000  0.271735831662439E-003  0.511931254264880E-001  0.000000000000000E+000  0.766347455262418E-007
      0.07000000 -0.690084103569061E-002 -0.523555549858318E-004 -0.234060815207760E-002  0.424669493102656E-001  0.183827678263431E-003 -0.305454515336391E-002  0.185106339072054E-002  0.365337194335980E-007  0.148086926155111E-004  0.247774067741603E+000  0.000000000000000E+000 -0.102534454689207E-003  0.624078583781591E-002  0.000000000000000E+000  0.321111422479237E-003  0.614309360530940E-001  0.000000000000000E+000  0.113625860045052E-006  0.247774067741603E+000  0.000000000000000E+000 -0.102534454689207E-003  0.624078583781591E-002  0.000000000000000E+000  0.321111422479237E-003  0.614309360530940E-001  0.000000000000000E+000  0.113625860045052E-006
      0.08000000 -0.166820680587051E-001 -0.971024516830374E-004 -0.193236988043933E-002  0.400418418710727E-001  0.154223773955153E-003 -0.344831810566085E-002  0.188164049514326E-002  0.332138585758266E-007  0.156249511126576E-004  0.267273817129479E+000  0.000000000000000E+000 -0.166745992401376E-003  0.311661501070717E-001  0.000000000000000E+000  0.367696673745221E-003  0.724066222354588E-001  0.000000000000000E+000  0.163005069865219E-006  0.267273817129479E+000  0.000000000000000E+000 -0.166745992401376E-003  0.311661501070717E-001  0.000000000000000E+000  0.367696673745221E-003  0.724066222354588E-001  0.000000000000000E+000  0.163005069865219E-006
      0.09000000 -0.255250105307726E-001 -0.130766546795755E-003 -0.144816039466850E-002  0.354227413053582E-001  0.113789276184892E-003 -0.379733476456340E-002  0.190629676418238E-002  0.300478891355679E-007  0.165169198428482E-004  0.282714778405919E+000  0.000000000000000E+000 -0.246930273611806E-003  0.623551771011155E-001  0.000000000000000E+000  0.408253042416953E-003  0.838158140404194E-001  0.000000000000000E+000  0.227645106668700E-006  0.282714778405919E+000  0.000000000000000E+000 -0.246930273611806E-003  0.623551771011155E-001  0.000000000000000E+000  0.408253042416953E-003  0.838158140404194E-001  0.000000000000000E+000  0.227645106668700E-006
      0.10000000 -0.329475023230633E-001 -0.150878647382666E-003 -0.890561045244724E-003  0.289316597640496E-001  0.663454803615325E-004 -0.408419131101652E-002  0.192257884603099E-002  0.271660890004253E-007  0.174737176402902E-004  0.292532217119038E+000  0.000000000000000E+000 -0.343836777762079E-003  0.988501082318169E-001  0.000000000000000E+000  0.438838989151113E-003  0.953464419500220E-001  0.000000000000000E+000  0.310803388140980E-006  0.292532217119038E+000  0.000000000000000E+000 -0.343836777762079E-003  0.988501082318169E-001  0.000000000000000E+000  0.438838989151113E-003  0.953464419500220E-001  0.000000000000000E+000  0.310803388140980E-006
