# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000  0.655663225002943E-004 -0.225679388596125E-003 -0.303835944254426E-002  0.156234228771652E-004 -0.530263179557005E-004 -0.408622461251263E-003  0.454303398861133E-008  0.537429768330597E-007  0.939860041793689E-005  0.000000000000000E+000  0.000000000000000E+000  0.461472050096478E-004  0.000000000000000E+000  0.000000000000000E+000  0.411257813333704E-004  0.000000000000000E+000  0.000000000000000E+000  0.382089442048265E-008  0.000000000000000E+000  0.000000000000000E+000  0.461472050096478E-004  0.000000000000000E+000  0.000000000000000E+000  0.411257813333704E-004  0.000000000000000E+000  0.000000000000000E+000  0.382089442048265E-008
      0.02000000  0.597503672396237E-004 -0.207704850306443E-003 -0.296729727173283E-002  0.301792638866089E-004 -0.103315687526324E-003 -0.813660285678768E-003  0.448089435400747E-008  0.538154361298591E-007  0.946689615932395E-005  0.000000000000000E+000  0.000000000000000E+000  0.399538947131048E-004  0.000000000000000E+000  0.000000000000000E+000  0.832830782687663E-004  0.000000000000000E+000  0.000000000000000E+000  0.853238482866732E-008  0.000000000000000E+000  0.000000000000000E+000  0.399538947131048E-004  0.000000000000000E+000  0.000000000000000E+000  0.832830782687663E-004  0.000000000000000E+000  0.000000000000000E+000  0.853238482866732E-008
      0.03000000  0.505586971111767E-004 -0.178750340031758E-003 -0.284837994946321E-002  0.426911326230861E-004 -0.148259462128093E-003 -0.121128656165225E-002  0.437871465822163E-008  0.539325521719806E-007  0.958048347094339E-005  0.000000000000000E+000  0.000000000000000E+000  0.285959646955344E-004  0.000000000000000E+000  0.000000000000000E+000  0.127296503152838E-003  0.000000000000000E+000  0.000000000000000E+000  0.170221289118088E-007  0.000000000000000E+000  0.000000000000000E+000  0.285959646955344E-004  0.000000000000000E+000  0.000000000000000E+000  0.127296503152838E-003  0.000000000000000E+000  0.000000000000000E+000  0.170221289118088E-007
      0.04000000  0.386956620373625E-004 -0.140277691421919E-003 -0.268102885859939E-002  0.523563775212197E-004 -0.185502283534943E-003 -0.159721266048419E-002  0.423854452765425E-008  0.540889279073416E-007  0.973900402345376E-005  0.000000000000000E+000  0.000000000000000E+000  0.106152129391721E-004  0.000000000000000E+000  0.000000000000000E+000  0.173589938861179E-003  0.000000000000000E+000  0.000000000000000E+000  0.302461496195717E-007  0.000000000000000E+000  0.000000000000000E+000  0.106152129391721E-004  0.000000000000000E+000  0.000000000000000E+000  0.173589938861179E-003  0.000000000000000E+000  0.000000000000000E+000  0.302461496195717E-007
      0.05000000  0.250560614065467E-004 -0.942476339884067E-004 -0.246470745245724E-002  0.586121814747038E-004 -0.213059957726060E-003 -0.196651308108624E-002  0.406319403043224E-008  0.542771620986430E-007  0.994195652428154E-005  0.000000000000000E+000  0.000000000000000E+000 -0.158441920360871E-004  0.000000000000000E+000  0.000000000000000E+000  0.222018254843756E-003  0.000000000000000E+000  0.000000000000000E+000  0.495431439051433E-007  0.000000000000000E+000  0.000000000000000E+000 -0.158441920360871E-004  0.000000000000000E+000  0.000000000000000E+000  0.222018254843756E-003  0.000000000000000E+000  0.000000000000000E+000  0.495431439051433E-007
      0.06000000  0.106445313198728E-004 -0.430336653671681E-004 -0.219917114372137E-002  0.611789933515289E-004 -0.229425605074023E-003 -0.231351333237950E-002  0.385617527452617E-008  0.544880046185148E-007  0.101886976584744E-004  0.000000000000000E+000  0.000000000000000E+000 -0.528619269130882E-004  0.000000000000000E+000  0.000000000000000E+000  0.271735831662439E-003  0.000000000000000E+000  0.000000000000000E+000  0.766347455262418E-007  0.000000000000000E+000  0.000000000000000E+000 -0.528619269130882E-004  0.000000000000000E+000  0.000000000000000E+000  0.271735831662439E-003  0.000000000000000E+000  0.000000000000000E+000  0.766347455262418E-007
      0.07000000 -0.351400126535066E-005  0.106878934394697E-004 -0.188475623698198E-002  0.600772885169841E-004 -0.233658565900041E-003 -0.263175568506520E-002  0.362162880044583E-008  0.547105564846374E-007  0.104784440587155E-004  0.000000000000000E+000  0.000000000000000E+000 -0.102534454689207E-003  0.000000000000000E+000  0.000000000000000E+000  0.321111422479237E-003  0.000000000000000E+000  0.000000000000000E+000  0.113625860045052E-006  0.000000000000000E+000  0.000000000000000E+000 -0.102534454689207E-003  0.000000000000000E+000  0.000000000000000E+000  0.321111422479237E-003  0.000000000000000E+000  0.000000000000000E+000  0.113625860045052E-006
      0.08000000 -0.164641327331154E-004  0.640692503106677E-004 -0.152268606904800E-002  0.556162591253043E-004 -0.225449872790514E-003 -0.291405266149415E-002  0.336423594574664E-008  0.549325139766301E-007  0.108102757788340E-004  0.000000000000000E+000  0.000000000000000E+000 -0.166745992401376E-003  0.000000000000000E+000  0.000000000000000E+000  0.367696673745221E-003  0.000000000000000E+000  0.000000000000000E+000  0.163005069865219E-006  0.000000000000000E+000  0.000000000000000E+000 -0.166745992401376E-003  0.000000000000000E+000  0.000000000000000E+000  0.367696673745221E-003  0.000000000000000E+000  0.000000000000000E+000  0.163005069865219E-006
      0.09000000 -0.274013823666001E-004  0.114239467921843E-003 -0.111537030616088E-002  0.483557951480669E-004 -0.205157985672440E-003 -0.315263236558229E-002  0.308911868000243E-008  0.551404551162390E-007  0.111831417523824E-004  0.000000000000000E+000  0.000000000000000E+000 -0.246930273611806E-003  0.000000000000000E+000  0.000000000000000E+000  0.408253042416953E-003  0.000000000000000E+000  0.000000000000000E+000  0.227645106668700E-006  0.000000000000000E+000  0.000000000000000E+000 -0.246930273611806E-003  0.000000000000000E+000  0.000000000000000E+000  0.408253042416953E-003  0.000000000000000E+000  0.000000000000000E+000  0.227645106668700E-006
      0.10000000 -0.357373382807904E-004  0.158463038234487E-003 -0.666672601686862E-003  0.390457603396849E-004 -0.173809179447945E-003 -0.333937349205887E-002  0.280172874789975E-008  0.553201653468727E-007  0.115958676773054E-004  0.000000000000000E+000  0.000000000000000E+000 -0.343836777762079E-003  0.000000000000000E+000  0.000000000000000E+000  0.438838989151113E-003  0.000000000000000E+000  0.000000000000000E+000  0.310803388140980E-006  0.000000000000000E+000  0.000000000000000E+000 -0.343836777762079E-003  0.000000000000000E+000  0.000000000000000E+000  0.438838989151113E-003  0.000000000000000E+000  0.000000000000000E+000  0.310803388140980E-006
