# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000 -0.882835762634546E-002 -0.104065987700506E-009 -0.894411093514136E-010 -0.719985167591054E-003  0.289805557972715E-009  0.289335738564840E-009  0.784582770202031E-004  0.948169912279588E-019  0.917148816528728E-019  0.273244475914717E+000  0.000000000000000E+000  0.000000000000000E+000 -0.214151797896789E-001  0.000000000000000E+000  0.000000000000000E+000  0.751211535433326E-001  0.000000000000000E+000  0.000000000000000E+000  0.273244475914717E+000  0.000000000000000E+000  0.000000000000000E+000 -0.214151797896789E-001  0.000000000000000E+000  0.000000000000000E+000  0.751211535433326E-001  0.000000000000000E+000  0.000000000000000E+000
      0.02000000 -0.861645427301201E-002 -0.197336081910334E-009 -0.182541630399894E-009 -0.139965426932042E-002  0.567706627106615E-009  0.566790347675380E-009  0.762023163125338E-004  0.361232343684491E-018  0.354572745047029E-018  0.290495680420213E+000  0.000000000000000E+000  0.000000000000000E+000 -0.394964537329535E-001  0.000000000000000E+000  0.000000000000000E+000  0.859477102002821E-001  0.000000000000000E+000  0.000000000000000E+000  0.290495680420213E+000  0.000000000000000E+000  0.000000000000000E+000 -0.394964537329535E-001  0.000000000000000E+000  0.000000000000000E+000  0.859477102002821E-001  0.000000000000000E+000  0.000000000000000E+000
      0.03000000 -0.828228092647070E-002 -0.348721949518781E-009 -0.333652044072680E-009 -0.200190597762085E-002  0.822432898571487E-009  0.821116244936120E-009  0.726038048882145E-004  0.798002870728877E-018  0.785555574211871E-018  0.317853781739880E+000  0.000000000000000E+000  0.000000000000000E+000 -0.511175614474719E-001  0.000000000000000E+000  0.000000000000000E+000  0.103644031654680E+000  0.000000000000000E+000  0.000000000000000E+000  0.317853781739880E+000  0.000000000000000E+000  0.000000000000000E+000 -0.511175614474719E-001  0.000000000000000E+000  0.000000000000000E+000  0.103644031654680E+000  0.000000000000000E+000  0.000000000000000E+000
      0.04000000 -0.785283187601495E-002 -0.552473493781561E-009 -0.537032958338188E-009 -0.249583992668237E-002  0.104390818504386E-008  0.104225866546288E-008  0.678961854125783E-004  0.139497126013277E-017  0.137470752407393E-017  0.353315901792293E+000  0.000000000000000E+000  0.000000000000000E+000 -0.535550478123900E-001  0.000000000000000E+000  0.000000000000000E+000  0.127700269605489E+000  0.000000000000000E+000  0.000000000000000E+000  0.353315901792293E+000  0.000000000000000E+000  0.000000000000000E+000 -0.535550478123900E-001  0.000000000000000E+000  0.000000000000000E+000  0.127700269605489E+000  0.000000000000000E+000  0.000000000000000E+000
      0.05000000 -0.736299493837847E-002 -0.801182681648394E-009 -0.785291189613105E-009 -0.285930009575656E-002  0.122367321530925E-008  0.122177772042085E-008  0.623892915001805E-004  0.213926982723860E-017  0.210942305060074E-017  0.394248448624089E+000  0.000000000000000E+000  0.000000000000000E+000 -0.446592295324248E-001  0.000000000000000E+000  0.000000000000000E+000  0.157426286024931E+000  0.000000000000000E+000  0.000000000000000E+000  0.394248448624089E+000  0.000000000000000E+000  0.000000000000000E+000 -0.446592295324248E-001  0.000000000000000E+000  0.000000000000000E+000  0.157426286024931E+000  0.000000000000000E+000  0.000000000000000E+000
      0.06000000 -0.685288400227042E-002 -0.108631563253645E-008 -0.106991162324731E-008 -0.308078880071352E-002  0.135512928507871E-008  0.135309124047012E-008  0.564532787831757E-004  0.301645703277102E-017  0.297556678659666E-017  0.437545020551499E+000  0.000000000000000E+000  0.000000000000000E+000 -0.229907664055929E-001  0.000000000000000E+000  0.000000000000000E+000  0.191974220349328E+000  0.000000000000000E+000  0.000000000000000E+000  0.437545020551499E+000  0.000000000000000E+000  0.000000000000000E+000 -0.229907664055929E-001  0.000000000000000E+000  0.000000000000000E+000  0.191974220349328E+000  0.000000000000000E+000  0.000000000000000E+000
      0.07000000 -0.636473273137268E-002 -0.139875887084886E-008 -0.138180306211908E-008 -0.316060486483403E-002  0.143358802917852E-008  0.143152368986648E-008  0.504992458534193E-004  0.401170101618234E-017  0.395863977713061E-017  0.479812418992648E+000  0.000000000000000E+000  0.000000000000000E+000  0.120852298085541E-001  0.000000000000000E+000  0.000000000000000E+000  0.230366010199102E+000  0.000000000000000E+000  0.000000000000000E+000  0.479812418992648E+000  0.000000000000000E+000  0.000000000000000E+000  0.120852298085541E-001  0.000000000000000E+000  0.000000000000000E+000  0.230366010199102E+000  0.000000000000000E+000  0.000000000000000E+000
      0.08000000 -0.593956618265148E-002 -0.172930689972797E-008 -0.171178516974370E-008 -0.311111010878403E-002  0.145614197273724E-008  0.145417585821922E-008  0.449574525470753E-004  0.511085179821388E-017  0.504483589398209E-017  0.517573521309879E+000  0.000000000000000E+000  0.000000000000000E+000  0.603529901650442E-001  0.000000000000000E+000  0.000000000000000E+000  0.271524833382970E+000  0.000000000000000E+000  0.000000000000000E+000  0.517573521309879E+000  0.000000000000000E+000  0.000000000000000E+000  0.603529901650442E-001  0.000000000000000E+000  0.000000000000000E+000  0.271524833382970E+000  0.000000000000000E+000  0.000000000000000E+000
      0.09000000 -0.561388754301501E-002 -0.206903009168041E-008 -0.205095547075953E-008 -0.295608671954732E-002  0.142139747618075E-008  0.141965701989808E-008  0.402541820391031E-004  0.630125630557204E-017  0.622184439718434E-017  0.547474814246422E+000  0.000000000000000E+000  0.000000000000000E+000  0.120750281231218E+000  0.000000000000000E+000  0.000000000000000E+000  0.314309302651572E+000  0.000000000000000E+000  0.000000000000000E+000  0.547474814246422E+000  0.000000000000000E+000  0.000000000000000E+000  0.120750281231218E+000  0.000000000000000E+000  0.000000000000000E+000  0.314309302651572E+000  0.000000000000000E+000  0.000000000000000E+000
      0.10000000 -0.541662239153345E-002 -0.240948331702941E-008 -0.239089682599380E-008 -0.272921105311670E-002  0.132913199637733E-008  0.132774157662649E-008  0.367883911049159E-004  0.757220171883706E-017  0.747928532684981E-017  0.566486202565584E+000  0.000000000000000E+000  0.000000000000000E+000  0.191422411476314E+000  0.000000000000000E+000  0.000000000000000E+000  0.357549157312583E+000  0.000000000000000E+000  0.000000000000000E+000  0.566486202565584E+000  0.000000000000000E+000  0.000000000000000E+000  0.191422411476314E+000  0.000000000000000E+000  0.000000000000000E+000  0.357549157312583E+000  0.000000000000000E+000  0.000000000000000E+000
