##############################################################################
# SALMON: Scalable Ab-initio Light-Matter simulator for Optics and Nanoscience
#
#                             Version 2.2.1
##############################################################################
  Libxc: [enabled] 6.2.2
   theory= tddft_pulse
 
 Total time step      =       15000
 Time step[fs]        =  2.000000000000000E-003
 Energy range         =        3000
 Energy resolution[eV]=  1.000000000000000E-002
Laser frequency     = 0.17 1.50[eV]
Pulse width of laser=     12.00000000      5.80000000[fs]
Laser intensity     =  0.28000000E+10  0.60000000E+12[W/cm^2]
delay time          =      0.00000000[fs]
   use of real value orbitals =  F
 ======
 MPI distribution:
   nproc_k     :         125
   nproc_ob    :           4
   nproc_rgrid :           3           2           3
 OpenMP parallelization:
   number of threads :           1
 hpsi stencil:
   enables hand-coding vectorization : F
   enables openmp parallelization    : F
 current:
   k,orbital parallelized of openmp  : T
 force:
   k,orbital parallelized of openmp  : T
 ===================pseudopotential data===================
 ik ,atom_symbol=           1 Si
 ps_format =KY              
 ps_file =./Si_rps.dat
 Zps(ik), Mlps(ik) =           4           2
 Rps(ik), NRps(ik) =   2.26767135054939              122
 Lref(ik) =           2
 nproj(ik,l) =           1           1           1
 anorm(ik,l) =  0.6193218      0.3646551      0.0000000E+00
 inorm(ik,l) =           1           1           0
 Mass(ik) =   28.0000000000000     
 flag_nlcc_element(ik) = F
 ==========================================================
 flag_nlcc =  F
 
 ============init_ps==============
 end init_ps
 Maximal rho_NLCC= 0.000000000000000E+000
 Maximal tau_NLCC= 0.000000000000000E+000
 == Ewald ==
 cutoff length in real-space in ewald =  4.00 [A]
 (buffer length in bookkeeping =  2.00 [A])
 cutoff length in G-space in ewald =  0.1870828864+102 [1/A]
 number of ion-ion pair(/atom) used for allocation of bookkeeping=    68
 ===========
   Static dipole moment(xyz) =   -0.7051511049E+04   -0.7054501641E+04   -0.7038751177E+04
 
 
  time-step  time[fs]                               Current(xyz)[a.u.]      electrons Total energy[eV] 
#----------------------------------------------------------------------
      10    0.02000000 -0.89305225E-09 -0.42003253E-13 -0.52089344E-12   864.00000000   -23332.18209964
      20    0.04000000 -0.41254870E-08 -0.58919764E-12 -0.11543197E-11   864.00000000   -23332.18209964
      30    0.06000000 -0.10491817E-07 -0.18189014E-11 -0.27162978E-11   864.00000000   -23332.18209964
      40    0.08000000 -0.20704269E-07 -0.44252434E-11 -0.56168233E-11   864.00000000   -23332.18209963
      50    0.10000000 -0.35356903E-07 -0.92852709E-11 -0.11319059E-10   864.00000000   -23332.18209962
      60    0.12000000 -0.54916859E-07 -0.17772409E-10 -0.20977867E-10   863.99999999   -23332.18209959
      70    0.14000000 -0.79745425E-07 -0.30631363E-10 -0.35793514E-10   863.99999999   -23332.18209953
      80    0.16000000 -0.11010258E-06 -0.48955555E-10 -0.56041326E-10   863.99999999   -23332.18209943
      90    0.18000000 -0.14615806E-06 -0.72796475E-10 -0.81030434E-10   863.99999999   -23332.18209925
     100    0.20000000 -0.18800798E-06 -0.10229970E-09 -0.10926775E-09   863.99999999   -23332.18209896
     110    0.22000000 -0.23567480E-06 -0.13699314E-09 -0.13834611E-09   863.99999999   -23332.18209852
     120    0.24000000 -0.28910465E-06 -0.17590197E-09 -0.16505604E-09   863.99999999   -23332.18209788
     130    0.26000000 -0.34817318E-06 -0.21752392E-09 -0.18486548E-09   863.99999999   -23332.18209697
     140    0.28000000 -0.41268782E-06 -0.25917483E-09 -0.19238199E-09   863.99999999   -23332.18209573
     150    0.30000000 -0.48239285E-06 -0.29821748E-09 -0.18139369E-09   863.99999999   -23332.18209406
     160    0.32000000 -0.55697651E-06 -0.33144335E-09 -0.14517332E-09   863.99999999   -23332.18209186
     170    0.34000000 -0.63607984E-06 -0.35519429E-09 -0.76416463E-10   863.99999999   -23332.18208903
     180    0.36000000 -0.71930379E-06 -0.36545246E-09  0.32740109E-10   863.99999999   -23332.18208544
     190    0.38000000 -0.80621556E-06 -0.35829390E-09  0.19035546E-09   863.99999999   -23332.18208096
     200    0.40000000 -0.89635832E-06 -0.32984215E-09  0.40403491E-09   863.99999999   -23332.18207545
     210    0.42000000 -0.98926345E-06 -0.27641420E-09  0.68137274E-09   863.99999999   -23332.18206874
     220    0.44000000 -0.10844546E-05 -0.19431192E-09  0.10295819E-08   863.99999999   -23332.18206067
     230    0.46000000 -0.11814515E-05 -0.80224357E-10  0.14552979E-08   863.99999999   -23332.18205107
     240    0.48000000 -0.12797771E-05  0.69189504E-10  0.19646930E-08   863.99999999   -23332.18203976
     250    0.50000000 -0.13789638E-05  0.25681549E-09  0.25632173E-08   863.99999999   -23332.18202655
     260    0.52000000 -0.14785564E-05  0.48525309E-09  0.32556991E-08   863.99999999   -23332.18201123
     270    0.54000000 -0.15781140E-05  0.75667338E-09  0.40457606E-08   863.99999999   -23332.18199362
     280    0.56000000 -0.16772112E-05  0.10729158E-08  0.49362046E-08   863.99999999   -23332.18197351
     290    0.58000000 -0.17754385E-05  0.14352195E-08  0.59286193E-08   863.99999998   -23332.18195070
     300    0.60000000 -0.18724059E-05  0.18444181E-08  0.70236073E-08   863.99999998   -23332.18192498
     310    0.62000000 -0.19677477E-05  0.23008947E-08  0.82206965E-08   863.99999998   -23332.18189615
     320    0.64000000 -0.20611255E-05  0.28037920E-08  0.95181094E-08   863.99999998   -23332.18186402
     330    0.66000000 -0.21522299E-05  0.33521968E-08  0.10912965E-07   863.99999998   -23332.18182838
     340    0.68000000 -0.22407839E-05  0.39444830E-08  0.12401469E-07   863.99999998   -23332.18178905
     350    0.70000000 -0.23265446E-05  0.45784714E-08  0.13978750E-07   863.99999998   -23332.18174583
     360    0.72000000 -0.24093043E-05  0.52515336E-08  0.15639042E-07   863.99999998   -23332.18169856
     370    0.74000000 -0.24888916E-05  0.59604151E-08  0.17376013E-07   863.99999998   -23332.18164705
     380    0.76000000 -0.25651716E-05  0.67017055E-08  0.19182597E-07   863.99999998   -23332.18159114
     390    0.78000000 -0.26380424E-05  0.74714926E-08  0.21050880E-07   863.99999998   -23332.18153067
     400    0.80000000 -0.27074320E-05  0.82658285E-08  0.22972826E-07   863.99999998   -23332.18146551
     410    0.82000000 -0.27732984E-05  0.90803667E-08  0.24939906E-07   863.99999998   -23332.18139551
     420    0.84000000 -0.28356294E-05  0.99106428E-08  0.26943451E-07   863.99999998   -23332.18132054
     430    0.86000000 -0.28944411E-05  0.10752028E-07  0.28974464E-07   863.99999998   -23332.18124049
     440    0.88000000 -0.29497747E-05  0.11599810E-07  0.31023792E-07   863.99999998   -23332.18115524
     450    0.90000000 -0.30016971E-05  0.12449215E-07  0.33082020E-07   863.99999998   -23332.18106469
     460    0.92000000 -0.30502989E-05  0.13295213E-07  0.35139834E-07   863.99999998   -23332.18096874
     470    0.94000000 -0.30956922E-05  0.14132845E-07  0.37187649E-07   863.99999998   -23332.18086731
     480    0.96000000 -0.31380096E-05  0.14956921E-07  0.39215953E-07   863.99999998   -23332.18076031
     490    0.98000000 -0.31774007E-05  0.15762573E-07  0.41215306E-07   863.99999998   -23332.18064768
     500    1.00000000 -0.32140295E-05  0.16544771E-07  0.43176351E-07   863.99999998   -23332.18052934
     510    1.02000000 -0.32480714E-05  0.17298700E-07  0.45089906E-07   863.99999998   -23332.18040523
     520    1.04000000 -0.32797107E-05  0.18019785E-07  0.46947447E-07   863.99999997   -23332.18027528
     530    1.06000000 -0.33091368E-05  0.18703813E-07  0.48740562E-07   863.99999997   -23332.18013943
     540    1.08000000 -0.33365419E-05  0.19346562E-07  0.50461345E-07   863.99999997   -23332.17999762
     550    1.10000000 -0.33621190E-05  0.19944421E-07  0.52102352E-07   863.99999997   -23332.17984980
     560    1.12000000 -0.33860586E-05  0.20493699E-07  0.53656817E-07   863.99999997   -23332.17969590
     570    1.14000000 -0.34085472E-05  0.20991106E-07  0.55118411E-07   863.99999997   -23332.17953586
     580    1.16000000 -0.34297665E-05  0.21433519E-07  0.56481702E-07   863.99999997   -23332.17936963
     590    1.18000000 -0.34498924E-05  0.21818486E-07  0.57741517E-07   863.99999997   -23332.17919713
     600    1.20000000 -0.34690932E-05  0.22143361E-07  0.58893878E-07   863.99999997   -23332.17901830
     610    1.22000000 -0.34875277E-05  0.22406178E-07  0.59935114E-07   863.99999997   -23332.17883306
     620    1.24000000 -0.35053440E-05  0.22605201E-07  0.60862587E-07   863.99999997   -23332.17864135
     630    1.26000000 -0.35226792E-05  0.22739325E-07  0.61674297E-07   863.99999997   -23332.17844307
     640    1.28000000 -0.35396580E-05  0.22807748E-07  0.62369292E-07   863.99999997   -23332.17823816
     650    1.30000000 -0.35563929E-05  0.22810354E-07  0.62947384E-07   863.99999997   -23332.17802651
     660    1.32000000 -0.35729837E-05  0.22747498E-07  0.63409111E-07   863.99999997   -23332.17780804
     670    1.34000000 -0.35895170E-05  0.22619712E-07  0.63756039E-07   863.99999997   -23332.17758266
     680    1.36000000 -0.36060661E-05  0.22428349E-07  0.63990489E-07   863.99999997   -23332.17735025
     690    1.38000000 -0.36226913E-05  0.22174955E-07  0.64115633E-07   863.99999997   -23332.17711072
     700    1.40000000 -0.36394399E-05  0.21861456E-07  0.64135439E-07   863.99999997   -23332.17686397
     710    1.42000000 -0.36563463E-05  0.21490246E-07  0.64054440E-07   863.99999997   -23332.17660987
     720    1.44000000 -0.36734315E-05  0.21063872E-07  0.63878007E-07   863.99999997   -23332.17634833
     730    1.46000000 -0.36907040E-05  0.20585386E-07  0.63611752E-07   863.99999997   -23332.17607924
     740    1.48000000 -0.37081599E-05  0.20057839E-07  0.63262343E-07   863.99999997   -23332.17580247
     750    1.50000000 -0.37257842E-05  0.19484689E-07  0.62836425E-07   863.99999996   -23332.17551793
     760    1.52000000 -0.37435512E-05  0.18869624E-07  0.62341351E-07   863.99999996   -23332.17522550
     770    1.54000000 -0.37614267E-05  0.18216436E-07  0.61784580E-07   863.99999996   -23332.17492508
     780    1.56000000 -0.37793679E-05  0.17529238E-07  0.61173837E-07   863.99999996   -23332.17461657
