# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233315932756172E+005  0.000000000000000E+000 
      0.02000000 -0.233315932756483E+005 -0.311430327767937E-007 
      0.04000000 -0.233315932756489E+005 -0.317555608874329E-007 
      0.06000000 -0.233315932756495E+005 -0.322721881322650E-007 
      0.08000000 -0.233315932756495E+005 -0.323371532349086E-007 
      0.10000000 -0.233315932756487E+005 -0.314957004768587E-007 
      0.12000000 -0.233315932756460E+005 -0.287640725895130E-007 
      0.14000000 -0.233315932756400E+005 -0.227718152647242E-007 
      0.16000000 -0.233315932756286E+005 -0.114214837600002E-007 
      0.18000000 -0.233315932756091E+005  0.809898279622985E-008 
      0.20000000 -0.233315932755777E+005  0.395080631362305E-007 
      0.22000000 -0.233315932755297E+005  0.874584960398067E-007 
      0.24000000 -0.233315932754594E+005  0.157772392134348E-006 
      0.26000000 -0.233315932753597E+005  0.257438140318510E-006 
      0.28000000 -0.233315932752225E+005  0.394675372864862E-006 
      0.30000000 -0.233315932750382E+005  0.579027772709372E-006 
      0.32000000 -0.233315932747958E+005  0.821369260604047E-006 
      0.34000000 -0.233315932744833E+005  0.113388543365903E-005 
      0.36000000 -0.233315932740870E+005  0.153016637263208E-005 
      0.38000000 -0.233315932735921E+005  0.202503649523120E-005 
      0.40000000 -0.233315932729827E+005  0.263447412313039E-005 
      0.42000000 -0.233315932722414E+005  0.337580019012494E-005 
      0.44000000 -0.233315932713498E+005  0.426734104231298E-005 
      0.46000000 -0.233315932702888E+005  0.532833563080594E-005 
      0.48000000 -0.233315932690382E+005  0.657900357040754E-005 
      0.50000000 -0.233315932675770E+005  0.804018009760848E-005 
      0.52000000 -0.233315932658837E+005  0.973344909436800E-005 
      0.54000000 -0.233315932639364E+005  0.116807904204138E-004 
      0.56000000 -0.233315932617126E+005  0.139045458839027E-004 
      0.58000000 -0.233315932591899E+005  0.164272398139941E-004 
      0.60000000 -0.233315932563457E+005  0.192714615049500E-004 
      0.62000000 -0.233315932531576E+005  0.224596270107587E-004 
      0.64000000 -0.233315932496032E+005  0.260139667708298E-004 
      0.66000000 -0.233315932456609E+005  0.299562564688539E-004 
      0.68000000 -0.233315932413094E+005  0.343078263135324E-004 
      0.70000000 -0.233315932365278E+005  0.390893383010822E-004 
      0.72000000 -0.233315932312964E+005  0.443207738409308E-004 
      0.74000000 -0.233315932255959E+005  0.500212667025948E-004 
      0.76000000 -0.233315932194080E+005  0.562091556064777E-004 
      0.78000000 -0.233315932127154E+005  0.629017583927982E-004 
      0.80000000 -0.233315932055016E+005  0.701155947590860E-004 
      0.82000000 -0.233315931977511E+005  0.778660799961253E-004 
      0.84000000 -0.233315931894495E+005  0.861677106025346E-004 
      0.86000000 -0.233315931805832E+005  0.950339683839006E-004 
      0.88000000 -0.233315931711398E+005  0.104477351388541E-003 
      0.90000000 -0.233315931611076E+005  0.114509559522086E-003 
      0.92000000 -0.233315931504759E+005  0.125141284184282E-003 
      0.94000000 -0.233315931392347E+005  0.136382455755107E-003 
      0.96000000 -0.233315931273748E+005  0.148242342589204E-003 
      0.98000000 -0.233315931148877E+005  0.160729470582901E-003 
      1.00000000 -0.233315931017652E+005  0.173851947999722E-003 
      1.02000000 -0.233315930879999E+005  0.187617329353034E-003 
      1.04000000 -0.233315930735843E+005  0.202032859798567E-003 
      1.06000000 -0.233315930585116E+005  0.217105598877478E-003 
      1.08000000 -0.233315930427748E+005  0.232842367925542E-003 
      1.10000000 -0.233315930263672E+005  0.249250022307877E-003 
      1.12000000 -0.233315930092817E+005  0.266335448325363E-003 
      1.14000000 -0.233315929915116E+005  0.284105541559610E-003 
      1.16000000 -0.233315929730497E+005  0.302567537885622E-003 
      1.18000000 -0.233315929538884E+005  0.321728803108606E-003 
      1.20000000 -0.233315929340201E+005  0.341597043327169E-003 
      1.22000000 -0.233315929134368E+005  0.362180382272716E-003 
      1.24000000 -0.233315928921299E+005  0.383487249940710E-003 
      1.26000000 -0.233315928700906E+005  0.405526574392399E-003 
      1.28000000 -0.233315928473095E+005  0.428307688947530E-003 
      1.30000000 -0.233315928237768E+005  0.451840372400839E-003 
      1.32000000 -0.233315927994824E+005  0.476134774776220E-003 
      1.34000000 -0.233315927744157E+005  0.501201476104675E-003 
      1.36000000 -0.233315927485657E+005  0.527051467862857E-003 
      1.38000000 -0.233315927219211E+005  0.553696041604318E-003 
      1.40000000 -0.233315926944705E+005  0.581146683777924E-003 
      1.42000000 -0.233315926662020E+005  0.609415214938777E-003 
      1.44000000 -0.233315926371037E+005  0.638513498952051E-003 
      1.46000000 -0.233315926071637E+005  0.668453439899413E-003 
      1.48000000 -0.233315925763702E+005  0.699246978985442E-003 
      1.50000000 -0.233315925447114E+005  0.730905775899276E-003 
      1.52000000 -0.233315925121758E+005  0.763441341838386E-003 
      1.54000000 -0.233315924787524E+005  0.796864785835327E-003 
      1.56000000 -0.233315924444305E+005  0.831186734324743E-003 
      1.58000000 -0.233315924091999E+005  0.866417272365427E-003 
      1.60000000 -0.233315923730514E+005  0.902565810616533E-003 
      1.62000000 -0.233315923359763E+005  0.939640918284457E-003 
      1.64000000 -0.233315922979669E+005  0.977650245783430E-003 
      1.66000000 -0.233315922590167E+005  0.101660049689333E-002 
      1.68000000 -0.233315922191200E+005  0.105649716889927E-002 
      1.70000000 -0.233315921782727E+005  0.109734450000080E-002 
      1.72000000 -0.233315921364717E+005  0.113914552499629E-002 
      1.74000000 -0.233315920937155E+005  0.118190171952165E-002 
      1.76000000 -0.233315920500042E+005  0.122561300623746E-002 
      1.78000000 -0.233315920053393E+005  0.127027791878855E-002 
      1.80000000 -0.233315919597241E+005  0.131589307898959E-002 
      1.82000000 -0.233315919131636E+005  0.136245357733495E-002 
      1.84000000 -0.233315918656645E+005  0.140995268529616E-002 
      1.86000000 -0.233315918172353E+005  0.145838185222827E-002 
      1.88000000 -0.233315917678864E+005  0.150773080436433E-002 
      1.90000000 -0.233315917176298E+005  0.155798739941731E-002 
