# Real time calculation: 
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[fs] 2:Ac_ext_x[fs*V/Angstrom] 3:Ac_ext_y[fs*V/Angstrom] 4:Ac_ext_z[fs*V/Angstrom] 5:E_ext_x[V/Angstrom] 6:E_ext_y[V/Angstrom] 7:E_ext_z[V/Angstrom] 8:Ac_tot_x[fs*V/Angstrom] 9:Ac_tot_y[fs*V/Angstrom] 10:Ac_tot_z[fs*V/Angstrom] 11:E_tot_x[V/Angstrom] 12:E_tot_y[V/Angstrom] 13:E_tot_z[V/Angstrom]  14:Jm_x[1/fs*Angstrom^2] 15:Jm_y[1/fs*Angstrom^2] 16:Jm_z[1/fs*Angstrom^2] 
      0.00200000 -0.373336874402826E-010  0.000000000000000E+000  0.000000000000000E+000  0.186668443848613E-007  0.000000000000000E+000  0.000000000000000E+000 -0.373336874402826E-010  0.000000000000000E+000  0.000000000000000E+000  0.186668443848613E-007  0.000000000000000E+000  0.000000000000000E+000  -0.204319364997372E-009 -0.198503350385383E-009  0.175646301240362E-009 
      0.00400000 -0.152895486396224E-009  0.000000000000000E+000  0.000000000000000E+000  0.577809015355291E-007  0.000000000000000E+000  0.000000000000000E+000 -0.152895486396224E-009  0.000000000000000E+000  0.000000000000000E+000  0.577809015355291E-007  0.000000000000000E+000  0.000000000000000E+000  -0.690014138919969E-009 -0.201650902780663E-009  0.285247956991866E-009 
      0.00600000 -0.352026341295559E-009  0.000000000000000E+000  0.000000000000000E+000  0.995654309951588E-007  0.000000000000000E+000  0.000000000000000E+000 -0.352026341295559E-009  0.000000000000000E+000  0.000000000000000E+000  0.995654309951588E-007  0.000000000000000E+000  0.000000000000000E+000  -0.150062872924919E-008 -0.134362154444838E-009  0.239148376483558E-009 
      0.00800000 -0.640066970924121E-009  0.000000000000000E+000  0.000000000000000E+000  0.144020319942796E-006  0.000000000000000E+000  0.000000000000000E+000 -0.640066970924121E-009  0.000000000000000E+000  0.000000000000000E+000  0.144020319942796E-006  0.000000000000000E+000  0.000000000000000E+000  -0.259591363870705E-008 -0.306260043310907E-010  0.121296888557634E-009 
      0.01000000 -0.102235785391317E-008  0.000000000000000E+000  0.000000000000000E+000  0.191145448301150E-006  0.000000000000000E+000  0.000000000000000E+000 -0.102235785391317E-008  0.000000000000000E+000  0.000000000000000E+000  0.191145448301150E-006  0.000000000000000E+000  0.000000000000000E+000  -0.391969710725078E-008  0.592274857609792E-010  0.432686527224591E-010 
      0.01200000 -0.150423921422973E-008  0.000000000000000E+000  0.000000000000000E+000  0.240940688738094E-006  0.000000000000000E+000  0.000000000000000E+000 -0.150423921422973E-008  0.000000000000000E+000  0.000000000000000E+000  0.240940688738094E-006  0.000000000000000E+000  0.000000000000000E+000  -0.545005046786003E-008  0.901040723925600E-010  0.543528727199059E-010 
      0.01400000 -0.209105100666471E-008  0.000000000000000E+000  0.000000000000000E+000  0.293405906665575E-006  0.000000000000000E+000  0.000000000000000E+000 -0.209105100666471E-008  0.000000000000000E+000  0.000000000000000E+000  0.293405906665575E-006  0.000000000000000E+000  0.000000000000000E+000  -0.722158120105073E-008  0.528270355016314E-010  0.111702229873028E-009 
      0.01600000 -0.278813290232553E-008  0.000000000000000E+000  0.000000000000000E+000  0.348540960241838E-006  0.000000000000000E+000  0.000000000000000E+000 -0.278813290232553E-008  0.000000000000000E+000  0.000000000000000E+000  0.348540960241838E-006  0.000000000000000E+000  0.000000000000000E+000  -0.931198080608892E-008 -0.247429480133744E-010  0.133835081767264E-009 
      0.01800000 -0.360082427412513E-008  0.000000000000000E+000  0.000000000000000E+000  0.406345700369631E-006  0.000000000000000E+000  0.000000000000000E+000 -0.360082427412513E-008  0.000000000000000E+000  0.000000000000000E+000  0.406345700369631E-006  0.000000000000000E+000  0.000000000000000E+000  -0.117961516737613E-007 -0.913641769600214E-010  0.763905452335674E-010 
      0.02000000 -0.453446418227472E-008  0.000000000000000E+000  0.000000000000000E+000  0.466819970698097E-006  0.000000000000000E+000  0.000000000000000E+000 -0.453446418227472E-008  0.000000000000000E+000  0.000000000000000E+000  0.466819970698097E-006  0.000000000000000E+000  0.000000000000000E+000  -0.147089216997646E-007 -0.103413025136341E-009 -0.352780048971480E-010 
      0.02200000 -0.559439135977669E-008  0.000000000000000E+000  0.000000000000000E+000  0.529963607622813E-006  0.000000000000000E+000  0.000000000000000E+000 -0.559439135977669E-008  0.000000000000000E+000  0.000000000000000E+000  0.529963607622813E-006  0.000000000000000E+000  0.000000000000000E+000  -0.180447365617950E-007 -0.515539178244480E-010 -0.135064480175102E-009 
      0.02400000 -0.678594419791578E-008  0.000000000000000E+000  0.000000000000000E+000  0.595776440284941E-006  0.000000000000000E+000  0.000000000000000E+000 -0.678594419791578E-008  0.000000000000000E+000  0.000000000000000E+000  0.595776440284941E-006  0.000000000000000E+000  0.000000000000000E+000  -0.217870096196480E-007  0.340080152991522E-010 -0.171388097052564E-009 
      0.02600000 -0.811446073175830E-008  0.000000000000000E+000  0.000000000000000E+000  0.664258290575274E-006  0.000000000000000E+000  0.000000000000000E+000 -0.811446073175830E-008  0.000000000000000E+000  0.000000000000000E+000  0.664258290575274E-006  0.000000000000000E+000  0.000000000000000E+000  -0.259359412080481E-007  0.103076122256414E-009 -0.140819697640140E-009 
      0.02800000 -0.958527862564068E-008  0.000000000000000E+000  0.000000000000000E+000  0.735408973128853E-006  0.000000000000000E+000  0.000000000000000E+000 -0.958527862564068E-008  0.000000000000000E+000  0.000000000000000E+000  0.735408973128853E-006  0.000000000000000E+000  0.000000000000000E+000  -0.305138070229220E-007  0.115380617262212E-009 -0.796546812021047E-010 
      0.03000000 -0.112037351586708E-007  0.000000000000000E+000  0.000000000000000E+000  0.809228295331398E-006  0.000000000000000E+000  0.000000000000000E+000 -0.112037351586708E-007  0.000000000000000E+000  0.000000000000000E+000  0.809228295331398E-006  0.000000000000000E+000  0.000000000000000E+000  -0.355516622759921E-007  0.625525484269990E-010 -0.288233306214187E-010 
      0.03200000 -0.129751672102232E-007  0.000000000000000E+000  0.000000000000000E+000  0.885716057316260E-006  0.000000000000000E+000  0.000000000000000E+000 -0.129751672102232E-007  0.000000000000000E+000  0.000000000000000E+000  0.885716057316260E-006  0.000000000000000E+000  0.000000000000000E+000  -0.410732484082427E-007 -0.290995645582550E-010 -0.457742656074377E-011 
      0.03400000 -0.149049112454342E-007  0.000000000000000E+000  0.000000000000000E+000  0.964872051964245E-006  0.000000000000000E+000  0.000000000000000E+000 -0.149049112454342E-007  0.000000000000000E+000  0.000000000000000E+000  0.964872051964245E-006  0.000000000000000E+000  0.000000000000000E+000  -0.470881271599317E-007 -0.115831608468128E-009  0.426975978166181E-011 
      0.03600000 -0.169983033007085E-007  0.000000000000000E+000  0.000000000000000E+000  0.104669606490967E-005  0.000000000000000E+000  0.000000000000000E+000 -0.169983033007085E-007  0.000000000000000E+000  0.000000000000000E+000  0.104669606490967E-005  0.000000000000000E+000  0.000000000000000E+000  -0.535967286274038E-007 -0.163465212349268E-009  0.175428060115878E-010 
      0.03800000 -0.192606789692093E-007  0.000000000000000E+000  0.000000000000000E+000  0.113118787453162E-005  0.000000000000000E+000  0.000000000000000E+000 -0.192606789692093E-007  0.000000000000000E+000  0.000000000000000E+000  0.113118787453162E-005  0.000000000000000E+000  0.000000000000000E+000  -0.606008572133074E-007 -0.166321486070332E-009  0.438858490993226E-010 
      0.04000000 -0.216973733863683E-007  0.000000000000000E+000  0.000000000000000E+000  0.121834725196442E-005  0.000000000000000E+000  0.000000000000000E+000 -0.216973733863683E-007  0.000000000000000E+000  0.000000000000000E+000  0.121834725196442E-005  0.000000000000000E+000  0.000000000000000E+000  -0.681090873880703E-007 -0.144732138247219E-009  0.751269573906980E-010 
      0.04200000 -0.243137212153807E-007  0.000000000000000E+000  0.000000000000000E+000  0.130817396108982E-005  0.000000000000000E+000  0.000000000000000E+000 -0.243137212153807E-007  0.000000000000000E+000  0.000000000000000E+000  0.130817396108982E-005  0.000000000000000E+000  0.000000000000000E+000  -0.761326725998442E-007 -0.124542984255993E-009  0.947323785901947E-010 
