# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000 -0.120970943947900E-003  0.561167218705869E-004 -0.363544694207527E-002 -0.232138046177352E-004  0.157838862004113E-004 -0.130233997086258E-003  0.151728500044765E-007  0.339821753708834E-008  0.132334353626415E-004  0.000000000000000E+000  0.000000000000000E+000  0.233832924132284E-003  0.000000000000000E+000  0.000000000000000E+000  0.771068927501763E-004  0.000000000000000E+000  0.000000000000000E+000  0.606233093178418E-007  0.000000000000000E+000  0.000000000000000E+000  0.233832924132284E-003  0.000000000000000E+000  0.000000000000000E+000  0.771068927501763E-004  0.000000000000000E+000  0.000000000000000E+000  0.606233093178418E-007
      0.02000000 -0.114664875841734E-003  0.502328153137033E-004 -0.367204191845792E-002 -0.456717984303292E-004  0.305491918264664E-004 -0.269639600194203E-003  0.152339469236608E-007  0.345658885559087E-008  0.135565973649050E-004  0.000000000000000E+000  0.000000000000000E+000  0.250596763123886E-003  0.000000000000000E+000  0.000000000000000E+000  0.159077423126422E-003  0.000000000000000E+000  0.000000000000000E+000  0.881043642367119E-007  0.000000000000000E+000  0.000000000000000E+000  0.250596763123886E-003  0.000000000000000E+000  0.000000000000000E+000  0.159077423126422E-003  0.000000000000000E+000  0.000000000000000E+000  0.881043642367119E-007
      0.03000000 -0.104366890398718E-003  0.408739365034763E-004 -0.372930552762710E-002 -0.666346341267950E-004  0.433541681623234E-004 -0.426852171561628E-003  0.153326222767098E-007  0.355026258233723E-008  0.140899224947569E-004  0.000000000000000E+000  0.000000000000000E+000  0.276898691936112E-003  0.000000000000000E+000  0.000000000000000E+000  0.250618316425884E-003  0.000000000000000E+000  0.000000000000000E+000  0.139482426124074E-006  0.000000000000000E+000  0.000000000000000E+000  0.276898691936112E-003  0.000000000000000E+000  0.000000000000000E+000  0.250618316425884E-003  0.000000000000000E+000  0.000000000000000E+000  0.139482426124074E-006
      0.04000000 -0.903959763210619E-004  0.286723530254556E-004 -0.380187795202961E-002 -0.853977764878147E-004  0.534036917075297E-004 -0.609471145523371E-003  0.154642127641007E-007  0.367405811600923E-008  0.148257310393544E-004  0.000000000000000E+000  0.000000000000000E+000  0.310320338948523E-003  0.000000000000000E+000  0.000000000000000E+000  0.356125307123616E-003  0.000000000000000E+000  0.000000000000000E+000  0.223123947139016E-006  0.000000000000000E+000  0.000000000000000E+000  0.310320338948523E-003  0.000000000000000E+000  0.000000000000000E+000  0.356125307123616E-003  0.000000000000000E+000  0.000000000000000E+000  0.223123947139016E-006
      0.05000000 -0.731983220004221E-004  0.144388725542012E-004 -0.388270083448528E-002 -0.101313066705220E-003  0.601057269536102E-004 -0.823630103081522E-003  0.156223318288938E-007  0.382117945325840E-008  0.157537323168148E-004  0.000000000000000E+000  0.000000000000000E+000  0.347552029059593E-003  0.000000000000000E+000  0.000000000000000E+000  0.479534687850638E-003  0.000000000000000E+000  0.000000000000000E+000  0.350745929755449E-006  0.000000000000000E+000  0.000000000000000E+000  0.347552029059593E-003  0.000000000000000E+000  0.000000000000000E+000  0.479534687850638E-003  0.000000000000000E+000  0.000000000000000E+000  0.350745929755449E-006
      0.06000000 -0.533427192223226E-004 -0.902659367011029E-006 -0.396342024284823E-002 -0.113813829405474E-003  0.631095719727246E-004 -0.107366345759918E-002  0.157990334579699E-007  0.398363286851336E-008  0.168614532416030E-004  0.000000000000000E+000  0.000000000000000E+000  0.384467390169938E-003  0.000000000000000E+000  0.000000000000000E+000  0.624183199565798E-003  0.000000000000000E+000  0.000000000000000E+000  0.537419840724281E-006  0.000000000000000E+000  0.000000000000000E+000  0.384467390169938E-003  0.000000000000000E+000  0.000000000000000E+000  0.624183199565798E-003  0.000000000000000E+000  0.000000000000000E+000  0.537419840724281E-006
      0.07000000 -0.315097060341221E-004 -0.163880270574541E-004 -0.403484902937003E-002 -0.122442589174733E-003  0.623229009072322E-004 -0.136188797411469E-002  0.159850492181691E-007  0.415271140832854E-008  0.181347455438465E-004  0.000000000000000E+000  0.000000000000000E+000  0.416217241652037E-003  0.000000000000000E+000  0.000000000000000E+000  0.792678857987096E-003  0.000000000000000E+000  0.000000000000000E+000  0.801576564148157E-006  0.000000000000000E+000  0.000000000000000E+000  0.416217241652037E-003  0.000000000000000E+000  0.000000000000000E+000  0.792678857987096E-003  0.000000000000000E+000  0.000000000000000E+000  0.801576564148157E-006
      0.08000000 -0.847237572563013E-005 -0.310856196494822E-004 -0.408745467170809E-002 -0.126879193396223E-003  0.579067935251348E-004 -0.168850737473892E-002  0.161701108673123E-007  0.431951248535487E-008  0.195583428478160E-004  0.000000000000000E+000  0.000000000000000E+000  0.437341275881389E-003  0.000000000000000E+000  0.000000000000000E+000  0.986785155390164E-003  0.000000000000000E+000  0.000000000000000E+000  0.116501233448795E-005  0.000000000000000E+000  0.000000000000000E+000  0.437341275881389E-003  0.000000000000000E+000  0.000000000000000E+000  0.986785155390164E-003  0.000000000000000E+000  0.000000000000000E+000  0.116501233448795E-005
      0.09000000  0.149322360247097E-004 -0.441630618592135E-004 -0.411183875002699E-002 -0.126966116608265E-003  0.502501448464656E-004 -0.205163804030598E-002  0.163433664392813E-007  0.447545308987149E-008  0.211164365546541E-004  0.000000000000000E+000  0.000000000000000E+000  0.441895753280723E-003  0.000000000000000E+000  0.000000000000000E+000  0.120732088551930E-002  0.000000000000000E+000  0.000000000000000E+000  0.165289557737865E-005  0.000000000000000E+000  0.000000000000000E+000  0.441895753280723E-003  0.000000000000000E+000  0.000000000000000E+000  0.120732088551930E-002  0.000000000000000E+000  0.000000000000000E+000  0.165289557737865E-005
      0.10000000  0.378408701019470E-004 -0.549417532085555E-004 -0.409917739231253E-002 -0.122727172827319E-003  0.399268306027436E-004 -0.244744436690734E-002  0.164938904002591E-007  0.461274804761000E-008  0.227932392227526E-004  0.000000000000000E+000  0.000000000000000E+000  0.423595164144847E-003  0.000000000000000E+000  0.000000000000000E+000  0.145407761492813E-002  0.000000000000000E+000  0.000000000000000E+000  0.229377457332197E-005  0.000000000000000E+000  0.000000000000000E+000  0.423595164144847E-003  0.000000000000000E+000  0.000000000000000E+000  0.145407761492813E-002  0.000000000000000E+000  0.000000000000000E+000  0.229377457332197E-005
