# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000  0.483619514676722E-002  0.384569406277928E-003 -0.386320345461966E-002  0.809801858579375E-003  0.404152575718181E-004 -0.144736177985649E-003  0.240445625477734E-004  0.149527021289554E-006  0.149452894930032E-004  0.414836722447103E-002  0.000000000000000E+000  0.233832924132284E-003 -0.133617367854968E-002  0.000000000000000E+000  0.771068927501763E-004  0.189943107283144E-004  0.000000000000000E+000  0.606233093178418E-007  0.414836722447103E-002  0.000000000000000E+000  0.233832924132284E-003 -0.133617367854968E-002  0.000000000000000E+000  0.771068927501763E-004  0.189943107283144E-004  0.000000000000000E+000  0.606233093178418E-007
      0.02000000  0.462969027891964E-002  0.377786934386542E-003 -0.390344777037917E-002  0.159313965282217E-002  0.801716354472616E-004 -0.300343235586739E-003  0.239721260321173E-004  0.149150458923470E-006  0.153271105552408E-004  0.454717589431100E-002  0.000000000000000E+000  0.250596763123886E-003 -0.263146963043269E-002  0.000000000000000E+000  0.159077423126422E-003  0.276014410296926E-004  0.000000000000000E+000  0.881043642367119E-007  0.454717589431100E-002  0.000000000000000E+000  0.250596763123886E-003 -0.263146963043269E-002  0.000000000000000E+000  0.159077423126422E-003  0.276014410296926E-004  0.000000000000000E+000  0.881043642367119E-007
      0.03000000  0.429485447228168E-002  0.366715001580508E-003 -0.396572541133072E-002  0.232490604958155E-002  0.118650927556106E-003 -0.476929566345408E-003  0.238509630774588E-004  0.148557934994116E-006  0.159544398493286E-004  0.520209090949586E-002  0.000000000000000E+000  0.276898691936112E-003 -0.384584468863795E-002  0.000000000000000E+000  0.250618316425884E-003  0.418522711997842E-004  0.000000000000000E+000  0.139482426124074E-006  0.520209090949586E-002  0.000000000000000E+000  0.276898691936112E-003 -0.384584468863795E-002  0.000000000000000E+000  0.250618316425884E-003  0.418522711997842E-004  0.000000000000000E+000  0.139482426124074E-006
      0.04000000  0.384507747415115E-002  0.351679460787914E-003 -0.404320539453883E-002  0.298260417539837E-002  0.155311983417639E-003 -0.683141023277659E-003  0.236805484493284E-004  0.147800255333199E-006  0.168141915201127E-004  0.609867024292664E-002  0.000000000000000E+000  0.310320338948523E-003 -0.494090775957357E-002  0.000000000000000E+000  0.356125307123616E-003  0.616063482205732E-004  0.000000000000000E+000  0.223123947139016E-006  0.609867024292664E-002  0.000000000000000E+000  0.310320338948523E-003 -0.494090775957357E-002  0.000000000000000E+000  0.356125307123616E-003  0.616063482205732E-004  0.000000000000000E+000  0.223123947139016E-006
      0.05000000  0.329792344463448E-002  0.333094154631500E-003 -0.412701632198360E-002  0.354740555538075E-002  0.189718971956641E-003 -0.925579268769010E-003  0.234603852210159E-004  0.146945004169958E-006  0.178889607046940E-004  0.721710486887198E-002  0.000000000000000E+000  0.347552029059593E-003 -0.588070360802253E-002  0.000000000000000E+000  0.479534687850638E-003  0.866692776137048E-004  0.000000000000000E+000  0.350745929755449E-006  0.721710486887198E-002  0.000000000000000E+000  0.347552029059593E-003 -0.588070360802253E-002  0.000000000000000E+000  0.479534687850638E-003  0.866692776137048E-004  0.000000000000000E+000  0.350745929755449E-006
      0.06000000  0.267407380700678E-002  0.311424130425756E-003 -0.420686132396705E-002  0.400493871250047E-002  0.221558580962237E-003 -0.120838235417910E-002  0.231902048162047E-004  0.146073193809439E-006  0.191578701129812E-004  0.853261832002925E-002  0.000000000000000E+000  0.384467390169938E-003 -0.663244694824847E-002  0.000000000000000E+000  0.624183199565798E-003  0.116794927916629E-003  0.000000000000000E+000  0.537419840724281E-006  0.853261832002925E-002  0.000000000000000E+000  0.384467390169938E-003 -0.663244694824847E-002  0.000000000000000E+000  0.624183199565798E-003  0.116794927916629E-003  0.000000000000000E+000  0.537419840724281E-006
      0.07000000  0.199613054458038E-002  0.287145618822227E-003 -0.427170833224078E-002  0.434576090123836E-002  0.250644406547208E-003 -0.153299495927983E-002  0.228701749617388E-004  0.145275224942202E-006  0.205975656209127E-004  0.100159660043392E-001  0.000000000000000E+000  0.416217241652037E-003 -0.716719193301631E-002  0.000000000000000E+000  0.792678857987096E-003  0.151688215204772E-003  0.000000000000000E+000  0.801576564148157E-006  0.100159660043392E-001  0.000000000000000E+000  0.416217241652037E-003 -0.716719193301631E-002  0.000000000000000E+000  0.792678857987096E-003  0.151688215204772E-003  0.000000000000000E+000  0.801576564148157E-006
      0.08000000  0.128737735228671E-002  0.260707123296234E-003 -0.431049603729267E-002  0.456549527460342E-002  0.276908178453270E-003 -0.189813700273235E-002  0.225010875496069E-004  0.144646343431706E-006  0.221833001686575E-004  0.116340239147290E-001  0.000000000000000E+000  0.437341275881389E-003 -0.746042350454139E-002  0.000000000000000E+000  0.986785155390164E-003  0.191008431315600E-003  0.000000000000000E+000  0.116501233448795E-005  0.116340239147290E-001  0.000000000000000E+000  0.437341275881389E-003 -0.746042350454139E-002  0.000000000000000E+000  0.986785155390164E-003  0.191008431315600E-003  0.000000000000000E+000  0.116501233448795E-005
      0.09000000  0.570594284533458E-003  0.232495852093052E-003 -0.431279756130879E-002  0.466464605432206E-002  0.300378899399792E-003 -0.229996045265374E-002  0.220845006496446E-004  0.144281804445105E-006  0.238900408886022E-004  0.133504545298427E-001  0.000000000000000E+000  0.441895753280723E-003 -0.749255872860944E-002  0.000000000000000E+000  0.120732088551930E-002  0.234373072455059E-003  0.000000000000000E+000  0.165289557737865E-005  0.133504545298427E-001  0.000000000000000E+000  0.441895753280723E-003 -0.749255872860944E-002  0.000000000000000E+000  0.120732088551930E-002  0.234373072455059E-003  0.000000000000000E+000  0.165289557737865E-005
      0.10000000 -0.132989597282781E-003  0.202813150304773E-003 -0.426939148742189E-002  0.464813168781396E-002  0.321152295290063E-003 -0.273236724346103E-002  0.216228144202457E-004  0.144271970706622E-006  0.256935344260093E-004  0.151264361331414E-001  0.000000000000000E+000  0.423595164144847E-003 -0.724934813857599E-002  0.000000000000000E+000  0.145407761492813E-002  0.281362118524281E-003  0.000000000000000E+000  0.229377457332197E-005  0.151264361331414E-001  0.000000000000000E+000  0.423595164144847E-003 -0.724934813857599E-002  0.000000000000000E+000  0.145407761492813E-002  0.281362118524281E-003  0.000000000000000E+000  0.229377457332197E-005
