# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000 -0.348534502835568E-004  0.139441599220334E-005 -0.154576760033334E-005  0.790605823370014E-005  0.461292640722117E-006 -0.319797659443435E-006  0.127726875346302E-008  0.215718685969680E-011  0.249166801722580E-011  0.414836722447103E-002  0.000000000000000E+000  0.000000000000000E+000 -0.133617367854968E-002  0.000000000000000E+000  0.000000000000000E+000  0.189943107283144E-004  0.000000000000000E+000  0.000000000000000E+000  0.414836722447103E-002  0.000000000000000E+000  0.000000000000000E+000 -0.133617367854968E-002  0.000000000000000E+000  0.000000000000000E+000  0.189943107283144E-004  0.000000000000000E+000  0.000000000000000E+000
      0.02000000 -0.313740275299363E-004  0.136355468115904E-005 -0.159459705706782E-005  0.166198563627189E-004  0.927274762159875E-006 -0.659145025393267E-006  0.126054922896661E-008  0.271911985304938E-011  0.297721193891005E-011  0.454717589431100E-002  0.000000000000000E+000  0.000000000000000E+000 -0.263146963043269E-002  0.000000000000000E+000  0.000000000000000E+000  0.276014410296926E-004  0.000000000000000E+000  0.000000000000000E+000  0.454717589431100E-002  0.000000000000000E+000  0.000000000000000E+000 -0.263146963043269E-002  0.000000000000000E+000  0.000000000000000E+000  0.276014410296926E-004  0.000000000000000E+000  0.000000000000000E+000
      0.03000000 -0.258528167344610E-004  0.130943215084796E-005 -0.166612621755580E-005  0.269201762757350E-004  0.140234268581789E-005 -0.103584128466541E-005  0.139306402382227E-008  0.368117756614123E-011  0.384894373984408E-011  0.520209090949586E-002  0.000000000000000E+000  0.000000000000000E+000 -0.384584468863795E-002  0.000000000000000E+000  0.000000000000000E+000  0.418522711997842E-004  0.000000000000000E+000  0.000000000000000E+000  0.520209090949586E-002  0.000000000000000E+000  0.000000000000000E+000 -0.384584468863795E-002  0.000000000000000E+000  0.000000000000000E+000  0.418522711997842E-004  0.000000000000000E+000  0.000000000000000E+000
      0.04000000 -0.186989738930555E-004  0.122804155456184E-005 -0.174648934567111E-005  0.395283671341138E-004  0.189028246548564E-005 -0.146435362919922E-005  0.191214343294246E-008  0.508125385905312E-011  0.519455658589164E-011  0.609867024292664E-002  0.000000000000000E+000  0.000000000000000E+000 -0.494090775957357E-002  0.000000000000000E+000  0.000000000000000E+000  0.616063482205732E-004  0.000000000000000E+000  0.000000000000000E+000  0.609867024292664E-002  0.000000000000000E+000  0.000000000000000E+000 -0.494090775957357E-002  0.000000000000000E+000  0.000000000000000E+000  0.616063482205732E-004  0.000000000000000E+000  0.000000000000000E+000
      0.05000000 -0.104701361226936E-004  0.111385053968662E-005 -0.181800452133435E-005  0.550808720560115E-004  0.239391405528073E-005 -0.195455531374821E-005  0.314352621687844E-008  0.697148752883082E-011  0.712542691409350E-011  0.721710486887198E-002  0.000000000000000E+000  0.000000000000000E+000 -0.588070360802253E-002  0.000000000000000E+000  0.000000000000000E+000  0.866692776137048E-004  0.000000000000000E+000  0.000000000000000E+000  0.721710486887198E-002  0.000000000000000E+000  0.000000000000000E+000 -0.588070360802253E-002  0.000000000000000E+000  0.000000000000000E+000  0.866692776137048E-004  0.000000000000000E+000  0.000000000000000E+000
      0.06000000 -0.185724530440916E-005  0.959940433881648E-006 -0.186068582432452E-005  0.741033361853258E-004  0.291469834290270E-005 -0.251089872018426E-005  0.549475379391617E-008  0.941695206672063E-011  0.976676411986519E-011  0.853261832002925E-002  0.000000000000000E+000  0.000000000000000E+000 -0.663244694824847E-002  0.000000000000000E+000  0.000000000000000E+000  0.116794927916629E-003  0.000000000000000E+000  0.000000000000000E+000  0.853261832002925E-002  0.000000000000000E+000  0.000000000000000E+000 -0.663244694824847E-002  0.000000000000000E+000  0.000000000000000E+000  0.116794927916629E-003  0.000000000000000E+000  0.000000000000000E+000
      0.07000000  0.633487906566497E-005  0.758255251623712E-006 -0.185390390049266E-005  0.969869506464387E-004  0.345232859086868E-005 -0.313209139357397E-005  0.944659928847134E-008  0.124935237259443E-010  0.132469561699620E-010  0.100159660043392E-001  0.000000000000000E+000  0.000000000000000E+000 -0.716719193301631E-002  0.000000000000000E+000  0.000000000000000E+000  0.151688215204772E-003  0.000000000000000E+000  0.000000000000000E+000  0.100159660043392E-001  0.000000000000000E+000  0.000000000000000E+000 -0.716719193301631E-002  0.000000000000000E+000  0.000000000000000E+000  0.151688215204772E-003  0.000000000000000E+000  0.000000000000000E+000
      0.08000000  0.132110316117338E-004  0.499984825692166E-006 -0.177802716926725E-005  0.123967755420365E-003  0.400434685723413E-005 -0.381128840609694E-005  0.155425357402096E-007  0.162847785789633E-010  0.176872999291015E-010  0.116340239147290E-001  0.000000000000000E+000  0.000000000000000E+000 -0.746042350454139E-002  0.000000000000000E+000  0.000000000000000E+000  0.191008431315600E-003  0.000000000000000E+000  0.000000000000000E+000  0.116340239147290E-001  0.000000000000000E+000  0.000000000000000E+000 -0.746042350454139E-002  0.000000000000000E+000  0.000000000000000E+000  0.191008431315600E-003  0.000000000000000E+000  0.000000000000000E+000
      0.09000000  0.178128411039604E-004  0.176087708879063E-006 -0.161588228835835E-005  0.155109666781694E-003  0.456583950808439E-005 -0.453675891684952E-005  0.243763060373231E-007  0.208778972948026E-010  0.231932570394438E-010  0.133504545298427E-001  0.000000000000000E+000  0.000000000000000E+000 -0.749255872860944E-002  0.000000000000000E+000  0.000000000000000E+000  0.234373072455059E-003  0.000000000000000E+000  0.000000000000000E+000  0.133504545298427E-001  0.000000000000000E+000  0.000000000000000E+000 -0.749255872860944E-002  0.000000000000000E+000  0.000000000000000E+000  0.234373072455059E-003  0.000000000000000E+000  0.000000000000000E+000
      0.10000000  0.191492001082107E-004 -0.222064977661491E-006 -0.135389690549771E-005  0.190291993573825E-003  0.512927027943419E-005 -0.529293477739679E-005  0.365777346830850E-007  0.263587264537907E-010  0.298481953884926E-010  0.151264361331414E-001  0.000000000000000E+000  0.000000000000000E+000 -0.724934813857599E-002  0.000000000000000E+000  0.000000000000000E+000  0.281362118524281E-003  0.000000000000000E+000  0.000000000000000E+000  0.151264361331414E-001  0.000000000000000E+000  0.000000000000000E+000 -0.724934813857599E-002  0.000000000000000E+000  0.000000000000000E+000  0.281362118524281E-003  0.000000000000000E+000  0.000000000000000E+000
