# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233311536618580E+005  0.000000000000000E+000 
      0.02000000 -0.233311536618807E+005 -0.227223180436624E-007 
      0.04000000 -0.233311536618812E+005 -0.232420388648109E-007 
      0.06000000 -0.233311536618814E+005 -0.233781562227307E-007 
      0.08000000 -0.233311536618804E+005 -0.223882118014956E-007 
      0.10000000 -0.233311536618768E+005 -0.188058504271510E-007 
      0.12000000 -0.233311536618680E+005 -0.100015322307911E-007 
      0.14000000 -0.233311536618500E+005  0.799380120147362E-008 
      0.16000000 -0.233311536618170E+005  0.409867926154504E-007 
      0.18000000 -0.233311536617611E+005  0.968969973810204E-007 
      0.20000000 -0.233311536616719E+005  0.186128112650101E-006 
      0.22000000 -0.233311536615362E+005  0.321846399225120E-006 
      0.24000000 -0.233311536613377E+005  0.520324068530130E-006 
      0.26000000 -0.233311536610569E+005  0.801152739376636E-006 
      0.28000000 -0.233311536606706E+005  0.118741049108468E-005 
      0.30000000 -0.233311536601521E+005  0.170590316243553E-005 
      0.32000000 -0.233311536594710E+005  0.238704370219530E-005 
      0.34000000 -0.233311536585928E+005  0.326515533959402E-005 
      0.36000000 -0.233311536574798E+005  0.437818697530446E-005 
      0.38000000 -0.233311536560903E+005  0.576771627501851E-005 
      0.40000000 -0.233311536543792E+005  0.747882901997079E-005 
      0.42000000 -0.233311536522982E+005  0.955980974930704E-005 
      0.44000000 -0.233311536497960E+005  0.120619963619973E-004 
      0.46000000 -0.233311536468185E+005  0.150394614784751E-004 
      0.48000000 -0.233311536433093E+005  0.185486814279720E-004 
      0.50000000 -0.233311536392098E+005  0.226482361716146E-004 
      0.52000000 -0.233311536344596E+005  0.273984380732665E-004 
      0.54000000 -0.233311536289971E+005  0.328608554887762E-004 
      0.56000000 -0.233311536227600E+005  0.390980188762259E-004 
      0.58000000 -0.233311536156850E+005  0.461730155374354E-004 
      0.60000000 -0.233311536077091E+005  0.541489513356821E-004 
      0.62000000 -0.233311535987692E+005  0.630887588939696E-004 
      0.64000000 -0.233311535888035E+005  0.730544798853225E-004 
      0.66000000 -0.233311535777508E+005  0.841072031612600E-004 
      0.68000000 -0.233311535655515E+005  0.963064986273299E-004 
      0.70000000 -0.233311535521477E+005  0.109710259470717E-003 
      0.72000000 -0.233311535374837E+005  0.124374337118236E-003 
      0.74000000 -0.233311535215056E+005  0.140352380370365E-003 
      0.76000000 -0.233311535041624E+005  0.157695600289447E-003 
      0.78000000 -0.233311534854053E+005  0.176452711421733E-003 
      0.80000000 -0.233311534651882E+005  0.196669777118576E-003 
      0.82000000 -0.233311534434678E+005  0.218390178600659E-003 
      0.84000000 -0.233311534202035E+005  0.241654500495677E-003 
      0.86000000 -0.233311533953573E+005  0.266500731920794E-003 
      0.88000000 -0.233311533688939E+005  0.292964114897406E-003 
      0.90000000 -0.233311533407806E+005  0.321077428960163E-003 
      0.92000000 -0.233311533109870E+005  0.350871034467031E-003 
      0.94000000 -0.233311532794849E+005  0.382373138646865E-003 
      0.96000000 -0.233311532462481E+005  0.415609925529605E-003 
      0.98000000 -0.233311532112522E+005  0.450605825087422E-003 
      1.00000000 -0.233311531744741E+005  0.487383881370297E-003 
      1.02000000 -0.233311531358920E+005  0.525965962869209E-003 
      1.04000000 -0.233311530954851E+005  0.566372889352769E-003 
      1.06000000 -0.233311530532330E+005  0.608624997991678E-003 
      1.08000000 -0.233311530091158E+005  0.652742245446756E-003 
      1.10000000 -0.233311529631136E+005  0.698744408951391E-003 
      1.12000000 -0.233311529152065E+005  0.746651473008589E-003 
      1.14000000 -0.233311528653743E+005  0.796483743853288E-003 
      1.16000000 -0.233311528135959E+005  0.848262075283439E-003 
      1.18000000 -0.233311527598500E+005  0.902008014058083E-003 
      1.20000000 -0.233311527041139E+005  0.957744062851347E-003 
      1.22000000 -0.233311526463643E+005  0.101549368953317E-002 
      1.24000000 -0.233311525865765E+005  0.107528147566095E-002 
      1.26000000 -0.233311525247248E+005  0.113713317216396E-002 
      1.28000000 -0.233311524607823E+005  0.120107573646621E-002 
      1.30000000 -0.233311523947206E+005  0.126713736342225E-002 
      1.32000000 -0.233311523265108E+005  0.133534723164390E-002 
      1.34000000 -0.233311522561222E+005  0.140573584379363E-002 
      1.36000000 -0.233311521835236E+005  0.147833445117940E-002 
      1.38000000 -0.233311521086826E+005  0.155317536001867E-002 
      1.40000000 -0.233311520315666E+005  0.163029142718551E-002 
      1.42000000 -0.233311519521418E+005  0.170971617776644E-002 
      1.44000000 -0.233311518703747E+005  0.179148327915253E-002 
      1.46000000 -0.233311517862315E+005  0.187562651629073E-002 
      1.48000000 -0.233311516996785E+005  0.196217947304551E-002 
      1.50000000 -0.233311516106828E+005  0.205117523830917E-002 
      1.52000000 -0.233311515192119E+005  0.214264610901845E-002 
      1.54000000 -0.233311514252347E+005  0.223662326532904E-002 
      1.56000000 -0.233311513287214E+005  0.233313664377895E-002 
      1.58000000 -0.233311512296435E+005  0.243221445469061E-002 
      1.60000000 -0.233311511279750E+005  0.253388296562053E-002 
      1.62000000 -0.233311510236918E+005  0.263816622912456E-002 
      1.64000000 -0.233311509167724E+005  0.274508559087928E-002 
      1.66000000 -0.233311508071984E+005  0.285465964327837E-002 
      1.68000000 -0.233311506949543E+005  0.296690371808603E-002 
      1.70000000 -0.233311505800283E+005  0.308182965751242E-002 
      1.72000000 -0.233311504624124E+005  0.319944562241185E-002 
      1.74000000 -0.233311503421022E+005  0.331975579529950E-002 
      1.76000000 -0.233311502190980E+005  0.344276004315159E-002 
      1.78000000 -0.233311500934042E+005  0.356845377819445E-002 
      1.80000000 -0.233311499650301E+005  0.369682788365867E-002 
      1.82000000 -0.233311498339896E+005  0.382786843535725E-002 
      1.84000000 -0.233311497003014E+005  0.396155656556823E-002 
      1.86000000 -0.233311495639895E+005  0.409786852490624E-002 
      1.88000000 -0.233311494250824E+005  0.423677560498306E-002 
      1.90000000 -0.233311492836140E+005  0.437824395279306E-002 
      1.92000000 -0.233311491396232E+005  0.452223483057361E-002 
      1.94000000 -0.233311489931535E+005  0.466870452609135E-002 
      1.96000000 -0.233311488442537E+005  0.481760432789361E-002 
      1.98000000 -0.233311486929771E+005  0.496888088416324E-002 
      2.00000000 -0.233311485393819E+005  0.512247611609847E-002 
      2.02000000 -0.233311483835305E+005  0.527832748705407E-002 
      2.04000000 -0.233311482254898E+005  0.543636824384029E-002 
      2.06000000 -0.233311480653304E+005  0.559652759615027E-002 
      2.08000000 -0.233311479031270E+005  0.575873095785903E-002 
      2.10000000 -0.233311477389578E+005  0.592290017594810E-002 
      2.12000000 -0.233311475729041E+005  0.608895392338967E-002 
      2.14000000 -0.233311474050502E+005  0.625680783526405E-002 
      2.16000000 -0.233311472354831E+005  0.642637493876666E-002 
      2.18000000 -0.233311470642922E+005  0.659756580479336E-002 
      2.20000000 -0.233311468915691E+005  0.677028894082458E-002 
      2.22000000 -0.233311467174069E+005  0.694445107862797E-002 
      2.24000000 -0.233311465419007E+005  0.711995731346929E-002 
      2.26000000 -0.233311463651464E+005  0.729671159599107E-002 
      2.28000000 -0.233311461872413E+005  0.747461668580896E-002 
      2.30000000 -0.233311460082833E+005  0.765357466813897E-002 
      2.32000000 -0.233311458283710E+005  0.783348700020112E-002 
      2.34000000 -0.233311456476033E+005  0.801425469374044E-002 
      2.36000000 -0.233311454660793E+005  0.819577870172400E-002 
      2.38000000 -0.233311452838982E+005  0.837795977294286E-002 
      2.40000000 -0.233311451011592E+005  0.856069881705401E-002 
      2.42000000 -0.233311449179611E+005  0.874389687055111E-002 
      2.44000000 -0.233311447344027E+005  0.892745531331475E-002 
      2.46000000 -0.233311445505823E+005  0.911127569846584E-002 
      2.48000000 -0.233311443665981E+005  0.929525994107367E-002 
      2.50000000 -0.233311441825477E+005  0.947931025628446E-002 
      2.52000000 -0.233311439985289E+005  0.966332908816908E-002 
      2.54000000 -0.233311438146389E+005  0.984721906022582E-002 
      2.56000000 -0.233311436309751E+005  0.100308829104153E-001 
      2.58000000 -0.233311434476346E+005  0.102142234138210E-001 
      2.60000000 -0.233311432647148E+005  0.103971432248771E-001 
      2.62000000 -0.233311430823132E+005  0.105795447938415E-001 
      2.64000000 -0.233311429005278E+005  0.107613301904623E-001 
      2.66000000 -0.233311427194570E+005  0.109424010482935E-001 
      2.68000000 -0.233311425391995E+005  0.111226584564194E-001 
      2.70000000 -0.233311423598552E+005  0.113020027862148E-001 
      2.72000000 -0.233311421815244E+005  0.114803335768825E-001 
      2.74000000 -0.233311420043086E+005  0.116575494302714E-001 
      2.76000000 -0.233311418283100E+005  0.118335480510935E-001 
      2.78000000 -0.233311416536321E+005  0.120082258695074E-001 
      2.80000000 -0.233311414803798E+005  0.121814781957969E-001 
      2.82000000 -0.233311413086590E+005  0.123531990161952E-001 
      2.84000000 -0.233311411385769E+005  0.125232811197215E-001 
      2.86000000 -0.233311409702421E+005  0.126916159094728E-001 
      2.88000000 -0.233311408037645E+005  0.128580935108990E-001 
      2.90000000 -0.233311406392553E+005  0.130226027223060E-001 
      2.92000000 -0.233311404768270E+005  0.131850310488845E-001 
      2.94000000 -0.233311403165932E+005  0.133452648450149E-001 
      2.96000000 -0.233311401586686E+005  0.135031893792325E-001 
      2.98000000 -0.233311400031691E+005  0.136586889394087E-001 
      3.00000000 -0.233311398502110E+005  0.138116470307401E-001 
      3.02000000 -0.233311396999116E+005  0.139619464221523E-001 
      3.04000000 -0.233311395523884E+005  0.141094695824937E-001 
      3.06000000 -0.233311394077593E+005  0.142540986557876E-001 
      3.08000000 -0.233311392661421E+005  0.143957158695835E-001 
      3.10000000 -0.233311391276542E+005  0.145342038164731E-001 
      3.12000000 -0.233311389924125E+005  0.146694455283359E-001 
      3.14000000 -0.233311388605330E+005  0.148013250115278E-001 
      3.16000000 -0.233311387321306E+005  0.149297274170282E-001 
      3.18000000 -0.233311386073186E+005  0.150545393869200E-001 
      3.20000000 -0.233311384862086E+005  0.151756493544670E-001 
      3.22000000 -0.233311383689101E+005  0.152929479462786E-001 
      3.24000000 -0.233311382555298E+005  0.154063282483572E-001 
      3.26000000 -0.233311381461713E+005  0.155156867310778E-001 
      3.28000000 -0.233311380409330E+005  0.156209249939650E-001 
      3.30000000 -0.233311379399038E+005  0.157219542420978E-001 
      3.32000000 -0.233311378431535E+005  0.158187044647505E-001 
      3.34000000 -0.233311377507167E+005  0.159111413386939E-001 
      3.36000000 -0.233311376625631E+005  0.159992949427705E-001 
      3.38000000 -0.233311375785530E+005  0.160833050292905E-001 
      3.40000000 -0.233311374983698E+005  0.161634882443512E-001 
      3.42000000 -0.233311374214249E+005  0.162404331439404E-001 
      3.44000000 -0.233311373467303E+005  0.163151277451814E-001 
      3.46000000 -0.233311372727335E+005  0.163891244820090E-001 
      3.48000000 -0.233311371971129E+005  0.164647451360396E-001 
      3.50000000 -0.233311371165323E+005  0.165453257147910E-001 
      3.52000000 -0.233311370263589E+005  0.166354991086574E-001 
      3.54000000 -0.233311369203495E+005  0.167415084825644E-001 
      3.56000000 -0.233311367903173E+005  0.168715406892498E-001 
      3.58000000 -0.233311366257935E+005  0.170360644714012E-001 
      3.60000000 -0.233311364137044E+005  0.172481536135442E-001 
      3.62000000 -0.233311361380878E+005  0.175237702332001E-001 
      3.64000000 -0.233311357798769E+005  0.178819811084903E-001 
      3.66000000 -0.233311353167823E+005  0.183450757321027E-001 
      3.68000000 -0.233311347233035E+005  0.189385545278586E-001 
      3.70000000 -0.233311339709021E+005  0.196909559445463E-001 
      3.72000000 -0.233311330283660E+005  0.206334920326301E-001 
      3.74000000 -0.233311318623890E+005  0.217994690081259E-001 
      3.76000000 -0.233311304383844E+005  0.232234736358432E-001 
      3.78000000 -0.233311287215417E+005  0.249403163090358E-001 
      3.80000000 -0.233311266781240E+005  0.269837339778181E-001 
      3.82000000 -0.233311242769905E+005  0.293848675311187E-001 
      3.84000000 -0.233311214913132E+005  0.321705448247013E-001 
      3.86000000 -0.233311183004415E+005  0.353614164642350E-001 
      3.88000000 -0.233311146918502E+005  0.389700077988489E-001 
      3.90000000 -0.233311106630898E+005  0.429987681923399E-001 
      3.92000000 -0.233311062236444E+005  0.474382135935493E-001 
      3.94000000 -0.233311013965849E+005  0.522652730909734E-001 
      3.96000000 -0.233310962198975E+005  0.574419604692217E-001 
      3.98000000 -0.233310907473576E+005  0.629145003572346E-001 
      4.00000000 -0.233310850488177E+005  0.686130402874802E-001 
      4.02000000 -0.233310792097784E+005  0.744520796234041E-001 
      4.04000000 -0.233310733301215E+005  0.803317365428908E-001 
      4.06000000 -0.233310675218961E+005  0.861399618726279E-001 
      4.08000000 -0.233310619060718E+005  0.917557862078952E-001 
      4.10000000 -0.233310566081966E+005  0.970536613726027E-001 
      4.12000000 -0.233310517529348E+005  0.101908923192467E+000 
      4.14000000 -0.233310474574953E+005  0.106204362742987E+000 
      4.16000000 -0.233310438240065E+005  0.109837851464404E+000 
      4.18000000 -0.233310409309417E+005  0.112730916304674E+000 
      4.20000000 -0.233310388237458E+005  0.114838112160581E+000 
      4.22000000 -0.233310375048700E+005  0.116156987969954E+000 
      4.24000000 -0.233310369234646E+005  0.116738393446859E+000 
      4.26000000 -0.233310369650310E+005  0.116696827029411E+000 
      4.28000000 -0.233310374413743E+005  0.116220483729029E+000 
      4.30000000 -0.233310380812303E+005  0.115580627679827E+000 
      4.32000000 -0.233310385219705E+005  0.115139887541848E+000 
      4.34000000 -0.233310383027985E+005  0.115359059479558E+000 
      4.36000000 -0.233310368598599E+005  0.116801998065791E+000 
      4.38000000 -0.233310335236700E+005  0.120138187977925E+000 
      4.40000000 -0.233310275192440E+005  0.126142613962493E+000 
      4.42000000 -0.233310179692701E+005  0.135692587886985E+000 
      4.44000000 -0.233310039006110E+005  0.149761247016900E+000 
      4.46000000 -0.233309842543487E+005  0.169407509334320E+000 
      4.48000000 -0.233309578995020E+005  0.195762356032738E+000 
      4.50000000 -0.233309236504489E+005  0.230011409073747E+000 
      4.52000000 -0.233308802879784E+005  0.273373879644597E+000 
      4.54000000 -0.233308265837778E+005  0.327078080246437E+000 
      4.56000000 -0.233307613280433E+005  0.392333814736049E+000 
      4.58000000 -0.233306833597739E+005  0.470302084120923E+000 
      4.60000000 -0.233305915991880E+005  0.562062669993911E+000 
      4.62000000 -0.233304850815854E+005  0.668580272571699E+000 
      4.64000000 -0.233303629918681E+005  0.790669989894322E+000 
      4.66000000 -0.233302246988412E+005  0.928963016807812E+000 
      4.68000000 -0.233300697883373E+005  0.108387352071544E+001 
      4.70000000 -0.233298980941551E+005  0.125556770294679E+001 
      4.72000000 -0.233297097257717E+005  0.144393608630935E+001 
      4.74000000 -0.233295050917899E+005  0.164857006813729E+001 
      4.76000000 -0.233292849181088E+005  0.186874374921820E+001 
      4.78000000 -0.233290502598723E+005  0.210340198568361E+001 
      4.80000000 -0.233288025063433E+005  0.235115551471446E+001 
      4.82000000 -0.233285433779824E+005  0.261028387558560E+001 
      4.84000000 -0.233282749151723E+005  0.287874668575143E+001 
      4.86000000 -0.233279994582162E+005  0.315420364176655E+001 
      4.88000000 -0.233277196184596E+005  0.343404339836821E+001 
      4.90000000 -0.233274382406145E+005  0.371542124345934E+001 
      4.92000000 -0.233271583566205E+005  0.399530523750317E+001 
      4.94000000 -0.233268831316286E+005  0.427053022944143E+001 
      4.96000000 -0.233266158029520E+005  0.453785890602857E+001 
      4.98000000 -0.233263596130685E+005  0.479404878946352E+001 
      5.00000000 -0.233261177379869E+005  0.503592387110444E+001 
      5.02000000 -0.233258932124837E+005  0.526044937430500E+001 
      5.04000000 -0.233256888538808E+005  0.546480797724844E+001 
      5.06000000 -0.233255071861475E+005  0.564647571054791E+001 
      5.08000000 -0.233253503661866E+005  0.580329567137579E+001 
      5.10000000 -0.233252201141754E+005  0.593354768256721E+001 
      5.12000000 -0.233251176498018E+005  0.603601205621481E+001 
      5.14000000 -0.233250436361424E+005  0.611002571560715E+001 
      5.16000000 -0.233249981327963E+005  0.615552906168170E+001 
      5.18000000 -0.233249805596965E+005  0.617310216151363E+001 
      5.20000000 -0.233249896728061E+005  0.616398905189672E+001 
      5.22000000 -0.233250235526491E+005  0.613010920886425E+001 
      5.24000000 -0.233250796063532E+005  0.607405550483349E+001 
      5.26000000 -0.233251545835974E+005  0.599907826060104E+001 
      5.28000000 -0.233252446065710E+005  0.590905528705082E+001 
      5.30000000 -0.233253452137661E+005  0.580844809189687E+001 
      5.32000000 -0.233254514171628E+005  0.570224469518805E+001 
      5.34000000 -0.233255577721096E+005  0.559588974835491E+001 
      5.36000000 -0.233256584589771E+005  0.549520288093643E+001 
      5.38000000 -0.233257473754514E+005  0.540628640663236E+001 
      5.40000000 -0.233258182381491E+005  0.533542370889899E+001 
      5.42000000 -0.233258646920631E+005  0.528896979488416E+001 
      5.44000000 -0.233258804261964E+005  0.527323566163427E+001 
      5.46000000 -0.233258592935949E+005  0.529436826314914E+001 
      5.48000000 -0.233257954338556E+005  0.535822800240878E+001 
      5.50000000 -0.233256833960538E+005  0.547026580421433E+001 
      5.52000000 -0.233255182599087E+005  0.563540194934436E+001 
      5.54000000 -0.233252957528911E+005  0.585790896691099E+001 
      5.56000000 -0.233250123608714E+005  0.614130098656112E+001 
      5.58000000 -0.233246654298247E+005  0.648823203331904E+001 
      5.60000000 -0.233242532560596E+005  0.690040579843703E+001 
      5.62000000 -0.233237751624317E+005  0.737849942629671E+001 
      5.64000000 -0.233232315580531E+005  0.792210380487492E+001 
      5.66000000 -0.233226239791324E+005  0.852968272562684E+001 
      5.68000000 -0.233219551087871E+005  0.919855307091471E+001 
      5.70000000 -0.233212287739723E+005  0.992488788574344E+001 
      5.72000000 -0.233204499180688E+005  0.107037437891546E+002 
      5.74000000 -0.233196245481833E+005  0.115291136747469E+002 
      5.76000000 -0.233187596568110E+005  0.123940050470351E+002 
      5.78000000 -0.233178631182103E+005  0.132905436476600E+002 
      5.80000000 -0.233169435606001E+005  0.142101012578565E+002 
      5.82000000 -0.233160102161009E+005  0.151434457571305E+002 
      5.84000000 -0.233150727511761E+005  0.160809106819237E+002 
      5.86000000 -0.233141410811389E+005  0.170125807191404E+002 
      5.88000000 -0.233132251730454E+005  0.179284888126326E+002 
      5.90000000 -0.233123348419534E+005  0.188188199046389E+002 
      5.92000000 -0.233114795460436E+005  0.196741158143543E+002 
      5.94000000 -0.233106681864388E+005  0.204854754192436E+002 
      5.96000000 -0.233099089176832E+005  0.212447441747726E+002 
      5.98000000 -0.233092089747434E+005  0.219446871146505E+002 
      6.00000000 -0.233085745220240E+005  0.225791398339827E+002 
      6.02000000 -0.233080105292948E+005  0.231431325631839E+002 
      6.04000000 -0.233075206785687E+005  0.236329832892632E+002 
      6.06000000 -0.233071073049208E+005  0.240463569371697E+002 
      6.08000000 -0.233067713730018E+005  0.243822888561993E+002 
      6.10000000 -0.233065124896646E+005  0.246411721934488E+002 
      6.12000000 -0.233063289517287E+005  0.248247101293096E+002 
      6.14000000 -0.233062178265383E+005  0.249358353196888E+002 
      6.16000000 -0.233061750616964E+005  0.249786001615829E+002 
      6.18000000 -0.233061956192612E+005  0.249580425968241E+002 
      6.20000000 -0.233062736288164E+005  0.248800330416030E+002 
      6.22000000 -0.233064025532501E+005  0.247511086079252E+002 
      6.24000000 -0.233065753608134E+005  0.245783010446139E+002 
      6.26000000 -0.233067846971099E+005  0.243689647481124E+002 
      6.28000000 -0.233070230510718E+005  0.241306107861809E+002 
      6.30000000 -0.233072829096929E+005  0.238707521651385E+002 
      6.32000000 -0.233075568972496E+005  0.235967646083641E+002 
      6.34000000 -0.233078378958949E+005  0.233157659630890E+002 
      6.36000000 -0.233081191457682E+005  0.230345160897838E+002 
      6.38000000 -0.233083943240484E+005  0.227593378095702E+002 
      6.40000000 -0.233086576035938E+005  0.224960582641590E+002 
      6.42000000 -0.233089036928855E+005  0.222499689725384E+002 
      6.44000000 -0.233091278598517E+005  0.220258020063070E+002 
      6.46000000 -0.233093259427475E+005  0.218277191105279E+002 
      6.48000000 -0.233094943515647E+005  0.216593102933267E+002 
      6.50000000 -0.233096300634523E+005  0.215235984056906E+002 
      6.52000000 -0.233097306153456E+005  0.214230465123617E+002 
      6.54000000 -0.233097940964760E+005  0.213595653819709E+002 
      6.56000000 -0.233098191427165E+005  0.213345191414696E+002 
      6.58000000 -0.233098049338794E+005  0.213487279785919E+002 
      6.60000000 -0.233097511941948E+005  0.214024676632008E+002 
      6.62000000 -0.233096581953403E+005  0.214954665176780E+002 
      6.64000000 -0.233095267606293E+005  0.216269012287007E+002 
      6.66000000 -0.233093582683593E+005  0.217953934987239E+002 
      6.68000000 -0.233091546519167E+005  0.219990099413031E+002 
      6.70000000 -0.233089183940538E+005  0.222352678042442E+002 
