# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233311536618580E+005  0.000000000000000E+000 
      0.02000000 -0.233311536618807E+005 -0.227037565857643E-007 
      0.04000000 -0.233311536618813E+005 -0.232977232385053E-007 
      0.06000000 -0.233311536618819E+005 -0.238607541280828E-007 
      0.08000000 -0.233311536618824E+005 -0.243866621018640E-007 
      0.10000000 -0.233311536618829E+005 -0.249373186861760E-007 
      0.12000000 -0.233311536618835E+005 -0.254694138125899E-007 
      0.14000000 -0.233311536618841E+005 -0.260633804653310E-007 
      0.16000000 -0.233311536618846E+005 -0.266016627443776E-007 
      0.18000000 -0.233311536618851E+005 -0.271244771418424E-007 
      0.20000000 -0.233311536618857E+005 -0.276936951840526E-007 
      0.22000000 -0.233311536618862E+005 -0.282196031578337E-007 
      0.24000000 -0.233311536618868E+005 -0.287609790131967E-007 
      0.26000000 -0.233311536618873E+005 -0.293209163264578E-007 
      0.28000000 -0.233311536618878E+005 -0.298313564186572E-007 
      0.30000000 -0.233311536618884E+005 -0.303727322740201E-007 
      0.32000000 -0.233311536618889E+005 -0.309326695872812E-007 
      0.34000000 -0.233311536618895E+005 -0.314926069005423E-007 
      0.36000000 -0.233311536618900E+005 -0.320154212980071E-007 
      0.38000000 -0.233311536618906E+005 -0.325629843060028E-007 
      0.40000000 -0.233311536618911E+005 -0.330888922797840E-007 
      0.42000000 -0.233311536618916E+005 -0.336240809825142E-007 
      0.44000000 -0.233311536618922E+005 -0.341809247194590E-007 
      0.46000000 -0.233311536618927E+005 -0.347161134221892E-007 
      0.48000000 -0.233311536618933E+005 -0.352636764301849E-007 
      0.50000000 -0.233311536618938E+005 -0.357988651329151E-007 
      0.52000000 -0.233311536618943E+005 -0.363402409882781E-007 
      0.54000000 -0.233311536618949E+005 -0.368785232673247E-007 
      0.56000000 -0.233311536618954E+005 -0.374168055463713E-007 
      0.58000000 -0.233311536618960E+005 -0.379489006727852E-007 
      0.60000000 -0.233311536618965E+005 -0.384809957991990E-007 
      0.62000000 -0.233311536618970E+005 -0.390254652308784E-007 
      0.64000000 -0.233311536618976E+005 -0.395761218151904E-007 
      0.66000000 -0.233311536618981E+005 -0.400958426363388E-007 
      0.68000000 -0.233311536618986E+005 -0.406217506101200E-007 
      0.70000000 -0.233311536618992E+005 -0.411785943470647E-007 
      0.72000000 -0.233311536618997E+005 -0.417199702024277E-007 
      0.74000000 -0.233311536619003E+005 -0.422551589051579E-007 
      0.76000000 -0.233311536619008E+005 -0.427810668789391E-007 
      0.78000000 -0.233311536619013E+005 -0.433224427343021E-007 
      0.80000000 -0.233311536619019E+005 -0.438607250133487E-007 
      0.82000000 -0.233311536619024E+005 -0.443928201397625E-007 
      0.84000000 -0.233311536619029E+005 -0.449403831477582E-007 
      0.86000000 -0.233311536619035E+005 -0.454972268847030E-007 
      0.88000000 -0.233311536619040E+005 -0.460324155874332E-007 
      0.90000000 -0.233311536619046E+005 -0.465490428322653E-007 
      0.92000000 -0.233311536619051E+005 -0.470811379586792E-007 
      0.94000000 -0.233311536619056E+005 -0.476379816956239E-007 
      0.96000000 -0.233311536619062E+005 -0.481731703983542E-007 
      0.98000000 -0.233311536619067E+005 -0.487145462537171E-007 
      1.00000000 -0.233311536619073E+005 -0.492528285327637E-007 
      1.02000000 -0.233311536619078E+005 -0.497880172354940E-007 
      1.04000000 -0.233311536619083E+005 -0.503232059382242E-007 
      1.06000000 -0.233311536619089E+005 -0.508614882172708E-007 
      1.08000000 -0.233311536619094E+005 -0.514028640726337E-007 
      1.10000000 -0.233311536619099E+005 -0.519380527753640E-007 
      1.12000000 -0.233311536619105E+005 -0.524701479017779E-007 
      1.14000000 -0.233311536619110E+005 -0.529929622992427E-007 
      1.16000000 -0.233311536619115E+005 -0.535405253072383E-007 
      1.18000000 -0.233311536619121E+005 -0.540911818915504E-007 
      1.20000000 -0.233311536619126E+005 -0.546201834416479E-007 
      1.22000000 -0.233311536619132E+005 -0.551615592970109E-007 
      1.24000000 -0.233311536619137E+005 -0.556874672707920E-007 
      1.26000000 -0.233311536619142E+005 -0.562133752445732E-007 
      1.28000000 -0.233311536619148E+005 -0.567516575236198E-007 
      1.30000000 -0.233311536619153E+005 -0.572930333789827E-007 
      1.32000000 -0.233311536619158E+005 -0.578405963869784E-007 
      1.34000000 -0.233311536619164E+005 -0.583665043607596E-007 
      1.36000000 -0.233311536619169E+005 -0.588985994871734E-007 
      1.38000000 -0.233311536619174E+005 -0.594399753425364E-007 
      1.40000000 -0.233311536619180E+005 -0.599689768926339E-007 
      1.42000000 -0.233311536619185E+005 -0.605134463243132E-007 
      1.44000000 -0.233311536619191E+005 -0.610517286033598E-007 
      1.46000000 -0.233311536619196E+005 -0.615714494245083E-007 
      1.48000000 -0.233311536619201E+005 -0.621097317035549E-007 
      1.50000000 -0.233311536619207E+005 -0.626542011352342E-007 
      1.52000000 -0.233311536619212E+005 -0.631770155326990E-007 
      1.54000000 -0.233311536619217E+005 -0.637214849643783E-007 
      1.56000000 -0.233311536619222E+005 -0.642319250565777E-007 
      1.58000000 -0.233311536619228E+005 -0.647980495224715E-007 
      1.60000000 -0.233311536619233E+005 -0.653394253778345E-007 
      1.62000000 -0.233311536619239E+005 -0.658529590463502E-007 
      1.64000000 -0.233311536619244E+005 -0.664036156306622E-007 
      1.66000000 -0.233311536619249E+005 -0.669326171807597E-007 
      1.68000000 -0.233311536619255E+005 -0.674616187308573E-007 
      1.70000000 -0.233311536619260E+005 -0.680215560441184E-007 
      1.72000000 -0.233311536619266E+005 -0.685567447468486E-007 
      1.74000000 -0.233311536619271E+005 -0.690764655679970E-007 
      1.76000000 -0.233311536619276E+005 -0.696023735417782E-007 
      1.78000000 -0.233311536619281E+005 -0.701406558208248E-007 
      1.80000000 -0.233311536619287E+005 -0.706913124051368E-007 
      1.82000000 -0.233311536619292E+005 -0.712172203789180E-007 
      1.84000000 -0.233311536619298E+005 -0.717709705395464E-007 
      1.86000000 -0.233311536619303E+005 -0.723030656659603E-007 
      1.88000000 -0.233311536619308E+005 -0.728320672160578E-007 
      1.90000000 -0.233311536619314E+005 -0.733579751898390E-007 
      1.92000000 -0.233311536619319E+005 -0.738838831636201E-007 
      1.94000000 -0.233311536619324E+005 -0.744190718663503E-007 
      1.96000000 -0.233311536619330E+005 -0.749666348743460E-007 
      1.98000000 -0.233311536619335E+005 -0.755018235770763E-007 
      2.00000000 -0.233311536619341E+005 -0.760586673140210E-007 
      2.02000000 -0.233311536619346E+005 -0.765691074062204E-007 
      2.04000000 -0.233311536619351E+005 -0.771197639905324E-007 
      2.06000000 -0.233311536619357E+005 -0.776518591169463E-007 
      2.08000000 -0.233311536619362E+005 -0.781777670907275E-007 
      2.10000000 -0.233311536619367E+005 -0.787222365224068E-007 
      2.12000000 -0.233311536619372E+005 -0.792419573435552E-007 
      2.14000000 -0.233311536619378E+005 -0.797740524699691E-007 
      2.16000000 -0.233311536619383E+005 -0.803061475963830E-007 
      2.18000000 -0.233311536619388E+005 -0.808444298754296E-007 
      2.20000000 -0.233311536619394E+005 -0.813703378492107E-007 
      2.22000000 -0.233311536619399E+005 -0.819302751624718E-007 
      2.24000000 -0.233311536619405E+005 -0.824530895599366E-007 
      2.26000000 -0.233311536619410E+005 -0.829728103810851E-007 
      2.28000000 -0.233311536619415E+005 -0.835110926601317E-007 
      2.30000000 -0.233311536619421E+005 -0.840617492444437E-007 
      2.32000000 -0.233311536619426E+005 -0.845907507945412E-007 
      2.34000000 -0.233311536619431E+005 -0.851414073788533E-007 
      2.36000000 -0.233311536619437E+005 -0.856704089289508E-007 
      2.38000000 -0.233311536619442E+005 -0.862025040553647E-007 
      2.40000000 -0.233311536619448E+005 -0.867500670633604E-007 
      2.42000000 -0.233311536619453E+005 -0.872574135792433E-007 
      2.44000000 -0.233311536619458E+005 -0.877987894346063E-007 
      2.46000000 -0.233311536619463E+005 -0.883246974083875E-007 
      2.48000000 -0.233311536619469E+005 -0.888753539926995E-007 
      2.50000000 -0.233311536619474E+005 -0.894074491191134E-007 
      2.52000000 -0.233311536619479E+005 -0.899271699402618E-007 
      2.54000000 -0.233311536619485E+005 -0.904932944061557E-007 
      2.56000000 -0.233311536619490E+005 -0.909975473457223E-007 
      2.58000000 -0.233311536619496E+005 -0.915482039300343E-007 
      2.60000000 -0.233311536619501E+005 -0.920926733617136E-007 
      2.62000000 -0.233311536619506E+005 -0.926062070302294E-007 
      2.64000000 -0.233311536619512E+005 -0.931568636145414E-007 
      2.66000000 -0.233311536619517E+005 -0.936580229777917E-007 
      2.68000000 -0.233311536619522E+005 -0.942148667147365E-007 
      2.70000000 -0.233311536619528E+005 -0.947469618411503E-007 
      2.72000000 -0.233311536619533E+005 -0.952790569675642E-007 
      2.74000000 -0.233311536619538E+005 -0.958204328229272E-007 
      2.76000000 -0.233311536619544E+005 -0.963618086782901E-007 
      2.78000000 -0.233311536619549E+005 -0.968815294994386E-007 
      2.80000000 -0.233311536619554E+005 -0.974383732363833E-007 
      2.82000000 -0.233311536619560E+005 -0.979611876338481E-007 
      2.84000000 -0.233311536619565E+005 -0.985087506418438E-007 
      2.86000000 -0.233311536619570E+005 -0.990284714629922E-007 
      2.88000000 -0.233311536619576E+005 -0.995729408946715E-007 
      2.90000000 -0.233311536619581E+005 -0.100098848868453E-006 
      2.92000000 -0.233311536619586E+005 -0.100634037571183E-006 
      2.94000000 -0.233311536619592E+005 -0.101163039121280E-006 
      2.96000000 -0.233311536619597E+005 -0.101707508552960E-006 
      2.98000000 -0.233311536619602E+005 -0.102236510103057E-006 
      3.00000000 -0.233311536619608E+005 -0.102768605229471E-006 
      3.02000000 -0.233311536619613E+005 -0.103300700355885E-006 
      3.04000000 -0.233311536619618E+005 -0.103835889058615E-006 
      3.06000000 -0.233311536619624E+005 -0.104392732795560E-006 
      3.08000000 -0.233311536619629E+005 -0.104918640769341E-006 
      3.10000000 -0.233311536619634E+005 -0.105444548743122E-006 
      3.12000000 -0.233311536619640E+005 -0.106001392480067E-006 
      3.14000000 -0.233311536619645E+005 -0.106514926148583E-006 
      3.16000000 -0.233311536619651E+005 -0.107053208427629E-006 
      3.18000000 -0.233311536619656E+005 -0.107579116401411E-006 
      3.20000000 -0.233311536619661E+005 -0.108095743646243E-006 
      3.22000000 -0.233311536619666E+005 -0.108587622280544E-006 
      3.24000000 -0.233311536619672E+005 -0.109159933899070E-006 
      3.26000000 -0.233311536619674E+005 -0.109385764970165E-006 
      3.28000000 -0.233311536619649E+005 -0.106923278222342E-006 
      3.30000000 -0.233311536619514E+005 -0.933610396514212E-007 
      3.32000000 -0.233311536619035E+005 -0.454910397320703E-007 
      3.34000000 -0.233311536617667E+005  0.912821563668274E-007 
      3.36000000 -0.233311536614266E+005  0.431411591621634E-006 
      3.38000000 -0.233311536606639E+005  0.119413592599645E-005 
      3.40000000 -0.233311536590874E+005  0.277056982601600E-005 
      3.42000000 -0.233311536560397E+005  0.581832718355416E-005 
      3.44000000 -0.233311536504688E+005  0.113891899168337E-004 
      3.46000000 -0.233311536407641E+005  0.210938811257649E-004 
      3.48000000 -0.233311536245513E+005  0.373067299138826E-004 
      3.50000000 -0.233311535984470E+005  0.634109888966579E-004 
      3.52000000 -0.233311535577767E+005  0.104081277719182E-003 
      3.54000000 -0.233311534962610E+005  0.165597011834232E-003 
      3.56000000 -0.233311534056818E+005  0.256176193199659E-003 
      3.58000000 -0.233311532755443E+005  0.386313680474270E-003 
      3.60000000 -0.233311530927536E+005  0.569104449181435E-003 
      3.62000000 -0.233311528413307E+005  0.820527297405905E-003 
      3.64000000 -0.233311525021966E+005  0.115966139922953E-002 
      3.66000000 -0.233311520530534E+005  0.160880462165107E-002 
      3.68000000 -0.233311514683957E+005  0.219346226396838E-002 
      3.70000000 -0.233311507196839E+005  0.294217405571009E-002 
      3.72000000 -0.233311497757073E+005  0.388615066451199E-002 
      3.74000000 -0.233311486031639E+005  0.505869408675201E-002 
      3.76000000 -0.233311471674735E+005  0.649438450101540E-002 
      3.78000000 -0.233311454338341E+005  0.822802392933867E-002 
      3.80000000 -0.233311433685190E+005  0.102933389552620E-001 
      3.82000000 -0.233311409403993E+005  0.127214587461531E-001 
      3.84000000 -0.233311381226599E+005  0.155391981090710E-001 
      3.86000000 -0.233311348946645E+005  0.187671934965731E-001 
      3.88000000 -0.233311312439029E+005  0.224179550868901E-001 
      3.90000000 -0.233311271679421E+005  0.264939159221105E-001 
      3.92000000 -0.233311226762833E+005  0.309855747384167E-001 
      3.94000000 -0.233311177920160E+005  0.358698419855078E-001 
      3.96000000 -0.233311125531463E+005  0.411087116862280E-001 
      3.98000000 -0.233311070134712E+005  0.466483867959218E-001 
      4.00000000 -0.233311012428666E+005  0.524189913760937E-001 
      4.02000000 -0.233310953268591E+005  0.583349989000494E-001 
      4.04000000 -0.233310893653591E+005  0.642964989362795E-001 
      4.06000000 -0.233310834704475E+005  0.701914104878519E-001 
      4.08000000 -0.233310777631293E+005  0.758987287285977E-001 
      4.10000000 -0.233310723689920E+005  0.812928660393290E-001 
      4.12000000 -0.233310674127440E+005  0.862491139952467E-001 
      4.14000000 -0.233310630116437E+005  0.906502143478681E-001 
      4.16000000 -0.233310592678745E+005  0.943939834810580E-001 
      4.18000000 -0.233310562599710E+005  0.974018870095287E-001 
      4.20000000 -0.233310540334464E+005  0.996284116445471E-001 
      4.22000000 -0.233310525908271E+005  0.101071030862336E+000 
      4.24000000 -0.233310518813471E+005  0.101780510912271E+000 
      4.26000000 -0.233310517905996E+005  0.101871258405843E+000 
      4.28000000 -0.233310521304903E+005  0.101531367720434E+000 
      4.30000000 -0.233310526298652E+005  0.101031992800062E+000 
      4.32000000 -0.233310529262155E+005  0.100735642487465E+000 
      4.34000000 -0.233310525588754E+005  0.101102982605459E+000 
      4.36000000 -0.233310509641316E+005  0.102697726449435E+000 
      4.38000000 -0.233310474726519E+005  0.106189206053527E+000 
      4.40000000 -0.233310413096166E+005  0.112352241446800E+000 
      4.42000000 -0.233310315978909E+005  0.122063967058484E+000 
      4.44000000 -0.233310173645288E+005  0.136297329212363E+000 
      4.46000000 -0.233309975508170E+005  0.156111040956553E+000 
      4.48000000 -0.233309710259944E+005  0.182635863577678E+000 
      4.50000000 -0.233309366046744E+005  0.217057183644013E+000 
      4.52000000 -0.233308930678973E+005  0.260593960732967E+000 
      4.54000000 -0.233308391876190E+005  0.314474238977942E+000 
      4.56000000 -0.233307737543212E+005  0.379907536769780E+000 
      4.58000000 -0.233306956073059E+005  0.458054552115637E+000 
      4.60000000 -0.233306036671117E+005  0.549994746342786E+000 
      4.62000000 -0.233304969693755E+005  0.656692482514495E+000 
      4.64000000 -0.233303746993530E+005  0.778962504969845E+000 
      4.66000000 -0.233302362262182E+005  0.917435639825321E+000 
      4.68000000 -0.233300811361860E+005  0.107252567196967E+001 
      4.70000000 -0.233299092634491E+005  0.124439840888927E+001 
      4.72000000 -0.233297207178875E+005  0.143294397050589E+001 
      4.74000000 -0.233295159085122E+005  0.163775334579854E+001 
      4.76000000 -0.233292955616326E+005  0.185810022538061E+001 
      4.78000000 -0.233290607328004E+005  0.209292905761004E+001 
      4.80000000 -0.233288128116786E+005  0.234085017939306E+001 
      4.82000000 -0.233285535191157E+005  0.260014274234844E+001 
      4.84000000 -0.233282848958631E+005  0.286876599490097E+001 
      4.86000000 -0.233280092825693E+005  0.314437928873027E+001 
      4.88000000 -0.233277292908935E+005  0.342437096450133E+001 
      4.90000000 -0.233274477658252E+005  0.370589603279965E+001 
      4.92000000 -0.233271677395382E+005  0.398592231977787E+001 
      4.94000000 -0.233268923773693E+005  0.426128448871056E+001 
      4.96000000 -0.233266249167630E+005  0.452874509496798E+001 
      4.98000000 -0.233263686002696E+005  0.478506158841197E+001 
      5.00000000 -0.233261266039068E+005  0.502705795118802E+001 
      5.02000000 -0.233259019623942E+005  0.525169946375410E+001 
      5.04000000 -0.233256974929280E+005  0.545616893004118E+001 
      5.06000000 -0.233255157192819E+005  0.563794257606815E+001 
      5.08000000 -0.233253587980947E+005  0.579486376332562E+001 
      5.10000000 -0.233252284492120E+005  0.592521264603882E+001 
      5.12000000 -0.233251258919263E+005  0.602776993170585E+001 
      5.14000000 -0.233250517888608E+005  0.610187299717994E+001 
      5.16000000 -0.233250061991091E+005  0.614746274891680E+001 
      5.18000000 -0.233249885420552E+005  0.616511980276417E+001 
      5.20000000 -0.233249975730802E+005  0.615608877781663E+001 
      5.22000000 -0.233250313721033E+005  0.612228975474695E+001 
      5.24000000 -0.233250873456374E+005  0.606631622062577E+001 
      5.26000000 -0.233251622427496E+005  0.599141910839113E+001 
      5.28000000 -0.233252521850333E+005  0.590147682474047E+001 
      5.30000000 -0.233253527104146E+005  0.580095144342565E+001 
      5.32000000 -0.233254588303503E+005  0.569483150768737E+001 
      5.34000000 -0.233255650997212E+005  0.558856213682556E+001 
      5.36000000 -0.233256656984968E+005  0.548796336124790E+001 
      5.38000000 -0.233257545240395E+005  0.539913781850520E+001 
      5.40000000 -0.233258252927279E+005  0.532836913007039E+001 
      5.42000000 -0.233258716494096E+005  0.528201244836259E+001 
      5.44000000 -0.233258872830399E+005  0.526637881807235E+001 
      5.46000000 -0.233258660467183E+005  0.528761513974868E+001 
      5.48000000 -0.233258020801972E+005  0.535158166075542E+001 
      5.50000000 -0.233256899328095E+005  0.546372904845558E+001 
      5.52000000 -0.233255246846319E+005  0.562897722614952E+001 
      5.54000000 -0.233253020635889E+005  0.585159826909694E+001 
      5.56000000 -0.233250185560967E+005  0.613510576130906E+001 
      5.58000000 -0.233246715087618E+005  0.648215309624727E+001 
      5.60000000 -0.233242592186038E+005  0.689444325417030E+001 
      5.62000000 -0.233237810092614E+005  0.737265259659626E+001 
      5.64000000 -0.233232372906925E+005  0.791637116546763E+001 
      5.66000000 -0.233226296000063E+005  0.852406185174285E+001 
      5.68000000 -0.233219606212650E+005  0.919304059300286E+001 
      5.70000000 -0.233212341824016E+005  0.991947945637617E+001 
      5.72000000 -0.233204552277967E+005  0.106984340612616E+002 
      5.74000000 -0.233196297655650E+005  0.115238962929654E+002 
      5.76000000 -0.233187647892044E+005  0.123888726536217E+002 
