# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233523234061446E+005  0.000000000000000E+000 
      0.02000000 -0.233523234061721E+005 -0.274895191471728E-007 
      0.04000000 -0.233523234061697E+005 -0.250641553151468E-007 
      0.06000000 -0.233523234061550E+005 -0.103511063545398E-007 
      0.08000000 -0.233523234061019E+005  0.427006338947137E-007 
      0.10000000 -0.233523234059584E+005  0.186288978618552E-006 
      0.12000000 -0.233523234056345E+005  0.510105985957193E-006 
      0.14000000 -0.233523234049912E+005  0.115348942677580E-005 
      0.16000000 -0.233523234038268E+005  0.231780637065885E-005 
      0.18000000 -0.233523234018659E+005  0.427874705819140E-005 
      0.20000000 -0.233523233987465E+005  0.739810833314801E-005 
      0.22000000 -0.233523233940096E+005  0.121350233245212E-004 
      0.24000000 -0.233523233870886E+005  0.190560031952445E-004 
      0.26000000 -0.233523233773013E+005  0.288433052661276E-004 
      0.28000000 -0.233523233638428E+005  0.423018100360086E-004 
      0.30000000 -0.233523233457810E+005  0.603636491719225E-004 
      0.32000000 -0.233523233220539E+005  0.840907638967149E-004 
      0.34000000 -0.233523232914694E+005  0.114675248376013E-003 
      0.36000000 -0.233523232527071E+005  0.153437567818270E-003 
      0.38000000 -0.233523232043221E+005  0.201822536825547E-003 
      0.40000000 -0.233523231447516E+005  0.261393073462939E-003 
      0.42000000 -0.233523230723223E+005  0.333822316826115E-003 
      0.44000000 -0.233523229852604E+005  0.420884253505080E-003 
      0.46000000 -0.233523228817018E+005  0.524442806540510E-003 
      0.48000000 -0.233523227597050E+005  0.646439621984452E-003 
      0.50000000 -0.233523226172638E+005  0.788880819112963E-003 
      0.52000000 -0.233523224523217E+005  0.953822927028174E-003 
      0.54000000 -0.233523222627864E+005  0.114335821801298E-002 
      0.56000000 -0.233523220465453E+005  0.135959938814110E-002 
      0.58000000 -0.233523218014809E+005  0.160466373672784E-002 
      0.60000000 -0.233523215254878E+005  0.188065684462140E-002 
      0.62000000 -0.233523212164881E+005  0.218965655566473E-002 
      0.64000000 -0.233523208724469E+005  0.253369773155143E-002 
      0.66000000 -0.233523204913867E+005  0.291475796569036E-002 
      0.68000000 -0.233523200714001E+005  0.333474457781076E-002 
      0.70000000 -0.233523196106617E+005  0.379548295736670E-002 
      0.72000000 -0.233523191074377E+005  0.429870696107621E-002 
      0.74000000 -0.233523185600939E+005  0.484605075825411E-002 
      0.76000000 -0.233523179671018E+005  0.543904287567758E-002 
      0.78000000 -0.233523173270422E+005  0.607910242651665E-002 
      0.80000000 -0.233523166386080E+005  0.676753666640890E-002 
      0.82000000 -0.233523159006050E+005  0.750553961991157E-002 
      0.84000000 -0.233523151119521E+005  0.829419250432155E-002 
      0.86000000 -0.233523142716784E+005  0.913446622000425E-002 
      0.88000000 -0.233523133789189E+005  0.100272257216170E-001 
      0.90000000 -0.233523124329089E+005  0.109732357597867E-001 
      0.92000000 -0.233523114329762E+005  0.119731684603717E-001 
      0.94000000 -0.233523103785321E+005  0.130276125835357E-001 
      0.96000000 -0.233523092690605E+005  0.141370841347149E-001 
      0.98000000 -0.233523081041067E+005  0.153020379809964E-001 
      1.00000000 -0.233523068832639E+005  0.165228807853613E-001 
      1.02000000 -0.233523056061603E+005  0.177999843090627E-001 
      1.04000000 -0.233523042724458E+005  0.191336988439342E-001 
      1.06000000 -0.233523028817781E+005  0.205243665302354E-001 
      1.08000000 -0.233523014338102E+005  0.219723344672292E-001 
      1.10000000 -0.233522999281781E+005  0.234779665213618E-001 
      1.12000000 -0.233522983644896E+005  0.250416550230753E-001 
      1.14000000 -0.233522967423134E+005  0.266638312447504E-001 
      1.16000000 -0.233522950611700E+005  0.283449746071895E-001 
      1.18000000 -0.233522933205240E+005  0.300856206486695E-001 
      1.20000000 -0.233522915197759E+005  0.318863687217595E-001 
      1.22000000 -0.233522896582561E+005  0.337478885486091E-001 
      1.24000000 -0.233522877352198E+005  0.356709248025348E-001 
      1.26000000 -0.233522857498445E+005  0.376563001149764E-001 
      1.28000000 -0.233522837012279E+005  0.397049167119987E-001 
      1.30000000 -0.233522815883885E+005  0.418177561451504E-001 
      1.32000000 -0.233522794102665E+005  0.439958781220921E-001 
      1.34000000 -0.233522771657273E+005  0.462404173944590E-001 
      1.36000000 -0.233522748535646E+005  0.485525800950660E-001 
      1.38000000 -0.233522724725065E+005  0.509336381570962E-001 
      1.40000000 -0.233522700212223E+005  0.533849223906774E-001 
      1.42000000 -0.233522674983306E+005  0.559078140807284E-001 
      1.44000000 -0.233522649024086E+005  0.585037360558043E-001 
      1.46000000 -0.233522622320028E+005  0.611741418884218E-001 
      1.48000000 -0.233522594856407E+005  0.639205039538543E-001 
      1.50000000 -0.233522566618442E+005  0.667443004123630E-001 
      1.52000000 -0.233522537591431E+005  0.696470015448703E-001 
      1.54000000 -0.233522507760892E+005  0.726300554266075E-001 
      1.56000000 -0.233522477112708E+005  0.756948738884662E-001 
      1.58000000 -0.233522445633257E+005  0.788428189516653E-001 
      1.60000000 -0.233522413309556E+005  0.820751890891794E-001 
      1.62000000 -0.233522380129401E+005  0.853932045312506E-001 
      1.64000000 -0.233522346081524E+005  0.887979922058594E-001 
      1.66000000 -0.233522311155737E+005  0.922905709699915E-001 
      1.68000000 -0.233522275343067E+005  0.958718379607784E-001 
      1.70000000 -0.233522238635889E+005  0.995425557014721E-001 
      1.72000000 -0.233522201028051E+005  0.103303339547712E+000 
      1.74000000 -0.233522162514990E+005  0.107154645604016E+000 
      1.76000000 -0.233522123093850E+005  0.111096759664245E+000 
      1.78000000 -0.233522082763569E+005  0.115129787701949E+000 
      1.80000000 -0.233522041524974E+005  0.119253647245477E+000 
      1.82000000 -0.233521999380849E+005  0.123468059702813E+000 
      1.84000000 -0.233521956335998E+005  0.127772544895231E+000 
      1.86000000 -0.233521912397265E+005  0.132166418158605E+000 
      1.88000000 -0.233521867573563E+005  0.136648788391372E+000 
      1.90000000 -0.233521821875867E+005  0.141218557896753E+000 
      1.92000000 -0.233521775317208E+005  0.145874423802710E+000 
      1.94000000 -0.233521727912639E+005  0.150614880710041E+000 
      1.96000000 -0.233521679679207E+005  0.155438223937546E+000 
      1.98000000 -0.233521630635896E+005  0.160342555037873E+000 
      2.00000000 -0.233521580803551E+005  0.165325789587143E+000 
      2.02000000 -0.233521530204786E+005  0.170385666054231E+000 
      2.04000000 -0.233521478863884E+005  0.175519756219934E+000 
      2.06000000 -0.233521426806676E+005  0.180725477056304E+000 
      2.08000000 -0.233521374060404E+005  0.186000104279603E+000 
      2.10000000 -0.233521320653586E+005  0.191340786088879E+000 
      2.12000000 -0.233521266615874E+005  0.196744557210799E+000 
      2.14000000 -0.233521211977913E+005  0.202208353355933E+000 
      2.16000000 -0.233521156771190E+005  0.207729025637915E+000 
      2.18000000 -0.233521101027889E+005  0.213303355769086E+000 
      2.20000000 -0.233521044780738E+005  0.218928070888007E+000 
      2.22000000 -0.233520988062868E+005  0.224599857864159E+000 
      2.24000000 -0.233520930907678E+005  0.230315376832332E+000 
      2.26000000 -0.233520873348713E+005  0.236071273307079E+000 
      2.28000000 -0.233520815419546E+005  0.241864190074414E+000 
      2.30000000 -0.233520757153673E+005  0.247690777394436E+000 
      2.32000000 -0.233520698584423E+005  0.253547702356295E+000 
      2.34000000 -0.233520639744873E+005  0.259431657366973E+000 
      2.36000000 -0.233520580667770E+005  0.265339367600609E+000 
      2.38000000 -0.233520521385479E+005  0.271267596709249E+000 
      2.40000000 -0.233520461929933E+005  0.277213151333270E+000 
      2.42000000 -0.233520402332600E+005  0.283172884652814E+000 
      2.44000000 -0.233520342624467E+005  0.289143697928387E+000 
      2.46000000 -0.233520282836046E+005  0.295122540086316E+000 
      2.48000000 -0.233520222997392E+005  0.301106405451164E+000 
      2.50000000 -0.233520163138145E+005  0.307092330181923E+000 
      2.52000000 -0.233520103287578E+005  0.313077386842794E+000 
      2.54000000 -0.233520043474664E+005  0.319058678253151E+000 
      2.56000000 -0.233519983728146E+005  0.325033330078434E+000 
      2.58000000 -0.233519924076627E+005  0.330998481902078E+000 
      2.60000000 -0.233519864548669E+005  0.336951277780832E+000 
      2.62000000 -0.233519805172884E+005  0.342888856258692E+000 
      2.64000000 -0.233519745978047E+005  0.348808339984857E+000 
      2.66000000 -0.233519686993198E+005  0.354706824886216E+000 
      2.68000000 -0.233519628247755E+005  0.360581369182055E+000 
      2.70000000 -0.233519569771615E+005  0.366428983162882E+000 
      2.72000000 -0.233519511595249E+005  0.372246619708617E+000 
      2.74000000 -0.233519453749787E+005  0.378031165929747E+000 
      2.76000000 -0.233519396267091E+005  0.383779435520004E+000 
      2.78000000 -0.233519339179829E+005  0.389488161761794E+000 
      2.80000000 -0.233519282521533E+005  0.395153991305009E+000 
      2.82000000 -0.233519226326656E+005  0.400773479050257E+000 
      2.84000000 -0.233519170630599E+005  0.406343084776859E+000 
      2.86000000 -0.233519115469733E+005  0.411859171373328E+000 
      2.88000000 -0.233519060881398E+005  0.417318004843552E+000 
      2.90000000 -0.233519006903885E+005  0.422715756150569E+000 
      2.92000000 -0.233518953576402E+005  0.428048504436977E+000 
      2.94000000 -0.233518900939029E+005  0.433312241773577E+000 
      2.96000000 -0.233518849032648E+005  0.438502879810558E+000 
      2.98000000 -0.233518797898865E+005  0.443616258198214E+000 
      3.00000000 -0.233518747579899E+005  0.448648154706034E+000 
      3.02000000 -0.233518698118481E+005  0.453594296529718E+000 
      3.04000000 -0.233518649557716E+005  0.458450373018157E+000 
      3.06000000 -0.233518601940943E+005  0.463212050352447E+000 
