# Fourier-transform spectra: 
# energy: Frequency
# Jm: Matter current
# E_ext: External electric field
# E_tot: Total electric field
# 1:energy[eV] 2:Re(Jm_x)[1/Angstrom^2] 3:Re(Jm_y)[1/Angstrom^2] 4:Re(Jm_z)[1/Angstrom^2] 5:Im(Jm_x)[1/Angstrom^2] 6:Im(Jm_y)[1/Angstrom^2] 7:Im(Jm_z)[1/Angstrom^2] 8:|Jm_x|^2[1/Angstrom^4] 9:|Jm_y|^2[1/Angstrom^4] 10:|Jm_z|^2[1/Angstrom^4] 11:Re(E_ext_x)[fs*V/Angstrom] 12:Re(E_ext_y)[fs*V/Angstrom] 13:Re(E_ext_z)[fs*V/Angstrom] 14:Im(E_ext_x)[fs*V/Angstrom] 15:Im(E_ext_y)[fs*V/Angstrom] 16:Im(E_ext_z)[fs*V/Angstrom] 17:|E_ext_x|^2[fs^2*V^2/Angstrom^2] 18:|E_ext_y|^2[fs^2*V^2/Angstrom^2] 19:|E_ext_z|^2[fs^2*V^2/Angstrom^2] 20:Re(E_tot_x)[fs*V/Angstrom] 21:Re(E_tot_y)[fs*V/Angstrom] 22:Re(E_tot_z)[fs*V/Angstrom] 23:Im(E_tot_x)[fs*V/Angstrom] 24:Im(E_tot_y)[fs*V/Angstrom] 25:Im(E_tot_z)[fs*V/Angstrom] 26:|E_tot_x|^2[fs^2*V^2/Angstrom^2] 27:|E_tot_y|^2[fs^2*V^2/Angstrom^2] 28:|E_tot_z|^2[fs^2*V^2/Angstrom^2]
      0.01000000 -0.216812349532377E-002 -0.226740469516739E-003 -0.105705708398173E-002  0.313101672858136E-003  0.511029231057966E-004  0.180229669952552E-004  0.479879214852155E-005  0.540227492666284E-007  0.111769450613527E-005  0.303629390773394E-001  0.000000000000000E+000  0.000000000000000E+000 -0.977978992776406E-002  0.000000000000000E+000  0.000000000000000E+000  0.101755236044542E-002  0.000000000000000E+000  0.000000000000000E+000  0.303629390773394E-001  0.000000000000000E+000  0.000000000000000E+000 -0.977978992776406E-002  0.000000000000000E+000  0.000000000000000E+000  0.101755236044542E-002  0.000000000000000E+000  0.000000000000000E+000
      0.02000000 -0.225643226959647E-002 -0.249587996398069E-003 -0.107534530921073E-002  0.615679316698511E-003  0.986108090593478E-004  0.334764621088005E-004  0.547054760828664E-005  0.720182596093416E-007  0.115748820755685E-005  0.332819196522596E-001  0.000000000000000E+000  0.000000000000000E+000 -0.192603855322583E-001  0.000000000000000E+000  0.000000000000000E+000  0.147864862659069E-002  0.000000000000000E+000  0.000000000000000E+000  0.332819196522596E-001  0.000000000000000E+000  0.000000000000000E+000 -0.192603855322583E-001  0.000000000000000E+000  0.000000000000000E+000  0.147864862659069E-002  0.000000000000000E+000  0.000000000000000E+000
      0.03000000 -0.239978362408503E-002 -0.286273627111103E-003 -0.110505296824599E-002  0.897841644974323E-003  0.139143069930353E-003  0.438733270816484E-004  0.656508106187689E-005  0.101313383488990E-006  0.122306693145850E-005  0.380754067354645E-001  0.000000000000000E+000  0.000000000000000E+000 -0.281487008414288E-001  0.000000000000000E+000  0.000000000000000E+000  0.224208595713131E-002  0.000000000000000E+000  0.000000000000000E+000  0.380754067354645E-001  0.000000000000000E+000  0.000000000000000E+000 -0.281487008414288E-001  0.000000000000000E+000  0.000000000000000E+000  0.224208595713131E-002  0.000000000000000E+000  0.000000000000000E+000
      0.04000000 -0.259276469878730E-002 -0.334809405068738E-003 -0.114504674866694E-002  0.115089982860724E-002  0.169730005217513E-003  0.468880870002764E-004  0.804699919876578E-005  0.140905612393619E-006  0.131333054933528E-005  0.446376955122088E-001  0.000000000000000E+000  0.000000000000000E+000 -0.361637418224986E-001  0.000000000000000E+000  0.000000000000000E+000  0.330034008324500E-002  0.000000000000000E+000  0.000000000000000E+000  0.446376955122088E-001  0.000000000000000E+000  0.000000000000000E+000 -0.361637418224986E-001  0.000000000000000E+000  0.000000000000000E+000  0.330034008324500E-002  0.000000000000000E+000  0.000000000000000E+000
      0.05000000 -0.282842369672246E-002 -0.392606646945706E-003 -0.119379025019334E-002  0.136781871007605E-002  0.187975248940979E-003  0.404306772582880E-004  0.987090863181527E-005  0.189474673440373E-006  0.142676980112025E-005  0.528237987600704E-001  0.000000000000000E+000  0.000000000000000E+000 -0.430423431004341E-001  0.000000000000000E+000  0.000000000000000E+000  0.464299701501990E-002  0.000000000000000E+000  0.000000000000000E+000  0.528237987600704E-001  0.000000000000000E+000  0.000000000000000E+000 -0.430423431004341E-001  0.000000000000000E+000  0.000000000000000E+000  0.464299701501990E-002  0.000000000000000E+000  0.000000000000000E+000
      0.06000000 -0.309881260165123E-002 -0.456647508728961E-003 -0.124939139895075E-002  0.154350814438211E-002  0.192172035176468E-003  0.227122735622733E-004  0.119850569319264E-004  0.245457038332232E-006  0.156149471514247E-005  0.624523713071890E-001  0.000000000000000E+000  0.000000000000000E+000 -0.485445409546723E-001  0.000000000000000E+000  0.000000000000000E+000  0.625687113839085E-002  0.000000000000000E+000  0.000000000000000E+000  0.624523713071890E-001  0.000000000000000E+000  0.000000000000000E+000 -0.485445409546723E-001  0.000000000000000E+000  0.000000000000000E+000  0.625687113839085E-002  0.000000000000000E+000  0.000000000000000E+000
      0.07000000 -0.339557759919049E-002 -0.523676062698165E-003 -0.130965980286692E-002  0.167493187319484E-002  0.181366135497274E-003 -0.769846664430236E-005  0.143353440119683E-004  0.307130293748268E-006  0.171526806563411E-005  0.733093646571348E-001  0.000000000000000E+000  0.000000000000000E+000 -0.524584734770006E-001  0.000000000000000E+000  0.000000000000000E+000  0.812615438596994E-002  0.000000000000000E+000  0.000000000000000E+000  0.733093646571348E-001  0.000000000000000E+000  0.000000000000000E+000 -0.524584734770006E-001  0.000000000000000E+000  0.000000000000000E+000  0.812615438596994E-002  0.000000000000000E+000  0.000000000000000E+000
      0.08000000 -0.371053574029306E-002 -0.590391852329020E-003 -0.137217199638275E-002  0.176103232750830E-002  0.155363956759396E-003 -0.518298640324092E-004  0.168693103385215E-004  0.372700498356427E-006  0.188554232246263E-005  0.851523359030177E-001  0.000000000000000E+000  0.000000000000000E+000 -0.546047088173168E-001  0.000000000000000E+000  0.000000000000000E+000  0.102325945347643E-001  0.000000000000000E+000  0.000000000000000E+000  0.851523359030177E-001  0.000000000000000E+000  0.000000000000000E+000 -0.546047088173168E-001  0.000000000000000E+000  0.000000000000000E+000  0.102325945347643E-001  0.000000000000000E+000  0.000000000000000E+000
      0.09000000 -0.403618060696482E-002 -0.653629873719775E-003 -0.143434262248997E-002  0.180249023873163E-002  0.114689787865896E-003 -0.110272996446004E-003  0.195397249527617E-004  0.440385759259653E-006  0.206949889243660E-005  0.977153216217717E-001  0.000000000000000E+000  0.000000000000000E+000 -0.548399145736585E-001  0.000000000000000E+000  0.000000000000000E+000  0.125557003100924E-001  0.000000000000000E+000  0.000000000000000E+000  0.977153216217717E-001  0.000000000000000E+000  0.000000000000000E+000 -0.548399145736585E-001  0.000000000000000E+000  0.000000000000000E+000  0.125557003100924E-001  0.000000000000000E+000  0.000000000000000E+000
      0.10000000 -0.436607063975642E-002 -0.710513675654047E-003 -0.149349983584125E-002  0.180135533475744E-002  0.605008650178302E-004 -0.183159082862447E-003  0.223074538734021E-004  0.508490037959330E-006  0.226408900929286E-005  0.110714175943380E+000  0.000000000000000E+000  0.000000000000000E+000 -0.530597953294921E-001  0.000000000000000E+000  0.000000000000000E+000  0.150729706352293E-001  0.000000000000000E+000  0.000000000000000E+000  0.110714175943380E+000  0.000000000000000E+000  0.000000000000000E+000 -0.530597953294921E-001  0.000000000000000E+000  0.000000000000000E+000  0.150729706352293E-001  0.000000000000000E+000  0.000000000000000E+000
