# Real time calculation: 
# Eall: Total energy
# Eall0: Initial energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.850180530548821E+003  0.000000000000000E+000 
      0.02000000 -0.850180530548884E+003 -0.633216402254888E-010 
      0.04000000 -0.850180530548946E+003 -0.125869886371888E-009 
      0.06000000 -0.850180530549010E+003 -0.188998178077604E-009 
      0.08000000 -0.850180530549073E+003 -0.252223144043207E-009 
      0.10000000 -0.850180530549135E+003 -0.314384693150060E-009 
      0.12000000 -0.850180530549198E+003 -0.377319636336004E-009 
      0.14000000 -0.850180530549260E+003 -0.439481185442858E-009 
      0.16000000 -0.850180530549321E+003 -0.500385969171191E-009 
      0.18000000 -0.850180530549382E+003 -0.561000730119865E-009 
      0.20000000 -0.850180530549441E+003 -0.620745422729563E-009 
      0.22000000 -0.850180530549499E+003 -0.678363281621763E-009 
      0.24000000 -0.850180530549554E+003 -0.733660958276694E-009 
      0.26000000 -0.850180530549606E+003 -0.785381687315834E-009 
      0.28000000 -0.850180530549654E+003 -0.833815491518841E-009 
      0.30000000 -0.850180530549698E+003 -0.877898954026968E-009 
      0.32000000 -0.850180530549736E+003 -0.915795263902375E-009 
      0.34000000 -0.850180530549768E+003 -0.947504421145062E-009 
      0.36000000 -0.850180530549793E+003 -0.972059683156168E-009 
      0.38000000 -0.850180530549809E+003 -0.988590981596715E-009 
      0.40000000 -0.850180530549817E+003 -0.996808293687046E-009 
      0.42000000 -0.850180530549817E+003 -0.996421596647501E-009 
      0.44000000 -0.850180530549808E+003 -0.987430890478080E-009 
      0.46000000 -0.850180530549790E+003 -0.969546152399126E-009 
      0.48000000 -0.850180530549764E+003 -0.943830799269385E-009 
      0.50000000 -0.850180530549732E+003 -0.911348247947608E-009 
      0.52000000 -0.850180530549693E+003 -0.872098498433793E-009 
      0.54000000 -0.850180530549650E+003 -0.828981778524529E-009 
      0.56000000 -0.850180530549605E+003 -0.784221596197199E-009 
      0.58000000 -0.850180530549559E+003 -0.738494671271006E-009 
      0.60000000 -0.850180530549517E+003 -0.696924739519922E-009 
      0.62000000 -0.850180530549481E+003 -0.660768566322467E-009 
      0.64000000 -0.850180530549454E+003 -0.633119727995002E-009 
      0.66000000 -0.850180530549438E+003 -0.617845194932976E-009 
      0.68000000 -0.850180530549438E+003 -0.617071800853886E-009 
      0.70000000 -0.850180530549455E+003 -0.634183144853750E-009 
      0.72000000 -0.850180530549492E+003 -0.671789431949499E-009 
      0.74000000 -0.850180530549552E+003 -0.731340776039424E-009 
      0.76000000 -0.850180530549634E+003 -0.813900593982275E-009 
      0.78000000 -0.850180530549740E+003 -0.919855582817597E-009 
      0.80000000 -0.850180530549869E+003 -0.104804565142675E-008 
      0.82000000 -0.850180530550018E+003 -0.119731070869111E-008 
      0.84000000 -0.850180530550183E+003 -0.136204364753727E-008 
      0.86000000 -0.850180530550360E+003 -0.153973093720818E-008 
      0.88000000 -0.850180530550543E+003 -0.172263863691295E-008 
      0.90000000 -0.850180530550724E+003 -0.190322615438046E-008 
      0.92000000 -0.850180530550891E+003 -0.207066597250343E-008 
      0.94000000 -0.850180530551034E+003 -0.221374387713507E-008 
      0.96000000 -0.850180530551141E+003 -0.232027891152971E-008 
      0.98000000 -0.850180530551197E+003 -0.237605995948407E-008 
      1.00000000 -0.850180530551186E+003 -0.236552246515647E-008 
      1.02000000 -0.850180530551092E+003 -0.227194178158658E-008 
      1.04000000 -0.850180530550900E+003 -0.207917330737342E-008 
      1.06000000 -0.850180530550590E+003 -0.176923563017812E-008 
      1.08000000 -0.850180530550147E+003 -0.132637084563925E-008 
      1.10000000 -0.850180530549553E+003 -0.732500867158059E-009 
      1.12000000 -0.850180530548795E+003  0.258120273896267E-010 
      1.14000000 -0.850180530547856E+003  0.964229068105382E-009 
      1.16000000 -0.850180530546726E+003  0.209425449191567E-008 
      1.18000000 -0.850180530545396E+003  0.342468565647014E-008 
      1.20000000 -0.850180530543857E+003  0.496354652533935E-008 
      1.22000000 -0.850180530542108E+003  0.671296393224079E-008 
      1.24000000 -0.850180530540148E+003  0.867284120291458E-008 
      1.26000000 -0.850180530537982E+003  0.108390213441856E-007 
      1.28000000 -0.850180530535618E+003  0.132026103241444E-007 
      1.30000000 -0.850180530533071E+003  0.157500737464067E-007 
      1.32000000 -0.850180530530357E+003  0.184633335243740E-007 
      1.34000000 -0.850180530527501E+003  0.213192845099334E-007 
      1.36000000 -0.850180530524529E+003  0.242912446073563E-007 
      1.38000000 -0.850180530521473E+003  0.273473113108802E-007 
      1.40000000 -0.850180530518370E+003  0.304509417502681E-007 
      1.42000000 -0.850180530515259E+003  0.335621127819271E-007 
      1.44000000 -0.850180530512184E+003  0.366366442690893E-007 
      1.46000000 -0.850180530509191E+003  0.396295826809075E-007 
      1.48000000 -0.850180530506330E+003  0.424905607279809E-007 
      1.50000000 -0.850180530503650E+003  0.451705645605474E-007 
      1.52000000 -0.850180530501203E+003  0.476171967297484E-007 
      1.54000000 -0.850180530499040E+003  0.497803799689629E-007 
      1.56000000 -0.850180530497210E+003  0.516106170571293E-007 
      1.58000000 -0.850180530495761E+003  0.530591841672647E-007 
      1.60000000 -0.850180530494740E+003  0.540805477229629E-007 
      1.62000000 -0.850180530494186E+003  0.546343945578512E-007 
      1.64000000 -0.850180530494137E+003  0.546831183848338E-007 
      1.66000000 -0.850180530494623E+003  0.541978136002049E-007 
      1.68000000 -0.850180530495668E+003  0.531529581993544E-007 
      1.70000000 -0.850180530497287E+003  0.515330843007005E-007 
      1.72000000 -0.850180530499492E+003  0.493291045238140E-007 
      1.74000000 -0.850180530502278E+003  0.465425656568529E-007 
      1.76000000 -0.850180530505637E+003  0.431839085198851E-007 
      1.78000000 -0.850180530509548E+003  0.392720812678482E-007 
      1.80000000 -0.850180530513982E+003  0.348387930579849E-007 
      1.82000000 -0.850180530518897E+003  0.299233903140689E-007 
      1.84000000 -0.850180530524243E+003  0.245773037423596E-007 
      1.86000000 -0.850180530529958E+003  0.188622115206647E-007 
      1.88000000 -0.850180530535973E+003  0.128474290933223E-007 
      1.90000000 -0.850180530542208E+003  0.661213267917944E-008 
      1.92000000 -0.850180530548575E+003  0.245842642890715E-009 
      1.94000000 -0.850180530554978E+003 -0.615689358937512E-008 
      1.96000000 -0.850180530561314E+003 -0.124933112793590E-007 
      1.98000000 -0.850180530567477E+003 -0.186561019985872E-007 
      2.00000000 -0.850180530573355E+003 -0.245348637422696E-007 
      2.02000000 -0.850180530578835E+003 -0.300139740955823E-007 
      2.04000000 -0.850180530583799E+003 -0.349786807120402E-007 
      2.06000000 -0.850180530588135E+003 -0.393144245936783E-007 
      2.08000000 -0.850180530591728E+003 -0.429078068336500E-007 
