# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.0188243325712412,-0.000165466585420466,-0.00650099994538116,0.00543890636630587,-4.18942360513598e-05,-0.000904996592124203,0.000383937199214136,2.91343179050355e-08,4.30820191216023e-05
0.02,0.0167532782127588,-0.000148411316139495,-0.00634547493827823,0.0105072690340227,-8.03715209700686e-05,-0.00180479531049912,0.000391075033427431,2.84855001412992e-08,4.35223383051168e-05
0.03,0.0134689980975094,-0.000121714229630497,-0.00608266527629818,0.0148638505997338,-0.000112354667135023,-0.00269298136053326,0.00040234796440192,2.74379249215671e-08,4.42509654716632e-05
0.04,0.00920762517992129,-8.77745049946393e-05,-0.00570793413708698,0.01822331071062,-0.000135407708876536,-0.00356085344186216,0.000416869414709716,2.60396113502468e-08,4.52601893477445e-05
0.05,0.00427111888608874,-4.95877381150661e-05,-0.00521623587763616,0.0203776526160158,-0.000147965453609611,-0.00439663329977125,0.000433491182678118,2.43527192332663e-08,4.65395011037961e-05
0.06,-0.000997945712689774,-1.0434424683436e-05,-0.0046033743055245,0.0212106370108667,-0.000149466314081112,-0.00518505689504708,0.000450887018052223,2.24490562634678e-08,4.80758700016384e-05
0.07,-0.00624433965217532,2.64540405026189e-05,-0.00386737518218753,0.0207040051863844,-0.000140375343125025,-0.00590740986178491,0.000467647608449562,2.04050532163827e-08,4.98540820749136e-05
0.08,-0.0111282454999119,5.82138140051455e-05,-0.00300982595599424,0.0189351900666801,-0.00012209754859994,-0.00654202403681559,0.000482379270767609,1.82966595151403e-08,5.18571307836496e-05
0.09,-0.0153508544270483,8.26162008452505e-05,-0.00203703869157903,0.0160670411705322,-9.67944602394367e-05,-0.00706520490018658,0.000493798543616006,1.61946041751467e-08,5.40666469126105e-05
0.1,-0.018675265026467,9.8256075756614e-05,-0.000960909733755818,0.0123308536843872,-6.71279275400978e-05,-0.00745251677136249,0.000500815476394547,1.41604150789181e-08,5.64633537438658e-05
0.11,-0.0209410161270234,0.000104643056093616,0.000200620480541687,0.00800459081541113,-3.59629013339482e-05,-0.0076803179748546,0.00050259963055442,1.2243499460967e-08,5.90275327720875e-05
0.12,-0.0220712971174758,0.000102189489742152,0.00142356545064807,0.00338856251585769,-6.06459596428525e-06,-0.00772741524604352,0.000498624512371773,1.04794711379714e-08,6.17394849770647e-05
0.13,-0.022072654121604,9.2101750705049e-05,0.00267836353938618,-0.00121905884991608,2.01753901904533e-05,-0.00757669728099067,0.000488688164451523,8.88977885227204e-09,6.45799729368847e-05
0.14,-0.0210277595257975,7.61924747732241e-05,0.00393079424859653,-0.00554464440419531,4.09544436468155e-05,-0.00721661183876236,0.00047290975224374,7.482559666488581e-09,6.75306298561647e-05
0.15,-0.0190824539592085,5.66398555269975e-05,0.0051432743598798,-0.00935756052015344,5.51946771854913e-05,-0.00664236793154439,0.000451703987993647,6.25452562372974e-09,7.05743228790063e-05
0.16,-0.0164287389611313,3.57249904211753e-05,0.00627643876665122,-0.0124833284783991,6.2588559105931e-05,-0.0058567718266833,0.000425736953752604,5.19360267154969e-09,7.36954598213536e-05
0.17,-0.0132856543947807,1.55790627925198e-05,0.00729089178115701,-0.0148107919760648,6.35553246750437e-05,-0.00487063934981348,0.000395868171655822,4.28198649204349e-09,7.68802306404943e-05
0.18,-0.0098800040615741,-2.03103416693922e-06,0.00814900735174974,-0.0162932516468401,5.91197036917105e-05,-0.00370276338334861,0.000363084529483979,3.4992644643829205e-09,8.01167774919386e-05
0.19,-0.00642871048570517,-1.58565670112067e-05,0.00881666063743826,-0.0169441302070212,5.07330789830115e-05,-0.002379450614162,0.000328431866981503,2.82527602047737e-09,8.33952900209892e-05
0.2,-0.00312422410634187,-2.52471391714807e-05,0.00926478720036817,-0.0168282176850986,4.00627295948281e-05,-0.000933672121232633,0.000292949686723712,2.24244033893243e-09,8.67080254980729e-05
0.21,-0.000123939385748653,-3.01539267325727e-05,0.00947068720852095,-0.0160498687654984,2.87767789176702e-05,0.000596104201475188,0.000257613648361062,1.7373623022698301e-09,9.00492564206586e-05
0.22,0.00245595382415102,-3.10623741238541e-05,0.00941901747241581,-0.0147396622948926,1.83508328693313e-05,0.00216731654406558,0.000223289353753842,1.30162415320841e-09,9.34151511478548e-05
0.23,0.00454226499589805,-2.88688865529625e-05,0.00910244074438271,-0.0130409893889115,9.91750580698076e-06,0.00373485854803375,0.000190699575534664,9.31769532239314e-10,9.68035958788192e-05
0.24,0.00610276232260042,-2.47217274835199e-05,0.00852192665189501,-0.0110978361119151,4.17293161635231e-06,0.00525268834452545,0.000160405674333079,6.28577168044175e-10,0.000100213968704992
0.25,0.00714113695697812,-1.98489781185298e-05,0.0076867196956568,-0.00904471096075063,1.34603669190547e-06,0.00667541899494459,0.000132802633401841,3.9579374712583e-10,0.000103646878437665
0.26,0.00768999368717955,-1.53959255793317e-05,0.00661400551633397,-0.00699928789682396,1.22799028556667e-06,0.00795982495777535,0.000108126033971488,2.38542484585768e-10,0.00010710388232852
0.27,0.00780292674119874,-1.22909306752137e-05,0.00532831661066205,-0.0050579463280997,3.25194627802248e-06,0.00906621418626536,8.64684867864515e-05,1.61642131458054e-10,0.000110587197574696
0.28,0.00754664672591182,-1.11533553056246e-05,0.00386072318037582,-0.0032940392401997,6.60782357699866e-06,0.0099596304197097,6.7802571321691e-05,1.6806066699824401e-10,0.000114099421572698
0.29,0.00699393170089506,-1.22504131422705e-05,0.00224785481067234,-0.00175844778200391,1.03739845885044e-05,0.0106108634889996,5.20072192388193e-05,2.57692178398842e-10,0.000117643275232048
0.3,0.00621792093178861,-1.55028500691414e-05,0.000530795600412042,-0.000481808455027902,1.36474258023636e-05,0.0109972559452176,3.88946801013114e-05,4.26590591297299e-10,0.000121221382294041
0.31,0.00528799598299932,-2.05331156928005e-05,-0.00124610925465501,0.00052226519063783,1.56562800950722e-05,0.0111033016397436,2.82356624455689e-05,6.667279464692831e-10,0.00012483609557767
0.32,0.00426723959902325,-2.6744925709086e-05,-0.00303650217517637,0.00125360899652959,1.58425203046157e-05,0.0109210362617068,1.9780869311652e-05,9.66276500786691e-10,0.000128489378489366
0.33,0.00321125944060573,-3.34203339733242e-05,-0.00479328775960075,0.00172211092105781,1.39080062792622e-05,0.0104502219867238,1.3277853219306e-05,1.3103513615525202e-09,0.000132182747118144
