# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.00156500837970635,9.47200385597328e-07,1.09846730040614e-05,8.49279757172681e-05,2.56273242916163e-06,2.0235555646731e-06,2.45646398961052e-06,7.46478607395237e-12,1.24757818129475e-10
0.02,-0.00156145301656127,1.28501830836062e-07,1.03654463988855e-05,0.000179455984182241,5.02562764382415e-06,3.94980790354865e-06,2.47033997318709e-06,2.52734459348977e-11,1.23043461523104e-10
0.03,-0.00156241429061576,-1.2068419278495e-06,9.37452822301619e-06,0.000291782122443572,7.2920647007463e-06,5.6884423263853e-06,2.52627522249803e-06,5.4630675038685794e-11,1.20240155504739e-10
0.04,-0.00157749755208269,-3.01624357288323e-06,8.07002767270749e-06,0.000427419306898351,9.27168619008697e-06,7.16246893988588e-06,2.67118579073635e-06,9.506189009840869e-11,1.16426307953095e-10
0.05,-0.00161875803130488,-5.24227223497876e-06,6.52651448588528e-06,0.000588140849556619,1.08831276529969e-05,8.31332653862753e-06,2.96628722283124e-06,1.45923885697055e-10,1.11706789472319e-10
0.06,-0.00169943918850344,-7.81463629075248e-06,4.82907024580969e-06,0.000771248393636214,1.2056317498104e-05,9.10430944682594e-06,3.48291764010768e-06,2.06423331971835e-10,1.0620836994252901e-10
0.07,-0.0018325271813283,-1.06524690043368e-05,3.0667219042901e-06,0.00096923215810316,1.27342841019908e-05,9.52205460678462e-06,4.29756684660835e-06,2.75637087478573e-10,1.00074307172841e-10
0.08,-0.00202923698960103,-1.3666773360753e-05,1.32589144450793e-06,0.00116986435742761,1.28744586809769e-05,9.57603253334979e-06,5.48638537474456e-06,3.5253238042237003e-10,9.34583872023929e-11
0.09,-0.00229755380340663,-1.67628997517549e-05,-3.15532146110431e-07,0.00135673398454659,1.24495098172969e-05,9.29619162597908e-06,7.1194805843719e-06,4.35985102778354e-10,8.651873928215259e-11
0.1,-0.00264095239811664,-1.98429637839356e-05,-1.79298595652766e-06,0.00151019707702748,1.14477807745874e-05,8.72908659704133e-06,9.25532478058035e-06,5.24794896393591e-10,7.94117514589521e-11
0.11,-0.00305740717719358,-2.28081552087865e-05,-3.05852453963751e-06,0.00160868351853111,9.87341843336826e-06,7.93295802352437e-06,1.19356013099485e-05,6.17696335588472e-10,7.228639536256439e-11
0.12,-0.00353878677843941,-2.55609349041597e-05,-4.0824216494685e-06,0.00163027178819951,7.74628014411747e-06,6.97230711745984e-06,1.51807979666568e-05,7.13366249245838e-10,6.52792330642302e-11
0.13,-0.004070700674195,-2.800715652538e-05,-4.8530832764824e-06,0.00155441916048088,5.10168268930696e-06,5.9125214975828e-06,1.89868229053617e-05,8.10427982899512e-10,5.85103277478519e-11
0.14,-0.00463283272895466,-3.00581752624284e-05,-5.37544890900359e-06,0.00136371867485011,1.99001983520024e-06,4.81505621991051e-06,2.33228677186084e-05,9.07454079051351e-10,5.2080217374206795e-11
0.15,-0.00519976042241754,-3.16330125059111e-05,-5.668200703925e-06,0.00104554726102256,-1.52377160421022e-06,3.73356958880628e-06,2.81306775255716e-05,1.0029693601009201e-09,4.606804109443499e-11
0.16,-0.00574222101883387,-3.2660629561953e-05,-5.76019475355522e-06,0.000593472614657805,-5.36096409586545e-06,2.711271491466e-06,3.33253119734863e-05,1.0954566594202701e-09,4.05308366993214e-11
0.17,-0.00622875020497948,-3.30823268190893e-05,-5.68656685153495e-06,8.29992171999324e-06,-9.43011497623574e-06,1.77958310447708e-06,3.87973980047324e-05,1.1833674162300602e-09,3.5503958582716395e-11
0.18,-0.00662758747738746,-3.28542314566681e-05,-5.48494674547788e-06,-0.000701337328938721,-1.3628590968131e-05,9.58051680224316e-07,4.4416789819386e-05,1.2651390163849401e-09,3.1002503822709e-11
0.19,-0.00690871845499087,-3.19497744210835e-05,-5.19214679292794e-06,-0.00151890688426263,-1.78446647824791e-05,2.55331728697898e-07,5.00374688133918e-05,1.33922014675717e-09,2.7023582610991696e-11
0.2,-0.00704590948447547,-3.03619955618425e-05,-4.84158615241657e-06,-0.00242045474280007,-2.19602781712707e-05,-3.29051036987482e-07,5.55034416253648e-05,1.40410459185693e-09,2.3549231056214397e-11
0.21,-0.0070185858792372,-2.81054648354104e-05,-4.46158695043941e-06,-0.00337561623564535,-2.58545115568979e-05,-8.0248544098324e-07,6.06553327145804e-05,1.4583729214602602e-09,2.0549740999321297e-11
0.22,-0.00681341254222779,-2.5217576954989e-05,-4.074552420174e-06,-0.0043491071390999,-2.94077253834587e-05,-1.17694353096503e-06,6.53373233779567e-05,1.5007404997097101e-09,1.79871734998263e-11
0.23,-0.00642545429349623,-2.175897426622e-05,-3.69692573835553e-06,-0.00530260333715031,-3.25062507545101e-05,-1.46682300847375e-06,6.94040650289668e-05,1.53010929923311e-09,1.58188296531035e-11
0.24,-0.00585882173894977,-1.78128821522736e-05,-3.33974565115077e-06,-0.00619688636836316,-3.5047417351872e-05,-1.68717871483161e-06,7.27271928311955e-05,1.5456202336070802e-09,1.40004730301613e-11
0.25,-0.00512674489443542,-1.34832030712972e-05,-3.00956933588911e-06,-0.00699410992309188,-3.69446268390823e-05,-1.85246392209152e-06,7.5201086828912e-05,1.54670221734088e-09,1.2489130170174698e-11
0.26,-0.00425105822582822,-8.89130529688599e-06,-2.70952673951529e-06,-0.00766003096331476,-3.81321213458512e-05,-1.97580397236956e-06,7.67475703983227e-05,1.5331139882171502e-09,1.1245336489379698e-11
0.27,-0.00326112400848082,-4.17155253071084e-06,-2.44030047967056e-06,-0.00816604969914459,-3.85690687345666e-05,-2.06873757801156e-06,7.73192974875895e-05,1.5049749135682e-09,1.0234741597757499e-11
0.28,-0.00219226247561555,5.34260325385642e-07,-2.20088297593486e-06,-0.00849091525979751,-3.82425955085762e-05,-2.14129661325119e-06,7.69016567110542e-05,1.46278154532785e-09,9.42903705968091e-12
0.29,-0.0010837937477747,5.08328472497794e-06,-1.98903611111706e-06,-0.00862197761333496,-3.7169446659273e-05,-2.20226092799509e-06,7.55131068525648e-05,1.4074075485517402e-09,8.806217846301479e-12
0.3,2.31749482173117e-05,9.33843070007525e-06,-1.8014552922678e-06,-0.00855589924572052,-3.53960371430703e-05,-2.25942291400381e-06,7.32039489811458e-05,1.3400857333737201e-09,8.35023307436512e-12
0.31,0.00108806504560565,1.31751658903596e-05,-1.63370677517066e-06,-0.00829877964967081,-3.29967752925182e-05,-2.31972447445721e-06,7.00536292172591e-05,1.2623721759434402e-09,8.05011946463427e-12
0.32,0.00207308716847982,1.64878223622038e-05,-1.48005443319207e-06,-0.00786568859285191,-3.00706738207597e-05,-2.38917957535347e-06,6.61667474478364e-05,1.1760937102821102e-09,7.89874016849769e-12
0.33,0.00294529385912117,1.91949442890937e-05,-1.33331344711753e-06,-0.00727964696483694,-2.67364060956228e-05,-2.47255858933316e-06,6.16680158492365e-05,1.0832812971714702e-09,7.89127072594958e-12
0.34,0.00367828914113147,2.12432655177966e-05,-1.18486178913189e-06,-0.0065701333179285,-2.31260998145541e-05,-2.57287479324926e-06,5.66964628211199e-05,9.86092822492322e-10,8.02358216108228e-12
0.35,0.00425348676704147,2.2610001770146e-05,-1.02490846902964e-06,-0.00577122693628149,-1.9378273333514e-05,-2.69076776911171e-06,5.1399210027458e-05,8.86729657434383e-10,8.29066855717906e-12
0.36,0.00466084385479551,2.33032693358594e-05,-8.4306672568667e-07,-0.00491952191419747,-1.56303999202152e-05,-2.82391431585648e-06,4.59251613030542e-05,7.8735176340547e-10,8.685253567259199e-12
