# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-8.98394847872907e-05,-1.49040018640589e-05,-0.00492506134847221,-2.40562290402587e-05,-6.88159241626434e-07,-0.000428180347691388,8.649835182483231e-09,2.22602834705707e-10,2.4439567696364e-05
0.02,-8.02845485828464e-05,-1.54357528148016e-05,-0.00496737859758086,-4.6319815601821e-05,-1.56688428925581e-06,-0.000888319484875556,8.591134058538121e-09,2.40717591335573e-10,2.5463961638914e-05
0.03,-6.51953543158785e-05,-1.62128472054467e-05,-0.00501730685636303,-6.51465731105493e-05,-2.80600356782066e-06,-0.00140822305762077,8.49451021242109e-09,2.7073007052978303e-10,2.71564602709223e-05
0.04,-4.57489460587953e-05,-1.70822816238085e-05,-0.00504618496678848,-7.91755956410969e-05,-4.53574362633768e-06,-0.00200779494800009,8.36174101061304e-09,3.1237731571896703e-10,2.94952232722567e-05
0.05,-2.34477695959457e-05,-1.78502929158704e-05,-0.00501814057050194,-8.7438202355268e-05,-6.83142427851721e-06,-0.0026960565136339,8.195237130145361e-09,3.65301314855486e-10,3.24504555100253e-05
0.06,8.84421646574549e-09,-1.83005258035449e-05,-0.00489384086837864,-8.94313633627349e-05,-9.70305037178873e-06,-0.00346921929212434,7.99796883113768e-09,4.29058431203681e-10,3.59851609418607e-05
0.07,2.2867787221235e-05,-1.8214418733055e-05,-0.00463465741061934,-8.51495204739903e-05,-1.30906655549947e-05,-0.00430999119867454,7.77337652934617e-09,5.0313057445579e-10,4.00560734464607e-05
0.08,4.34665498963791e-05,-1.7392021999636e-05,-0.0042068494270087,-7.50728204016649e-05,-1.6865794887198e-05,-0.00518817451942311,7.52526932295505e-09,5.86937466412856e-10,4.46147369455147e-05
0.09,6.03657486384726e-05,-1.56714852137801e-05,-0.00358537652953033,-6.01139912680333e-05,-2.08387580798754e-05,-0.00606248938700478,7.257715554856441e-09,6.798492871173021e-10,4.96087024260526e-05
0.1,7.24582040155978e-05,-1.29456374363517e-05,-0.00275699651492628,-4.15299698102191e-05,-2.47711411067321e-05,-0.00688344214752946,6.9749297216037006e-09,7.811989603631051e-10,5.49828055817006e-05
0.11,7.90455995862263e-05,-9.17440098015902e-06,-0.00172238136219992,-2.08075287189369e-05,-2.83923180187622e-05,-0.00759696573500908,6.681160065335411e-09,8.90293355823271e-10,6.06804859357558e-05
0.12,7.9877181290171e-05,-4.39218451343907e-06,-0.000497084881303129,4.65744148000655e-07,-3.14186483739937e-05,-0.00814849760810159,6.38058100847424e-09,1.00642275044875e-09,6.66451066484575e-05
0.13,7.51487981782467e-05,1.29015717853526e-06,0.00088869278444524,2.07328811102716e-05,-3.35738514048174e-05,-0.00848713491224321,6.07719422676752e-09,1.1288680036980801e-09,7.28212338837426e-05
0.14,6.54644165311125e-05,7.68877853024045e-06,0.0023914877467149,3.85895296163709e-05,-3.46090702115809e-05,-0.00856951702711156,5.77474162777177e-09,1.25690505619722e-09,7.91558357206424e-05
0.15,5.17656607521068e-05,1.45553148491615e-05,0.00395694750513266,5.2886191087536e-05,-3.4321266919338e-05,-0.00836312917744396,5.47663284084959e-09,1.3898065533066701e-09,8.55993631969901e-05
0.16,3.52376095428596e-05,2.15896679846381e-05,0.00552296730376937,6.28028657202954e-05,-3.25688018023225e-05,-0.0078487905007698,5.1858890689764905e-09,1.5268406145258802e-09,9.21066801634798e-05
0.17,1.72007680173064e-05,2.84561891979985e-05,0.00702330759669107,6.78913685492342e-05,-2.92833109633381e-05,-0.00702217662351133,4.90510434387314e-09,1.6672670046478502e-09,9.86378141295275e-05
0.18,-1.00026990026895e-06,3.48022151000633e-05,0.00839139434512953,6.80839472082916e-05,-2.44772756411446e-05,-0.00589431997708006,4.63642440733483e-09,1.8103311986836401e-09,0.000105158507047677
0.19,-1.81014471394953e-05,4.02778600220694e-05,0.00956401532538199,6.36700892623623e-05,-1.82469462034963e-05,-0.00449112053251438,4.381542655221131e-09,1.9552570537107103e-09,0.000111640552781714
0.2,-3.30085842318106e-05,4.45559723580556e-05,0.0104846624527154,5.52462236907635e-05,-1.07705300382461e-05,-0.0028519764701001,4.141711865078411e-09,2.1012389900765704e-09,0.000118061916533385
0.21,-4.48650408342154e-05,4.73512046296771e-05,0.0111063256315973,4.36451363604961e-05,-2.30177004989133e-06,-0.00102770198193767,3.91776981698211e-09,2.24743472524413e-09,0.000124406640398753
0.22,-5.3093923453088e-05,4.84372128465136e-05,0.0113936097395418,2.98531694843072e-05,6.8407669632424e-06,0.00092206571308674,3.71017643590114e-09,2.39295968098385e-09,0.000130664548076233
0.23,-5.74138115969189e-05,4.76610830603183e-05,0.0113241146913193,1.49236050678078e-05,1.62881965837554e-05,0.00293175656817453,3.5190597503064005e-09,2.53688418643362e-09,0.000136830770117188
0.24,-5.78295475360403e-05,4.49541830192233e-05,0.0108890815644645,-1.05906535001208e-07,2.56389536984117e-05,0.00493285122840996,3.3442677844173e-09,2.6782345176751303e-09,0.000142905118559186
0.25,-5.46017796761018e-05,4.03387626151246e-05,0.0100933596063542,-1.42852768968317e-05,3.4478730786982e-05,0.00685678042220109,3.18542347981672e-09,2.8159986460005604e-09,0.000148891345901463
0.26,-4.82004839231975e-05,3.39297900347545e-05,0.00895478590608779,-2.68084541980946e-05,4.24017294838627e-05,0.00863760019872699,3.04197986692176e-09,2.9491373150252002e-09,0.000154796327816917
0.27,-3.92485153731834e-05,2.59317217565643e-05,0.0075030903227133,-3.7051680151583e-05,4.90320971147272e-05,0.0102143451616098,2.9132729610542303e-09,3.07660074072791e-09,0.000160629211471295
0.28,-2.84613573516147e-05,1.66301684490364e-05,0.00577844388621339,-4.4592839740853e-05,5.40443183103354e-05,0.0115330029880436,2.7985702184497104e-09,3.19735084427218e-09,0.00016640057166834
0.29,-1.65887102407567e-05,6.37873019167538e-06,0.00382976210260903,-4.92130828068452e-05,5.7181293339965e-05,0.0125480889958213,2.6971128268051902e-09,3.3103885068893203e-09,0.000172121615209633
0.3,-4.36253617899479e-06,-4.41838401678013e-06,0.00171285932760337,-5.08833850166594e-05,5.826888353638e-05,0.0132238263317805,2.6081505926666403e-09,3.4147849058959502e-09,0.000177803469929249
0.31,7.5451745537957e-06,-1.53269947780718e-05,-0.000511469027285425,-4.97397128487219e-05,5.72258578985802e-05,0.0135349543212751,2.5309686933205604e-09,3.5097155811555303e-09,0.000183456589044876
0.32,1.85531313456927e-05,-2.59055850355297e-05,-0.0027793791617217,-4.60509215082173e-05,5.40684398470147e-05,0.0134671951632154,2.46490605448652e-09,3.5944955235233103e-09,0.000189090294088744
0.33,2.81896116959833e-05,-3.57284350229521e-05,-0.00502588546322985,-4.01834712683128e-05,4.89090199515533e-05,0.0130174093615693,2.40936557074164e-09,3.6686133018107505e-09,0.000194712471176178
0.34,3.61003440649436e-05,-4.44076552723126e-05,-0.00718671124063525,-3.25665770372511e-05,4.1949043295508e-05,0.0121934657825753,2.3638167815305202e-09,3.73176208019296e-09,0.000200329426247108
0.35,4.20471957054674e-05,-5.16125454561707e-05,-0.00920005932707829,-2.36606269784422e-05,3.34665578959169e-05,0.0110138460180773,2.32779193570686e-09,3.78386534586605e-09,0.000205945895731676
0.36,4.5900006792517e-05,-5.70848946111547e-05,-0.0110082786182091,-1.39307569188234e-05,2.37993716053275e-05,0.00950699754247225,2.3008766118844502e-09,3.8250952815751e-09,0.000211565200408693
0.37,4.76240927590357e-05,-6.06491736160872e-05,-0.0125593994467965,-3.82648607941873e-06,1.33251538101131e-05,0.00771044798404887,2.28269620683722e-09,3.85588198437746e-09,0.000217189522578915
0.38,4.72657878588961e-05,-6.22170244743839e-05,-0.0138085061564672,6.23257252207071e-06,2.44008414126358e-06,0.00566969472346776,2.2728996621650402e-09,3.876912145062541e-09,0.00022282028053051
0.39,4.49379986674082e-05,-6.17859754026885e-05,-0.0147189115545366,1.58656249124735e-05,-8.46224490508863e-06,0.00343688996727969,2.2711417780952803e-09,3.88911634529533e-09,0.000228458569997457
0.4,4.08071700112621e-05,-5.94328457622709e-05,-0.0152630969892514,2.4735404790888e-05,-1.90100399499527e-05,0.00106935047514891,2.27706537449713e-09,3.8936447743006805e-09,0.000234105640141995
0.41,3.50824363081178e-05,-5.53027858257935e-05,-0.0154233848428759,3.2550070359973e-05,-2.88692527886476e-05,-0.00137206836975416,2.29028441775234e-09,3.89183187666842e-09,0.000239763371622734
0.42,2.80071293543733e-05,-4.95952634581599e-05,-0.0151923176554608,3.90636629069792e-05,-3.77552779816531e-05,-0.00382468439711532,2.3103690543827e-09,3.88515117295619e-09,0.000245434726481963
