# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,9.465817772532391e-07,-3.0836021516122796e-12,-3.13648622248776e-12,-3.0836021516122796e-12,1.70698430588979e-11,1.71904916309897e-11,1.70698430588979e-11,-6.42831969735508e-09,2.0046583388642603e-11,-6.42831969735508e-09,0.0,0.0,0.0,0.0,-0.0,0.0
0.022,0.0,2.6874059870021698e-05,7.24677124404437e-11,4.49382419588132e-11,7.24677124404437e-11,-5.85013370193003e-11,1.7182941470104598e-11,-5.85013370193003e-11,-9.18175628429752e-07,9.69147866374942e-11,-9.18175628429752e-07,-0.0,-0.0,-0.0,2.366473964876265e-11,-3.3034594100848664e-15,2.366473964876265e-11
0.042,0.0,6.63365273484074e-05,1.73092993188772e-10,3.3169147049125105e-11,1.73092993188772e-10,-6.25718983952508e-10,-3.35527312790735e-11,-6.25718983952508e-10,-3.85828046045171e-06,1.0718492739303799e-10,-3.85828046045171e-06,-0.0,-0.0,-0.0,4.117222225357919e-10,-1.907058588603512e-14,4.117222225357919e-10
0.062,0.0,0.000119323297914122,2.93052694095321e-10,-3.1385685682994e-11,2.93052694095321e-10,-1.8772466565140098e-09,-8.08888504082197e-11,-1.8772466565140098e-09,-9.48636072112677e-06,8.62074125573753e-11,-9.48636072112677e-06,-0.0,-0.0,-0.0,2.5200233427180706e-09,-4.7971305151496807e-14,2.5200233427180706e-09
0.082,0.0,0.00018582001017773602,7.50869357271487e-10,-4.86469376862923e-11,7.50869357271487e-10,-4.22624825522567e-09,-3.94996692447407e-11,-4.22624825522567e-09,-1.83900110473496e-05,8.252704896228091e-11,-1.83900110473496e-05,-0.0,-0.0,-0.0,9.665111555693593e-09,-8.81905481217637e-14,9.665111555693593e-09
0.102,0.0,0.000265808631207581,2.00493479526877e-09,-2.15922691523113e-11,2.00493479526877e-09,-8.57203396053426e-09,2.19236758784949e-11,-8.57203396053426e-09,-3.1054941583811e-05,6.42312670838319e-11,-3.1054941583811e-05,-0.0,-0.0,-0.0,2.826758818077175e-08,-1.4294127961141718e-13,2.826758818077175e-08
0.122,0.0,0.000359267460985997,4.52994506273826e-09,1.42977632809026e-11,4.52994506273826e-09,-1.58766746003297e-08,7.667658025185508e-11,-1.58766746003297e-08,-4.78611654387219e-05,2.98211003258027e-11,-4.78611654387219e-05,-0.0,-0.0,-0.0,6.911985265535061e-08,-1.91133404926828e-13,6.911985265535061e-08
0.142,0.0,0.00046617113777348894,8.80015305836423e-09,4.5201617503618795e-11,8.80015305836423e-09,-2.69507256662246e-08,8.465553514874421e-11,-2.69507256662246e-08,-6.9100011838312e-05,-2.15034915105982e-11,-6.9100011838312e-05,-0.0,-0.0,-0.0,1.4872373051088724e-07,-1.9230477131159206e-13,1.4872373051088724e-07
0.162,0.0,0.000586490644377564,1.53023009190912e-08,6.16175055339587e-11,1.53023009190912e-08,-4.20104454620155e-08,8.35824447807842e-11,-4.20104454620155e-08,-9.497571910425759e-05,-8.79659471514497e-11,-9.497571910425759e-05,-0.0,-0.0,-0.0,2.906471188476223e-07,-9.506822022974967e-14,2.906471188476223e-07
0.182,0.0,0.0007201933153250019,2.45179682129422e-08,8.127857554220729e-11,2.45179682129422e-08,-6.07884747812643e-08,8.935357715474079e-11,-6.07884747812643e-08,-0.00012561675978766,-1.46371991617651e-10,-0.00012561675978766,-0.0,-0.0,-0.0,5.268501379174157e-07,1.6576742542351432e-13,5.268501379174157e-07
