# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.0005495461569721981,-2.37028992649964e-05,2.7504307483971197e-05,0.000407244753934663,-8.56257356509005e-06,2.26472114543249e-06,4.6784926825021495e-07,6.35145099624144e-10,7.61615892039402e-10
0.02,0.000485947869738109,-2.1405814703690303e-05,2.7402937200727397e-05,0.000808612350219382,-1.6814445898925197e-05,4.566720217771521e-06,8.89999265030319e-07,7.40934494016605e-10,7.71775900774414e-10
0.03,0.000382475639078687,-1.7696576828852697e-05,2.72106934298726e-05,0.00119874665277455,-2.44637528917083e-05,6.9398173445028e-06,1.5832811520268401e-06,9.116440370060529e-10,7.885829017095729e-10
0.04,0.000242613604772005,-1.27449557967343e-05,2.6893689671750303e-05,0.00157327498752067,-3.1254747195224295e-05,9.410920660010581e-06,2.5340555475786398e-06,1.13929312049809e-09,8.11835971829425e-10
0.05,7.066737210777479e-05,-6.7713141879227405e-06,2.6406698852928897e-05,0.0019291598975711899,-3.6982118157894e-05,1.19966219193447e-05,3.7266517878775003e-06,1.41352775927599e-09,8.412326817849761e-10
0.06,-0.00012873216972988702,-3.11890109552944e-08,2.5695578604189897e-05,0.0022649002988347103,-4.15012425388385e-05,1.46999633047138e-05,5.14634533518494e-06,1.7223541050219e-09,8.76351680964034e-10
0.07,-0.00035116791294830603,7.202048813098171e-06,2.47005996098004e-05,0.0025805585929805698,-4.4733653294768895e-05,1.75075864159973e-05,6.78260155489031e-06,2.05296924420284e-09,9.166352031972861e-10
0.08,-0.000592960006305723,1.4654965092068699e-05,2.3360694552040803e-05,0.00287760913148225,-4.66674699778073e-05,2.03875555278154e-05,8.63223588266811e-06,2.3926207559793e-09,9.61374470353505e-10
0.09,-0.000851617304970344,2.20707940536868e-05,2.1618530223511603e-05,0.0031586224669563,-4.7352999575437704e-05,2.32881963973802e-05,1.0702147922886099e-05,2.72942651895167e-09,1.00970094046784e-09
0.1,-0.0011261684312093,2.9223828977361895e-05,1.94261628721125e-05,0.00342681694132855,-4.68941410814106e-05,2.6138289940360897e-05,1.30113296848288e-05,3.0530926478613397e-09,1.06058600494021e-09
