# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,9.38776879680298e-06,5.2353030423310604e-05,-0.00328111960061111,2.35420989122955e-06,1.34654948896286e-06,-0.000197691492987666,9.36725071941908e-11,2.74265299003031e-09,1.0804827759914098e-05
0.02,8.070283106216029e-06,5.22385670909149e-05,-0.00327778430700069,4.45192386014988e-06,2.57336402651784e-06,-0.000397285495935734,8.494909547104771e-11,2.73549009412499e-09,1.09017057285009e-05
0.03,5.99347139286222e-06,5.21559355669747e-05,-0.00327148763873524,6.0606925139555e-06,3.5895952829952103e-06,-0.000600594995410076,7.2653693085774e-11,2.7331268091621203e-09,1.10633457189091e-05
0.04,3.32007903884707e-06,5.22479220236597e-05,-0.00326116358261933,6.99220039911133e-06,4.357882096379901e-06,-0.000809263001101609,5.991379124552429e-11,2.7488364921563698e-09,1.1290094517554599e-05
0.05,2.49513855530665e-07,5.26783713187407e-05,-0.0032453943861709,7.11522331223431e-06,4.91095829591156e-06,-0.00102469854578922,5.06886599470644e-11,2.7991283161793003e-09,1.15825918315321e-05
0.06,-3.00405972406563e-06,5.36022719467682e-05,-0.00322247051656192,6.35970544148353e-06,5.35764371632667e-06,-0.0012480334371015099,4.94702281281885e-11,2.90190790404639e-09,1.1941903690234199e-05
0.07,-6.2320438174344904e-06,5.5135143303569105e-05,-0.00319044978039353,4.71197860316294e-06,5.87703740451346e-06,-0.00148010010561864,6.10411124990889e-11,3.07442359575916e-09,1.23696661238654e-05
0.08,-9.246554384573891e-06,5.732612878458721e-05,-0.00314720690559072,2.20291571885521e-06,6.70134541687988e-06,-0.00172142676075231,9.0351605651262e-11,3.3311930718234198e-09,1.28682213992321e-05
0.09,-1.18879764426673e-05,6.0138773367740005e-05,-0.00309046727043095,-1.10778066107988e-06,8.089346376432221e-06,-0.0019722424928529303,1.42551161894475e-10,3.6821095869742894e-09,1.34407284002197e-05
0.1,-1.40242057069329e-05,6.34425025234172e-05,-0.0030178222279488897,-5.1472007644195e-06,1.0293818323050501e-05,-0.00223248261804714,2.23172021419611e-10,4.13091382210177e-09,1.4091229639385001e-05
0.11,-1.5542734060894e-05,6.701644398054879e-05,-0.0029267280312794603,-9.840880502840961e-06,1.3527144886806301e-05,-0.0025017839439083604,3.38419511158869e-10,4.67418741258668e-09,1.48246598710746e-05
0.12,-1.63384191692839e-05,7.056562284174621e-05,-0.0028144949712300897,-1.51175171334594e-05,1.79296672063848e-05,-0.00277946096875616,4.9548326523166e-10,5.3009800931752794e-09,1.56467852199184e-05
0.13,-1.6300910525512e-05,7.374792273556429e-05,-0.00267827719820628,-2.09053778856987e-05,2.35451009509013e-05,-0.00306445723586639,7.02754508504607e-10,5.9931278865988904e-09,1.6564066900885598e-05
0.14,-1.53060246937629e-05,7.62087540464533e-05,-0.0025150760986144102,-2.7121019037914898e-05,3.0306523196244298e-05,-0.00335527075840955,9.69824065581023e-10,6.7262595415573e-09,1.7583449644059698e-05
0.15,-1.32147587077545e-05,7.76192940333154e-05,-0.00232177050348013,-3.36529228027206e-05,3.80351532317944e-05,-0.00364985796288471,1.30714906087004e-09,7.471427687596359e-09,1.87120814200633e-05
0.16,-9.88216521827462e-06,7.77136039640457e-05,-0.0020951851767221103,-4.0344244253365e-05,4.6452566410309004e-05,-0.003945526147261879,1.7253152337764598e-09,8.19724516718472e-09,1.99569775034832e-05
0.17,-5.17622025346102e-06,7.63199601410696e-05,-0.00183220504514528,-4.69796881273661e-05,5.5205291955358704e-05,-0.0042388291391829,2.23388435265693e-09,8.872360575810849e-09,2.13246477986419e-05
0.18,9.95535563497382e-07,7.3382358085714e-05,-0.0015299369075643,-5.32813776087274e-05,6.38991685151067e-05,-0.00452548386815382,2.83989629094198e-09,9.46807421514195e-09,2.28207111820479e-05
