# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.0301814155925731,-0.00140645861161937,-0.0072372866460668,0.0086289712255674,-0.00022046143904835898,-0.00035470608164964103,0.0009853769915832869,2.0267290723055697e-06,5.2504134401696e-05
0.02,0.028069542152008,-0.00135493987357705,-0.007230688038725259,0.0170412350737758,-0.000434744294489507,-0.000712003880210925,0.00107830288946304,2.0248646626001802e-06,5.27897990388e-05
0.03,0.0246059570597717,-0.00127118337615207,-0.007218736146474009,0.0250257784485675,-0.000636972642037668,-0.00107438194347714,0.00123174270978412,2.0216413225098097e-06,5.32644481128802e-05
0.04,0.0198731074521366,-0.00115821345835774,-0.00720003833285047,0.0323827434279183,-0.000821852997787576,-0.00144412936962296,0.00144358247172255,2.01690076509343e-06,5.39260616307238e-05
0.05,0.0139828063478102,-0.00102000100318671,-0.007172717848036591,0.0389284381990268,-0.0009849105521060131,-0.00182325236520333,0.00171094217397581,2.0104508421516602e-06,5.47721305147622e-05
0.06,0.0070728545181288705,-0.000861227709841487,-0.0071344770602309,0.0444997133934509,-0.0011226653650036,-0.00221340783600835,0.00203024976313389,2.00209068997748e-06,5.57999371714641e-05
0.07,-0.000696990480634113,-0.0006870190499613981,-0.00708266639160365,0.0489575629906425,-0.00123273772297135,-0.0026158558622098897,0.0023973287697128197,1.99163746864646e-06,5.700686510660961e-05
0.08,-0.009149501575822441,-0.000502667727425086,-0.00701435212573629,0.0521898603019476,-0.0013138784472485,-0.00303143028836508,0.00280749489742279,1.9789514183388197e-06,5.8390705337038296e-05
0.09,-0.0180947222376438,-0.00031336926062835297,-0.00692637706118143,0.0541131934504001,-0.00136592672717222,-0.00346052411237488,0.0032556566782579103,1.96395611751017e-06,5.994992632598821e-05
0.1,-0.027334764329356,-0.00012398900386808702,-0.00681540970574432,0.0546738162023764,-0.0013897043158209099,-0.0039030842379885397,0.00373641551907267,1.94665135849147e-06,6.16838760259883e-05
0.11,-0.0366684907371758,6.112417050870121e-05,-0.006677980143697661,0.0538477744777971,-0.0013868600272208,-0.0043586087722908605,0.00424416102915405,1.92711689932326e-06,6.35928892295112e-05
0.12,-0.0458959419398201,0.000238267695765827,-0.00651050356954685,0.0516403028591424,-0.00135968191808818,-0.0048261396300274895,0.00477315836592729,1.9055064132215e-06,6.56782804576043e-05
0.13,-0.0548224038787243,0.000404454859280388,-0.006309295406903229,0.0480846067803377,-0.00131089602439034,-0.0053042438655583795,0.0053176253762616706,1.88203211995791e-06,6.79422115168839e-05
0.14,-0.0632620542296357,0.000557426328395366,-0.00607058453423172,0.0432401541761065,-0.00124346998481146,-0.00579097887582165,0.0058717984385268296,1.8569417147153598e-06,7.0387432927466e-05
0.15,-0.0710411611602733,0.000695611263988084,-0.00579053305580292,0.0371905960952736,-0.00116043748177052,-0.00628383925652514,0.00642998701692171,1.830490179685e-06,7.30169088721927e-05
0.16,-0.0780008392774486,0.000818049760434135,-0.0054652719857017605,0.0300414213307568,-0.00106475553436321,-0.0067796863815916,0.00698661792355842,1.8029097585034198e-06,7.5833345310435e-05
0.17,-0.0839993891753063,0.000924290860536408,-0.00509096195720553,0.0219174286722956,-0.000959201811465254,-0.0072746653524793,0.00753627106142973,1.77438170998936e-06,7.88386496402767e-05
0.18,-0.0889142585443116,0.0010142811025837,-0.004663886560668179,0.0129600756549675,-0.000846313911265313,-0.0077641174147537,0.00807370893346717,1.7450133914596e-06,8.2033357080863e-05
0.19,-0.0926436642940014,0.00108825750194188,-0.00418058322406024,0.00332473841675876,-0.00072836760194858,-0.00824249884089215,0.00859390241935951,1.7148237541011102e-06,8.54160632354024e-05
0.2,-0.0951079079343201,0.00114665629738136,-0.0036380128947601795,-0.0068221031580281205,-0.00060738689924266,-0.00870331924686882,0.00909205524314189,1.68373950969594e-06,8.898290373535849e-05
0.21,-0.096250402896831,0.00119004511823473,-0.0030337654928494604,-0.0173057548861134,-0.00048517600180660703,-0.00913911304596516,0.00956362920998054,1.65160313616336e-06,9.27271203325348e-05
0.22,-0.0960384155383264,0.00121908197906539,-0.00236629360631903,-0.0279462783603359,-0.000363361768505565,-0.009541457067691,0.0100043717333056,1.61819264649348e-06,9.66387484058968e-05
0.23,-0.0944635044556915,0.0012345002507898198,-0.00163516265241175,-0.0385615456111392,-0.000243435654084032,-0.00990104524857459,0.0104103464739704,1.5832517868794501e-06,0.000100704453914164
0.24,-0.0915416284600481,0.00123711502508347,-0.000841302196300658,-0.0489703727775384,-0.00012678567438611298,-0.0102078278537186,0.0107779671510886,1.54652819251682e-06,0.00010490753887665401
0.25,-0.0873128845640366,0.00122784351698639,1.27592976297782e-05,-0.0589957119550422,-1.4711731617893301e-05,-0.0104512181766424,0.0111040338399751,1.50781613725269e-06,0.00010922812417545699
0.26,-0.0818408352601947,0.00120773062342971,0.000922695001731713,-0.0684678618278627,9.157894370853571e-05,-0.010620364472991,0.0113857704193656,1.46699996170068e-06,0.00011364350760538899
0.27,-0.0752113898704302,0.00117797057873094,0.00188223367307764,-0.0772276385821048,0.00019099587944342098,-0.010704479475754,0.01162086132721,1.42409411032006e-06,0.000118128684446905
0.28,-0.0675312174932953,0.00113991674555367,0.0028830829382096197,-0.0851294316712875,0.000282605336058559,-0.0106932147144507,0.0118074854728032,1.3792759627624399e-06,0.00012265700815794099
0.29,-0.05892568784035,0.00109507371405091,0.00391493417697639,-0.0920440566544476,0.000365679962103834,-0.0105770624997946,0.0119443450528655,1.33290827388951e-06,0.00012720096073462
0.3,-0.0495363591138271,0.00104506869670108,0.0049655564296389705,-0.0978613113295056,0.000439750364973293,-0.0103477652532826,0.0120306871293845,1.28554896431864e-06,0.000131732996392973
0.31,-0.0395180566842032,0.000991602282718403,0.006020981138833,-0.102492142738725,0.000504650408323867,-0.00999871016345671,0.0120663161272711,1.23794712171379e-06,0.000136226418806995
0.32,-0.0290356101928855,0.0009363815335759099,0.007065773625702491,-0.10587034147950598,0.000560548731681555,-0.00952528710346378,0.0120515958642604,1.19102525701177e-06,0.000140656251333086
0.33,-0.0182603374993702,0.0008810407961664901,0.0080833814874188,-0.10795369545082599,0.000607960605134005,-0.00892518936005752,0.0119874402870807,1.1458489819045901e-06,0.000145000061384029
0.34,-0.00736637967979794,0.000827057220432888,0.00905654506629459,-0.108724556355191,0.00064773650079494,-0.008198639862094459,0.01187529270422,1.10358622033225e-06,0.000149238704126149
0.35,0.00347299928985809,0.000775668661236168,0.00996775118287906,-0.108189797114118,0.000681026342289149,-0.00734852998220943,0.0117170939236613,1.06545875091565e-06,0.000153356956543218
0.36,0.014089032141975,0.000727801422540378,0.0107997087432438,-0.10638016473232001,0.000709220938157687,-0.00638046324100855,0.0115152402751731,1.03268924977307e-06,0.00015734402010875702
0.37,0.0243208758133221,0.0006840142890167679,0.0115358237891279,-0.10334905892325001,0.000733874314085251,-0.005302701928812071,0.0112725329806484,1.00644705645321e-06,0.000161193878239635
0.38,0.0340187463925737,0.0006444636978758321,0.0121606520834235,-0.0991707900382359,0.000756612314911576,-0.004126020318531379,0.0109921207029301,9.877956529556459e-07,0.000164905502763006
0.39,0.0430466772119613,0.000608892989872154,0.0126603093033349,-0.0939383889420482,0.000779033838200855,-0.0028634733442443,0.0106774373360183,9.77644394177407e-07,0.000168482911249306
0.4,0.0512848355242944,0.000576646700777666,0.0130228221258176,-0.0877610553579721,0.000802611381617989,-0.00153009399768735,0.010332137192299,9.76706447420504e-07,0.00017193508376244299
0.41,0.0586313548571985,0.000546709030333175,0.0132384076263082,-0.0807613393227335,0.000828597322568022,-0.00014253597612381,0.00996002970159244,9.85464286814736e-07,0.000175275752984785
0.42,0.0650036619783062,0.000517764102523346,0.013299673114722,-0.0730721527498352,0.000857941647562282,0.0012813198647946302,0.00956501557808513,1.0041435364836901e-06,0.000178523085554375
0.43,0.0703392978960533,0.00048827447487965596,0.0132017334315946,-0.0648337051926378,0.0008912258809125631,0.00272277599372383,0.00915102615751559,1.03269553362738e-06,0.000181699274710882
0.44,0.0745962502151215,0.000456573554518142,0.0129422474712105,-0.056190450609302,0.0009286168836058539,0.00416272692126473,0.00872196728583343,1.07078872720318e-06,0.000184830065027077
0.45,0.077752828599531,0.000420967067597507,0.0125213799823132,-0.0472881214063093,0.0009698431151364679,0.0055820491401929,0.008281668781365891,1.11780893997925e-06,0.000187944229265001
0.46,0.0798071256260391,0.000379838414272975,0.0119416982778825,-0.0382709135436546,0.00101419492405861,0.00696195789539807,0.00783384012415627,1.17286856494365e-06,0.000191073015497277
0.47,0.0807761119045765,0.000331752539314699,0.0112080161910858,-0.0292788732756772,0.00106054944592111,0.00828431970402176,0.007382032674713821,1.2348248745853201e-06,0.000194249579898085
0.48,0.0806944173345982,0.000275552814461373,0.0103271993423258,-0.020445523292716,0.0011074196831174401,0.00953191329902907,0.00692960841168329,1.30230770811352e-06,0.00019750841739634198
0.49,0.07961285037533,0.000210445375015423,0.009307946493354459,-0.0118957545037505,0.00115302624556462,0.0106886356071308,0.00647971492009819,1.37375677882623e-06,0.000200884799065175
0.5,0.0775967050369862,0.00013606545349552,0.00816056147424381,-0.00374400004755936,0.00119538898653126,0.0117396532518487,0.00603526616895317,1.44746863675518e-06,0.000204414222048554
