# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,-1.6399702251612098e-11,-1.64402882892842e-11,-1.6399702251612098e-11,-6.73074832937722e-12,-6.723749276265829e-12,-6.73074832937722e-12,2.7140962545687e-09,5.55671691047429e-11,2.7140962545687e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.022,0.0,-6.67208539664262e-06,1.1910495247483602e-12,-1.54070450197036e-11,1.1910495247483602e-12,2.9212354861234395e-11,2.8648482936625702e-11,2.9212354861234395e-11,2.65988375108348e-07,-3.23847340918198e-11,2.65988375108348e-07,-0.0,0.0,-0.0,1.9794618711985784e-12,-2.57802559152503e-17,1.9794618711985784e-12
0.042,0.0,-1.00055141237505e-05,1.1096452293521899e-10,1.9671222733828197e-11,1.1096452293521899e-10,2.92119308220819e-11,-2.67592336385151e-12,2.92119308220819e-11,7.94513668732554e-07,-6.58612851432634e-11,7.94513668732554e-07,-0.0,-0.0,-0.0,1.7667499027353993e-11,-1.4596350628562027e-15,1.7667499027353993e-11
0.062,0.0,-1.03902287571547e-05,2.4200313072882297e-10,5.61556554254656e-11,2.4200313072882297e-10,1.36076862852239e-10,5.088673313865e-12,1.36076862852239e-10,1.37788491461085e-06,-9.70243530165972e-11,1.37788491461085e-06,-0.0,-0.0,-0.0,5.518380225648112e-11,-4.4701757071111515e-15,5.518380225648112e-11
0.082,0.0,-7.82618856938883e-06,3.7105674409822397e-10,5.6459194491116004e-11,3.7105674409822397e-10,3.23334421519936e-10,1.88402024609537e-11,3.23334421519936e-10,1.82242434192253e-06,-8.79817992546923e-11,1.82242434192253e-06,-0.0,-0.0,-0.0,1.0335583039132681e-10,-7.17945338868406e-15,1.0335583039132681e-10
0.102,0.0,-2.31361955588098e-06,5.84775921617238e-10,9.94146910206167e-11,5.84775921617238e-10,5.49350220552383e-10,2.7506150722328498e-11,5.49350220552383e-10,1.94371321273328e-06,-6.88180236086401e-11,1.94371321273328e-06,-0.0,-0.0,-0.0,1.342259594024387e-10,-8.471445337539813e-15,1.342259594024387e-10
0.122,0.0,6.1469855836460995e-06,7.43921017681373e-10,9.63613123604349e-11,7.43921017681373e-10,7.46391392548464e-10,3.45518442891387e-11,7.46391392548464e-10,1.5735026843255e-06,-3.30449797522644e-11,1.5735026843255e-06,-0.0,-0.0,-0.0,1.2313827303776574e-10,-8.200538548256581e-15,1.2313827303776574e-10
0.142,0.0,1.75548674856199e-05,7.64615198113552e-10,9.027814732162109e-11,7.64615198113552e-10,8.31220062714017e-10,3.5747199977670704e-11,8.31220062714017e-10,5.66972306739983e-07,2.8275073759694298e-11,5.66972306739983e-07,-0.0,-0.0,-0.0,8.429160805045544e-11,-8.470666889513509e-15,8.429160805045544e-11
0.162,0.0,3.19090001849905e-05,4.30525383462425e-10,8.252495819488781e-11,4.30525383462425e-10,6.82055998126053e-10,1.88888559248224e-11,6.82055998126053e-10,-1.19915378707503e-06,5.639237728608e-11,-1.19915378707503e-06,-0.0,-0.0,-0.0,1.1843536989537497e-10,-1.2233038370012476e-14,1.1843536989537497e-10
0.182,0.0,4.92080911995455e-05,-4.3362772442333696e-10,7.02350409499382e-11,-4.3362772442333696e-10,1.8176644510854798e-10,2.57321819260704e-12,1.8176644510854798e-10,-3.82513235865508e-06,8.143188521932409e-11,-3.82513235865508e-06,-0.0,-0.0,-0.0,4.694982936971583e-10,-2.2067537902889922e-14,4.694982936971583e-10
