# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.00154935398171969,-1.08815747796326e-06,5.06530536651567e-06,8.13546343693689e-05,-4.5835830067713795e-07,6.29958934617516e-07,2.40711633720403e-06,1.394179028647e-12,2.60541667153569e-11
0.02,-0.00154283500144269,-9.879336270511428e-07,5.00382954886128e-06,0.00017303874682435,-9.09927860303494e-07,1.27231936040141e-06,2.41028224957921e-06,1.80398156241492e-12,2.6657106708909503e-11
0.03,-0.00153924597160276,-8.213926155685171e-07,4.8883566812016e-06,0.000283904277715508,-1.3478896264840299e-06,1.9361808451155104e-06,2.4498798000005e-06,2.49149227409375e-12,2.76448273076405e-11
0.04,-0.00154873437449946,-5.89250335442418e-07,4.7014498713811095e-06,0.000419974570461369,-1.7653365789201098e-06,2.6244700251924e-06,2.57495680259043e-06,3.4636291946923498e-12,2.8991473806242802e-11
0.05,-0.00158403604470934,-2.92474206446561e-07,4.4225957958472395e-06,0.000583336850229042,-2.15516982496718e-06,3.33187801122495e-06,2.84945207177354e-06,4.73029813588561e-12,3.066076465513e-11
0.06,-0.00165914517767168,6.76892862769308e-08,4.03151323018699e-06,0.000771377091872307,-2.50994484944314e-06,4.04388370176298e-06,3.34778533845657e-06,6.30440498672284e-12,3.2606094318557004e-11
0.07,-0.00178779397941175,4.8960619940243e-07,3.5116475987702905e-06,0.0009764303591787869,-2.8216835833052502e-06,4.73700665995913e-06,4.14962355914693e-06,8.20161247478766e-12,3.47709009544463e-11
0.08,-0.0019818651941187603,9.71036310284611e-07,2.8534160247445498e-06,0.00118588812443104,-3.08168741967963e-06,5.3802824915252605e-06,5.33412029132594e-06,1.04397088685029e-11,3.7089422698882205e-11
0.09,-0.00224986852300696,1.50879015139976e-06,2.05679748358763e-06,0.0013827688893852,-3.2804019790741e-06,5.93780499343724e-06,6.97395817226911e-06,1.3037484865274198e-11,3.94879440285806e-11
0.1,-0.00259560997536585,2.09827078103572e-06,1.13294177124898e-06,0.00154672211677751,-3.40739274530722e-06,6.372051117103241e-06,9.1295404507474e-06,1.60130655913205e-11,4.1886592496017395e-11
0.11,-0.0030171714055784197,2.7329351360504003e-06,1.04588510330876e-07,0.0016554006824330198,-3.45148913479151e-06,6.64761249616021e-06,1.1843674710039802e-05,1.9381711705442698e-11,4.42016906555986e-11
0.12,-0.0035062965242980398,3.40373493971224e-06,-9.94771874570438e-07,0.0016861063798941,-3.40114209654416e-06,6.73491155862448e-06,1.5137070040624099e-05,2.3153179100702702e-11,4.634860478493e-11
0.13,-0.0040482508529282295,4.09861702560962e-06,-2.12291713849617e-06,0.00161758884516143,-3.24501767359361e-06,6.61348558611989e-06,1.9004928640224898e-05,2.7328801224552e-11,4.82449687747364e-11
0.14,-0.00462218836912048,4.80217367952624e-06,-3.23188044966458e-06,0.0014318626124668699,-2.9728184983238e-06,6.274476470946e-06,2.34148558606131e-05,3.18985218723108e-11,4.98141062253791e-11
0.15,-0.005202019430328,5.49553241322881e-06,-4.271588861302919e-06,0.00111590128949667,-2.57629076901969e-06,5.72205924934713e-06,2.83062418414104e-05,3.6838150631384497e-11,5.0988433453046204e-11
0.16,-0.00575773577594536,6.15656029183545e-06,-5.193770733103e-06,0.000663072774478933,-2.05034058645641e-06,4.9736658269859004e-06,3.35911867698563e-05,4.21071311474754e-11,5.1712606186564603e-11
0.17,-0.00625711195879766,6.76043122403559e-06,-5.95573083125441e-06,7.41949552961578e-05,-1.39415557677253e-06,4.05899575503848e-06,3.915695495632e-05,4.76471001071613e-11,5.19461762737748e-11
0.18,-0.00666767132842454,7.280568020835271e-06,-6.52361937782934e-06,-0.000641883467986739,-6.12209965337643e-07,3.01793675207393e-06,4.48698553303694e-05,5.33814717476679e-11,5.16655520263089e-11
0.19,-0.00695878125327494,7.6899286220761e-06,-6.87488983788683e-06,-0.0014682392047132599,2.84972980133246e-07,1.8976285669763e-06,5.05803628931878e-05,5.92162118120313e-11,5.0865104461284105e-11
0.2,-0.00710372866190737,7.96256281079933e-06,-6.99973940037986e-06,-0.0023803910096373898,1.28041629575321e-06,7.489826903077309e-07,5.6129222260766795e-05,6.50418724063548e-11,4.9557326743610797e-11
0.21,-0.007081624514117091,8.07532747704534e-06,-6.90144241020284e-06,-0.00334735860561852,2.3507318293108102e-06,-3.7699005639759703e-07,6.13542153935525e-05,7.07368539948584e-11,4.7772028843969104e-11
0.22,-0.006878994929147971,8.00962016840436e-06,-6.5956056603881204e-06,-0.0043332047713508706,3.46666092245707e-06,-1.43269396693206e-06,6.60972348257014e-05,7.61717531934008e-11,4.55546260302274e-11
0.23,-0.00649093691853122,7.752976304942731e-06,-6.10848138714238e-06,-0.0052989642280702,4.59411736389322e-06,-2.37699507214717e-06,7.02112839707191e-05,8.12145559382286e-11,4.29636504300768e-11
0.24,-0.005921746598076621,7.300377424730929e-06,-5.474557435604831e-06,-0.00620483247737754,5.69568648658278e-06,-3.17756091447295e-06,7.35670288441511e-05,8.57363550969627e-11,4.0067672480922295e-11
0.25,-0.00518496516785223,6.6551365556015e-06,-4.73369658403192e-06,-0.0070124665415739,6.73248656095114e-06,-3.8123450548023203e-06,7.60585507885343e-05,8.96172178670911e-11,3.6941858166551204e-11
0.26,-0.0043028299805703794,5.8292606029375e-06,-3.9281151404100605e-06,-0.00768723943604883,7.66625903921251e-06,-4.27016588657678e-06,7.760799598883969e-05,9.27518068332667e-11,3.36644052552028e-11
0.27,-0.0033051613805508,4.8432349575864e-06,-3.09947593441939e-06,-0.00820029207033603,8.461527439817881e-06,-4.5504225553108e-06,7.81688817903005e-05,9.505437146917791e-11,3.0313096499926204e-11
0.28,-0.00222775725928692,3.72522739752072e-06,-2.28632799432142e-06,-0.008530240061880441,9.087653913137691e-06,-4.66206884368199e-06,7.772789791961558e-05,9.64627728082057e-11,2.6962181600848202e-11
0.29,-0.00111040316364319,2.50976102999806e-06,-1.52206273507092e-06,-0.008664417603115291,9.52062906943997e-06,-4.6220213663808995e-06,7.6305127587003e-05,9.694127830556229e-11,2.3679756480773102e-11
0.3,5.36653246782426e-06,1.2359536897374901e-06,-8.334841693940559e-07,-0.00859957409860755,9.744453686611791e-06,-4.4532075705242695e-06,7.39527034771127e-05,9.64819591736978e-11,2.0525753526805198e-11
0.31,0.0010786035840938,-5.4541264344977306e-08,-2.40018370617272e-07,-0.00834197910278467,9.752007724410471e-06,-4.18246188609419e-06,7.07520010429162e-05,9.510462940647791e-11,1.75505962468643e-11
0.32,0.00207121852676283,-1.31973426730806e-06,2.46476186276504e-07,-0.00790693395742455,9.545348376878231e-06,-3.8384583168101995e-06,6.68095507926791e-05,9.2855374172279e-11,1.47945127602908e-11
0.33,0.00295003897064402,-2.51947303695784e-06,6.213843190637331e-07,-0.0073177310442796096,9.13542943452512e-06,-3.44983073229374e-06,6.2251917564732e-05,8.980381533714551e-11,1.22874505534567e-11
0.34,0.0036885192063336,-3.61743307854163e-06,8.86612753964703e-07,-0.00660414039363921,8.54128344186303e-06,-3.04358545759214e-06,5.72198442743889e-05,8.603934491197079e-11,1.0049494613159199e-11
