# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,6.55663225002943e-05,-0.000225679388596125,-0.00303835944254426,1.5623422877165196e-05,-5.30263179557005e-05,-0.00040862246125126297,4.54303398861133e-09,5.3742976833059695e-08,9.39860041793689e-06
0.02,5.975036723962371e-05,-0.000207704850306443,-0.00296729727173283,3.0179263886608898e-05,-0.000103315687526324,-0.000813660285678768,4.48089435400747e-09,5.38154361298591e-08,9.46689615932395e-06
0.03,5.0558697111176706e-05,-0.00017875034003175802,-0.00284837994946321,4.2691132623086106e-05,-0.00014825946212809299,-0.00121128656165225,4.37871465822163e-09,5.39325521719806e-08,9.58048347094339e-06
0.04,3.86956620373625e-05,-0.000140277691421919,-0.0026810288585993897,5.23563775212197e-05,-0.000185502283534943,-0.00159721266048419,4.23854452765425e-09,5.40889279073416e-08,9.73900402345376e-06
0.05,2.50560614065467e-05,-9.42476339884067e-05,-0.0024647074524572397,5.8612181474703795e-05,-0.00021305995772606,-0.0019665130810862397,4.06319403043224e-09,5.427716209864299e-08,9.94195652428154e-06
0.06,1.0644531319872801e-05,-4.30336653671681e-05,-0.00219917114372137,6.11789933515289e-05,-0.000229425605074023,-0.0023135133323795,3.85617527452617e-09,5.44880046185148e-08,1.01886976584744e-05
0.07,-3.5140012653506598e-06,1.06878934394697e-05,-0.00188475623698198,6.007728851698411e-05,-0.00023365856590004102,-0.0026317556850652,3.6216288004458293e-09,5.47105564846374e-08,1.04784440587155e-05
0.08,-1.64641327331154e-05,6.40692503106677e-05,-0.001522686069048,5.5616259125304294e-05,-0.000225449872790514,-0.00291405266149415,3.36423594574664e-09,5.4932513976630106e-08,1.0810275778834e-05
0.09,-2.74013823666001e-05,0.000114239467921843,-0.0011153703061608801,4.8355795148066904e-05,-0.00020515798567244,-0.00315263236558229,3.0891186800024295e-09,5.5140455116239e-08,1.1183141752382401e-05
0.1,-3.57373382807904e-05,0.00015846303823448702,-0.000666672601686862,3.90457603396849e-05,-0.000173809179447945,-0.00333937349205887,2.80172874789975e-09,5.53201653468727e-08,1.15958676773054e-05
0.11,-4.11423464801226e-05,0.00019429977779476898,-0.000182122671465944,2.8548828868205603e-05,-0.000133058610490113,-0.00346612146532755,2.50772830363655e-09,5.5456997476656105e-08,1.2047166679866302e-05
0.12,-4.3561816393382e-05,0.000219755403790467,0.00033094866882655297,1.77547939656457e-05,-8.511064244895409e-05,-0.0035250710572074,2.21286455625325e-09,5.5536258953185e-08,1.25356529797593e-05
0.13,-4.3204913753572497e-05,0.000233411307746845,0.000863368919075664,7.49511048511015e-06,-3.26002894644602e-05,-0.00350919545203172,1.9228412536376503e-09,5.55436174572592e-08,1.3059858610986e-05
0.14,-4.05072600513202e-05,0.00023452235690367597,0.00140418978731233,-1.53361479298104e-06,2.1558708567880604e-05,-0.00341269748160417,1.64319009119853e-09,5.546551380276981e-08,1.3618253059739698e-05
0.15,-3.60719622581644e-05,0.00022307316124421298,0.0019408651699336199,-8.82943125455974e-06,7.435007816080319e-05,-0.00323145599781516,1.3791453174334302e-09,5.5289569390004005e-08,1.42092654736771e-05
0.16,-3.0595567562924e-05,0.00019978610235121399,0.0024595398220506,-1.4122186352363199e-05,0.000122843345222934,-0.0029634393454617,1.13552490186832e-09,5.5004974158250597e-08,1.48313088904832e-05
0.17,-2.4787122631252397e-05,0.000166078295202869,0.00294544021966477,-1.73844805764606e-05,0.000164380169562338,-0.0026090587679314303,9.16621613250079e-10,5.46028402828345e-08,1.54828057421387e-05
0.18,-1.9289228801268697e-05,0.00012396914736056101,0.0033833524498132197,-1.8815761122821302e-05,0.00019674388782251598,-0.0021714372957444697,7.26107214378767e-10,5.40765068928231e-08,1.6162213729007198e-05
0.19,-1.4609727478077802e-05,7.59447799538721e-05,0.0037581662379206,-1.88018236047934e-05,0.00021829835623286,-0.00165657404479275,5.6695270784947e-10,5.3421781936210707e-08,1.68680510377273e-05
0.2,-1.10714332606133e-05,2.4789726926738397e-05,0.004055459860003829,-1.78547061149691e-05,0.000228084586200818,-0.0010733895535152199,4.4136716489613e-10,5.26371090235006e-08,1.7598919809697897e-05
0.21,-8.78527496874346e-06,-2.6600484835885397e-05,0.00426209799547701,-1.654013572659e-05,0.00022586735890610602,-0.00043364436747343196,3.50757146130449e-10,5.17236496127239e-08,1.83535267604906e-05
0.22,-7.64952611042164e-06,-7.541045777454829e-05,0.00436681370400275,-1.54010663639034e-05,0.000212128586075357,0.00024826998121477004,2.9570809485938e-10,5.0685274172097006e-08,1.9130699909038602e-05
0.23,-7.37480451884536e-06,-0.000119084124115025,0.00436074663864884,-1.4886256519014498e-05,0.000188009125334206,0.0009556616831878381,2.75988374841083e-10,4.952845982517599e-08,1.99294004992005e-05
0.24,-7.531540133321271e-06,-0.000155477827797086,0.00423791215748485,-1.5292212666332097e-05,0.000155205480941502,0.00166997901988292,2.90575865012157e-10,4.8262096250783205e-08,2.07487293814071e-05
0.25,-7.6140006460554395e-06,-0.000182975971269529,0.00399557985206585,-1.67252277354475e-05,0.00011583177447331699,0.0023713432915555698,3.37706248640716e-10,4.6897206039665004e-08,2.15879273606402e-05
0.26,-7.1130410306177796e-06,-0.000200561876949377,0.0036345447683146796,-1.9087850272945e-05,7.226011039966829e-05,0.00303915343879652,4.14941380745618e-10,4.544659004042929e-08,2.24463692974323e-05
0.27,-5.5887425075881895e-06,-0.00020784106856246398,0.00315927981020267,-2.20912059427004e-05,2.6953708624637302e-05,0.0036527391279808897,5.19255422818926e-10,4.39244121898085e-08,2.33235520562369e-05
0.28,-2.73415879349776e-06,-0.00020501876522183,0.0025779630654949,-2.52915046732628e-05,-1.7693150235515802e-05,0.0041920380659666205,6.471358329457351e-10,4.23457416583404e-08,2.42190767135691e-05
0.29,1.5775053633062401e-06,-0.000192837463028357,0.00190237872144438,-2.8146177352737396e-05,-5.9496096305421104e-05,0.00463827348792425,7.9469582274301e-10,4.0726072622797e-08,2.51326257485853e-05
0.3,7.26792501260831e-06,-0.000172483609547703,0.0011476945995046802,-3.00827497053432e-05,-9.65932081192668e-05,0.00497460886193651,9.57794563823227e-10,3.90808434173765e-08,2.6063936222989397e-05
0.31,1.40538233124043e-05,-0.000145474259789441,0.000332123010728911,-3.05720675017192e-05,-0.00012752339719224398,0.00518675857387742,1.13216126102595e-09,3.7424977092736603e-08,2.70127701979465e-05
0.32,2.14721457846263e-05,-0.00011353512525862,-0.000523525379390942,-2.91970232840783e-05,-0.000151268766782429,0.00526353540834776,1.3135192132472599e-09,3.57724644713674e-08,2.79788838177971e-05
0.33,2.89270838393167e-05,-7.848066491657829e-05,-0.0013963825806808901,-2.57085583359284e-05,-0.000167262649402894,0.00519731779766155,1.4977061511586902e-09,3.4136008651023705e-08,2.8961996601518605e-05
0.34,3.57531787293159e-05,-4.2105057531256395e-05,-0.0022621451085871,-2.0062344610651e-05,-0.00017536792980220501,0.00498442193463325,1.6807874605269196e-09,3.25267466728215e-08,2.99617625147576e-05
0.35,4.1286864878339706e-05,-6.09039584587584e-06,-0.0030957607427685,-1.2431980373095802e-05,-0.000175832212592079,0.00462536590633037,1.85915934747932e-09,3.09540599065854e-08,3.097774434391e-05
0.36,4.49379113275615e-05,2.8064332435274896e-05,-0.00387216262350835,-3.19744795215914e-06,-0.000169227282344401,0.00412501507600066,2.02963954789054e-09,2.94254798447092e-08,3.2009392760127804e-05
0.37,4.62523977913808e-05,5.909256003614389e-05,-0.00456703134759172,7.08939281098913e-06,-0.000156380177981332,0.00349260016622462,2.1895437918806303e-09,2.79466907170983e-08,3.30560312509976e-05
0.38,4.49600826117877e-05,8.5989022110838e-05,-0.00515756395538146,1.7757754357648897e-05,-0.000138302252443254,0.00274160206220158,2.3367468682853697e-09,2.6521624954455598e-08,3.4116847821318105e-05
0.39,4.10011123297748e-05,0.000108020981499801,-0.00562322702237564,2.80826733525257e-05,-0.000116121100206605,0.0018895004342620102,2.46972775490347e-09,2.5152642357372798e-08,3.51908940362519e-05
0.4,3.45297015984974e-05,0.000124725317595177,-0.00594646968943045,3.7353695406606e-05,-9.101853842966441e-05,0.000957386990913237,2.58759885301077e-09,2.384077918709e-08,3.62770916176849e-05
0.41,2.58953176391977e-05,0.000135895034438918,-0.00611337165858135,4.4939430161292e-05,-6.417623530836729e-05,-3.05514594767617e-05,2.69011985885659e-09,2.25860495635096e-08,3.73742464276219e-05
0.42,1.56046492606608e-05,0.000141558237290353,-0.00611420123965394,5.0340760017463395e-05,-3.67293374218205e-05,-0.0010476700351739802,2.77769719768409e-09,2.13877787721979e-08,3.8481069301587296e-05
0.43,4.269867197889119e-06,0.00014195181711066298,-0.00594385972132155,5.32272341685718e-05,-9.7276993831519e-06,-0.00206560752902933,2.85137022312359e-09,2.02449465163082e-08,3.95962028507313e-05
0.44,-7.44989352865988e-06,0.000137491228482329,-0.00560219084577818,5.34535745166659e-05,1.58959110767626e-05,-0.003055112236912,2.9127855421971197e-09,1.91565178985402e-08,4.07182530526503e-05
0.45,-1.89064469442893e-05,0.000128737078049436,-0.00509413805792696,5.105592162571e-05,3.93510575890859e-05,-0.00398692634253889,2.96416086910787e-09,1.8121740998086204e-08,4.1845824214050393e-05
0.46,-2.9513036711532597e-05,0.000116358915673469,-0.00442973740510886,4.6230081313241496e-05,6.00082910490183e-05,-0.00483269927140376,3.0082397541651897e-09,1.71403922513291e-08,4.2977555726047e-05
0.47,-3.8782008369702896e-05,0.000101096699300696,-0.0036239402621381705,3.9296236804410795e-05,7.74106691514125e-05,-0.005565897585270671,3.0482384001760403e-09,1.6212954307964798e-08,4.4112158953268e-05
