# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.00157098564235026,-1.01179160187017e-05,2.46126828504523e-06,5.671069452817421e-05,-1.05854708335021e-06,7.9645641219636e-07,2.47121199134452e-06,1.0349274648916899e-10,6.692184387498201e-12
0.02,-0.00155482156440502,-9.91715859560023e-06,2.32198905943401e-06,0.00012537325831839298,-2.0990607339190398e-06,1.5939074322982701e-06,2.43318855104023e-06,1.02756090574968e-10,7.932174094866929e-12
0.03,-0.00153585267963436,-9.585807240384379e-06,2.08193111881728e-06,0.000216344029886141,-3.10336370924712e-06,2.39118483859499e-06,2.4056481928074102e-06,1.01518566761678e-10,1.0052202115826301e-11
0.04,-0.00152520924858005,-9.129107953811999e-06,1.7304987976004699e-06,0.00033692565796213797,-4.0531135501281896e-06,3.18303498249474e-06,2.4397821509473498e-06,9.97683414825862e-11,1.3126337788281901e-11
0.05,-0.00153688886889443,-8.555067920438581e-06,1.25531233456181e-06,0.0004901730885122941,-4.930003115654429e-06,3.95865368575172e-06,2.6022970520332697e-06,9.74941178436797e-11,1.72467480610187e-11
0.06,-0.00158632619427645,-7.874910402054699e-06,6.44366461824293e-07,0.00067407004808087,-5.7162405287809306e-06,4.7008521982064005e-06,2.97080122436737e-06,9.4689619623267e-11,2.2513219526505897e-11
0.07,-0.00168876163434712,-7.103402437490871e-06,-1.11584760086728e-07,0.000881153612923808,-6.395311467053131e-06,5.38596761045861e-06,3.6283475472114404e-06,9.13583349495725e-11,2.90210982595929e-11
0.08,-0.00185754290168826,-6.25892538984627e-06,-1.01665761968598e-06,0.00109862946540366,-6.952968529803799e-06,5.98456027714219e-06,4.65745233386557e-06,8.75179184121043e-11,3.6848554426413796e-11
0.09,-0.0021025006672091397,-5.36318696526348e-06,-2.0677258494909e-06,0.00130898180971279,-7.378340021875929e-06,6.46286606117956e-06,6.1339424337738196e-06,8.32036759027882e-11,4.6044127913399504e-11
0.1,-0.0024285361340152197,-4.44052123474609e-06,-3.25278769096507e-06,0.00149104253154859,-7.66501261863098e-06,6.78489957757427e-06,8.120995585104441e-06,7.8470647280003e-11,5.66154900402615e-11
0.11,-0.0028345441783696,-3.51678346692867e-06,-4.54999482492481e-06,0.00162144701812908,-7.8119255954907e-06,6.91504267492251e-06,1.06637311317287e-05,7.339394746274559e-11,6.8520268102842e-11
0.12,-0.00331277177212398,-2.61791023341195e-06,-5.92746815317587e-06,0.00167637196099307,-7.823922045673331e-06,6.82090564707541e-06,1.37846797657852e-05,6.80672101669762e-11,8.165963255321941e-11
0.13,-0.0038486793824894,-1.76827260934497e-06,-7.34395770403389e-06,0.00163342596344037,-7.71183450692502e-06,6.4762210468711796e-06,1.74804133672401e-05,6.25991794831591e-11,9.5875153806576e-11
0.14,-0.00442133527171516,-9.88992472950758e-07,-8.750331683813691e-06,0.00147354885405276,-7.49203473083539e-06,5.86352352144887e-06,2.17195518101928e-05,5.7108690519596904e-11,1.10949212663338e-10
