# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-6.6634584491335e-06,-4.80105350841949e-06,-0.000436367825017854,-1.42441906721085e-06,2.66029886220646e-07,-6.00236353459969e-05,4.64306481823625e-11,2.3120886691069698e-11,1.9401971551096102e-07
0.02,-6.16737174951801e-06,-5.30847160660048e-06,-0.000427158172196313,-2.75902108424296e-06,3.85242249066272e-07,-0.00011999106008056201,4.56486716400501e-11,2.83282823885491e-11,1.96861958573352e-07
0.03,-5.38415028047379e-06,-6.07095084289486e-06,-0.000411437133876512,-3.9225529073848705e-06,2.27379242049892e-07,-0.000179742403208034,4.43754955539595e-11,3.6908145456560995e-11,2.0158784664351802e-07
0.04,-4.3742058545104795e-06,-6.9727826181675006e-06,-0.000388710912711792,-4.84987075076778e-06,-3.06396947304651e-07,-0.00023892304722046602,4.26549231567865e-11,4.8713576529536396e-11,2.08180396154347e-07
0.05,-3.21281530459992e-06,-7.86923597641676e-06,-0.000358407938072198,-5.4975829888343006e-06,-1.2718613070112302e-06,-0.00029691624047676,4.05456009005918e-11,6.354250603680419e-11,2.16615503932018e-07
0.06,-1.98223804707437e-06,-8.60165383381214e-06,-0.000319981988941683,-5.84715588896587e-06,-2.67447744033145e-06,-0.00035280780791384104,3.81184996651374e-11,8.1141278255577e-11,2.26861822572046e-07
0.07,-7.633889521841691e-07,-9.01403704465804e-06,-0.000273023238889112,-5.905178362128601e-06,-4.46725642749476e-06,-0.00040538768978593703,3.54538941808686e-11,1.01209243831461e-10,2.3888086800348e-07
0.08,3.71924430935832e-07,-8.9694310125031e-06,-0.00021736462863880302,-5.70084730201167e-06,-6.55390294616276e-06,-0.00045318886227840497,3.26379877431807e-11,1.23404336515773e-10,2.5262752667648e-07
0.09,1.36729004960808e-06,-8.364473516526221e-06,-0.000153171577176898,-5.28108539373933e-06,-8.79688439093503e-06,-0.0004945600078385309,2.97593450157242e-11,1.47349592196145e-10,2.68051133408106e-07
0.1,2.18581126482249e-06,-7.14067796650021e-06,-8.10050007044481e-05,-4.70399106519963e-06,-1.10295631658456e-05,-0.000527764596008899,2.69053028269029e-11,1.7264054545064e-10,2.85097278939564e-07
0.11,2.8116672814246798e-06,-5.29138621242805e-06,-1.8506652115639599e-06,-4.03150768025339e-06,-1.30711378063541e-05,-0.000551096229841239,2.41585270773762e-11,1.98853411601774e-10,3.0371047950695197e-07
0.12,3.24906784006654e-06,-2.86378670262309e-06,8.288832746974641e-05,-3.3222630224836497e-06,-1.47428849830328e-05,-0.000562998513722162,2.1593873419916897e-11,2.2555393190105398e-10,3.23837801284096e-07
0.13,3.5188951739419198e-06,4.40954418563038e-08,0.000171435084749703,-2.6254652359394903e-06,-1.58841047400226e-05,-0.000562177458918932,1.92756909503185e-11,2.523067278e-10,3.45433483599685e-07
0.14,3.65361350003478e-06,3.29102628619734e-06,0.000261713840929504,-1.97656046936423e-06,-1.6366249579823e-05,-0.000547695550329671,1.72556828966898e-11,2.78684979325498e-10,3.68464550384995e-07
0.15,3.6912238918195296e-06,6.70395570740379e-06,0.000351448410857539,-1.39508920621822e-06,-1.61039495915357e-05,-0.000519038879484242,1.55714077128459e-11,3.04280214573556e-10,3.92917343910547e-07
0.16,3.66912629503408e-06,1.0091983667288e-05,0.00043827415086925,-8.848627389994991e-07,-1.5061999869615899e-05,-0.000476151900003883,1.42454698357802e-11,3.28711974413119e-10,4.1880486319747e-07
0.17,3.61871350189027e-06,1.32615071185943e-05,0.0005198524025742,-4.3626388272319897e-07,-1.32578101327794e-05,-0.00041943798767572,1.3285413584131697e-11,3.5163710057335703e-10,4.4617474596762507e-07
0.18,3.5613741915813598e-06,1.60311033628013e-05,0.000593976656671614,-3.02009005410141e-08,-1.0759280314670401e-05,-0.00034972765511588903,1.2684298226855199e-11,3.72758387918474e-10,4.7511770142364703e-07
0.19,3.5063490603881896e-06,1.82448028232497e-05,0.000658661103985121,3.5695281124775503e-07,-7.67850987414842e-06,-0.000268219563920979,1.2421899042742802e-11,3.91832343946656e-10,5.05776184372858e-07
0.2,3.4506020869742202e-06,1.9782631406143202e-05,0.000712204619278325,7.481946179070259e-07,-4.16212752368153e-06,-0.00017640204405247901,1.24664499488959e-11,4.08675810874712e-10,5.383531008672771e-07
0.21,3.38058001758265e-06,2.0567628803032e-05,0.0007532262330983401,1.1612485520525801e-06,-3.79306496997544e-07,-7.596442377957741e-05,1.2776819454923301e-11,4.23171227997978e-10,5.73120351907678e-07
0.22,3.2754782731276903e-06,2.0568934555791102e-05,0.000780671417960275,1.60506588314033e-06,3.4913142150243598e-06,3.12920262992208e-05,1.3304994406952598e-11,4.3527034370845e-10,6.10427053730018e-07
0.23,3.1114449651532396e-06,1.9800935093900698e-05,0.000793791672616643,2.07789464526614e-06,7.274558124714239e-06,0.000143534312233774,1.39987359280031e-11,4.44996226502712e-10,6.5070731830395e-07
0.24,2.86605937753717e-06,1.8318840176051503e-05,0.000792102596868913,2.5670942836249804e-06,1.08103453065169e-05,0.000258961403221617,1.48042694165888e-11,4.5244347104185103e-10,6.94487532324984e-07
0.25,2.52242565121083e-06,1.62113698360129e-05,0.000775327650747343,3.05061372762677e-06,1.39630954723716e-05,0.000375845934785746,1.5668875281071302e-11,4.5777654713055397e-10,7.423931327083659e-07
0.26,2.07232014792373e-06,1.3591455793145401e-05,0.0007433359276332509,3.4998211253035103e-06,1.6628247772246e-05,0.000492551149739791,1.6543258704611302e-11,4.6122629455222806e-10,7.951549364203759e-07
0.27,1.51800248499174e-06,1.05859783740269e-05,0.000696082492247418,3.88320263346282e-06,1.8735572718870002e-05,0.000607523087072359,1.73835942369737e-11,4.6308462323943e-10,8.53615137339306e-07
0.28,8.725162607585501e-07,7.32556737814949e-06,0.000633559196571269,4.17035712619166e-06,2.02492863376202e-05,0.0007192606428883519,1.8153163185265603e-11,4.63697534594741e-10,9.187331279681959e-07
0.29,1.5853190823408999e-07,3.9354005415544294e-06,0.000555762530772079,4.33571157246314e-06,2.11652842403643e-05,0.000826268324806851,1.88235272055192e-11,4.63456634397881e-10,9.91591335189306e-07
0.3,-5.94012732537571e-07,5.27753581840147e-07,0.000462683192028641,4.36146277227384e-06,2.1506065085830602e-05,0.000926998132522466,1.9375208640347397e-11,4.62789359319128e-10,1.0734012738859501e-06
0.31,-1.35106684086594e-06,-2.80318429395136e-06,0.000354319889379681,4.2393978144765e-06,2.13140879294937e-05,0.00101978793604671,1.9797875437875602e-11,4.62148186452046e-10,1.16551001851644e-06
0.32,-2.07792735204615e-06,-5.98398746373501e-06,0.000230717671781149,3.97143202654371e-06,2.0644394674246e-05,0.0011028039836588,2.0090054421838603e-11,4.61999137432173e-10,1.26940727044582e-06
0.33,-2.74251335883914e-06,-8.96219575754628e-06,9.20289647431124e-05,3.5688990438239e-06,1.95573252723761e-05,0.00117399481643944,2.02584199084183e-11,4.628099246061e-10,1.3867331593783701e-06
0.34,-3.31803013103997e-06,-1.17043221424321e-05,-6.14063237809043e-05,3.05080318876657e-06,1.81120666537996e-05,0.00123106300682111,2.0316724047077398e-11,4.6503811528550703e-10,1.5192868633637101e-06
0.35,-3.78472437616177e-06,-1.4192147646719599e-05,-0.000228966723070708,2.44137488619617e-06,1.63616214153958e-05,0.00127145991179008,2.02844499384624e-11,4.69119710167025e-10,1.66903606756297e-06
0.36,-4.13059203572415e-06,-1.64179202719952e-05,-0.000409647288893243,1.76733908280796e-06,1.43495796489194e-05,0.00129240717687674,2.01852779992082e-11,4.75458542158273e-10,1.8381272121400902e-06
0.37,-4.3510669298934795e-06,-1.83791358138052e-05,-0.00060195665815763,1.05530874342162e-06,1.21088507852392e-05,0.0012909471683121,2.00454599723548e-11,4.84416900601487e-10,2.02889640967333e-06
0.38,-4.447867007413491e-06,-2.0073564395813e-05,-0.000803820159655925,3.2965527302544197e-07,9.66228668893212e-06,0.0012640229423293901,1.9892193514670896e-11,4.963077716119661e-10,2.24388084780432e-06
0.39,-4.42728358931892e-06,-2.1495103567288897e-05,-0.00101249606457525,-3.8890080701950395e-07,7.0249255509918705e-06,0.00120858684327141,1.9752083817953e-11,5.11389056365454e-10,2.4858304385091202e-06
