# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.00144199481647866,-4.1351120437587e-05,-0.000583615099617408,0.0008936039815889801,-1.05847949708513e-05,-9.038934737467769e-05,2.87787712666301e-06,1.8219530460187804e-09,3.48776818620258e-07
0.02,0.00114397715600648,-3.7359367169813704e-05,-0.000565492377614667,0.00174468955434501,-2.04304944254035e-05,-0.000179408527204123,4.35262537450525e-06,1.8131274177953999e-09,3.5196904877384203e-07
0.03,0.0006628782763444611,-3.10592976364074e-05,-0.000535458123490346,0.00251303272354319,-2.8864100095170698e-05,-0.000265677868965081,6.75474107884829e-06,1.7978162439709801e-09,3.57300132069629e-07
0.04,2.10391014678822e-05,-2.2944006888149e-05,-0.000493781132822604,0.00316281995668597,-3.53379199736099e-05,-0.00034780172471541497,1.00038727222016e-05,1.7751960401446902e-09,3.6478584684659206e-07
0.05,-0.000752274045346322,-1.36355283469971e-05,-0.000440862621780671,0.0036644259677360205,-3.9475783225612395e-05,-0.000424367701125463,1.3993933912319799e-05,1.7442650945773001e-09,3.7444779704183705e-07
0.06,-0.00162266116411942,-3.8255403791534105e-06,-0.00037725704727008903,0.0039957280485889,-4.11016254400136e-05,-0.000493953615468774,1.8598871891821498e-05,1.7039783730037e-09,3.8631305394962e-07
0.07,-0.0025526068490652697,5.78919023237776e-06,-0.000303693567864203,0.004142878544076071,-4.02477901147633e-05,-0.000555143299238255,2.36792443568608e-05,1.6533993326687e-09,4.0041386585122297e-07
0.08,-0.0035035559967514698,1.4569789234349402e-05,-0.00022109501360541298,0.00410051036537899,-3.7142647943832395e-05,-0.00060655134863122,2.9089089878953698e-05,1.5918550546128399e-09,4.1678754356753e-07
0.09,-0.00443788310815148,2.19901578030736e-05,-0.000130591353490351,0.0038714040048134796,-3.2179398255374606e-05,-0.0006468558826505111,3.46825754501021e-05,1.51908071228208e-09,4.35476634526013e-07
0.1,-0.00532061353518752,2.7678281975715802e-05,-3.35251019426919e-05,0.0034656922243260896,-2.58699227556658e-05,-0.0006748374332435639,4.03199509845749e-05,1.43534019651135e-09,4.56529493767029e-07
0.11,-0.00612079086967889,3.1440134022243e-05,6.85531656705512e-05,0.00289971519878358,-1.8789082017248498e-05,-0.000689421359995489,4.5872429104400894e-05,1.3415116303874901e-09,4.80001348141483e-07
0.12,-0.0068124293421255,3.3264360478779997e-05,0.000173900098953276,0.00219466068949203,-1.15157143477317e-05,-0.000689720730996865,5.12257290834541e-05,1.23912935500078e-09,5.05955931182809e-07
0.13,-0.00737503785437302,3.33081225038845e-05,0.00028060556479672205,0.00137512904810374,-4.57673118067912e-06,-0.000675076484362446,5.6282163252373704e-05,1.13037749303397e-09,5.34467742734048e-07
0.14,-0.00779374723189025,3.18665097367742e-05,0.00038662827052336204,0.00046775187469085704,1.5998904763964e-06,-0.000645091886575697,6.096128773087371e-05,1.01803409234039e-09,5.65624961693677e-07
0.15,-0.0080591091761396,2.9329653503278496e-05,0.000489839090901393,-0.0005000316474524571,6.71864627168844e-06,-0.000599658802714788,6.519927236139151e-05,9.053687823464521e-10,5.99533014648436e-07
0.16,-0.00816666021960434,2.6132833427389002e-05,0.000588069535619202,-0.00150097133525595,1.06336979143446e-05,-0.000538974026539621,6.894725409172801e-05,7.96000514277195e-10,6.36318780007716e-07
0.17,-0.0081163544666294,2.2705388536234e-05,0.000679162430755068,-0.00250874547387614,1.3348795449080499e-05,-0.00046354479953750096,7.216901368066899e-05,6.9372500852274e-10,6.76135388527394e-07
0.18,-0.00791196473787025,1.94240773736013e-05,0.000761021824217884,-0.0034984518425837103,1.50009660756267e-05,-0.000374183579738513,7.483835130817959e-05,6.02323765017753e-10,7.191675682818441e-07
0.19,-0.00756053454577605,1.65757320269009e-05,0.000831659353876906,-0.00444689196276818,1.5830756674585002e-05,-0.000271993005711821,7.69365307464053e-05,5.25367749117546e-10,7.656374760471041e-07
0.2,-0.0070719363677206794,1.4332742123399801e-05,0.0008892348007397971,-0.00533271346988441,1.61431589668367e-05,-0.000158342751628765,7.8450116940977e-05,4.6602907820444e-10,8.158109578401149e-07
0.21,-0.0064585593429482705,1.27432652912886e-05,0.0009320892268381769,-0.00613648646338229,1.6264145080846803e-05,-3.4840517988541605e-05,7.93694549016585e-05,4.26913225494995e-10,8.70004188481501e-07
0.22,-0.005735116697126221,1.17362990661194e-05,0.0009587698919410009,-0.006840787601297,1.64979337442354e-05,9.67002930795321e-05,7.968793853571469e-05,4.09922533598575e-10,9.28590652374227e-07
0.23,-0.00491853462609994,1.11400776645127e-05,0.000968046972571219,-0.0074303516292282,1.70897056077749e-05,0.000234293624539208,7.94021082021183e-05,4.16159368131786e-10,9.92008443604022e-07
0.24,-0.00402786399072126,1.0710864460014699e-05,0.0009589228921090259,-0.007892326606835691,1.8197572690129398e-05,0.000375812144610937,7.851250759671559e-05,4.4587426929334894e-10,1.06076788104781e-06
0.25,-0.0030841466454221396,1.01682417564345e-05,0.000930635743990515,-0.00821664013171677,1.98763199115784e-05,0.00051901499341938,7.70251355846073e-05,4.98461233644707e-10,1.1354594513869e-06
0.26,-0.0021101706142600198,9.232538406235139e-06,0.0008826587992890571,-0.008396453790994409,2.2073950164015698e-05,0.0006615705191627389,7.4953256285591e-05,5.72499041266054e-10,1.2167621077876498e-06
