# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,6.988175707258279e-11,
0.004,8.04761765134073e-11,
0.006,8.020944603692491e-11,
0.008,7.3512389202341e-11,
0.01,6.482363028562079e-11,
0.012,5.91337332057943e-11,
0.014,6.15403587013389e-11,
0.016,7.314710338404891e-11,
0.018,8.88211322400504e-11,
0.02,1.01415370417564e-10,
0.022,1.0740281380922601e-10,
0.024,1.0770379668255199e-10,
0.026,1.05027991513597e-10,
0.028,1.0221184082212799e-10,
0.03,1.01858498049e-10,
0.032,1.0526190939091901e-10,
0.034,1.11267070697128e-10,
0.036,1.17164827924652e-10,
0.038,1.20998683251353e-10,
0.04,1.22642463843676e-10,
0.042,1.22922795271883e-10,
0.044,1.22515268902062e-10,
0.046,1.2184284854929e-10,
0.048,1.21368788598595e-10,
0.05,1.2147609831588302e-10,
0.052,1.2219597252068699e-10,
0.054,1.23312072663333e-10,
0.056,1.24651427412761e-10,
0.058,1.2607506422772302e-10,
0.06,1.27225826467882e-10,
0.062,1.2752343997021101e-10,
0.064,1.26571163958168e-10,
0.066,1.2457393407223399e-10,
0.068,1.22328994585174e-10,
0.07,1.20798373784994e-10,
0.072,1.2060700787555798e-10,
0.074,1.21765514347053e-10,
0.076,1.2373034025780902e-10,
0.078,1.2576178701641001e-10,
0.08,1.27361646468647e-10,
0.082,1.28465636266484e-10,
0.084,1.29275599375036e-10,
0.086,1.2999748024852001e-10,
0.088,1.30794185725479e-10,
0.09,1.31876086528221e-10,
0.092,1.33409769189692e-10,
0.094,1.35223187750926e-10,
0.096,1.36694052642118e-10,
0.098,1.37093441617331e-10,
0.1,1.36121230209285e-10,
0.102,1.3411025821173802e-10,
0.104,1.31714956513263e-10,
0.106,1.29410071760118e-10,
0.108,1.27245664106531e-10,
0.11,1.24993842212908e-10,
0.112,1.22472740201681e-10,
0.114,1.19759146950848e-10,
0.116,1.17177138601612e-10,
0.118,1.1514580159680899e-10,
0.12,1.14014697660176e-10,
0.122,1.13934865087953e-10,
0.124,1.1475392786983701e-10,
0.126,1.15969097591218e-10,
0.128,1.16833305670894e-10,
0.13,1.1664852817383098e-10,
0.132,1.15110890094923e-10,
0.134,1.1247251725864301e-10,
0.136,1.0938668524855e-10,
0.138,1.0653140352408199e-10,
0.14,1.04261960881249e-10,
0.142,1.0250018629756199e-10,
0.144,1.0087928440332e-10,
0.146,9.89917830859356e-11,
0.148,9.656841017772571e-11,
0.15,9.35351115311958e-11,
0.152,9.00105234874151e-11,
0.154,8.62950412110728e-11,
0.156,8.28112813099817e-11,
0.158,7.993987610501971e-11,
0.16,7.78095862623614e-11,
0.162,7.62086376872255e-11,
0.164,7.472506811331641e-11,
0.166,7.302909401654891e-11,
0.168,7.10791614986683e-11,
0.17,6.91023143576829e-11,
0.172,6.7396488532873e-11,
0.174,6.613465191055e-11,
0.176,6.530851525717029e-11,
0.178,6.480046833420039e-11,
0.18,6.44754270550346e-11,
0.182,6.42206392203652e-11,
0.184,6.395660521132551e-11,
0.186,6.36665065311171e-11,
0.188,6.34272379666885e-11,
