# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.00596477655900656,8.04510177083198e-05,-0.0038154090935554,0.00101023976653379,8.34229497039893e-06,-0.000142597430621419,3.65991437847604e-05,6.541960135677521e-09,1.4577680578405e-05
0.02,0.0057058883761613,8.07977918566225e-05,-0.0038543649062203703,0.00198735290799463,1.72033153111574e-05,-0.00029562796693171804,3.65067337421273e-05,6.8242372266011995e-09,1.49435247251353e-05
0.03,0.00528604065221705,8.10116066644451e-05,-0.00391473711202909,0.00289989457733201,2.70233842935071e-05,-0.00046880646330663,3.6351614336530795e-05,7.2931437130293295e-09,1.5544946156335902e-05
0.04,0.00472191696129246,8.05909953625596e-05,-0.00399003631023087,0.0037196559738759795,3.8094594380598605e-05,-0.000670470433652597,3.61323403533326e-05,7.94610665455044e-09,1.6369920359363098e-05
0.05,0.00403541312418268,7.89183455789619e-05,-0.00407182767220175,0.00442297630275655,5.05071513500766e-05,-0.000907032976931474,3.58472784575718e-05,8.77907760642e-09,1.7402489413349098e-05
0.06,0.003252330273575,7.533316423088541e-05,-0.0041503074853341,0.0049917215576745395,6.41176642393969e-05,-0.0011825887326019,3.5494936317765206e-05,9.78616050055359e-09,1.8623568333297197e-05
0.07,0.00240089600003175,6.921179981241329e-05,-0.00421494862297821,0.00541387162584929,7.8542701581515e-05,-0.00149869797465261,3.50743075841445e-05,1.0959229204996501e-08,2.00118875135737e-05
0.08,0.001510234208861,6.0045163706951e-05,-0.00425515855691782,0.00568369429030824,9.317815664486759e-05,-0.0018543559157834899,3.4585188151296506e-05,1.228759056033e-08,2.1545010206912197e-05
0.09,0.00060890193944021,4.7506387772457396e-05,-0.00426089567858511,0.00580152230141613,0.00010724219638880301,-0.00224613628596865,3.40284225856828e-05,1.37577455654816e-08,2.3200360198930302e-05
0.1,-0.00027640265853565,3.15016349667763e-05,-0.0042231975525696104,0.00577318367978489,0.00011983713546792701,-0.00266848236942537,3.3406048230180204e-05,1.5353292042738403e-08,2.4956195723964003e-05
0.11,-0.00112188063807231,1.21992604092129e-05,-0.00413458711211109,0.00560916223988578,0.00013002375067568302,-0.00311410669435268,3.2721317199442e-05,1.7054997694304e-08,2.6792471091447302e-05
0.12,-0.00190737039328106,-9.965060528972341e-06,-0.00398933802386187,0.005323582423071071,0.00013690051961879598,-0.00357445368066659,3.19785916323964e-05,1.8841054703242497e-08,2.86915369838611e-05
0.13,-0.00261676595258355,-3.43070677685028e-05,-0.0037835965216599,0.0049331186084594705,0.000139680110026232,-0.00404017827986234,3.11831232557296e-05,2.0687508035813e-08,3.0638643171788296e-05
0.14,-0.0032381293876448,-5.99339657899199e-05,-0.00351537195014027,0.00445592421822236,0.000137756129929045,-0.00450159777210817,3.0340742569669502e-05,2.2568831588335203e-08,3.26222224496822e-05
0.15,-0.00376353827344704,-8.580129447987359e-05,-0.00318442033450945,0.00391066154188898,0.000130754538035768,-0.00494908252911336,2.9457494030910198e-05,2.4458611351369e-08,3.46339507468123e-05
0.16,-0.0041887287474318,-0.000110780819091946,-0.00279205323789084,0.00331569172509793,0.000118565992673278,-0.0053733632932007796,2.8539260135444502e-05,2.63302844972822e-08,3.6668594363934204e-05
0.17,-0.00451260534936659,-0.000133733058058341,-0.0023409073311525,0.00268845894541457,0.000101357525548948,-0.005765745639536329,2.75914185403116e-05,2.8157878803040998e-08,3.87236699128756e-05
0.18,-0.00473669008998156,-0.000153578218618676,-0.00183470849816192,0.0020450768235041102,7.95639945516188e-05,-0.00611823499345737,2.66185722225632e-05,2.99166984630957e-08,4.07989547083938e-05
0.19,-0.0048645759057357,-0.00016936009647623002,-0.00127805857454063,0.00140010178098263,5.3861558520868394e-05,-0.0064235862638950605,2.5624383739775e-05,3.1583909764734704e-08,4.28958942096581e-05
0.2,-0.00490143563149614,-0.000180298748872001,-0.0006762641137732759,0.000766459943258926,2.5126747119277102e-05,-0.0066752996108104794,2.46115320943204e-05,3.31389922656048e-08,4.50169580456641e-05
0.21,-0.0048536193857558205,-0.00018582925915146798,-3.5216347172437e-05,0.00015548298625913702,-5.61452858477367e-06,-0.0068675874026892,2.35817961008007e-05,3.4564036488012794e-08,4.71649969246835e-05
0.22,-0.00472835365324902,-0.000185625454353099,0.0006386786988186309,-0.00042299532279090697,-3.72434768161609e-05,-0.00699533694149099,2.25362533132964e-05,3.5843885869150195e-08,4.9342649405313205e-05
0.23,-0.00453353711934878,-0.00017960881854318998,0.00133852972553665,-0.000960526656618372,-6.86061887900508e-05,-0.007054089500634729,2.14755702705877e-05,3.69661368387768e-08,5.15518405091103e-05
0.24,-0.00427761376098635,-0.00016794391721108601,0.0020569653430558303,-0.001449955213571,-9.85690890436067e-05,-0.0070400495568642705,2.04003496095415e-05,3.7921024643090495e-08,5.37934041856376e-05
0.25,-0.00396949440553596,-0.000151022333430206,0.0027861339582382,-0.00188536674641785,-0.00012606937478881598,-0.00695013001286173,1.93114936040795e-05,3.87012324543474e-08,5.6066849628929394e-05
0.26,-0.0036184946265621297,-0.000129437408878201,0.00351771712156025,-0.00226208733820461,-0.000150158661570791,-0.00678203101687601,1.82105424881246e-05,3.93016664618338e-08,5.837027846118629e-05
0.27,-0.00323425924612617,-0.000103952042006839,0.004242971808834439,-0.00257672595086931,-0.00017003885626479,-0.0065343429044885,1.7099949497036e-05,3.97192396772296e-08,6.0700446964003005e-05
0.28,-0.0028266508557425398,-7.54615295367172e-05,0.00495281161178635,-0.0028272437573253,-0.000185089869803383,-0.00620665876758041,1.59832623236049e-05,3.99527023438541e-08,6.305295591902851e-05
0.29,-0.0024055900672473,-4.495307745043929e-05,0.0056379300947131,-0.0030130263848468604,-0.000194889119006705,-0.00579967976650404,1.4865191567422198e-05,4.00025478794747e-08,6.542254114686801e-05
0.3,-0.00198084677028105,-1.34632817163398e-05,0.00628896274678227,-0.00313493308476264,-0.000199222868718801,-0.00531529667883855,1.3751559373272302e-05,3.98710113751222e-08,6.78034312144873e-05
0.31,-0.0015617926072351198,1.7965313272246e-05,0.00689667804649711,-0.0031952993806820197,-0.000198089403421623,-0.0047566340382466,1.26491342802011e-05,3.9562164228904506e-08,7.01897354508414e-05
