# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-2.58166309489355e-05,2.88857518610088e-05,-0.00014360525256836202,1.91428856408971e-05,1.76992119352476e-06,-2.08718331027013e-05,1.032948504214e-09,8.375192816070631e-10,2.10581019822902e-08
0.02,-2.27720119852715e-05,2.90683532730971e-05,-0.000137396650058224,3.9150516401318e-05,3.64449971345893e-06,-4.07602016517e-05,2.05132746434722e-09,8.582515401709739e-10,2.05392334859093e-08
0.03,-1.79588812524026e-05,2.93083298838026e-05,-0.000127470150509487,6.08721297227408e-05,5.71483580924537e-06,-5.8754331327000904e-05,4.0279375928200794e-09,8.91637548904427e-10,1.97007107205943e-08
0.04,-1.17723198539429e-05,2.9517149722473998e-05,-0.000114419712074374,8.51240768480525e-05,8.04656546959906e-06,-7.40818370585947e-05,7.384695973976679e-09,9.36009343595493e-10,1.85799890931588e-08
0.05,-4.77047172524633e-06,2.9585827631922802e-05,-9.900536938267529e-05,0.000112668997539382,1.06710307752715e-05,-8.616123156732e-05,1.27170604070105e-08,9.891920944726392e-10,1.72258209917973e-08
0.06,2.3235789318394e-06,2.9397577152398603e-05,-8.20907722761902e-05,0.00014419052835475802,1.3580543324905e-05,-9.463652836962e-05,2.0796307486276697e-08,1.0486486994308502e-09,1.56949673947552e-08
0.07,8.62345072525302e-06,2.88411455665036e-05,-6.457458191073609e-05,0.000180263278802743,1.67282141278487e-05,-9.93912146920624e-05,3.2569213587126403e-08,1.11164482549541e-09,1.4048490186910001e-08
0.08,1.30869421213649e-05,2.78232128627349e-05,-4.7322541960437105e-05,0.000221318674859857,2.0032229283327697e-05,-0.00010054111951662,4.9153223895811105e-08,1.17542138406487e-09,1.23479396912526e-08
0.09,1.4531460680096899e-05,2.6278410517796102e-05,-3.11067003659685e-05,0.000267608145457263,2.3383889266222697e-05,-9.84079359651254e-05,7.18252828645728e-08,1.23736113655679e-09,1.0651748668574399e-08
0.1,1.1659030196155e-05,2.41758796304171e-05,-1.65571963809003e-05,0.00031916591168202403,2.66582788800115e-05,-9.34771087646259e-05,1.0200281216493301e-07,1.29513698874888e-09,9.0121106149894e-09
0.11,3.09175486210576e-06,2.15217829828689e-05,-4.13040094307259e-06,0.000375774236107654,2.9726155120867102e-05,-8.634524294344749e-05,1.41215835470418e-07,1.34683144103156e-09,7.4725611909135e-09
