# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-7.557159192490501e-07,-1.34691784682478e-11,-1.3341566962488801e-11,-1.34691784682478e-11,2.5213659043625698e-11,2.50698173384679e-11,2.5213659043625698e-11,5.174242815664601e-09,2.6506440186580004e-11,5.174242815664601e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.022,0.0,-1.2920437812835302e-05,-6.34975169849484e-11,-2.98723633316902e-12,-6.34975169849484e-11,6.05126156255194e-11,-1.36483902172303e-11,6.05126156255194e-11,5.14995624875779e-07,-1.09720290482422e-11,5.14995624875779e-07,0.0,0.0,0.0,7.421341834111196e-12,4.843521158815948e-17,7.421341834111196e-12
0.042,0.0,-1.9375594785764498e-05,-3.40900425335656e-10,5.89541149927094e-11,-3.40900425335656e-10,5.577004062698081e-10,5.834048554107629e-11,5.577004062698081e-10,1.5380003993981502e-06,1.7615133097318e-12,1.5380003993981502e-06,0.0,-0.0,0.0,6.623436858893518e-11,6.63243171104512e-16,6.623436858893518e-11
0.062,0.0,-2.01205914698727e-05,-9.22719903851149e-10,6.833668987716621e-11,-9.22719903851149e-10,1.3559585120055498e-09,7.25471109938266e-11,1.3559585120055498e-09,2.6668513370569e-06,1.4036559899100099e-11,2.6668513370569e-06,0.0,-0.0,0.0,2.0685564726062282e-10,1.1462343833319983e-15,2.0685564726062282e-10
0.082,0.0,-1.5155348996760998e-05,-1.8570190380210396e-09,5.45989303443839e-11,-1.8570190380210396e-09,2.5997733467926897e-09,4.73334699839003e-11,2.5997733467926897e-09,3.52658541931074e-06,2.55578966949283e-11,3.52658541931074e-06,0.0,-0.0,0.0,3.8738723065229024e-10,2.5150563799801504e-15,3.8738723065229024e-10
0.102,0.0,-4.48030500469347e-06,-3.18596869445365e-09,-1.21058948309837e-11,-3.18596869445365e-09,4.372676609050129e-09,2.07434491496641e-11,4.372676609050129e-09,3.7603563865210604e-06,6.02942050284997e-12,3.7603563865210604e-06,0.0,-0.0,0.0,5.030549602900071e-10,2.9564288002660962e-15,5.030549602900071e-10
0.122,0.0,1.1903586397419198e-05,-4.57802000900242e-09,-7.318838576843409e-11,-4.57802000900242e-09,6.35520940007178e-09,2.09584023638168e-12,6.35520940007178e-09,3.0427211993951803e-06,-2.52975021752906e-11,3.0427211993951803e-06,0.0,-0.0,0.0,4.615321606826449e-10,3.244070474844526e-15,4.615321606826449e-10
0.142,0.0,3.3994854708342e-05,-5.47392344422143e-09,-1.31401703555065e-10,-5.47392344422143e-09,7.785270959926041e-09,-2.6569731621213398e-11,7.785270959926041e-09,1.09372427230981e-06,-4.96907379043536e-11,1.09372427230981e-06,0.0,-0.0,0.0,3.161867258076806e-10,6.3689321771629615e-15,3.161867258076806e-10
0.162,0.0,6.17915131552989e-05,-4.91255981332557e-09,-1.47845852929664e-10,-4.91255981332557e-09,7.58401626093144e-09,-5.19322205485168e-11,7.58401626093144e-09,-2.3246157108688802e-06,-8.1850347359164e-11,-2.3246157108688802e-06,0.0,-0.0,0.0,4.44745821443019e-10,1.771195050428975e-14,4.44745821443019e-10
0.182,0.0,9.52910588572478e-05,-1.99217872834851e-09,-1.2753549324733898e-10,-1.99217872834851e-09,4.567842992823371e-09,-6.76116861843236e-11,4.567842992823371e-09,-7.405809470872391e-06,-1.0152420297407901e-10,-7.405809470872391e-06,0.0,-0.0,0.0,1.761319671665723e-09,4.2258222800726906e-14,1.761319671665723e-09
0.202,0.0,0.000134490473030802,3.878400658391789e-09,-1.38636773644926e-10,3.878400658391789e-09,-2.3646460882736102e-09,-4.55552624745787e-11,-2.3646460882736102e-09,-1.43005905470203e-05,-9.29700722693474e-11,-1.43005905470203e-05,-0.0,-0.0,-0.0,5.949421860012972e-09,7.827446660964812e-14,5.949421860012972e-09
0.222,0.0,0.000179386221238708,1.3273237746200901e-08,-1.50179885755521e-10,1.3273237746200901e-08,-1.4137636719950199e-08,2.37256431902035e-11,-1.4137636719950199e-08,-2.31276213909821e-05,-9.76406057209351e-11,-2.31276213909821e-05,-0.0,-0.0,-0.0,1.5707668064635563e-08,1.266926038947432e-13,1.5707668064635563e-08
0.242,0.0,0.000229974253680021,2.6540366995414904e-08,-1.46382934794368e-10,2.6540366995414904e-08,-3.14397251665662e-08,7.04591603318105e-11,-3.14397251665662e-08,-3.39767263182455e-05,-8.410787083587041e-11,-3.39767263182455e-05,-0.0,-0.0,-0.0,3.5002644492051085e-08,1.879691427885554e-13,3.5002644492051085e-08
0.262,0.0,0.000286250005523643,4.35928398484873e-08,-1.51577211747774e-10,4.35928398484873e-08,-5.456019421643139e-08,1.2469637950210298e-10,-5.456019421643139e-08,-4.6908154474103294e-05,-8.122673254990559e-11,-4.6908154474103294e-05,-0.0,-0.0,-0.0,6.932028332594707e-08,2.6230032884086453e-13,6.932028332594707e-08
0.282,0.0,0.00034820839728439903,6.404161720907411e-08,-1.38739620119183e-10,6.404161720907411e-08,-8.345861332453259e-08,1.4824554982769301e-10,-8.345861332453259e-08,-6.19543174319615e-05,-6.63772908933877e-11,-6.19543174319615e-05,-0.0,-0.0,-0.0,1.2590839977053852e-07,3.304196045392831e-13,1.2590839977053852e-07
0.302,0.0,0.000415843835239723,8.70516947375086e-08,-1.2730913656776e-10,8.70516947375086e-08,-1.17528960058021e-07,1.17599699722621e-10,-1.17528960058021e-07,-7.91203566923257e-05,-2.8454326800123597e-12,-7.91203566923257e-05,-0.0,-0.0,-0.0,2.140040356040497e-07,3.685932144588062e-13,2.140040356040497e-07
0.322,0.0,0.0004891502118902321,1.1131069132840901e-07,-1.08009366718789e-10,1.1131069132840901e-07,-1.55515100256924e-07,1.02964882760508e-10,-1.55515100256924e-07,-9.83840602572543e-05,2.44366730429485e-11,-9.83840602572543e-05,-0.0,-0.0,-0.0,3.4503730544392366e-07,3.5938323910031754e-13,3.4503730544392366e-07
0.342,0.0,0.000568120906464107,1.3509816594716301e-07,-1.22581036210097e-10,1.3509816594716301e-07,-1.9587530820424302e-07,5.6448714283442895e-11,-1.9587530820424302e-07,-0.00011969680995069199,3.3429409773777e-11,-0.00011969680995069199,-0.0,-0.0,-0.0,5.328051701543404e-07,2.9226677656514596e-13,5.328051701543404e-07
0.362,0.0,0.000652748785458873,1.56486273730661e-07,-1.5158414439107202e-10,1.56486273730661e-07,-2.3661605415468398e-07,2.3806485480449202e-11,-2.3661605415468398e-07,-0.000142986466822522,4.6129284880312996e-11,-0.000142986466822522,-0.0,-0.0,-0.0,7.936115228955124e-07,2.199960357299599e-13,7.936115228955124e-07
0.382,0.0,0.000743026203229734,1.7320610729212e-07,-1.43438652716551e-10,1.7320610729212e-07,-2.75382122193581e-07,-1.85947411325885e-11,-2.75382122193581e-07,-0.00016816038214576102,6.62767940631415e-11,-0.00016816038214576102,-0.0,-0.0,-0.0,1.1463719281900752e-06,7.813288567368461e-14,1.1463719281900752e-06
0.402,0.0,0.000838945002620214,1.8256169631591002e-07,-1.46015209628722e-10,1.8256169631591002e-07,-3.0944834027001803e-07,-3.38739240874059e-11,-3.0944834027001803e-07,-0.000195105597372965,8.92951465925494e-11,-0.000195105597372965,-0.0,-0.0,-0.0,1.6126781032137565e-06,-1.3085348017377098e-13,1.6126781032137565e-06
0.422,0.0,0.000940496515630304,1.8182439798122699e-07,-1.01449243300017e-10,1.8182439798122699e-07,-3.35968802503338e-07,-1.94661534182244e-12,-3.35968802503338e-07,-0.00022369135093335698,8.84244713465524e-11,-0.00022369135093335698,-0.0,-0.0,-0.0,2.2168166273492223e-06,-3.8013727997130366e-13,2.2168166273492223e-06
