# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.000108987960701859,-0.000180514511804567,-0.00517318030757371,-2.0188949439325398e-05,-3.51663195958386e-05,-0.00047599703706740896,1.2285969257413701e-08,3.38221590059578e-08,2.69883676739654e-05
0.02,-0.00010290002339295,-0.000169710950852713,-0.00520069639514108,-3.93846995550391e-05,-6.861263675473149e-05,-0.000981592620240864,1.21395693733104e-08,3.35095007617686e-08,2.8010767066544798e-05
0.03,-9.3216365313779e-05,-0.000152469487342836,-0.00522698155584156,-5.6684759152569103e-05,-9.876147537229659e-05,-0.00154241260868219,1.19024526824967e-08,3.30007735883001e-08,2.97003728405297e-05
0.04,-8.057833635821801e-05,-0.000129856258302006,-0.0052248180429124,-7.13572004684443e-05,-0.000124304224954579,-0.00217652456500697,1.15847183489519e-08,3.23141881617558e-08,3.2035982763621697e-05
0.05,-6.57846319401289e-05,-0.000103212814200334,-0.00516017459816299,-8.29001976239486e-05,-0.00014429716637326002,-0.00289158699021515,1.1200060565588e-08,3.1474557238505e-08,3.49886772055081e-05
0.06,-4.97071046086464e-05,-7.402729266521429e-05,-0.00499579976496682,-9.10743788878172e-05,-0.000158216902012034,-0.00368300697084688,1.07653387383766e-08,3.0512628141626904e-08,3.85225556389492e-05
0.07,-3.3201759545113e-05,-4.37972395273446e-05,-0.00469521321059541,-9.5904582795277e-05,-0.00016597002151501298,-0.00453327901161389,1.03000458380276e-08,2.94642462319094e-08,4.2595645690088705e-05
0.08,-1.70258317040016e-05,-1.39001649172307e-05,-0.0042267167683813,-9.76514788689172e-05,-0.00016785753539698,-0.005412561583988939,9.825690270499558e-09,2.83693667742747e-08,4.71609575405885e-05
0.09,-1.77093230062352e-06,1.45134370941005e-05,-0.0035670527100023796,-9.67572909804913e-05,-0.000164500144662359,-0.00628042886917402,9.36510955909686e-09,2.7270937450221606e-08,5.216765181668979e-05
0.1,1.2179924342133198e-05,4.05930835865125e-05,-0.00270437937114141,-9.377305674489542e-05,-0.000156735064310504,-0.00708862592510196,8.94173672826145e-09,2.62136788194796e-08,5.75622852890828e-05
0.11,2.46667507632994e-05,6.38203912736984e-05,-0.0016403078768326802,-8.927706218510841e-05,-0.00014549829110882,-0.007784567167735159,8.57884242562244e-09,2.5242795057914902e-08,6.329009591977951e-05
0.12,3.5737510849560496e-05,8.39986993830732e-05,-0.000390839323317722,-8.379503396322909e-05,-0.000131707518661077,-0.008315258974217291,8.29877739862118e-09,2.4402651969906003e-08,6.92962871849526e-05
0.13,4.5606343344590996e-05,0.00010120407241092,0.00101385168356119,-7.7732247386348e-05,-0.00011616022958400601,-0.008631302107722791,8.12224083699714e-09,2.3735463209563597e-08,7.55272713110398e-05
0.14,5.45912344293168e-05,0.00011570626684650901,0.00253073545260087,-7.1325993259906e-05,-9.945897772552941e-05,-0.008690639231684541,8.06760019102878e-09,2.3280028437762902e-08,8.193183218634541e-05
0.15,6.30397893056192e-05,0.00012787171875227,0.00410620182099189,-6.462408410895229e-05,-8.19718972406074e-05,-0.00846175383185565,8.1502872826178e-09,2.30705683938843e-08,8.84621713056408e-05
0.16,7.125310084979609e-05,0.000138062402881403,0.0056790716933166,-5.7491646292174294e-05,-6.3831607670387e-05,-0.007926092913143579,8.382293774095699e-09,2.3135701227173198e-08,9.50748041656148e-05
0.17,7.941776023195591e-05,0.000146544353070283,0.00718407932425622,-4.9644795064723206e-05,-4.49705930736025e-05,-0.007079568083088091,8.771786317278809e-09,2.34976016581792e-08,0.000101731279980285
0.18,8.755482339378659e-05,0.00015341779578962,0.00855554134864353,-4.07063986201055e-05,-2.5186493031089e-05,-0.0059330781648715795,9.32285798813609e-09,2.4171379496150495e-08,0.000108398704278825
0.19,9.54922278261667e-05,0.00015857754573588798,0.00973093889441573,-3.0276433299133897e-05,-4.22714241733785e-06,-0.00451208154755871,1.0035427988521401e-08,2.5164706744634197e-08,0.000115050051658673
0.2,0.00010286407227445401,0.000161708038424593,0.0106541735545019,-1.8007743479529002e-05,1.81169390455529e-05,-0.0028553196437124,1.09052961901085e-08,2.6477713171509903e-08,0.00012166426439721699
0.21,0.000109136743768975,0.00016231273174568001,0.0112783101842699,-3.67753273697015e-06,4.19253654553883e-05,-0.00101284786821767,1.1924353087526399e-08,2.8103159155312902e-08,0.000128226141416758
0.22,0.00011365854990285501,0.00015977321903087099,0.0115676817502203,1.27543476660447e-05,6.70775732781592e-05,0.000956435972687261,1.3080939350406001e-08,3.00268823563734e-08,0.00013472603084423
0.23,0.00011572670966475901,0.000153429818008391,0.0114992958602557,3.11074165470888e-05,9.32083305497815e-05,0.00298756462629428,1.43603426940654e-08,3.22285019379654e-08,0.000141159347677979
0.24,0.000114663610774477,0.000142673052919003,0.0110635420067781,5.09673414852459e-05,0.000119694408309834,0.005012383036081479,1.57454135339144e-08,3.46823514098701e-08,0.00014752594543614
0.25,0.00010989336833395699,0.000127034563137432,0.0102642473910487,7.16988338079204e-05,0.000145673673761581,0.00696237044426653,1.72172751731985e-08,3.7358599458713596e-08,0.000153829376707846
0.26,0.00010100998375129499,0.000106266574199476,0.00911816402165568,9.24828773417961e-05,0.00017009386625578999,0.0087712693938942,1.87560994188546e-08,4.02245081299354e-08,0.000160076081906081
0.27,8.78297187956604e-05,8.040098008367141e-05,0.00765398943508735,0.00011237373056659599,0.000191784912163305,0.0103774271224708,2.03419148251787e-08,4.3245770131901494e-08,0.000166274547954621
0.28,7.042244897667041e-05,4.97819702725464e-05,0.00591102885549068,0.00013036905755065,0.000209546218897905,0.0117257928016642,2.1955412486516398e-08,4.63878624186253e-08,0.000172434478958004
0.29,4.9119427130247704e-05,1.5069547750105802e-05,0.00393760058241477,0.00014548537903254,0.000222239197060171,0.0127695466129768,2.35787136338456e-08,4.96173519793424e-08,0.00017856601904762
0.3,2.44977050853276e-05,-2.27852555969904e-05,0.0017892726380906699,0.000156830885986721,0.00022887534652448198,0.0134713609953688,2.51960643538277e-08,5.29030921193217e-08,0.00018467906364096398
0.31,-2.65593780504482e-06,-6.25895993566481e-05,-0.00047299864002033797,0.00016366848066975802,0.00022869148536235499,0.0138043095366106,2.6794425570371203e-08,5.6217253424865696e-08,0.000190782689496019
0.32,-3.1396642257858505e-05,-0.000102976318929516,-0.0027847744747044,0.000165463536142954,0.00022120583296206202,0.0137524455147218,2.8363930937998505e-08,5.95361427967132e-08,0.000196884726510357
0.33,-6.0682467107665196e-05,-0.000142482173471648,-0.00508004427610195,0.000161913030697262,0.000206251317948852,0.0133110719246799,2.98981913238454e-08,6.284077591284351e-08,0.000202991485631157
0.34,-8.94380746056933e-05,-0.0001796290723223,-0.007293110167151191,0.00015295510010277,0.000183985268223874,0.0124867206304692,3.13944318366219e-08,6.61171825467811e-08,0.00020910764801358798
0.35,-0.000116614861241692,-0.00021300117159964198,-0.0093604179531658,0.000138760331815579,0.00015487717831925402,0.0112968529682946,3.28534555479887e-08,6.935643946695401e-08,0.00021523631124521398
0.36,-0.000141242446197513,-0.0002413121649371,-0.0112223057731808,0.00011970801193453601,0.00011967823643073601,0.00976929028860786,3.42794367291762e-08,7.25544412218011e-08,0.00022137917960985402
0.37,-0.000162468099186333,-0.000263458991778139,-0.0128246373312404,9.63518130584894e-05,7.937753860635791e-05,0.00794138242747073,3.5679555132878306e-08,7.57114339839573e-08,0.00022753687753718598
0.38,-0.00017958260415451398,-0.000278560232745782,-0.0141202814152432,6.93799639174104e-05,3.5150356484906604e-05,0.005858925823706121,3.70634911080981e-08,7.88313508284005e-08,0.000233709359053354
0.39,-0.00019203293150186798,-0.000285979352021827,-0.0150703955971388,3.9574763327735206e-05,-1.16964830938845e-05,0.00357485078587435,3.84428086736473e-08,8.192099749958951e-08,0.00023989638159552598
0.4,-0.000199423673251259,-0.000285334440179367,-0.0156454714268951,7.77548775175094e-06,-5.9777942744185594e-05,0.00114770818104946,3.98302596628025e-08,8.49891451911998e-08,0.000246098010238638
0.41,-0.000201510289153412,-0.000276497056978322,-0.0158261022500958,-2.51525284396089e-05,-0.000107679933724674,-0.00136000216563205,4.12390463215972e-08,8.80455906446235e-08,0.00025231511832101
0.42,-0.000198187708624485,-0.000259583125260389,-0.0156034433009445,-5.8341359015030394e-05,-0.000154002742917002,-0.0038836078283192798,4.26820820215446e-08,9.11002437459108e-08,0.000258549852609972
0.43,-0.000189477720327003,-0.00023493863635369502,-0.0149793463841685,-9.093669979272759e-05,-0.00019739841934603202,-0.006358082826925271,4.4171289869510596e-08,9.41622988120458e-08,0.000264806035330944
0.44,-0.00017551793520455101,-0.000203122325959821,-0.0139661669657783,-0.000122108277128828,-0.00023660274494881299,-0.00871984297742545,4.57169769218397e-08,9.723953822064071e-08,0.00027108948126695296
0.45,-0.000156554079942238,-0.000164886648362108,-0.0125862580724314,-0.000151056736288325,-0.000270462935916814,-0.0109084519072237,4.7327317524640994e-08,1.00337806512832e-07,0.000277408215278058
0.46,-0.00013293616220676799,-0.00012115751127085601,-0.0108711811208019,-0.00017701963167946998,-0.000297962309388662,-0.0128681779791877,4.90079732221993e-08,1.0346068035357199e-07,0.000283772583465331
0.47,-0.000105117856588039,-7.30125093926347e-05,-0.00886067689132885,-0.000199278963411223,-0.000318242861907806,-0.0145493527095669,5.076186903191519e-08,1.0660934568308001e-07,0.00029019525923991
0.48,-7.36574826346561e-05,-2.16569405745294e-05,-0.00660144898706631,-0.000217172080061288,-0.000330626157407544,-0.0159094947892404,5.25891371062213e-08,1.09782679037127e-07,0.000296691153177706
0.49,-3.92183297059798e-05,3.16032311020301e-05,-0.00414581655381437,-0.000230106827380396,-0.000334632264052038,-0.0169141788836642,5.44872293919984e-08,1.1297751636068099e-07,0.000303277242206475
0.5,-2.5659086773091097e-06,8.53920894421299e-05,-0.00155029273914336,-0.00023758073893800097,-0.00032999586617624,-0.017537643266588,5.6451191401666906e-08,1.1618908063269901e-07,0.000309972338923138
0.51,3.54400141790041e-05,0.000138298304353162,0.0011258590748751802,-0.000239203021673342,-0.000316678242198248,-0.0177631434906428,5.84740801826656e-08,1.19411530068732e-07,0.000316796825325644
0.52,7.38600826204939e-05,0.00018891300733372,0.00382204674124246,-0.000234717254881858,-0.000294873630303692,-0.0175830695687461,6.054750154398151e-08,1.22638582188349e-07,0.00032377237675160697
