# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.0046806732154039705,-0.000201379332780658,-5.63232209389771e-05,0.0027570184757636897,-2.2755914465085397e-05,-5.301064406108429e-05,2.95098526251025e-05,4.10714673143252e-08,5.982433600711801e-09
0.02,-0.006024417230233279,-0.00019477834936993898,-3.37897064947805e-05,0.00527591787366488,-4.4350868894092e-05,-0.000102030329880162,6.412891237358821e-05,3.99056049549389e-08,1.15519324804581e-08
0.03,-0.00816537567803214,-0.000184309257966354,2.0281177932004903e-06,0.00733365701248065,-6.37142747695244e-05,-0.000143360351305296,0.00012045588514010501,3.80294113815145e-08,2.0556303588161103e-08
0.04,-0.0109623178347225,-0.000170728155906964,4.8669471577182e-05,0.00873633257176008,-7.99497962613441e-05,-0.000173860536668661,0.000196495919113872,3.55400731416231e-08,3.25962036743168e-08
0.05,-0.0142304137770538,-0.00015501100143413,0.00010296709403365,0.00933128024893704,-9.24065986364105e-05,-0.000191166363305474,0.000289577467350366,3.25673900371625e-08,4.71468009131748e-08
0.06,-0.0177530239034918,-0.000138277634179595,0.000161292474676283,0.00901642372211205,-0.000100732522605454,-0.000193838912192851,0.000396465754454616,2.9267745224764103e-08,6.35887862673074e-08
0.07,-0.0212953800325063,-0.000121703242704706,0.000219828767648726,0.007746283337594109,-0.000104904801549432,-0.00018143668232453201,0.0005134981162751571,2.5816696672966298e-08,8.12439567788904e-08
0.08,-0.0246192149875086,-0.00010642362890875,0.00027484635793316003,0.00553430219971831,-0.000105235345305109,-0.000154506262748146,0.000636734247438976,2.24004666915929e-08,9.941270569752211e-08
0.09,-0.0274973521760067,-9.34413870813331e-05,0.00032295691954959104,0.00245141309359168,-0.000102349334805107,-0.000114496866459798,0.000762113802846774,1.9206679154731398e-08,1.1741070431407401e-07
0.1,-0.0297272958970389,-8.35404333306228e-05,0.00036132520865515496,-0.0013789661980716699,-9.713783401834209e-05,-6.36108470408586e-05,0.0008856136691255279,1.6414762798843203e-08,1.3460224627094702e-07
0.11,-0.0311429622194047,-7.72160936527132e-05,0.000387823272537575,-0.005789079903913721,-9.06872126601379e-05,-4.607765850180159e-06,0.0010033975419331698,1.41864956590496e-08,1.5042812222788402e-07
0.12,-0.0316238488221376,-7.46271228275205e-05,0.00040111850322652003,-0.010577493130527,-8.419022540878199e-05,5.94171926351875e-05,0.00111195117525176,1.26572015158953e-08,1.6442645641133098e-07
0.13,-0.0311011452194604,-7.55745705267908e-05,0.000400694166885477,-0.015521485400018,-7.88454189690682e-05,0.000125258899502248,0.0012081977429849401,1.1928115802716798e-08,1.76245607280561e-07
0.14,-0.0295605143847527,-7.9510391819399e-05,0.00038680782750356,-0.0203903181397945,-7.57529326966587e-05,0.00018981214171786,0.0012895890845332,1.2060409219418899e-08,1.85648944561545e-07
0.15,-0.0270415138149236,-8.55762473946177e-05,0.000360398683667214,-0.0249584980668323,-7.58155307283789e-05,0.000250249444099194,0.00135417009515477,1.30712888177706e-08,1.92511995461016e-07
0.16,-0.0236338499706232,-9.267025541642769e-05,0.000322958671589065,-0.0290182046422387,-7.965370560929799e-05,0.000304155778730526,0.00140061506509277,1.49324890562387e-08,1.96813041289747e-07
0.17,-0.0194708583774935,-9.95367974998175e-05,0.000276383936394569,-0.0323901519407198,-8.75428474452178e-05,0.000349614947174103,0.00142823626869932,1.75713241953363e-08,1.98618691584508e-07
0.18,-0.0147207595012588,-0.000104872129011287,0.000222822904448478,-0.0349323017688435,-9.93787916041101e-05,0.00038524821334674704,0.00143696646716345,2.08743076640532e-08,1.98066232633716e-07
0.19,-0.00957634912372005,-0.00010743677504550601,0.00016453494514838,-0.0365460214146102,-0.000114675655252858,0.000410210773845347,0.0014273181437765199,2.4693166539851e-08,1.95344627153779e-07
0.2,-0.00424383732144501,-0.00010616474007395601,0.000103769960763474,-0.0371794705750164,-0.000132596958024726,0.000424155317111835,0.0014003231874494,2.88529053123816e-08,1.9067593779109398e-07
0.21,0.0010684471693890199,-0.00010025957447237199,4.2674806849659295e-05,-0.0368281925991329,-0.000152017881937531,0.000427173904059482,0.00135745734947261,3.3161418702154204e-08,1.84298683449075e-07
0.22,0.0061608158184521394,-8.92683725456197e-05,-1.6772101038944902e-05,-0.0355330615363209,-0.000171613493650473,0.000419729615043312,0.00130055411369286,3.7420033539864305e-08,1.76454253117668e-07
0.23,0.0108518566467401,-7.31267529557827e-05,-7.28006607564692e-05,-0.0333758874410515,-0.000189965167566695,0.00040258801438644104,0.00123171265515914,4.14342868864986e-08,1.67377045534196e-07
0.24,0.0149864781129772,-5.2170605646455605e-05,-0.00012386909068226002,-0.0304730999635483,-0.000205675612684853,0.000376755856682894,0.00115320434761915,4.50242297468075e-08,1.57288527171311e-07
0.25,0.0184420254312742,-2.7113593533940803e-05,-0.000168671354045539,-0.0269680098878879,-0.00021748204228375502,0.000343431114929201,0.00106738185932098,4.8033585670236904e-08,1.4639495637706999e-07
0.26,0.0211322768504661,1.00727826190849e-06,-0.00020613945499962,-0.0230221887642047,-0.00022435724564839904,0.000303964926563444,0.000976594300379419,5.03371882844329e-08,1.3488815148826e-07
0.27,0.0230092675312579,3.09126400713285e-05,-0.000235446892036896,-0.0188065099103203,-0.000225589608754289,0.000259832982249895,0.000883111207331972,5.18462628940927e-08,1.22948417634708e-07
0.28,0.0240630174412717,6.11804212535089e-05,-0.00025601735323909903,-0.0144923640367984,-0.00022083534053560097,0.00021261167402664198,0.0007890574237540309,5.25112915742317e-08,1.10748609091965e-07
0.29,0.0243193503656219,9.035473506215358e-05,-0.000267539945012996,-0.0102435055013015,-0.000210139035308838,0.000163953263997221,0.00069636020716107,5.23223923086809e-08,9.84582949528993e-08
0.3,0.0238360791128448,0.00011705395500566699,-0.000269989362365981,-0.006208907635075121,-0.00019392190289939598,0.00011555452941109299,0.0006067092014946901,5.13073328065915e-08,8.62471050582084e-08
0.31,0.0226978948582067,0.000140068464068119,-0.00026364691970083397,-0.0025169149270665,-0.0001729401533203,6.91146870438587e-05,0.0005215292917442981,4.95274712568509e-08,7.42865382329084e-08
0.32,0.0210103358394274,0.000158440050522066,-0.00024911666653910697,0.000729116944270268,-0.000148218773228418,2.6280631977485e-05,0.00044196582360394806,4.7072054346772096e-08,6.27497851646925e-08
0.33,0.0188932234626569,0.000171517184147848,-0.00022733017391572203,0.00345359891561391,-0.000120967977941977,-1.1419745529363301e-05,0.00036888123827982,4.4051396145377405e-08,5.1809418560508004e-08
0.34,0.0164739446902381,0.000178983133381933,-0.000199534086792487,0.0056099011348461295,-9.24907651049191e-05,-4.26526239531531e-05,0.00030286184439977203,4.0589503664908e-08,4.16330981222009e-08
0.35,0.0138809316177951,0.000180856731057404,-0.00016725611438681698,0.007180039005187309,-6.40901559439845e-05,-6.635576685948211e-05,0.000244233222693915,3.68167052576946e-08,3.23776955952861e-08
0.36,0.0112376461512977,0.00017746822063798798,-0.000132247538923199,0.00817300043882694,-3.69839377382494e-05,-8.18109347906468e-05,0.00019308262719484,3.2862780987040496e-08,2.4182440602562403e-08
0.37,0.00865732360565287,0.00016941472203014498,-9.64032160817173e-05,0.00862191663781852,-1.22331832061593e-05,-8.870301501676858e-05,0.00014928669852248602,2.88509988119069e-08,1.71618049439634e-08
0.38,0.00623866777335047,0.000157501239141258,-6.166301028230789e-05,0.008580317740138,9.31122633122323e-06,-8.715817934834029e-05,0.00011254282810796899,2.48933392668231e-08,1.1398875064393501e-08
0.39,0.00406262526780296,0.000142673694501264,-2.99012474909575e-05,0.008117737995970141,2.7042104171134802e-05,-7.77549223586741e-05,8.24025942378083e-05,2.10870585006426e-08,6.93991255251894e-09
0.4,0.00219030213960137,0.000125950241881294,-2.81272490201885e-06,0.007314943315738579,4.0609677730093e-05,-6.15042341148859e-05,5.830581917521079e-05,1.75126093552983e-08,3.79068223543313e-09
0.41,0.000662023925965172,0.000108356205915077,1.81951628100446e-05,0.00625904817882921,4.9917512418854794e-05,-3.97981207313062e-05,3.96139597834556e-05,1.4232825406397e-08,1.91495436342766e-09
0.42,-0.0005025159733099139,9.08666396392011e-05,3.20946632210349e-05,0.0050387706069212794,5.5103877392665396e-05,-1.4328838239602801e-05,2.5641731532605498e-05,1.12931835030263e-08,1.2353830125683502e-09
0.43,-0.00130312326363096,7.43589321258319e-05,3.8305848963004605e-05,0.00374004516586722,5.651240352467479e-05,1.3015826234052699e-05,1.5686068082943e-05,8.72290253902975e-09,1.6367497973315698e-09
0.44,-0.00175712797221112,5.9576396389245104e-05,3.67343298188769e-05,0.00244217703256388,5.46558780739214e-05,4.02734478090081e-05,9.05172736910929e-06,6.536612014759809e-09,2.97136158566693e-09
0.45,-0.00189673963925223,4.71025413426105e-05,2.7774763636667103e-05,0.00121467750935289,5.01765087147402e-05,6.553459836868709e-05,5.07306271083843e-06,4.736331427732729e-09,5.06622107841786e-09
0.46,-0.00176592209183328,3.7344928665261403e-05,1.22794858292086e-05,0.00011487553658463401,4.38051544129772e-05,8.70670844754016e-05,3.13167722333045e-06,3.31353525015824e-09,7.73146297127644e-09
0.47,-0.00141698439327039,3.05271935896211e-05,-8.50533876810887e-06,-0.0008136467371496809,3.63210791108406e-05,0.00010342694385680101,2.6698657836461702e-06,2.25113033623415e-09,1.0769473503118199e-08
0.48,-0.000907081229256342,2.66879313950839e-05,-3.30308386335165e-05,-0.0015417910514159698,2.85129484747416e-05,0.000113547580788839,3.19991600269557e-06,1.52523391287198e-09,1.3984089403831398e-08
0.49,-0.0002948034119716,2.56856005155587e-05,-5.9556384268848096e-05,-0.0020548905023195,2.1141230415702302e-05,0.000116800417173984,4.30948402823299e-06,1.10670169733469e-09,1.7189300359195398e-08
0.5,0.000362981179587527,2.7209194087564603e-05,-8.62714162961322e-05,-0.00235194054573565,1.49019767292699e-05,0.00011302297320968899,5.66337966741006e-06,9.624091533344589e-10,2.02169497428985e-08
0.51,0.00101390230079495,3.07949881895666e-05,-0.00011141856064771999,-0.00244421536235714,1.03921701388801e-05,0.000102513099799183,7.00218661313994e-06,1.0563284977909802e-09,2.29230312872469e-08
0.52,0.00161237428849135,3.58500063741961e-05,-0.000133408657969854,-0.0023533925033152802,8.07734618904039e-06,8.59908879418714e-05,8.13820712084855e-06,1.3504664784875098e-09,2.5192302830348997e-08
0.53,0.0021213245957907,4.16828156566933e-05,-0.000150919347729823,-0.0021093219658121602,8.262899367670039e-06,6.45323238550421e-05,8.94925719616425e-06,1.80573262703012e-09,2.6941070341327297e-08
0.54,0.00251332639099757,4.754183314040129e-05,-0.000162970515361719,-0.0017475813786210301,1.1071169964874499e-05,3.94808328860243e-05,9.37085022258788e-06,2.3827967027409e-09,2.81181250426384e-08
0.55,0.00277112962176045,5.266050603705471e-05,-0.00016897204590921201,-0.0013069573447778901,1.64268858432251e-05,1.23443107032423e-05,9.387296881667101e-06,3.04297147458502e-09,2.8703934305483103e-08
0.56,0.00288761432675112,5.63076456548812e-05,-0.000168741717556744,-0.000826985012638492,2.4053632678080998e-05,-1.5314005719690498e-05,9.022220711187031e-06,3.74912820420771e-09,2.8708286015182596e-08
0.57,0.0028652157844735898,5.7840028290152896e-05,-0.000162493497023374,-0.000345664626473078,3.34836389191124e-05,-4.19824377469627e-05,8.32894552559138e-06,4.46662294787118e-09,2.8166661654062998e-08
0.58,0.00271489259053769,5.6753339111727194e-05,-0.00015079876488976898,0.000102543770583965,4.4082262524123706e-05,-6.629778037878349e-05,7.381157003042011e-06,5.164187369576471e-09,2.7135663175433398e-08
0.59,0.00245472548559698,5.27268446343261e-05,-0.00013452493107531203,0.0004883670499640309,5.50872225325015e-05,-8.71256886939817e-05,6.2641795851299205e-06,5.81472223143771e-09,2.56878427112181e-08
0.6,0.00210824646918975,4.5657012532379e-05,-0.00011475736724971202,0.000788949546325805,6.5660982951148e-05,-0.000103619643598475,5.0671445614987604e-06,6.39592747549276e-09,2.3906283877560296e-08
0.61,0.00170260435012096,3.56757609818344e-05,-9.27114980065698e-05,0.000988633827437363,7.495298765767671e-05,-0.000115255542065848,3.87625841780427e-06,6.890710280444821e-09,2.18792618395147e-08
0.62,0.00126667444681429,2.31501275046784e-05,-6.96422179719073e-05,0.00107928222579354,8.21669145690825e-05,-0.00012184100974619399,2.7693142771261502e-06,7.28733025328577e-09,1.9695270180018796e-08
0.63,0.0008292168064906219,8.661813266581031e-06,-4.67575462603313e-05,0.0010601531303131,8.66270110562817e-05,-0.000123500535153621,1.8115251718791699e-06,7.57926605361027e-09,1.74386503155177e-08
0.64,0.000417179302493254,-7.03289545341965e-06,-2.51426446791018e-05,0.0009373679387999981,8.783709170621609e-05,-0.00012063932052874399,1.05269722311891e-06,7.76481629786496e-09,1.51859982390966e-08
0.65,5.42296510263171e-05,-2.3060149265206e-05,-5.69910135138437e-06,0.000723024072792978,8.55260472179035e-05,-0.000113890203619623,5.25704664888582e-07,7.84647523685264e-09,1.30034582367326e-08
0.66,-0.000240415737505892,-3.8497795609965294e-05,1.08971632221466e-05,0.0004340257280833,7.96747522671911e-05,-0.00010404902689622801,2.4617805947874e-07,7.83014641566493e-09,1.0944948164342199e-08
0.67,-0.00045281741442775703,-5.24505746549614e-05,2.4217734303601602e-05,9.071629502229291e-05,7.05209852784847e-05,-9.200435371081619e-05,2.1327305699161e-07,7.72427214628393e-09,9.051299756544822e-09
0.68,-0.0005747659096663481,-6.41240148434298e-05,3.4083403212148104e-05,-0.00028459605063853197,5.854119904966479e-05,-7.86674343859262e-05,4.1135076295363495e-07,7.53896126581287e-09,7.35024360738587e-09
0.69,-0.0006038576532375009,-7.28896713234924e-05,4.05474767809159e-05,-0.000669125728696216,4.441044632151671e-05,-6.490783273647889e-05,8.123733061767429e-07,7.285191928123058e-09,5.85712462384564e-09
0.7,-0.0005432119650704669,-7.833509098828341e-05,4.386381378382971e-05,-0.00104101937227671,2.8944165158559496e-05,-5.1499200955527795e-05,1.37880057245112e-06,6.97415117686861e-09,4.57620185872033e-09
0.71,-0.000400868469645054,-8.029342292919159e-05,4.4443708658886104e-05,-0.00138060550257376,1.3027561636638901e-05,-3.90784409767457e-05,2.06676708369251e-06,6.61675112788246e-09,3.5023677885289503e-09
0.72,-0.000188922683961588,-7.88497498171851e-05,4.28063035364961e-05,-0.0016714156519857099,-2.4602702152830602e-06,-2.8120044288367897e-05,2.82932206221805e-06,6.22333597576489e-09,2.62311651323841e-09
0.73,7.752815487731271e-05,-7.43237369256149e-05,3.95272989019067e-05,-0.0019009261110620101,-1.6719762816705202e-05,-1.89259064214032e-05,3.619530694516e-06,5.80356833923489e-09,1.9205972923523804e-09
0.74,0.00038154776151016497,-6.723077400058271e-05,3.5190369136562395e-05,-0.00206099030343027,-2.9094400895095898e-05,-1.16295148632774e-05,4.39325972514703e-06,5.36646113616199e-09,1.37360769592271e-09
0.75,0.000705547347167863,-5.82261049721182e-05,3.03449356079987e-05,-0.0021479542021697,-3.91181003700558e-05,-6.21224355128645e-06,5.1115043137140996e-06,4.920505076785879e-09,9.594070869940852e-10
0.76,0.00103241414459962,-4.8038219100024897e-05,2.5472909997633e-05,-0.0021624695394401,-4.6542059982395e-05,-2.5286581133542597e-06,5.74215347497564e-06,4.473833841706849e-09,6.55263255601745e-10
0.77,0.0013465086308001599,-3.73988030211251e-05,2.0965824813007997e-05,-0.00210904013031585,-5.1339061786818796e-05,-3.37307789887851e-07,6.2611357641020105e-06,4.0343697325637105e-09,4.3967958663486296e-10
0.78,0.00163447093392336,-2.6976713002451897e-05,1.7112559435285597e-05,-0.00199535384339325,-5.3685737728464504e-05,6.66531158935518e-07,6.65293219418452e-06,3.60990147986613e-09,2.93283954212013e-10
0.79,0.0018857946681449102,-1.73227189189327e-05,1.40967866128993e-05,-0.00183146528117755,-5.3925733306134995e-05,8.19322681706609e-07,6.910486606562531e-06,3.2080613033487396e-09,1.99390682466376e-10
0.8,0.00209314666472227,-8.830304231521201e-06,1.20024222913285e-05,-0.00162890115744046,-5.2518696680631703e-05,4.61431041349427e-07,7.03458194074885e-06,2.8361877738534197e-09,1.44271059465301e-10
0.81,0.00225243202390971,-1.71578065897922e-06,1.0824841359852699e-05,-0.00139976124653155,-4.9981373690817603e-05,-8.541931928121741e-08,7.03278156962556e-06,2.50108161929089e-09,1.17184486926085e-10
0.82,0.00236262381670554,3.98134256953422e-06,1.04854580566381e-05,-0.00115588274218667,-4.68276557940739e-05,-5.34717963427493e-07,6.9180562129492095e-06,2.20868043582425e-09,1.1023075395792799e-10
0.83,0.00242539395702902,8.37911463786349e-06,1.0847448168211199e-05,-0.000908125543196335,-4.3514172620274605e-05,-6.459852570702971e-07,6.707227848998539e-06,1.96369278094152e-09,1.18084428714382e-10
0.84,0.00244459486680012,1.1718444004067801e-05,1.17308508110155e-05,-0.000665821488496074,-4.03970121499394e-05,-2.30734499493147e-07,6.41936231732862e-06,1.76924052051882e-09,1.37666099159558e-10
0.85,0.0024256496050368602,1.43178918636547e-05,1.29259343621019e-05,-0.00043641335448662595,-3.7703549609417e-05,8.450869139143141e-07,6.07423262238974e-06,1.6265596805690802e-09,1.67793951025436e-10
0.86,0.00237491066311121,1.65237653669245e-05,1.4204426342377099e-05,-0.00022529116452254502,-3.5521397626328206e-05,2.66071564544049e-06,5.69095676657125e-06,1.53480451122889e-09,2.08845135461909e-10
0.87,0.00229904470872525,1.8661445245679e-05,1.53288690808537e-05,-3.58157409271867e-05,-3.3804415181635e-05,5.24095583380658e-06,5.28688934001573e-06,1.49098802442983e-09,2.62441845349863e-10
0.88,0.0022044927660506103,2.0993310435244395e-05,1.60608640630986e-05,0.000130495982505675,-3.23937893207507e-05,8.55644446209259e-06,4.87681755701957e-06,1.49007666958772e-09,3.31164096286208e-10
