# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,1.80819295826142e-10,1.80894960102605e-10,1.80819295826142e-10,-6.699370098273899e-11,-6.69970757046445e-11,-6.699370098273899e-11,2.44460437671747e-09,-2.1312310420233998e-10,2.44460437671747e-09,-0.0,-0.0,-0.0,0.0,-0.0,0.0
0.022,0.0,-6.67208539664262e-06,2.91754152284848e-10,3.13794436926529e-10,2.91754152284848e-10,-8.25336517391592e-11,-6.5106481412633e-11,-8.25336517391592e-11,2.65457477627135e-07,-2.03246331427107e-10,2.65457477627135e-07,-0.0,-0.0,-0.0,1.9749110836115277e-12,-2.3897825711979025e-15,1.9749110836115277e-12
0.042,0.0,-1.00055141237505e-05,2.44927945128813e-10,3.1949879669177403e-10,2.44927945128813e-10,-3.5260596503857996e-10,-1.3445170831305401e-10,-3.5260596503857996e-10,7.91864695776327e-07,-3.60893967606704e-10,7.91864695776327e-07,-0.0,-0.0,-0.0,1.761671773985502e-11,-1.1795317607331952e-14,1.761671773985502e-11
0.062,0.0,-1.03902287571547e-05,3.00165140272434e-10,4.60632891857529e-10,3.00165140272434e-10,-7.812312517244891e-10,-1.4682844737279799e-10,-7.812312517244891e-10,1.37261061491269e-06,-2.19507124287948e-10,1.37261061491269e-06,-0.0,-0.0,-0.0,5.4995879736392807e-11,-2.0757112736555092e-14,5.4995879736392807e-11
0.082,0.0,-7.82618856938883e-06,-1.1216550170299199e-10,3.74974138820168e-10,-1.1216550170299199e-10,-1.30582843436962e-09,-1.83663222773571e-10,-1.30582843436962e-09,1.8152525270927798e-06,-1.3262373403866602e-10,1.8152525270927798e-06,-0.0,-0.0,-0.0,1.0297924922294831e-10,-2.5846657141434257e-14,1.0297924922294831e-10
0.102,0.0,-2.31361955588098e-06,-1.02164246679364e-09,1.54923741177948e-10,-1.02164246679364e-09,-1.7528677654823803e-09,-1.57967189710336e-10,-1.7528677654823803e-09,1.93713425696693e-06,9.6556799991586e-11,1.93713425696693e-06,-0.0,-0.0,-0.0,1.3373317963770023e-10,-2.640016120687354e-14,1.3373317963770023e-10
0.122,0.0,6.1469855836460995e-06,-2.13852212623454e-09,-5.53680398991246e-11,-2.13852212623454e-09,-2.06724761381798e-09,-1.0975144238409099e-10,-2.06724761381798e-09,1.5717066479089898e-06,2.1220707689555102e-10,1.5717066479089898e-06,-0.0,-0.0,-0.0,1.2266338689052977e-10,-2.7734326598824486e-14,1.2266338689052977e-10
0.142,0.0,1.75548674856199e-05,-3.15677691688923e-09,-2.04729700733922e-10,-3.15677691688923e-09,-2.0550586851729e-09,-7.9586672660436e-11,-2.0550586851729e-09,5.76411222023436e-07,4.15577103207505e-10,5.76411222023436e-07,-0.0,-0.0,-0.0,8.36352316083767e-11,-4.1166816486802665e-14,8.36352316083767e-11
0.162,0.0,3.19090001849905e-05,-3.7877130068973e-09,-3.74601259035105e-10,-3.7877130068973e-09,-1.20256047738613e-09,6.60999337407222e-11,-1.20256047738613e-09,-1.16963471631554e-06,4.714458025428321e-10,-1.16963471631554e-06,-0.0,-0.0,-0.0,1.1611173113020598e-10,-7.798837613950015e-14,1.1611173113020598e-10
0.182,0.0,4.92080911995455e-05,-3.4233714742115997e-09,-4.24611955701477e-10,-3.4233714742115997e-09,6.48449471722975e-10,1.57838739494427e-10,6.48449471722975e-10,-3.7661724934614603e-06,4.80067516696163e-10,-3.7661724934614603e-06,-0.0,-0.0,-0.0,4.6110278283101465e-10,-1.412445278047232e-13,4.6110278283101465e-10
0.202,0.0,6.94505816362473e-05,-1.6508836938820402e-09,-4.01822956643292e-10,-1.6508836938820402e-09,3.74967882344316e-09,2.06853381085857e-10,3.74967882344316e-09,-7.293641845930721e-06,4.0875703141774497e-10,-7.293641845930721e-06,-0.0,-0.0,-0.0,1.5631262078088124e-09,-2.289221042868475e-13,1.5631262078088124e-09
0.222,0.0,9.26346463195461e-05,1.9159647543582e-09,-3.26001217971242e-10,1.9159647543582e-09,8.38755863996501e-09,3.28727106666024e-10,8.38755863996501e-09,-1.18171288813011e-05,3.02041105974848e-10,-1.18171288813011e-05,-0.0,-0.0,-0.0,4.1361579005300065e-09,-3.1869976904962923e-13,4.1361579005300065e-09
