# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-9.805749902650722e-12,
0.004,-4.314788517479161e-12,
0.006,-9.09913517054307e-12,
0.008,-1.9450978121934397e-11,
0.01,-3.00195158048276e-11,
0.012,-3.83535204406145e-11,
0.014,-4.2957136229961904e-11,
0.016,-4.05961764202393e-11,
0.018,-2.90105053286521e-11,
0.02,-1.0962199114172699e-11,
0.022,7.2569615892741904e-12,
0.024,2.0908422762712998e-11,
0.026,2.91782643383122e-11,
0.028,3.37941058308953e-11,
0.03,3.71259231257399e-11,
0.032,4.12929182516223e-11,
0.034,4.7481547006165295e-11,
0.036,5.5358552195487996e-11,
0.038,6.346484424779701e-11,
0.04,7.048230570680009e-11,
0.042,7.604593756614279e-11,
0.044,8.041577243214471e-11,
0.046,8.376764568269721e-11,
0.048,8.600712542821241e-11,
0.05,8.70175596135654e-11,
0.052,8.68085845057264e-11,
0.054,8.55251993463106e-11,
0.056,8.35782500460065e-11,
0.058,8.175426805014499e-11,
0.06,8.09050630488325e-11,
0.062,8.13122081705037e-11,
0.064,8.236860812842291e-11,
0.066,8.29581637590463e-11,
0.068,8.21795888703932e-11,
0.07,7.98071103701835e-11,
0.072,7.627805205400249e-11,
0.074,7.239364829699671e-11,
0.076,6.89376311899847e-11,
0.078,6.63282589365173e-11,
0.08,6.44579246340877e-11,
0.082,6.28532581502809e-11,
0.084,6.105435696107279e-11,
0.086,5.89108983053931e-11,
0.088,5.6598424194739395e-11,
0.09,5.44324935783191e-11,
0.092,5.2673447463434003e-11,
0.094,5.1426023842776207e-11,
0.096,5.06535762710839e-11,
0.098,5.0307310882509796e-11,
0.1,5.04908812894754e-11,
0.102,5.14658313769625e-11,
0.104,5.33857571948931e-11,
0.106,5.5956533860749096e-11,
0.108,5.840272118457779e-11,
0.11,5.98797453290332e-11,
0.112,6.00241656706801e-11,
0.114,5.91801393825096e-11,
0.116,5.814062342366261e-11,
0.118,5.765064757518789e-11,
0.12,5.8041145887775705e-11,
0.122,5.91761332143909e-11,
0.124,6.06578319448644e-11,
0.126,6.21160496829224e-11,
0.128,6.33970154576131e-11,
0.13,6.45284741122999e-11,
0.132,6.54889604929799e-11,
0.134,6.59941259079177e-11,
0.136,6.55532213235328e-11,
0.138,6.3834267827518e-11,
0.14,6.10659399177575e-11,
0.142,5.8111096093533796e-11,
0.144,5.60938798234588e-11,
0.146,5.58224430393426e-11,
0.148,5.73881882750303e-11,
0.15,6.015179682679589e-11,
0.152,6.30568104427216e-11,
0.154,6.50717198760516e-11,
0.156,6.55717843465498e-11,
0.158,6.45206366548053e-11,
0.16,6.23619967696704e-11,
0.162,5.96478814816216e-11,
0.164,5.66081973148488e-11,
0.166,5.29609450980203e-11,
0.168,4.81289387569814e-11,
0.17,4.1725819269404296e-11,
0.172,3.39447723187012e-11,
0.174,2.55367600801895e-11,
0.176,1.7374155716258098e-11,
0.178,9.91630487913926e-12,
0.18,2.9676488470431204e-12,
0.182,-4.10832109248411e-12,
0.184,-1.1896218497183801e-11,
0.186,-2.05148694490567e-11,
0.188,-2.9539319360933304e-11,
0.19,-3.8250723136162395e-11,
0.192,-4.6005557385827603e-11,
0.194,-5.25042704890974e-11,
0.196,-5.785720504507261e-11,
0.198,-6.246088810948721e-11,
0.2,-6.67542676656329e-11,
0.202,-7.09580050912242e-11,
0.204,-7.4931621351267e-11,
0.206,-7.826097952804629e-11,
0.208,-8.05598097658593e-11,
0.21,-8.17947564670822e-11,
0.212,-8.238196555689579e-11,
0.214,-8.29517488592267e-11,
0.216,-8.393985438734379e-11,
0.218,-8.531389228661229e-11,
0.22,-8.664102651131259e-11,
0.222,-8.743690998141321e-11,
0.224,-8.753313396663179e-11,
0.226,-8.7211545854663e-11,
0.228,-8.70343310646575e-11,
0.23,-8.74941532307248e-11,
0.232,-8.870453883022979e-11,
0.234,-9.032249455990241e-11,
0.236,-9.17648364100117e-11,
0.238,-9.25937083501289e-11,
0.24,-9.28058326838151e-11,
0.242,-9.279234451427391e-11,
0.244,-9.29710925460618e-11,
0.246,-9.33693753145029e-11,
0.248,-9.350572648318242e-11,
0.25,-9.26920271167351e-11,
0.252,-9.05330136894084e-11,
0.254,-8.72395675628042e-11,
0.256,-8.352969032875001e-11,
0.258,-8.02162617018854e-11,
0.26,-7.77919194140203e-11,
0.262,-7.62692362845764e-11,
0.264,-7.5307622127597e-11,
0.266,-7.44700095682267e-11,
0.268,-7.34328743569687e-11,
0.27,-7.208019516603521e-11,
0.272,-7.0509911319204e-11,
0.274,-6.89888137045495e-11,
0.276,-6.78515724257285e-11,
0.278,-6.73417503608871e-11,
0.28,-6.74571760756565e-11,
0.282,-6.790791469918461e-11,
0.284,-6.82411718019862e-11,
0.286,-6.80638148925069e-11,
0.288,-6.72186540458827e-11,
0.29,-6.5820510737355e-11,
0.292,-6.41734435065586e-11,
0.294,-6.264946763345099e-11,
0.296,-6.15713063056548e-11,
0.298,-6.10897173700098e-11,
0.3,-6.10685838519668e-11,
0.302,-6.106134915070909e-11,
0.304,-6.04648880346807e-11,
0.306,-5.88193580889367e-11,
0.308,-5.6078957776388e-11,
0.31,-5.2658765309455104e-11,
0.312,-4.92093246931876e-11,
0.314,-4.6265419234742204e-11,
0.316,-4.3997826526142706e-11,
0.318,-4.22104762369621e-11,
0.32,-4.0552865996069204e-11,
0.322,-3.87875933008083e-11,
0.324,-3.6935676070086e-11,
0.326,-3.52075242943962e-11,
0.328,-3.3759832235347e-11,
0.33,-3.24353742064417e-11,
0.332,-3.06807208294584e-11,
0.334,-2.77535256038107e-11,
0.336,-2.3146125369118102e-11,
0.338,-1.69730494507871e-11,
0.34,-1.00377053855867e-11,
0.342,-3.47110359774123e-12,
0.344,1.87278688555579e-12,
0.346,5.88333105839521e-12,
0.348,9.2027866426013e-12,
0.35,1.27618368778647e-11,
0.352,1.71506481204837e-11,
0.354,2.2243789937208603e-11,
0.356,2.73080316153139e-11,
0.358,3.14833684266527e-11,
0.36,3.42942324304807e-11,
0.362,3.5875827505440104e-11,
0.364,3.6834331701505e-11,
0.366,3.79002678367601e-11,
0.368,3.96146981465598e-11,
0.37,4.21934907332738e-11,
0.372,4.55622170354568e-11,
0.374,4.94656894876987e-11,
0.376,5.3567709607543995e-11,
0.378,5.7516457340736105e-11,
0.38,6.09941577984546e-11,
0.382,6.37713987405645e-11,
0.384,6.57639391620274e-11,
0.386,6.70683569236325e-11,
