# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,-2.47549788147358e-10,-2.47927584184324e-10,-2.47549788147358e-10,2.2511440172698499e-10,2.24846299232075e-10,2.2511440172698499e-10,2.6865991165698896e-09,6.491887948009839e-11,2.6865991165698896e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.022,0.0,-6.67208539664262e-06,7.24767104757935e-11,-1.45125225404057e-10,7.24767104757935e-11,6.981454023699341e-10,6.19723858250417e-10,6.981454023699341e-10,2.62457296676059e-07,-2.32293224913166e-10,2.62457296676059e-07,-0.0,0.0,-0.0,1.9523119586765855e-12,-1.9447798870118395e-15,1.9523119586765855e-12
0.042,0.0,-1.00055141237505e-05,2.07771159378988e-09,1.71368308307229e-10,2.07771159378988e-09,1.43511933606728e-09,9.28977447529423e-10,1.43511933606728e-09,7.853442270073121e-07,-4.74981000839248e-10,7.853442270073121e-07,-0.0,-0.0,-0.0,1.7449533049487215e-11,-1.256070320753505e-14,1.7449533049487215e-11
0.062,0.0,-1.03902287571547e-05,6.734393599607859e-09,2.23324043941091e-10,6.734393599607859e-09,2.6412046621335896e-09,1.0379640201517801e-09,2.6412046621335896e-09,1.3647035309511e-06,-5.32483632999179e-10,1.3647035309511e-06,-0.0,-0.0,-0.0,5.457719744609854e-11,-2.9901902633700664e-14,5.457719744609854e-11
0.082,0.0,-7.82618856938883e-06,1.531312968847e-08,2.2725757593553603e-10,1.531312968847e-08,4.5048060166558605e-09,1.02344496669801e-09,4.5048060166558605e-09,1.8091381638188702e-06,-4.0618626549436597e-10,1.8091381638188702e-06,-0.0,-0.0,-0.0,1.0234503441322397e-10,-4.460602097014302e-14,1.0234503441322397e-10
0.102,0.0,-2.31361955588098e-06,2.8426794260061698e-08,8.31525043668922e-11,2.8426794260061698e-08,7.30259026624966e-09,7.767585666402209e-10,7.30259026624966e-09,1.93656904484417e-06,-6.93697699798248e-11,1.93656904484417e-06,-0.0,-0.0,-0.0,1.3303646908611794e-10,-4.855269679725383e-14,1.3303646908611794e-10
0.122,0.0,6.1469855836460995e-06,4.4981343005617196e-08,-8.732661049209209e-11,4.4981343005617196e-08,1.1151173553514899e-08,4.32656785568628e-10,1.1151173553514899e-08,1.57973256816266e-06,2.19170097608496e-10,1.57973256816266e-06,-0.0,-0.0,-0.0,1.2192018574481971e-10,-4.976950426190557e-14,1.2192018574481971e-10
0.142,0.0,1.75548674856199e-05,6.17539580723269e-08,-3.11810077090775e-10,6.17539580723269e-08,1.5884420243810503e-08,-1.9355011832556e-12,1.5884420243810503e-08,5.94190408537585e-07,5.456430838144759e-10,5.94190408537585e-07,-0.0,-0.0,-0.0,8.233953958650247e-11,-6.656604436185747e-14,8.233953958650247e-11
0.162,0.0,3.19090001849905e-05,7.37321525218598e-08,-4.1940913701996397e-10,7.37321525218598e-08,2.0988890564693898e-08,-2.3604898394142797e-10,2.0988890564693898e-08,-1.14388086644389e-06,6.606644436160811e-10,-1.14388086644389e-06,-0.0,-0.0,-0.0,1.1297465534067928e-10,-1.1718918552633483e-13,1.1297465534067928e-10
0.182,0.0,4.92080911995455e-05,7.33532318340451e-08,-4.824636025190159e-10,7.33532318340451e-08,2.4166622943484598e-08,-4.44142428494721e-10,2.4166622943484598e-08,-3.73698980156216e-06,7.42389280686601e-10,-3.73698980156216e-06,-0.0,-0.0,-0.0,4.5424445257172215e-10,-2.1150229538780557e-13,4.5424445257172215e-10
0.202,0.0,6.94505816362473e-05,5.20147955201975e-08,-4.84357612128274e-10,5.20147955201975e-08,2.3019389097566e-08,-5.320836406057779e-10,2.3019389097566e-08,-7.26731439402748e-06,6.04714163288672e-10,-7.26731439402748e-06,-0.0,-0.0,-0.0,1.5508710045381512e-09,-3.419034626010914e-13,1.5508710045381512e-09
0.222,0.0,9.26346463195461e-05,8.04097124461997e-10,-4.14102796420178e-10,8.04097124461997e-10,1.5184495546158302e-08,-3.2466752097949397e-10,1.5184495546158302e-08,-1.1799504693409501e-05,4.911251861323179e-10,-1.1799504693409501e-05,-0.0,-0.0,-0.0,4.118192151586554e-09,-4.806215193971616e-13,4.118192151586554e-09
0.242,0.0,0.000118758193941226,-8.97674686133783e-08,-2.79085560348008e-10,-8.97674686133783e-08,-2.94124322240576e-09,-7.511876528996441e-11,-2.94124322240576e-09,-1.73845051021016e-05,2.7288223328592303e-10,-1.73845051021016e-05,-0.0,-0.0,-0.0,9.21072080188964e-09,-6.140196195443035e-13,9.21072080188964e-09
0.262,0.0,0.000147818867232647,-2.29359935332334e-07,-1.1106883798496299e-10,-2.29359935332334e-07,-3.52366080980606e-08,3.05050138980877e-10,-3.52366080980606e-08,-2.4059128182662802e-05,1.27722895969949e-10,-2.4059128182662802e-05,-0.0,-0.0,-0.0,1.8291385265269985e-08,-6.8323486431888e-13,1.8291385265269985e-08
0.282,0.0,0.000179814043158941,-4.2734377892308397e-07,2.41858359156157e-11,-4.2734377892308397e-07,-8.57697934231783e-08,6.69071310470715e-10,-8.57697934231783e-08,-3.18461126140279e-05,-1.78983972477678e-11,-3.18461126140279e-05,-0.0,-0.0,-0.0,3.3298866365534557e-08,-7.178701177169597e-13,3.3298866365534557e-08
0.302,0.0,0.00021474083313419498,-6.92510531964567e-07,1.03319974226733e-10,-6.92510531964567e-07,-1.58691359070651e-07,9.50973534572844e-10,-1.58691359070651e-07,-4.0754287539076e-05,-2.04342252416294e-11,-4.0754287539076e-05,-0.0,-0.0,-0.0,5.671164281742177e-08,-6.853073804954356e-13,5.671164281742177e-08
0.322,0.0,0.000252596083259295,-1.03319890008406e-06,7.696133796116591e-11,-1.03319890008406e-06,-2.5857909169997396e-07,1.14804152550998e-09,-2.5857909169997396e-07,-5.0779477714246995e-05,-2.902207633118e-11,-5.0779477714246995e-05,-0.0,-0.0,-0.0,9.160656240030259e-08,-6.806844021642473e-13,9.160656240030259e-08
0.342,0.0,0.000293376374582367,-1.45721272393102e-06,2.3357966075388898e-11,-1.45721272393102e-06,-3.90067205317894e-07,1.1744362965666301e-09,-3.90067205317894e-07,-6.190429427035351e-05,4.04304244630933e-11,-6.190429427035351e-05,-0.0,-0.0,-0.0,1.4171084345637135e-07,-6.766841081685204e-13,1.4171084345637135e-07
