# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.0181455759945476,0.0023998583988943897,-0.00975194400881381,0.00903645791736405,0.0004964205895885,-6.738947626445671e-05,0.000410919499866195,6.00575373651134e-06,9.510495329255071e-05
0.02,0.0141769426112055,0.0022578976337016897,-0.0101919130437753,0.0173246050715441,0.000975340190340035,-0.000262044203297345,0.000501127642686385,6.0493902111682294e-06,0.000103943758656359
0.03,0.00790394773772948,0.00202617321093515,-0.0108566943057394,0.0241749046379232,0.0014196204437312099,-0.000698479384800468,0.00064689840409344,6.12070008497083e-06,0.000118355684699266
0.04,-0.000190706466420227,0.00171201773423221,-0.0116501233101326,0.0290102829784026,0.00181288349825619,-0.0014668614910108,0.0008416328874433321,6.21755130057519e-06,0.000137877055775106
0.05,-0.0094872501319705,0.00132569757593124,-0.0124501165588493,0.0314101420040518,0.00213997187053079,-0.00262360148973196,0.00107660493578128,6.33695366949303e-06,0.000161888687105858
0.06,-0.0192786952194616,0.0008803406189145151,-0.0131198227832409,0.0311410344597885,0.00238748135405283,-0.00418497070968542,0.00134143211659063,6.47506682126072e-06,0.000189643729704573
0.07,-0.0288268294410826,0.000391754009329878,-0.0135201246924816,0.0281716137049085,0.00254435768507739,-0.0061242833307545395,0.00162462591436386,6.62722723343843e-06,0.00022030061801560897
0.08,-0.0374194315221352,-0.000121911413748669,-0.0135223721075082,0.0226709462864943,0.00260252591023929,-0.0083728558783696,0.0019141856609648802,6.78800350626906e-06,0.000252959262973865
0.09,-0.0444238080561411,-0.000640681168545031,-0.0130202291834117,0.014990803066681,0.00255750179401548,-0.010824607940337,0.00219819889879288,6.9512877861206406e-06,0.000286698505050573
0.1,-0.0493322431707807,-0.0011434730802453,-0.0119396256991674,0.00563396691417396,0.00240892050213375,-0.0133438444584794,0.00246541179945105,7.110428670845979e-06,0.00032061284676830897
0.11,-0.051795845930315,-0.0016089957636532901,-0.0102460010560882,-0.00478822819638852,0.0021609118295136103,-0.0157754898261878,0.00270573678489762,7.25840730238612e-06,0.000353846616897517
0.12,-0.0516444713129066,-0.00201678978129265,-0.00794829653577269,-0.0156050896716264,0.00182225493069245,-0.0179568523511118,0.00291067024084913,7.3880540543594105e-06,0.000385623964180205
0.13,-0.0488917457857295,-0.00234834713054504,-0.00509945720177363,-0.026138053077445,0.0014062590386896099,-0.0197298999040454,0.00307360062465573,7.492298729435361e-06,0.00041527341397637
0.14,-0.0437256035861961,-0.0025882257771502,-0.00179351757647485,-0.0357500668411778,0.0009303388232487221,-0.0209530287210877,0.00318999568812584,7.5644429995485595e-06,0.00044224611788384904
0.15,-0.0364859956376621,-0.00272506546400046,0.0018403661548086101,-0.0438889321783062,0.00041528140882781,-0.0215114017348527,0.0032574662454234603,7.598440431606039e-06,0.00046612735218199005
0.16,-0.027632450899467,-0.0027524108185337103,0.00564633686807055,-0.0501214512538042,-0.00011576669252805,-0.0213251054764826,0.00327571221849893,7.58916724108027e-06,0.00048664124361084103
0.17,-0.0177048637900898,-0.0026692583774090397,0.00945194231941389,-0.05415627169855,-0.000638534175288689,-0.0203546033372633,0.0032463639661128,7.532666178379961e-06,0.00050364909062686
0.18,-0.007281205273924921,-0.00248026467180886,0.0130790723726478,-0.0558544689694982,-0.00112899687894505,-0.0186032213765436,0.00317273765410567,7.42634679489077e-06,0.000517141979713649
0.19,0.00306419390556414,-0.00219558082587195,0.0163548711413083,-0.0552280548322872,-0.00156478514295615,-0.0161166634536603,0.0030595273248490104,7.269127706552851e-06,0.000527228650927349
0.2,0.0127985247451771,-0.00183031208397067,0.0191218406052624,-0.0524276262073925,-0.00192651702251597,-0.0129797898841729,0.00291245822539498,7.061510162772861e-06,0.00053411973357034
0.21,0.0214619353084407,-0.00140363459810775,0.021246486744322,-0.0477211821264007,-0.00219895129741786,-0.00931108745552369,0.0027379258907248,6.80557689342079e-06,0.000538109548581061
0.22,0.0286907361983782,-0.000937632883073126,0.0226260357131241,-0.0414666770391415,-0.00237186845865365,-0.00525539448364665,0.0025426436482733896,6.50491540857604e-06,0.000539556663270313
0.23,0.0342314934872795,-0.000455946183410491,0.0231929443015613,-0.0340811208057593,-0.0024406112470611,-0.000975516202060667,0.00233331794174642,6.16447018144771e-06,0.000538864297235806
0.24,0.0379460022976135,1.7672002693752898e-05,0.0229171244838461,-0.0260089887253756,-0.00240624618003192,0.00335662579611756,0.0021163665848872,5.79033297859739e-06,0.00053646153134326
0.25,0.0398078999298605,0.00046077132700070896,0.0218059776107861,-0.0176924083673451,-0.00227534049720318,0.007568713479387341,0.0018976902106626898,5.3894845939988095e-06,0.0005327860832951661
0.26,0.0398922698510646,0.000853493921704295,0.0199024756658024,-0.00954510564260202,-0.00205938150878094,0.0114961152427002,0.0016825022355985901,4.969504073095031e-06,0.0005282692033013
0.27,0.038359970685866,0.00117964519765754,0.0172816265376496,-0.00193149504225475,-0.0017738940758206601,0.0149889430886442,0.0014752180241187599,4.53826298458813e-06,0.000523323030701409
0.28,0.0354385890982896,0.00142747782680139,0.0140457148929219,0.00484833466299445,-0.00143733413284385,0.0179178248347403,0.00127939994628181,4.1036223554476e-06,0.000518330553661685
0.29,0.0314018789237923,0.00159014771234634,0.0103187227575612,0.0105675875345353,-0.00106984992528742,0.0201782581739418,0.0010977519062445801,3.67314860971779e-06,0.000513638142281663
0.3,0.0265493478484713,0.001665829672233,0.00624031137965508,0.0150760382416951,-0.000692007187946363,0.0216935244533715,0.0009321548002441811,3.25386244506134e-06,0.000509550489324078
0.31,0.021187336812496,0.0016575082830609,0.00195969810945999,0.0182983610118234,-0.000323570125291142,0.0224162280468741,0.000783733256925166,2.85203133439642e-06,0.0005063276965296849
0.32,0.0156125604642096,0.00157248321878405,-0.00237030028349776,0.0202284897202906,1.7581985816755498e-05,0.0223285885051403,0.000652943840612503,2.4730125995827e-06,0.0005041841880658321
0.33,0.0100986911430736,0.0014216465159514699,-0.00659885292710326,0.0209210885279788,0.00031634050399306096,0.0214416476159275,0.000539675507998718,2.12115013078354e-06,0.0005032891124391469
0.34,0.00488621710653299,0.0012186003951214401,-0.0105821860142513,0.0204811909889087,0.000561014468413989,0.0197935656971124,0.00044335430193633094,1.79972415675997e-06,0.0005037679038461191
0.35,0.000175518447319748,0.000978688342196859,-0.0141880489407711,0.0190529529759994,0.00074371998741888,0.0174471766408867,0.00036304582383099197,1.51095029083838e-06,0.00050570470548402
0.36,-0.0038771025927179,0.000718009687314825,-0.0172995232462769,0.0168082958822245,0.000860513613212854,0.0144869561243058,0.000297550734978864,1.25602158960258e-06,0.000509145402296037
0.37,-0.007160824217989491,0.000452480128647679,-0.0198181475786458,0.01393602548293,0.000911288875430338,0.0110155384554055,0.00024549020974182,1.03518568130411e-06,0.000514101060911501
