# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.01000000  0.351696961972973E-002  0.416691693386600E-002  0.238938656644931E-001  0.624826106473346E-003  0.134772755783461E-002  0.625444462365466E-002 -0.130632417499719E+002 -0.293339093270358E+002 -0.139771593637020E+003  0.791580144893895E+002  0.937866705406442E+002  0.537789963799237E+003
      0.02000000  0.327005399315844E-002  0.338469917866069E-002  0.199820613035621E-001  0.118641255015751E-002  0.243355224379439E-002  0.111675289687022E-001 -0.123515600062219E+002 -0.263865265560306E+002 -0.124676294579869E+003  0.368002868036451E+002  0.380904721388007E+002  0.224872613246627E+003
      0.03000000  0.290545167888176E-002  0.229670509345550E-002  0.145908575129149E-001  0.163898161514138E-002  0.307403945039130E-002  0.138169322938656E-001 -0.112964317264678E+002 -0.220629287583221E+002 -0.102661299828608E+003  0.217981018663464E+002  0.172309909498713E+002  0.109467660637976E+003
      0.04000000  0.247536936555984E-002  0.114941963557943E-002  0.899653182763051E-002  0.196386372194154E-002  0.321291040255085E-002  0.139559356373047E-001 -0.100503906605100E+002 -0.170786042884396E+002 -0.775281275386483E+002  0.139285624622935E+002  0.646762596818912E+001  0.506222454105643E+002
      0.05000000  0.202571817512110E-002  0.166190843497496E-003  0.433073229052520E-002  0.216756432103929E-002  0.292318542608045E-002  0.120167675138279E-001 -0.875726869910793E+001 -0.121586894020785E+002 -0.530933564872994E+002  0.911874971896848E+001  0.748106388168891E+000  0.194947472665064E+002
      0.06000000  0.158535791323391E-002 -0.513999213638118E-003  0.125647744837752E-002  0.227038102802916E-002  0.236582531647546E-002  0.887890572052833E-002 -0.751674754808648E+001 -0.787478212447189E+001 -0.323069196718241E+002  0.594706040690234E+001 -0.192813518454692E+001  0.471335035643090E+001
      0.07000000  0.116568667112226E-002 -0.860127123447822E-003 -0.148083972572760E-003  0.229225456845347E-002  0.172522438484038E-002  0.551520359371991E-002 -0.637040041213310E+001 -0.454719998906076E+001 -0.167333091182696E+002  0.374809047803711E+001 -0.276560962835108E+001 -0.476141780891704E+000
      0.08000000  0.769170799541526E-003 -0.931706997319665E-003 -0.281822828427722E-003  0.224337418601324E-002  0.114903793985044E-002  0.266689754717753E-002 -0.531157877101611E+001 -0.223273910944848E+001 -0.650313257956929E+001  0.216400907166502E+001 -0.262129347023487E+001 -0.792889118624113E+000
      0.09000000  0.400854703421274E-003 -0.834115680079102E-003  0.233732598070724E-003  0.212389060966969E-002  0.714366000529334E-003  0.667393243025208E-003 -0.431148440694715E+001 -0.786506261381726E+000 -0.669035489629842E+000  0.100246853438683E+001 -0.208597957359926E+001  0.584524948881886E+000
      0.10000000  0.757918869000913E-004 -0.669460050684953E-003  0.828961996634623E-003  0.193180944763562E-002  0.427982349713259E-003 -0.544759151825064E-003 -0.334801026966026E+001  0.367209074041259E-001  0.222611388484811E+001  0.170588203200818E+000 -0.150678379747447E+001  0.186578198949013E+001
