# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.850763852755376E+003  0.000000000000000E+000 
      0.02000000 -0.850763852755440E+003 -0.642883828243512E-010 
      0.04000000 -0.850763852755501E+003 -0.124806469513139E-009 
      0.06000000 -0.850763852755559E+003 -0.183101048224543E-009 
      0.08000000 -0.850763852755615E+003 -0.239075444698678E-009 
      0.10000000 -0.850763852755669E+003 -0.293213030234973E-009 
      0.12000000 -0.850763852755721E+003 -0.345417130573544E-009 
      0.14000000 -0.850763852755773E+003 -0.396847836833025E-009 
      0.16000000 -0.850763852755822E+003 -0.446151709375009E-009 
      0.18000000 -0.850763852755870E+003 -0.493715445239040E-009 
      0.20000000 -0.850763852755916E+003 -0.540119089984437E-009 
      0.22000000 -0.850763852755960E+003 -0.583815855453018E-009 
      0.24000000 -0.850763852756001E+003 -0.624999090164557E-009 
      0.26000000 -0.850763852756038E+003 -0.662122005960875E-009 
      0.28000000 -0.850763852756071E+003 -0.695377951361742E-009 
      0.30000000 -0.850763852756100E+003 -0.723510160988639E-009 
      0.32000000 -0.850763852756122E+003 -0.745841915022361E-009 
      0.34000000 -0.850763852756138E+003 -0.761599819383818E-009 
      0.36000000 -0.850763852756145E+003 -0.769237085914831E-009 
      0.38000000 -0.850763852756145E+003 -0.769043737395059E-009 
      0.40000000 -0.850763852756135E+003 -0.759376311406434E-009 
      0.42000000 -0.850763852756117E+003 -0.740524830728617E-009 
      0.44000000 -0.850763852756087E+003 -0.711425878502858E-009 
      0.46000000 -0.850763852756049E+003 -0.672756174548361E-009 
      0.48000000 -0.850763852756001E+003 -0.624709067384899E-009 
      0.50000000 -0.850763852755943E+003 -0.567381231272357E-009 
      0.52000000 -0.850763852755878E+003 -0.501932757329371E-009 
      0.54000000 -0.850763852755806E+003 -0.429717085194348E-009 
      0.56000000 -0.850763852755728E+003 -0.352184328765581E-009 
      0.58000000 -0.850763852755647E+003 -0.270881276201251E-009 
      0.60000000 -0.850763852755564E+003 -0.188418132518287E-009 
      0.62000000 -0.850763852755482E+003 -0.106051663095208E-009 
      0.64000000 -0.850763852755403E+003 -0.274554898076929E-010 
      0.66000000 -0.850763852755331E+003  0.455335764064202E-010 
      0.68000000 -0.850763852755266E+003  0.110498679049975E-009 
      0.70000000 -0.850763852755211E+003  0.164829613106043E-009 
      0.72000000 -0.850763852755169E+003  0.206882916156559E-009 
      0.74000000 -0.850763852755142E+003  0.234435080224138E-009 
      0.76000000 -0.850763852755130E+003  0.246422688450032E-009 
      0.78000000 -0.850763852755134E+003  0.241782323975492E-009 
      0.80000000 -0.850763852755156E+003  0.220320638280747E-009 
      0.82000000 -0.850763852755193E+003  0.183004373964657E-009 
      0.84000000 -0.850763852755246E+003  0.130413576586541E-009 
      0.86000000 -0.850763852755311E+003  0.654484739429861E-010 
      0.88000000 -0.850763852755385E+003 -0.928072894907928E-011 
      0.90000000 -0.850763852755465E+003 -0.893270161348880E-010 
      0.92000000 -0.850763852755546E+003 -0.170050023139900E-009 
      0.94000000 -0.850763852755622E+003 -0.245552620111056E-009 
      0.96000000 -0.850763852755685E+003 -0.308680911816772E-009 
      0.98000000 -0.850763852755728E+003 -0.352184328765581E-009 
      1.00000000 -0.850763852755743E+003 -0.367265513307835E-009 
      1.02000000 -0.850763852755721E+003 -0.345127107793886E-009 
      1.04000000 -0.850763852755653E+003 -0.276778406054312E-009 
      1.06000000 -0.850763852755528E+003 -0.151875262281287E-009 
      1.08000000 -0.850763852755337E+003  0.394430980335869E-010 
      1.10000000 -0.850763852755069E+003  0.306650752359161E-009 
      1.12000000 -0.850763852754716E+003  0.660188520763150E-009 
      1.14000000 -0.850763852754267E+003  0.110856373811554E-008 
      1.16000000 -0.850763852753716E+003  0.166047708780610E-008 
      1.18000000 -0.850763852753052E+003  0.232356583636584E-008 
      1.20000000 -0.850763852752272E+003  0.310440383346702E-008 
      1.22000000 -0.850763852751368E+003  0.400801814062373E-008 
      1.24000000 -0.850763852750338E+003  0.503817905397153E-008 
      1.26000000 -0.850763852749180E+003  0.619633668740871E-008 
      1.28000000 -0.850763852747894E+003  0.748229769241551E-008 
      1.30000000 -0.850763852746481E+003  0.889451528083374E-008 
      1.32000000 -0.850763852744948E+003  0.104281557396691E-007 
      1.34000000 -0.850763852743299E+003  0.120766452192493E-007 
      1.36000000 -0.850763852741546E+003  0.138304129678456E-007 
      1.38000000 -0.850763852739697E+003  0.156788248168706E-007 
      1.40000000 -0.850763852737768E+003  0.176079596729005E-007 
      1.42000000 -0.850763852735774E+003  0.196017696087944E-007 
      1.44000000 -0.850763852733734E+003  0.216423698864732E-007 
      1.46000000 -0.850763852731666E+003  0.237101356311801E-007 
      1.48000000 -0.850763852729593E+003  0.257827350888812E-007 
      1.50000000 -0.850763852727538E+003  0.278376431570232E-007 
      1.52000000 -0.850763852725525E+003  0.298507879448943E-007 
      1.54000000 -0.850763852723579E+003  0.317973241677038E-007 
      1.56000000 -0.850763852721724E+003  0.336524065406609E-007 
      1.58000000 -0.850763852719986E+003  0.353902230363760E-007 
      1.60000000 -0.850763852718389E+003  0.369868951126572E-007 
      1.62000000 -0.850763852716957E+003  0.384192209471317E-007 
      1.64000000 -0.850763852715711E+003  0.396649654600258E-007 
      1.66000000 -0.850763852714671E+003  0.407051804964018E-007 
      1.68000000 -0.850763852713854E+003  0.415215946211411E-007 
      1.70000000 -0.850763852713275E+003  0.421005767635998E-007 
      1.72000000 -0.850763852712945E+003  0.424310093838910E-007 
      1.74000000 -0.850763852712870E+003  0.425058352610430E-007 
      1.76000000 -0.850763852713054E+003  0.423216707959597E-007 
      1.78000000 -0.850763852713496E+003  0.418802561253191E-007 
      1.80000000 -0.850763852714190E+003  0.411864249621155E-007 
      1.82000000 -0.850763852715124E+003  0.402515848690156E-007 
      1.84000000 -0.850763852716286E+003  0.390899469622225E-007 
      1.86000000 -0.850763852717654E+003  0.377220061848321E-007 
      1.88000000 -0.850763852719205E+003  0.361713510562568E-007 
      1.90000000 -0.850763852720909E+003  0.344669838544624E-007 
      1.92000000 -0.850763852722734E+003  0.326421605248497E-007 
      1.94000000 -0.850763852724643E+003  0.307329405663562E-007 
      1.96000000 -0.850763852726597E+003  0.287790570997954E-007 
      1.98000000 -0.850763852728552E+003  0.268235301708165E-007 
      2.00000000 -0.850763852730464E+003  0.249117000073062E-007 
      2.02000000 -0.850763852732286E+003  0.230897769054900E-007 
      2.04000000 -0.850763852733970E+003  0.214059046467915E-007 
      2.06000000 -0.850763852735467E+003  0.199086137096733E-007 
      2.08000000 -0.850763852736730E+003  0.186456611785195E-007 
      2.10000000 -0.850763852737712E+003  0.176641274178944E-007 
      2.12000000 -0.850763852738367E+003  0.170093526556849E-007 
