# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,3.53173077447232e-11,
0.004,2.4334459673848398e-11,
0.006,2.5895287606968198e-11,
0.008,3.51059636059953e-11,
0.01,4.3982366141915896e-11,
0.012,4.71272385323348e-11,
0.014,4.52145170830056e-11,
0.016,4.24804985109091e-11,
0.018,4.23006001639503e-11,
0.02,4.52593573042092e-11,
0.022,5.02602516119856e-11,
0.024,5.60227372043806e-11,
0.026,6.16700253136961e-11,
0.028,6.69004354447829e-11,
0.03,7.200907452308859e-11,
0.032,7.738421712780259e-11,
0.034,8.27502842179663e-11,
0.036,8.70495602701288e-11,
0.038,8.921300225554092e-11,
0.04,8.904367967469479e-11,
0.042,8.73973874603485e-11,
0.044,8.56688099995733e-11,
0.046,8.510303647600441e-11,
0.048,8.62620682310413e-11,
0.05,8.87730154381293e-11,
0.052,9.15559080713882e-11,
0.054,9.3550962964355e-11,
0.056,9.44494199863673e-11,
0.058,9.47927402220024e-11,
0.06,9.538565384847029e-11,
0.062,9.662150370819879e-11,
0.064,9.83045691274089e-11,
0.066,9.999422945815e-11,
0.068,1.01468180902879e-10,
0.07,1.02937691083962e-10,
0.072,1.04914946702552e-10,
0.074,1.0784999902304002e-10,
0.076,1.1178011005982801e-10,
0.078,1.16247040978988e-10,
0.08,1.2056052065779102e-10,
0.082,1.2421220602895698e-10,
0.084,1.2713717882884402e-10,
0.086,1.29669926673995e-10,
0.088,1.3226085382610301e-10,
0.09,1.35129188966133e-10,
0.092,1.38042229773979e-10,
0.094,1.40377060428395e-10,
0.096,1.41490262444292e-10,
0.098,1.41191074499813e-10,
0.1,1.39963409805781e-10,
0.102,1.38717229544294e-10,
0.104,1.38219715726548e-10,
0.106,1.38637581027052e-10,
0.108,1.3953027532575501e-10,
0.11,1.40241446123702e-10,
0.112,1.40317308188601e-10,
0.114,1.3962920321439e-10,
0.116,1.38206923471093e-10,
0.118,1.36048881876057e-10,
0.12,1.33132069253612e-10,
0.122,1.29592109198539e-10,
0.124,1.25854748401582e-10,
0.126,1.2254021554566802e-10,
0.128,1.20168434016715e-10,
0.13,1.18868783595626e-10,
0.132,1.18294307175895e-10,
0.134,1.17777270743247e-10,
0.136,1.16600769703861e-10,
0.138,1.1423847936558e-10,
0.14,1.1050649716177402e-10,
0.142,1.05636822036464e-10,
0.144,1.00249625887889e-10,
0.146,9.5158286208287e-11,
0.148,9.10078324932323e-11,
0.15,8.79034279651065e-11,
0.152,8.527155615387351e-11,
0.154,8.209223815165541e-11,
0.156,7.74045445225651e-11,
0.158,7.0803658876487e-11,
0.16,6.26545194080853e-11,
0.162,5.3925628383116796e-11,
0.164,4.5761936802445604e-11,
0.166,3.90327244895163e-11,
0.168,3.4059443805868496e-11,
0.17,3.0594545619073804e-11,
0.172,2.7983780350149697e-11,
0.174,2.53909240313314e-11,
0.176,2.20102002445913e-11,
0.178,1.72652667231117e-11,
0.18,1.1003548279194599e-11,
0.182,3.63049202704009e-12,
0.184,-3.9261819965638304e-12,
0.186,-1.0491421654590501e-11,
0.188,-1.5097885109508097e-11,
0.19,-1.7437439018812e-11,
0.192,-1.80909836408355e-11,
0.194,-1.83957508911972e-11,
0.196,-1.9963181662999102e-11,
0.198,-2.40290174413727e-11,
0.2,-3.09230024724595e-11,
0.202,-3.99168098501027e-11,
0.204,-4.9533452603208703e-11,
0.206,-5.81656889452594e-11,
0.208,-6.46982946268783e-11,
0.21,-6.88530486311023e-11,
0.212,-7.11473867212212e-11,
0.214,-7.255618781926808e-11,
0.216,-7.407749643861529e-11,
0.218,-7.639316698021109e-11,
0.22,-7.97271426883389e-11,
0.222,-8.39018721146612e-11,
0.224,-8.852177190849809e-11,
0.226,-9.31869424228151e-11,
0.228,-9.765521268570709e-11,
0.23,-1.01908753275553e-10,
0.232,-1.0612153034671801e-10,
0.234,-1.10553092139352e-10,
0.236,-1.15411497129558e-10,
0.238,-1.2073750648421999e-10,
0.24,-1.2635845293398098e-10,
0.242,-1.31934873327539e-10,
0.244,-1.37079304992519e-10,
0.246,-1.41487556498097e-10,
0.248,-1.4501644609639902e-10,
0.25,-1.47677244462498e-10,
0.252,-1.4956873131854199e-10,
0.254,-1.50809898367715e-10,
0.256,-1.5152197278607e-10,
0.258,-1.51859293573562e-10,
0.26,-1.52039462116993e-10,
0.262,-1.52320181565747e-10,
0.264,-1.5292084331719e-10,
0.266,-1.53946797787667e-10,
0.268,-1.55382783298688e-10,
0.27,-1.57163553239265e-10,
0.272,-1.59255738828049e-10,
0.274,-1.61666750419212e-10,
0.276,-1.64355603012013e-10,
0.278,-1.6710759328459302e-10,
0.28,-1.69479203916269e-10,
0.282,-1.70889759559257e-10,
0.284,-1.7085410370861899e-10,
0.286,-1.69260634906341e-10,
0.288,-1.66543220612552e-10,
0.29,-1.63609997678159e-10,
0.292,-1.61496536285964e-10,
0.294,-1.60876191893307e-10,
0.296,-1.6168910598061999e-10,
0.298,-1.6312991917544001e-10,
0.3,-1.64036103357926e-10,
0.302,-1.63460808483429e-10,
0.304,-1.61086952617136e-10,
0.306,-1.5725146307424801e-10,
0.308,-1.52622090669914e-10,
0.31,-1.47794354480558e-10,
0.312,-1.43084218595587e-10,
0.314,-1.38596293714627e-10,
0.316,-1.34422187768333e-10,
0.318,-1.3075136592267502e-10,
0.32,-1.2779566196840501e-10,
0.322,-1.2561626200007502e-10,
0.324,-1.24033511825029e-10,
0.326,-1.2272580572697298e-10,
0.328,-1.21456682364589e-10,
0.33,-1.20250509494527e-10,
0.332,-1.19361553668898e-10,
0.334,-1.19030790850526e-10,
0.336,-1.1918974864067701e-10,
0.338,-1.19334369939019e-10,
0.34,-1.18705431834751e-10,
0.342,-1.16724404990323e-10,
0.344,-1.1345525066024e-10,
0.346,-1.09803260235256e-10,
0.348,-1.07268965619796e-10,
0.35,-1.07306855154244e-10,
0.352,-1.1057799574474101e-10,
0.354,-1.16494286993033e-10,
0.356,-1.23345611912587e-10,
0.358,-1.29011074845468e-10,
0.36,-1.31932355778856e-10,
0.362,-1.3186177081550198e-10,
0.364,-1.2999981678687199e-10,
0.366,-1.28453763622358e-10,
0.368,-1.29293744581568e-10,
0.37,-1.3365946431609198e-10,
0.372,-1.41301330703701e-10,
0.374,-1.50700712638241e-10,
0.376,-1.59658018009366e-10,
0.378,-1.66083418822224e-10,
0.38,-1.6869998895164e-10,
0.382,-1.6743453678726301e-10,
0.384,-1.6338271669016202e-10,
0.386,-1.58370630136339e-10,
0.388,-1.54274601368338e-10,
0.39,-1.52359070841782e-10,
0.392,-1.5289202831819e-10,
0.394,-1.5517639320326302e-10,
0.396,-1.57945529880856e-10,
0.398,-1.59914205059389e-10,
0.4,-1.60238275687042e-10,
0.402,-1.58725091249301e-10,
0.404,-1.55780313924592e-10,
0.406,-1.52183575843463e-10,
0.408,-1.48808350243486e-10,
0.41,-1.4636414617120199e-10,
0.412,-1.45198041819779e-10,
0.414,-1.45184319569957e-10,
0.416,-1.45742162364332e-10,
0.418,-1.46010763814364e-10,
0.42,-1.45154171127861e-10,
0.422,-1.42688410376646e-10,
0.424,-1.38679554778065e-10,
0.426,-1.33701646811079e-10,
0.428,-1.28560878761754e-10,
0.43,-1.23922962043313e-10,
0.432,-1.20040379426473e-10,
0.434,-1.16722603119933e-10,
0.436,-1.13553176393686e-10,
0.438,-1.10216177383336e-10,
0.44,-1.06735138798069e-10,
0.442,-1.0348361779914799e-10,
0.444,-1.00962853165129e-10,
0.446,-9.94783492510687e-11,
0.448,-9.89070119018432e-11,
0.45,-9.869709659225e-11,
0.452,-9.81135347498423e-11,
