# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,fid_signal,fid_exp_fit
14.202,0.0030011137165021945,7.45244210602274e-05
14.212,0.0028861505055066943,7.452442105827163e-05
14.222,0.0027723982483925666,7.452442105634592e-05
14.232,0.0026599838908236252,7.452442105444982e-05
14.242,0.0025490259661417377,7.452442105258288e-05
14.252,0.0024396347086385866,7.452442105074462e-05
14.262,0.002331912197830565,7.452442104893464e-05
14.272,0.0022259525251872303,7.45244210471525e-05
14.282,0.00212184207624815,7.452442104539775e-05
14.292,0.002019659828189729,7.452442104366997e-05
14.302,0.0019194776911379762,7.452442104196877e-05
14.312,0.0018213608369919124,7.45244210402937e-05
14.322,0.0017253680347216293,7.45244210386444e-05
14.332,0.0016315520439122255,7.452442103702047e-05
14.342,0.001539959938791566,7.452442103542149e-05
14.352,0.00145063339996254,7.452442103384709e-05
14.362,0.0013636090100655987,7.452442103229691e-05
14.372,0.0012789185217211877,7.452442103077056e-05
14.382,0.0011965890426408924,7.452442102926768e-05
14.392,0.001116643144390125,7.452442102778789e-05
14.402,0.0010390990209844606,7.452442102633086e-05
14.412,0.0009639705954281455,7.452442102489624e-05
14.422,0.0008912675003247024,7.452442102348368e-05
14.432,0.0008209951127181277,7.452442102209282e-05
14.442,0.0007531545450645479,7.452442102072335e-05
14.452,0.0006877426051835286,7.452442101937494e-05
14.462,0.0006247517951597137,7.452442101804725e-05
14.472,0.0005641702834754236,7.452442101673999e-05
14.482,0.0005059819036128744,7.452442101545281e-05
14.492,0.00045016618427085584,7.452442101418544e-05
14.502,0.0003966984259036495,7.452442101293755e-05
14.512,0.0003455497991088007,7.452442101170883e-05
14.522,0.00029668745496761384,7.452442101049903e-05
14.532,0.00025007472537029365,7.45244210093078e-05
14.542,0.00020567131816546906,7.45244210081349e-05
14.552,0.00016343359697632546,7.452442100698003e-05
14.562,0.00012331485963346743,7.452442100584292e-05
14.572,8.52656280497719e-05,7.452442100472329e-05
14.582,4.923402398938686e-05,7.452442100362087e-05
14.592,1.516607774679557e-05,7.45244210025354e-05
14.602,-1.699394081057241e-05,7.452442100146663e-05
14.612,-4.730316614150464e-05,7.452442100041428e-05
14.622,-7.581983000113867e-05,7.45244209993781e-05
14.632,-0.00010260296136028632,7.452442099835787e-05
14.642,-0.0001277120932752667,7.452442099735333e-05
14.652,-0.00015120708590032943,7.452442099636423e-05
14.662,-0.00017314787132278965,7.452442099539033e-05
14.672,-0.00019359424115426892,7.45244209944314e-05
14.682,-0.00021260580621597559,7.452442099348722e-05
14.692,-0.00023024184523524904,7.452442099255755e-05
14.702,-0.0002465611875995011,7.452442099164218e-05
14.712,-0.00026162222572828154,7.452442099074088e-05
14.722,-0.00027548286965079535,7.452442098985344e-05
14.732,-0.00028820047694297476,7.452442098897965e-05
14.742,-0.0002998318456112405,7.452442098811928e-05
14.752,-0.0003104331788266034,7.452442098727215e-05
14.762,-0.00032005999758419,7.452442098643803e-05
14.772,-0.0003287670947692118,7.452442098561675e-05
14.782,-0.0003366084281979654,7.452442098480808e-05
14.792,-0.0003436369842522793,7.452442098401186e-05
14.802,-0.0003499046035876565,7.452442098322789e-05
14.812,-0.0003554617144626523,7.452442098245595e-05
14.822,-0.0003603571103636575,7.452442098169588e-05
14.832,-0.00036463771849412223,7.452442098094751e-05
14.842,-0.0003683482432698585,7.452442098021063e-05
14.852,-0.0003715308329912709,7.45244209794851e-05
14.862,-0.00037422478353571844,7.45244209787707e-05
14.872,-0.00037646622182524453,7.45244209780673e-05
14.882,-0.0003782877389867395,7.452442097737471e-05
14.892,-0.0003797180939709273,7.452442097669278e-05
14.902,-0.0003807820546228153,7.452442097602132e-05
14.912,-0.00038150016240114646,7.452442097536018e-05
14.922,-0.0003818885681239754,7.452442097470921e-05
14.932,-0.0003819590533939923,7.452442097406826e-05
14.942,-0.0003817190228201286,7.452442097343716e-05
14.952,-0.0003811716434048946,7.452442097281575e-05
14.962,-0.00038031609086472363,7.452442097220391e-05
14.972,-0.0003791477832320551,7.452442097160147e-05
14.982,-0.0003776587829218084,7.452442097100829e-05
14.992,-0.0003758383295650097,7.452442097042423e-05
15.002,-0.0003736733292018547,7.452442096984916e-05
15.012,-0.00037114879772067057,7.452442096928292e-05
15.022,-0.0003682479513026632,7.452442096872538e-05
15.032,-0.00036495242354921576,7.452442096817642e-05
15.042,-0.0003612427831184751,7.45244209676359e-05
15.052,-0.00035709924188034474,7.45244209671037e-05
15.062,-0.00035250223987345983,7.452442096657966e-05
15.072,-0.00034743298026201636,7.452442096606369e-05
15.082,-0.000341874031502255,7.452442096555566e-05
15.092,-0.0003358097926676867,7.452442096505544e-05
15.102,-0.0003292269612095591,7.45244209645629e-05
15.112,-0.0003221149242015472,7.452442096407793e-05
15.122,-0.0003144660747526029,7.452442096360042e-05
15.132,-0.00030627604666431946,7.452442096313026e-05
15.142,-0.0002975438618341294,7.452442096266733e-05
15.152,-0.00028827203204693824,7.452442096221151e-05
15.162,-0.0002784665600779104,7.45244209617627e-05
15.172,-0.0002681368471406389,7.452442096132078e-05
15.182,-0.00025729555053729923,7.452442096088568e-05
15.192,-0.00024595838036982386,7.452442096045724e-05
15.202,-0.00023414380695300217,7.45244209600354e-05
15.212,-0.0002218727197026793,7.452442095962005e-05
15.222,-0.0002091680763104101,7.452442095921109e-05
15.232,-0.00019605449599916592,7.45244209588084e-05
15.242,-0.0001825578359398703,7.452442095841192e-05
15.252,-0.00016870475034933046,7.452442095802153e-05
15.262,-0.00015452228692548213,7.452442095763714e-05
15.272,-0.00014003748634322286,7.452442095725865e-05
15.282,-0.00012527698808827573,7.452442095688599e-05
15.292,-0.00011026672819874355,7.452442095651905e-05
15.302,-9.503168195455474e-05,7.452442095615777e-05
15.312,-7.9595674502526e-05,7.452442095580203e-05
15.322,-6.398126865892307e-05,7.452442095545176e-05
15.332,-4.820969843226161e-05,7.452442095510688e-05
15.342,-3.2300959702286444e-05,7.45244209547673e-05
15.352,-1.627400383748762e-05,7.452442095443294e-05
15.362,-1.4693256837853966e-07,7.452442095410372e-05
15.372,1.6062706483504574e-05,7.452442095377957e-05
15.382,3.233753862295258e-05,7.45244209534604e-05
15.392,4.8659967321469584e-05,7.452442095314613e-05
15.402,6.501169878517953e-05,7.45244209528367e-05
15.412,8.137328090537677e-05,7.452442095253202e-05
15.422,9.772368235228129e-05,7.452442095223204e-05
15.432,0.0001140398463233024,7.452442095193665e-05
15.442,0.00013029635135026056,7.452442095164581e-05
15.452,0.0001464651012629606,7.452442095135944e-05
15.462,0.00016251506878222887,7.452442095107748e-05
15.472,0.0001784122016871542,7.452442095079986e-05
15.482,0.0001941193420459259,7.452442095052649e-05
15.492,0.00020959628182463634,7.452442095025734e-05
15.502,0.00022479991939745774,7.452442094999232e-05
15.512,0.0002396844694075114,7.452442094973138e-05
15.522,0.00025420181279475393,7.452442094947444e-05
