# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.340326976052399E+004  0.000000000000000E+000 
      0.02000000 -0.340326976052418E+004 -0.185227881942041E-009 
      0.04000000 -0.340326976052436E+004 -0.370455763884081E-009 
      0.06000000 -0.340326976052455E+004 -0.555296948786577E-009 
      0.08000000 -0.340326976052473E+004 -0.740138133689072E-009 
      0.10000000 -0.340326976052492E+004 -0.923432530433388E-009 
      0.12000000 -0.340326976052510E+004 -0.110750032125679E-008 
      0.14000000 -0.340326976052529E+004 -0.129079471800111E-008 
      0.16000000 -0.340326976052547E+004 -0.147486250882451E-008 
      0.18000000 -0.340326976052565E+004 -0.165815690556883E-008 
      0.20000000 -0.340326976052583E+004 -0.184029121119451E-008 
      0.22000000 -0.340326976052602E+004 -0.202358560793883E-008 
      0.24000000 -0.340326976052620E+004 -0.220571991356451E-008 
      0.26000000 -0.340326976052638E+004 -0.238862761326928E-008 
      0.28000000 -0.340326976052657E+004 -0.257192201001359E-008 
      0.30000000 -0.340326976052675E+004 -0.275444301267882E-008 
      0.32000000 -0.340326976052693E+004 -0.293657731830450E-008 
      0.34000000 -0.340326976052711E+004 -0.311987171504882E-008 
      0.36000000 -0.340326976052730E+004 -0.330200602067450E-008 
      0.38000000 -0.340326976052748E+004 -0.348414032630018E-008 
      0.40000000 -0.340326976052766E+004 -0.366782142008404E-008 
      0.42000000 -0.340326976052784E+004 -0.384918233163063E-008 
      0.44000000 -0.340326976052803E+004 -0.403170333429586E-008 
      0.46000000 -0.340326976052821E+004 -0.421383763992154E-008 
      0.48000000 -0.340326976052839E+004 -0.439635864258676E-008 
      0.50000000 -0.340326976052857E+004 -0.457926634229153E-008 
      0.52000000 -0.340326976052876E+004 -0.476178734495676E-008 
      0.54000000 -0.340326976052894E+004 -0.494430834762198E-008 
      0.56000000 -0.340326976052912E+004 -0.512644265324767E-008 
      0.58000000 -0.340326976052930E+004 -0.530857695887335E-008 
      0.60000000 -0.340326976052949E+004 -0.549109796153857E-008 
      0.62000000 -0.340326976052967E+004 -0.567361896420380E-008 
      0.64000000 -0.340326976052985E+004 -0.585536657278993E-008 
      0.66000000 -0.340326976053003E+004 -0.603788757545516E-008 
      0.68000000 -0.340326976053022E+004 -0.622079527515993E-008 
      0.70000000 -0.340326976053040E+004 -0.640292958078561E-008 
      0.72000000 -0.340326976053058E+004 -0.658506388641129E-008 
      0.74000000 -0.340326976053076E+004 -0.676719819203697E-008 
      0.76000000 -0.340326976053094E+004 -0.694971919470220E-008 
      0.78000000 -0.340326976053113E+004 -0.713185350032788E-008 
      0.80000000 -0.340326976053131E+004 -0.731398780595356E-008 
      0.82000000 -0.340326976053149E+004 -0.749650880861879E-008 
      0.84000000 -0.340326976053167E+004 -0.767825641720492E-008 
      0.86000000 -0.340326976053186E+004 -0.786155081394924E-008 
      0.88000000 -0.340326976053204E+004 -0.804368511957492E-008 
      0.90000000 -0.340326976053222E+004 -0.822659281927969E-008 
      0.92000000 -0.340326976053240E+004 -0.840834042786582E-008 
      0.94000000 -0.340326976053259E+004 -0.859163482461014E-008 
      0.96000000 -0.340326976053277E+004 -0.877260903911719E-008 
      0.98000000 -0.340326976053295E+004 -0.895590343586150E-008 
      1.00000000 -0.340326976053313E+004 -0.913842443852673E-008 
      1.02000000 -0.340326976053331E+004 -0.932017204711286E-008 
      1.04000000 -0.340326976053350E+004 -0.950230635273854E-008 
      1.06000000 -0.340326976053368E+004 -0.968482735540377E-008 
      1.08000000 -0.340326976053386E+004 -0.986657496398990E-008 
      1.10000000 -0.340326976053404E+004 -0.100494826636947E-007 
      1.12000000 -0.340326976053423E+004 -0.102320036663599E-007 
      1.14000000 -0.340326976053441E+004 -0.104137512749460E-007 
      1.16000000 -0.340326976053459E+004 -0.105966589746508E-007 
      1.18000000 -0.340326976053477E+004 -0.107784065832369E-007 
      1.20000000 -0.340326976053496E+004 -0.109613142829417E-007 
      1.22000000 -0.340326976053514E+004 -0.111430618915278E-007 
      1.24000000 -0.340326976053532E+004 -0.113255828941931E-007 
      1.26000000 -0.340326976053550E+004 -0.115084905938978E-007 
      1.28000000 -0.340326976053568E+004 -0.116906248995235E-007 
      1.30000000 -0.340326976053587E+004 -0.118727592051492E-007 
      1.32000000 -0.340326976053605E+004 -0.120548935107749E-007 
      1.34000000 -0.340326976053623E+004 -0.122378012104797E-007 
      1.36000000 -0.340326976053641E+004 -0.124191621220263E-007 
      1.38000000 -0.340326976053660E+004 -0.126028432158101E-007 
      1.40000000 -0.340326976053678E+004 -0.127849775214358E-007 
      1.42000000 -0.340326976053696E+004 -0.129659517359428E-007 
      1.44000000 -0.340326976053714E+004 -0.131484727386081E-007 
      1.46000000 -0.340326976053733E+004 -0.133306070442337E-007 
      1.48000000 -0.340326976053751E+004 -0.135127413498594E-007 
      1.50000000 -0.340326976053769E+004 -0.136944889584456E-007 
      1.52000000 -0.340326976053787E+004 -0.138754631729526E-007 
      1.54000000 -0.340326976053805E+004 -0.140572107815387E-007 
      1.56000000 -0.340326976053823E+004 -0.142381849960458E-007 
      1.58000000 -0.340326976053841E+004 -0.144176124223947E-007 
      1.60000000 -0.340326976053859E+004 -0.145981999398622E-007 
      1.62000000 -0.340326976053877E+004 -0.147768539721319E-007 
      1.64000000 -0.340326976053895E+004 -0.149543479132831E-007 
      1.66000000 -0.340326976053913E+004 -0.151326152485133E-007 
