# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.340326426829966E+004  0.000000000000000E+000 
      0.02000000 -0.340326426829986E+004 -0.198375581286570E-009 
      0.04000000 -0.340326426830005E+004 -0.393657586256779E-009 
      0.06000000 -0.340326426830025E+004 -0.587006106029264E-009 
      0.08000000 -0.340326426830044E+004 -0.778807837643569E-009 
      0.10000000 -0.340326426830063E+004 -0.968289387020604E-009 
      0.12000000 -0.340326426830082E+004 -0.115777093639764E-008 
      0.14000000 -0.340326426830100E+004 -0.134415890945832E-008 
      0.16000000 -0.340326426830119E+004 -0.153016018547945E-008 
      0.18000000 -0.340326426830138E+004 -0.171693485557967E-008 
      0.20000000 -0.340326426830156E+004 -0.190254943456125E-008 
      0.22000000 -0.340326426830175E+004 -0.208661722538466E-008 
      0.24000000 -0.340326426830193E+004 -0.227145841028715E-008 
      0.26000000 -0.340326426830212E+004 -0.245552620111056E-008 
      0.28000000 -0.340326426830230E+004 -0.263959399193396E-008 
      0.30000000 -0.340326426830248E+004 -0.282288838867828E-008 
      0.32000000 -0.340326426830267E+004 -0.300618278542260E-008 
      0.34000000 -0.340326426830285E+004 -0.318870378808782E-008 
      0.36000000 -0.340326426830303E+004 -0.337277157891123E-008 
      0.38000000 -0.340326426830322E+004 -0.355606597565554E-008 
      0.40000000 -0.340326426830340E+004 -0.373820028128122E-008 
      0.42000000 -0.340326426830358E+004 -0.392110798098599E-008 
      0.44000000 -0.340326426830377E+004 -0.410440237773031E-008 
      0.46000000 -0.340326426830395E+004 -0.428653668335599E-008 
      0.48000000 -0.340326426830413E+004 -0.446828429194213E-008 
      0.50000000 -0.340326426830431E+004 -0.465041859756781E-008 
      0.52000000 -0.340326426830449E+004 -0.483371299431212E-008 
      0.54000000 -0.340326426830468E+004 -0.501623399697735E-008 
      0.56000000 -0.340326426830486E+004 -0.519682151444485E-008 
      0.58000000 -0.340326426830504E+004 -0.537779572895190E-008 
      0.60000000 -0.340326426830522E+004 -0.555644976122167E-008 
      0.62000000 -0.340326426830539E+004 -0.573394370237281E-008 
      0.64000000 -0.340326426830557E+004 -0.590757067312850E-008 
      0.66000000 -0.340326426830574E+004 -0.607617058237011E-008 
      0.68000000 -0.340326426830590E+004 -0.623742324786036E-008 
      0.70000000 -0.340326426830605E+004 -0.638978188144108E-008 
      0.72000000 -0.340326426830619E+004 -0.652589923936091E-008 
      0.74000000 -0.340326426830630E+004 -0.664384183642213E-008 
      0.76000000 -0.340326426830639E+004 -0.673239545847792E-008 
      0.78000000 -0.340326426830645E+004 -0.678575964993513E-008 
      0.80000000 -0.340326426830645E+004 -0.679078671144922E-008 
      0.82000000 -0.340326426830640E+004 -0.673471564071519E-008 
      0.84000000 -0.340326426830626E+004 -0.660207855615127E-008 
      0.86000000 -0.340326426830604E+004 -0.637431399985928E-008 
      0.88000000 -0.340326426830569E+004 -0.603324721098062E-008 
      0.90000000 -0.340326426830522E+004 -0.555683645826122E-008 
      0.92000000 -0.340326426830459E+004 -0.492806707196110E-008 
      0.94000000 -0.340326426830379E+004 -0.413069777641937E-008 
      0.96000000 -0.340326426830281E+004 -0.315312766044968E-008 
      0.98000000 -0.340326426830165E+004 -0.199148975365659E-008 
      1.00000000 -0.340326426830032E+004 -0.654291390910089E-009 
      1.02000000 -0.340326426829883E+004  0.834105514298500E-009 
      1.04000000 -0.340326426829723E+004  0.243309777281695E-008 
      1.06000000 -0.340326426829558E+004  0.407965376719943E-008 
      1.08000000 -0.340326426829397E+004  0.569372721026014E-008 
      1.10000000 -0.340326426829249E+004  0.717284338651964E-008 
      1.12000000 -0.340326426829125E+004  0.840988721602400E-008 
      1.14000000 -0.340326426829036E+004  0.930315737737288E-008 
      1.16000000 -0.340326426828988E+004  0.978304840344819E-008 
      1.18000000 -0.340326426828981E+004  0.985458735576401E-008 
      1.20000000 -0.340326426829001E+004  0.965505168335881E-008 
      1.22000000 -0.340326426829012E+004  0.953710908629759E-008 
      1.24000000 -0.340326426828949E+004  0.101732257163491E-007 
      1.26000000 -0.340326426828695E+004  0.127118917809618E-007 
      1.28000000 -0.340326426828071E+004  0.189539553932967E-007 
      1.30000000 -0.340326426826806E+004  0.315981751923381E-007 
      1.32000000 -0.340326426824514E+004  0.545258293639989E-007 
      1.34000000 -0.340326426820650E+004  0.931603438878973E-007 
      1.36000000 -0.340326426814478E+004  0.154882991854868E-006 
      1.38000000 -0.340326426805012E+004  0.249537146406527E-006 
      1.40000000 -0.340326426790967E+004  0.389992471715972E-006 
      1.42000000 -0.340326426770687E+004  0.592794187317173E-006 
      1.44000000 -0.340326426742078E+004  0.878885031477807E-006 
      1.46000000 -0.340326426702527E+004  0.127438793600730E-005 
      1.48000000 -0.340326426648821E+004  0.181144825240893E-005 
      1.50000000 -0.340326426577055E+004  0.252910846058333E-005 
      1.52000000 -0.340326426482547E+004  0.347419370504900E-005 
      1.54000000 -0.340326426359748E+004  0.470218341006946E-005 
      1.56000000 -0.340326426202165E+004  0.627801174252508E-005 
