# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.345784947016920E+004  0.000000000000000E+000 
      0.02000000 -0.345784947017337E+004 -0.416859408629477E-008 
      0.04000000 -0.345784947017332E+004 -0.412412392674710E-008 
      0.06000000 -0.345784947017240E+004 -0.320146479039281E-008 
      0.08000000 -0.345784947016884E+004  0.362335126053637E-009 
      0.10000000 -0.345784947015904E+004  0.101600780170045E-007 
      0.12000000 -0.345784947013684E+004  0.323622885424790E-007 
      0.14000000 -0.345784947009266E+004  0.765455188868081E-007 
      0.16000000 -0.345784947001266E+004  0.156537668487081E-006 
      0.18000000 -0.345784946987795E+004  0.291248222577045E-006 
      0.20000000 -0.345784946966374E+004  0.505464074694496E-006 
      0.22000000 -0.345784946933861E+004  0.830593918482392E-006 
      0.24000000 -0.345784946886387E+004  0.130533027302057E-005 
      0.26000000 -0.345784946819300E+004  0.197619859262187E-005 
      0.28000000 -0.345784946727122E+004  0.289797683312008E-005 
      0.30000000 -0.345784946603523E+004  0.413397426043543E-005 
      0.32000000 -0.345784946441305E+004  0.575614861977756E-005 
      0.34000000 -0.345784946232412E+004  0.784507868015574E-005 
      0.36000000 -0.345784945967942E+004  0.104897778464058E-004 
      0.38000000 -0.345784945638184E+004  0.137873604396449E-004 
      0.40000000 -0.345784945232665E+004  0.178425513654257E-004 
      0.42000000 -0.345784944740211E+004  0.227670902135980E-004 
      0.44000000 -0.345784944149016E+004  0.286790437109727E-004 
      0.46000000 -0.345784943446719E+004  0.357020056451469E-004 
      0.48000000 -0.345784942620500E+004  0.439642032076457E-004 
      0.50000000 -0.345784941657164E+004  0.535975627338742E-004 
      0.52000000 -0.345784940543249E+004  0.647367131848470E-004 
      0.54000000 -0.345784939265123E+004  0.775179664270950E-004 
      0.56000000 -0.345784937809096E+004  0.920782445350771E-004 
      0.58000000 -0.345784936161522E+004  0.108553985825256E-003 
      0.60000000 -0.345784934308919E+004  0.127080012607166E-003 
      0.62000000 -0.345784932238073E+004  0.147788475113799E-003 
      0.64000000 -0.345784929936134E+004  0.170807860397090E-003 
      0.66000000 -0.345784927390715E+004  0.196262049560535E-003 
      0.68000000 -0.345784924589971E+004  0.224269489840835E-003 
      0.70000000 -0.345784921522670E+004  0.254942497006426E-003 
      0.72000000 -0.345784918178253E+004  0.288386671058262E-003 
      0.74000000 -0.345784914546875E+004  0.324700447274548E-003 
      0.76000000 -0.345784910619439E+004  0.363974808508141E-003 
      0.78000000 -0.345784906387606E+004  0.406293145202226E-003 
      0.80000000 -0.345784901843803E+004  0.451731171863751E-003 
      0.82000000 -0.345784896981227E+004  0.500356934797371E-003 
      0.84000000 -0.345784891793822E+004  0.552230982638840E-003 
      0.86000000 -0.345784886276249E+004  0.607406705875016E-003 
      0.88000000 -0.345784880423845E+004  0.665930754089959E-003 
      0.90000000 -0.345784874232562E+004  0.727843578887584E-003 
      0.92000000 -0.345784867698908E+004  0.793180118732109E-003 
      0.94000000 -0.345784860819862E+004  0.861970582009568E-003 
      0.96000000 -0.345784853592788E+004  0.934241317869537E-003 
      0.98000000 -0.345784846015342E+004  0.101001578180765E-002 
      1.00000000 -0.345784838085366E+004  0.108931554533155E-002 
      1.02000000 -0.345784829800792E+004  0.117216127933150E-002 
      1.04000000 -0.345784821159541E+004  0.125857378772153E-002 
      1.06000000 -0.345784812159423E+004  0.134857497534213E-002 
      1.08000000 -0.345784802798045E+004  0.144218875244466E-002 
      1.10000000 -0.345784793072728E+004  0.153944192138762E-002 
      1.12000000 -0.345784782980421E+004  0.164036498754037E-002 
      1.14000000 -0.345784772517636E+004  0.174499284412358E-002 
      1.16000000 -0.345784761680383E+004  0.185336537429652E-002 
      1.18000000 -0.345784750464116E+004  0.196552803932323E-002 
      1.20000000 -0.345784738863680E+004  0.208153240177368E-002 
      1.22000000 -0.345784726873274E+004  0.220143646001665E-002 
      1.24000000 -0.345784714486434E+004  0.232530486090310E-002 
      1.26000000 -0.345784701696021E+004  0.245320898986664E-002 
      1.28000000 -0.345784688494223E+004  0.258522697092347E-002 
      1.30000000 -0.345784674872571E+004  0.272144349149863E-002 
      1.32000000 -0.345784660821965E+004  0.286194954797939E-002 
      1.34000000 -0.345784646332708E+004  0.300684212166308E-002 
      1.36000000 -0.345784631394552E+004  0.315622367798445E-002 
      1.38000000 -0.345784615996765E+004  0.331020155282747E-002 
      1.40000000 -0.345784600128190E+004  0.346888730171419E-002 
      1.42000000 -0.345784583777327E+004  0.363239593530472E-002 
      1.44000000 -0.345784566932419E+004  0.380084500640550E-002 
      1.46000000 -0.345784549581557E+004  0.397435362775885E-002 
      1.48000000 -0.345784531712779E+004  0.415304141017284E-002 
      1.50000000 -0.345784513314188E+004  0.433702732408528E-002 
      1.52000000 -0.345784494374067E+004  0.452642852787162E-002 
      1.54000000 -0.345784474880993E+004  0.472135926614514E-002 
      1.56000000 -0.345784454823941E+004  0.492192979357905E-002 
      1.58000000 -0.345784434192398E+004  0.512824522332274E-002 
      1.60000000 -0.345784412976481E+004  0.534040439011246E-002 
      1.62000000 -0.345784391167060E+004  0.555849859621281E-002 
      1.64000000 -0.345784368755873E+004  0.578261046834032E-002 
      1.66000000 -0.345784345735628E+004  0.601281292402227E-002 
      1.68000000 -0.345784322100101E+004  0.624916818783936E-002 
      1.70000000 -0.345784297844243E+004  0.649172676745204E-002 
      1.72000000 -0.345784272964268E+004  0.674052652050046E-002 
      1.74000000 -0.345784247457736E+004  0.699559183596692E-002 
      1.76000000 -0.345784221323624E+004  0.725693296441654E-002 
      1.78000000 -0.345784194562379E+004  0.752454540856274E-002 
      1.80000000 -0.345784167175983E+004  0.779840936719693E-002 
      1.82000000 -0.345784139167969E+004  0.807848950703720E-002 
      1.84000000 -0.345784110543431E+004  0.836473488770914E-002 
      1.86000000 -0.345784081309029E+004  0.865707890838164E-002 
      1.88000000 -0.345784051472976E+004  0.895543944156402E-002 
      1.90000000 -0.345784021045007E+004  0.925971913086285E-002 
      1.92000000 -0.345783990036358E+004  0.956980561719959E-002 
      1.94000000 -0.345783958459723E+004  0.988557197229810E-002 
      1.96000000 -0.345783926329181E+004  0.102068773916456E-001 
      1.98000000 -0.345783893660127E+004  0.105335679276705E-001 
      2.00000000 -0.345783860469193E+004  0.108654772666162E-001 
      2.02000000 -0.345783826774146E+004  0.112024277451685E-001 
      2.04000000 -0.345783792593778E+004  0.115442314243125E-001 
      2.06000000 -0.345783757947798E+004  0.118906912208082E-001 
      2.08000000 -0.345783722856711E+004  0.122416020920309E-001 
      2.10000000 -0.345783687341698E+004  0.125967522169431E-001 
      2.12000000 -0.345783651424500E+004  0.129559242025898E-001 
      2.14000000 -0.345783615127291E+004  0.133188962859529E-001 
      2.16000000 -0.345783578472562E+004  0.136854435783418E-001 
      2.18000000 -0.345783541482992E+004  0.140553392842632E-001 
      2.20000000 -0.345783504181341E+004  0.144283557915192E-001 
      2.22000000 -0.345783466590354E+004  0.148042656572857E-001 
      2.24000000 -0.345783428732656E+004  0.151828426436861E-001 
      2.26000000 -0.345783390630664E+004  0.155638625592449E-001 
      2.28000000 -0.345783352306519E+004  0.159471040059858E-001 
      2.30000000 -0.345783313782009E+004  0.163323491102895E-001 
      2.32000000 -0.345783275078510E+004  0.167193840975250E-001 
      2.34000000 -0.345783236216954E+004  0.171079996563189E-001 
      2.36000000 -0.345783197217784E+004  0.174979913592811E-001 
      2.38000000 -0.345783158100927E+004  0.178891599282796E-001 
      2.40000000 -0.345783118885795E+004  0.182813112522279E-001 
      2.42000000 -0.345783079591283E+004  0.186742563662040E-001 
      2.44000000 -0.345783040235791E+004  0.190678112874904E-001 
      2.46000000 -0.345783000837257E+004  0.194617966288771E-001 
      2.48000000 -0.345782961413211E+004  0.198560370913156E-001 
      2.50000000 -0.345782921980811E+004  0.202503610895953E-001 
      2.52000000 -0.345782882556911E+004  0.206446000868386E-001 
      2.54000000 -0.345782843158142E+004  0.210385877766365E-001 
      2.56000000 -0.345782803800992E+004  0.214321592760116E-001 
      2.58000000 -0.345782764501883E+004  0.218251503690391E-001 
      2.60000000 -0.345782725277269E+004  0.222173965138084E-001 
      2.62000000 -0.345782686143727E+004  0.226087319317520E-001 
      2.64000000 -0.345782647118050E+004  0.229989886969734E-001 
      2.66000000 -0.345782608217333E+004  0.233879958684995E-001 
      2.68000000 -0.345782569459048E+004  0.237755787180466E-001 
      2.70000000 -0.345782530861121E+004  0.241615579906550E-001 
      2.72000000 -0.345782492441989E+004  0.245457493068562E-001 
      2.74000000 -0.345782454220668E+004  0.249279625207552E-001 
      2.76000000 -0.345782416216805E+004  0.253080011461725E-001 
      2.78000000 -0.345782378450735E+004  0.256856618516175E-001 
      2.80000000 -0.345782340943504E+004  0.260607341648523E-001 
      2.82000000 -0.345782303716897E+004  0.264330002292720E-001 
      2.84000000 -0.345782266793452E+004  0.268022346801621E-001 
      2.86000000 -0.345782230196448E+004  0.271682047231980E-001 
      2.88000000 -0.345782193949901E+004  0.275306701928361E-001 
      2.90000000 -0.345782158078544E+004  0.278893837634502E-001 
      2.92000000 -0.345782122607784E+004  0.282440913630979E-001 
      2.94000000 -0.345782087563641E+004  0.285945327887549E-001 
      2.96000000 -0.345782052972697E+004  0.289404422349304E-001 
      2.98000000 -0.345782018862019E+004  0.292815490144701E-001 
      3.00000000 -0.345781985259071E+004  0.296175784943631E-001 
      3.02000000 -0.345781952191628E+004  0.299482529174732E-001 
      3.04000000 -0.345781919687672E+004  0.302732924818102E-001 
      3.06000000 -0.345781887775262E+004  0.305924165849209E-001 
      3.08000000 -0.345781856482408E+004  0.309053451235782E-001 
      3.10000000 -0.345781825836958E+004  0.312117996225495E-001 
      3.12000000 -0.345781795866459E+004  0.315115046096911E-001 
      3.14000000 -0.345781766598014E+004  0.318041890614226E-001 
      3.16000000 -0.345781738058149E+004  0.320895877082150E-001 
      3.18000000 -0.345781710272689E+004  0.323674423064382E-001 
      3.20000000 -0.345781683266626E+004  0.326375029403692E-001 
      3.22000000 -0.345781657064005E+004  0.328995291505748E-001 
      3.24000000 -0.345781631687808E+004  0.331532911191374E-001 
      3.26000000 -0.345781607159830E+004  0.333985708958715E-001 
      3.28000000 -0.345781583500568E+004  0.336351635212920E-001 
      3.30000000 -0.345781560729083E+004  0.338628783699997E-001 
      3.32000000 -0.345781538862803E+004  0.340815411754270E-001 
      3.34000000 -0.345781517917245E+004  0.342909967510249E-001 
      3.36000000 -0.345781497905597E+004  0.344911132288491E-001 
      3.38000000 -0.345781478838119E+004  0.346817880069608E-001 
      3.40000000 -0.345781460721302E+004  0.348629561778754E-001 
      3.42000000 -0.345781443556695E+004  0.350346022508960E-001 
      3.44000000 -0.345781427339359E+004  0.351967756099416E-001 
      3.46000000 -0.345781412055875E+004  0.353496104500990E-001 
      3.48000000 -0.345781397681883E+004  0.354933503727151E-001 
      3.50000000 -0.345781384179155E+004  0.356283776529488E-001 
      3.52000000 -0.345781371492236E+004  0.357552468363965E-001 
      3.54000000 -0.345781359544733E+004  0.358747218739956E-001 
      3.56000000 -0.345781348235373E+004  0.359878154707685E-001 
      3.58000000 -0.345781337434063E+004  0.360958285726170E-001 
      3.60000000 -0.345781326978160E+004  0.362003876009942E-001 
      3.62000000 -0.345781316669289E+004  0.363034763144197E-001 
      3.64000000 -0.345781306271028E+004  0.364074589232956E-001 
      3.66000000 -0.345781295507849E+004  0.365150907140210E-001 
      3.68000000 -0.345781284065699E+004  0.366295122125730E-001 
      3.70000000 -0.345781271594602E+004  0.367542231791316E-001 
      3.72000000 -0.345781257713648E+004  0.368930327160403E-001 
      3.74000000 -0.345781242018644E+004  0.370499827597971E-001 
      3.76000000 -0.345781224092648E+004  0.372292427192591E-001 
      3.78000000 -0.345781203519454E+004  0.374349746641600E-001 
      3.80000000 -0.345781179899973E+004  0.376711694664937E-001 
      3.82000000 -0.345781152871302E+004  0.379414561832357E-001 
      3.84000000 -0.345781122128033E+004  0.382488888683313E-001 
      3.86000000 -0.345781087445220E+004  0.385957170045847E-001 
      3.88000000 -0.345781048702141E+004  0.389831477909347E-001 
      3.90000000 -0.345781005905841E+004  0.394111107928357E-001 
      3.92000000 -0.345780959213207E+004  0.398780371301276E-001 
      3.94000000 -0.345780908950212E+004  0.403806670813376E-001 
      3.96000000 -0.345780855626777E+004  0.409139014346313E-001 
      3.98000000 -0.345780799945658E+004  0.414707126182592E-001 
      4.00000000 -0.345780742803743E+004  0.420421317721144E-001 
      4.02000000 -0.345780685284166E+004  0.426173275453751E-001 
      4.04000000 -0.345780628637799E+004  0.431837912106978E-001 
      4.06000000 -0.345780574252870E+004  0.437276404982682E-001 
      4.08000000 -0.345780523611710E+004  0.442340521005857E-001 
      4.10000000 -0.345780478234020E+004  0.446878289991698E-001 
      4.12000000 -0.345780439606482E+004  0.450741043850362E-001 
      4.14000000 -0.345780409099034E+004  0.453791788597210E-001 
      4.16000000 -0.345780387868710E+004  0.455914820966799E-001 
      4.18000000 -0.345780376752496E+004  0.457026442453751E-001 
      4.20000000 -0.345780376151360E+004  0.457086555981863E-001 
      4.22000000 -0.345780385908181E+004  0.456110873883254E-001 
      4.24000000 -0.345780405182880E+004  0.454183403974529E-001 
      4.26000000 -0.345780432328713E+004  0.451468820667940E-001 
      4.28000000 -0.345780464774069E+004  0.448224285104980E-001 
