# Real time calculation: 
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[fs] 2:Ac_ext_x[fs*V/Angstrom] 3:Ac_ext_y[fs*V/Angstrom] 4:Ac_ext_z[fs*V/Angstrom] 5:E_ext_x[V/Angstrom] 6:E_ext_y[V/Angstrom] 7:E_ext_z[V/Angstrom] 8:Ac_tot_x[fs*V/Angstrom] 9:Ac_tot_y[fs*V/Angstrom] 10:Ac_tot_z[fs*V/Angstrom] 11:E_tot_x[V/Angstrom] 12:E_tot_y[V/Angstrom] 13:E_tot_z[V/Angstrom]  14:Jm_x[1/fs*Angstrom^2] 15:Jm_y[1/fs*Angstrom^2] 16:Jm_z[1/fs*Angstrom^2] 
      0.00200000 -0.000000000000000E+000 -0.000000000000000E+000 -0.223136304087688E-014  0.000000000000000E+000  0.000000000000000E+000  0.111568156016748E-011 -0.000000000000000E+000 -0.000000000000000E+000 -0.223136304087688E-014  0.000000000000000E+000  0.000000000000000E+000  0.111568156016748E-011  -0.288309247411946E-009  0.123299157748318E-009 -0.755957001324316E-011 
      0.00400000 -0.000000000000000E+000 -0.000000000000000E+000 -0.165369814259045E-013 -0.000000000000000E+000 -0.000000000000000E+000  0.715280944722294E-011  0.000000000000000E+000  0.000000000000000E+000 -0.165369814259045E-013 -0.000000000000000E+000 -0.000000000000000E+000  0.715280944722294E-011  -0.251409794547962E-009  0.101071157689154E-009 -0.141395974837311E-010 
      0.00600000 -0.000000000000000E+000 -0.000000000000000E+000 -0.543332992861903E-013 -0.000000000000000E+000 -0.000000000000000E+000  0.188981596031000E-010  0.000000000000000E+000  0.000000000000000E+000 -0.543332992861903E-013 -0.000000000000000E+000 -0.000000000000000E+000  0.188981596031000E-010  -0.219693661429579E-009  0.736787336659491E-010 -0.119368124197202E-010 
      0.00800000 -0.000000000000000E+000 -0.000000000000000E+000 -0.127034931325088E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.363508173138890E-010  0.000000000000000E+000  0.000000000000000E+000 -0.127034931325088E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.363508173138890E-010  -0.195240293983179E-009  0.424923283179847E-010 -0.374299643538041E-011 
      0.01000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.246053792386029E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.595094326495813E-010  0.000000000000000E+000  0.000000000000000E+000 -0.246053792386029E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.595094326495813E-010  -0.181352590221312E-009  0.126628910970286E-010  0.759296760492556E-011 
      0.01200000 -0.000000000000000E+000 -0.000000000000000E+000 -0.422798227156206E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.883722205319937E-010  0.000000000000000E+000  0.000000000000000E+000 -0.422798227156206E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.883722205319937E-010  -0.180797813849561E-009 -0.100138695370242E-010  0.202024602591609E-010 
      0.01400000 -0.000000000000000E+000 -0.000000000000000E+000 -0.668672140048877E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.122936960824079E-009  0.000000000000000E+000  0.000000000000000E+000 -0.668672140048877E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.122936960824079E-009  -0.192772458218848E-009 -0.242724725443070E-010  0.321059651971450E-010 
      0.01600000 -0.000000000000000E+000 -0.000000000000000E+000 -0.995074125308448E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.163200998441318E-009  0.000000000000000E+000  0.000000000000000E+000 -0.995074125308448E-012 -0.000000000000000E+000 -0.000000000000000E+000  0.163200998441318E-009  -0.211898473914681E-009 -0.360722505966314E-010  0.402721553689954E-010 
      0.01800000 -0.000000000000000E+000 -0.000000000000000E+000 -0.141339659738171E-011 -0.000000000000000E+000 -0.000000000000000E+000  0.209161243484790E-009  0.000000000000000E+000  0.000000000000000E+000 -0.141339659738171E-011 -0.000000000000000E+000 -0.000000000000000E+000  0.209161243484790E-009  -0.231207942901457E-009 -0.554091531712246E-010  0.420559481531465E-010 
      0.02000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.193502492159729E-011 -0.000000000000000E+000 -0.000000000000000E+000  0.260814171395297E-009  0.000000000000000E+000  0.000000000000000E+000 -0.193502492159729E-011 -0.000000000000000E+000 -0.000000000000000E+000  0.260814171395297E-009  -0.247029083501381E-009 -0.887963294109994E-010  0.383266911132651E-010 
