# Real time calculation: 
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[fs] 2:Ac_ext_x[fs*V/Angstrom] 3:Ac_ext_y[fs*V/Angstrom] 4:Ac_ext_z[fs*V/Angstrom] 5:E_ext_x[V/Angstrom] 6:E_ext_y[V/Angstrom] 7:E_ext_z[V/Angstrom] 8:Ac_tot_x[fs*V/Angstrom] 9:Ac_tot_y[fs*V/Angstrom] 10:Ac_tot_z[fs*V/Angstrom] 11:E_tot_x[V/Angstrom] 12:E_tot_y[V/Angstrom] 13:E_tot_z[V/Angstrom]  14:Jm_x[1/fs*Angstrom^2] 15:Jm_y[1/fs*Angstrom^2] 16:Jm_z[1/fs*Angstrom^2] 
      0.00200000 -0.000000000000000E+000 -0.000000000000000E+000 -0.223136304087688E-012  0.000000000000000E+000  0.000000000000000E+000  0.111568156016748E-009 -0.000000000000000E+000 -0.000000000000000E+000 -0.223136304087688E-012  0.000000000000000E+000  0.000000000000000E+000  0.111568156016748E-009   0.210837592472867E-010 -0.929183246495147E-010  0.998251885650149E-009 
      0.00400000 -0.000000000000000E+000 -0.000000000000000E+000 -0.165369814259045E-011 -0.000000000000000E+000 -0.000000000000000E+000  0.715280944722294E-009  0.000000000000000E+000  0.000000000000000E+000 -0.165369814259045E-011 -0.000000000000000E+000 -0.000000000000000E+000  0.715280944722294E-009   0.385824457795552E-010 -0.788002799309987E-010  0.978564412923034E-009 
      0.00600000 -0.000000000000000E+000 -0.000000000000000E+000 -0.543332992861903E-011 -0.000000000000000E+000 -0.000000000000000E+000  0.188981596031000E-008  0.000000000000000E+000  0.000000000000000E+000 -0.543332992861903E-011 -0.000000000000000E+000 -0.000000000000000E+000  0.188981596031000E-008   0.717831862077301E-010 -0.588485543026440E-010  0.950065031930432E-009 
      0.00800000 -0.000000000000000E+000 -0.000000000000000E+000 -0.127034931325088E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.363508173138890E-008  0.000000000000000E+000  0.000000000000000E+000 -0.127034931325088E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.363508173138890E-008   0.109931136646859E-009 -0.351583428864232E-010  0.909499472647942E-009 
      0.01000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.246053792386029E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.595094326495813E-008  0.000000000000000E+000  0.000000000000000E+000 -0.246053792386029E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.595094326495813E-008   0.139636025285752E-009 -0.147996648082316E-010  0.852988482619680E-009 
      0.01200000 -0.000000000000000E+000 -0.000000000000000E+000 -0.422798227156206E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.883722205319937E-008  0.000000000000000E+000  0.000000000000000E+000 -0.422798227156206E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.883722205319937E-008   0.154771358610548E-009 -0.376393995805959E-011  0.777658581633669E-009 
      0.01400000 -0.000000000000000E+000 -0.000000000000000E+000 -0.668672140048876E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.122936960824079E-007  0.000000000000000E+000  0.000000000000000E+000 -0.668672140048876E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.122936960824079E-007   0.159277505555390E-009 -0.955805871102739E-012  0.682489811650572E-009 
      0.01600000 -0.000000000000000E+000 -0.000000000000000E+000 -0.995074125308448E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.163200998441318E-007  0.000000000000000E+000  0.000000000000000E+000 -0.995074125308448E-010 -0.000000000000000E+000 -0.000000000000000E+000  0.163200998441318E-007   0.161945669735960E-009  0.207640460454032E-011  0.567049231133709E-009 
      0.01800000 -0.000000000000000E+000 -0.000000000000000E+000 -0.141339659738170E-009 -0.000000000000000E+000 -0.000000000000000E+000  0.209161243484790E-007  0.000000000000000E+000  0.000000000000000E+000 -0.141339659738170E-009 -0.000000000000000E+000 -0.000000000000000E+000  0.209161243484790E-007   0.168890137843692E-009  0.148029117674938E-010  0.428685657699900E-009 
      0.02000000 -0.000000000000000E+000 -0.000000000000000E+000 -0.193502492159729E-009 -0.000000000000000E+000 -0.000000000000000E+000  0.260814171395297E-007  0.000000000000000E+000  0.000000000000000E+000 -0.193502492159729E-009 -0.000000000000000E+000 -0.000000000000000E+000  0.260814171395297E-007   0.180104350193139E-009  0.399203155628837E-010  0.260567530114907E-009 
