# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_both_y,Jm_both_x,En_both_z,En_both_x
0.002,0.0,3.73336887697226e-07,8.56128928321985e-12,-7.35446248337146e-12,-2.5459528252164603e-09,-0.0,0.0
0.022,0.0,1.05992721524563e-05,1.08372154996567e-11,-6.1078595918594e-11,-3.6224277190588997e-07,-0.0,3.682690724938395e-12
0.042,0.0,2.61634792217965e-05,1.310555223758e-10,-2.0988628754170998e-10,-1.52232065415222e-06,-0.0,6.40690129001763e-11
0.062,0.0,4.7061743362833896e-05,3.99930866881381e-10,-5.77817048466504e-10,-3.7432568141702795e-06,-0.0,3.9217499045515055e-10
0.082,0.0,7.32884003671915e-05,9.92521620427248e-10,-1.3701591166358e-09,-7.25694762115154e-06,-0.0,1.504203773056658e-09
0.102,0.0,0.000104836337950704,2.0227066502767603e-09,-2.8611596407265898e-09,-1.2254917544139801e-05,-0.0,4.399488038885483e-09
0.122,0.0,0.00014169699751098602,3.73898945681215e-09,-5.38651445824285e-09,-1.8886888282183603e-05,-0.0,1.0757743915755416e-08
0.142,0.0,0.00018386037624308602,6.292953608465071e-09,-9.21116616785962e-09,-2.72670874308155e-05,-0.0,2.3147010961033122e-08
0.162,0.0,0.000231315029611945,9.74665812836302e-09,-1.45661944454889e-08,-3.74745944272509e-05,-0.0,4.5234056052898986e-08
0.182,0.0,0.00028404807418118,1.41285599646137e-08,-2.15213303144924e-08,-4.955805722449529e-05,-0.0,8.19893756877834e-08
0.202,0.0,0.00034204519079754304,1.9345791748538e-08,-2.99287891483083e-08,-6.354149829216429e-05,-0.0,1.3988441998656357e-07
0.222,0.0,0.000405290628131675,2.52114470341878e-08,-3.95797039927296e-08,-7.94228820468212e-05,-0.0,2.2707396038822278e-07
0.242,0.0,0.00047376720657083,3.1370522630454e-08,-5.013111576669019e-08,-9.71737541048328e-05,-0.0,3.5355439889455113e-07
0.262,0.0,0.0005474563224668469,3.7351014205391606e-08,-6.10167581293784e-08,-0.000116741780214641,-0.0,5.31294763406096e-07
0.282,0.0,0.0006263379527344231,4.2615248198638796e-08,-7.146347691036089e-08,-0.000138051019783379,-0.0,7.743353263835004e-07
0.302,0.0,0.000710390659802945,4.6450059693943896e-08,-8.06119936542369e-08,-0.000161003574390911,-0.0,1.0988484068937322e-06
0.322,0.0,0.000799591596915108,4.8102959500829804e-08,-8.75419313329538e-08,-0.000185482646395416,-0.0,1.5231611537564395e-06
0.342,0.0,0.000893916513776111,4.67918115944647e-08,-9.117802512966e-08,-0.000211355624770792,-0.0,2.0677406887129446e-06
0.362,0.0,0.000993339762549348,4.1575796681291095e-08,-9.04024543413668e-08,-0.00023847663166197403,-0.0,2.75514162523153e-06
0.382,0.0,0.00109783430419902,3.15704984652016e-08,-8.414714385759339e-08,-0.00026668827539374704,-0.0,3.6099146294732496e-06
0.402,0.0,0.00120737171517243,1.59251812965711e-08,-7.133347482392371e-08,-0.000295825564600728,-0.0,4.6584792501362515e-06
0.422,0.0,0.0013219221944320801,-6.20403307912841e-09,-5.08515915002423e-08,-0.000325720466919658,-0.0,5.928972719749774e-06
0.442,0.0,0.00144145457082039,-3.5664880993000603e-08,-2.1716182056101e-08,-0.000356203025142022,-0.0,7.451073402835044e-06
0.462,0.0,0.00156593631077203,-7.32905547534771e-08,1.6981947291715903e-08,-0.00038710292091217595,-0.0,9.255796710068885e-06
0.482,0.0,0.0016953335263543401,-1.197695967711e-07,6.620083102643981e-08,-0.00041825198706954103,-0.0,1.1375272155220884e-05
0.502,0.0,0.00182961098365065,-1.75715803914834e-07,1.2681479570541802e-07,-0.000449486209035053,-0.0,1.3842507487460731e-05
0.522,0.0,0.00196873211146871,-2.41851647265613e-07,1.99565597687092e-07,-0.000480646783736533,-0.0,1.669114152471299e-05
0.542,0.0,0.00211265901039054,-3.1863372904978697e-07,2.8515596278252303e-07,-0.000511581085663612,-0.0,1.9955187527056923e-05
0.562,0.0,0.00226135246214289,-4.06379913758694e-07,3.84142250772802e-07,-0.0005421424970007491,-0.0,2.366876729923839e-05
0.582,0.0,0.00241477193928998,-5.05491218372843e-07,4.96770804874481e-07,-0.000572190847742,-0.0,2.7865835834724887e-05
0.602,0.0,0.00257287561526484,-6.16088169439492e-07,6.233608810429889e-07,-0.000601594010255594,-0.0,3.257990730994633e-05
0.622,0.0,0.0027356203747144698,-7.38106268112363e-07,7.64010889649105e-07,-0.000630229789469901,-0.0,3.7843794038563494e-05
0.642,0.0,0.00290296182415331,-8.715186219332891e-07,9.18450192877656e-07,-0.000657986911855276,-0.0,4.3689362755300057e-05
0.662,0.0,0.00307485430295453,-1.0160447129863702e-06,1.0864077762656602e-06,-0.000684765930090561,-0.0,5.014730853997839e-05
0.682,0.0,0.0032512508946338603,-1.17126171647598e-06,1.26754005695758e-06,-0.000710480413905089,-0.0,5.7246956311427976e-05
0.702,0.0,0.00343210343846583,-1.3366520789534e-06,1.4611708107942199e-06,-0.0007350574265097019,-0.0,6.501609236979748e-05
0.722,0.0,0.00361736254138686,-1.5116268890825701e-06,1.66659751291167e-06,-0.000758437651780682,-0.0,7.348082518787136e-05
0.742,0.0,0.0038069775902154295,-1.6954741616091299e-06,1.8830492874918597e-06,-0.0007805762133376111,-0.0,8.266548292431274e-05
0.762,0.0,0.00400089676417376,-1.8873079222240502e-06,2.10960342925811e-06,-0.000801442538649091,-0.0,9.259255271399161e-05
0.782,0.0,0.00419906704771576,-2.0862389606966e-06,2.34519952547912e-06,-0.000821018534172644,-0.0,0.00010328264403589802
0.802,0.0,0.00440143424362371,-2.2912896167601502e-06,2.58878613285125e-06,-0.000839297536516767,-0.0,0.00011475447050944783
0.822,0.0,0.0046079429864278295,-2.5013902719487598e-06,2.83920397360586e-06,-0.000856284022650207,-0.0,0.00012702486041827775
0.842,0.0,0.00481853675611089,-2.71539343431954e-06,3.09520196946306e-06,-0.000871993903721053,-0.0,0.0001401088071352501
0.862,0.0,0.00503315789207877,-2.9321432566997e-06,3.35549762452674e-06,-0.000886453661412706,-0.0,0.000154019555341939
0.882,0.0,0.00525174760743561,-3.15042621900935e-06,3.61884408860746e-06,-0.000899699186393002,-0.0,0.00016876871037400115
0.902,0.0,0.0054742460035275,-3.36900670762398e-06,3.88380440235135e-06,-0.0009117756052819619,-0.0,0.0001843663755835589
0.922,0.0,0.00570059208475918,-3.58659361045112e-06,4.14902870038489e-06,-0.000922736707879723,-0.0,0.0002008213260805382
0.942,0.0,0.00593072377370227,-3.80191835904989e-06,4.41311782888787e-06,-0.000932644002005293,-0.0,0.00021814120462495447
