# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_both_y,Jm_both_x,En_both_z,En_both_x
0.002,0.0,3.73336887697226e-07,2.10372734230332e-10,-1.42861923311722e-10,-2.56572217759265e-09,-0.0,0.0
0.022,0.0,1.05992721524563e-05,5.43042659146564e-11,-1.79637268824849e-10,-3.6323000762330606e-07,-0.0,3.693836518833803e-12
0.042,0.0,2.61634792217965e-05,-8.789115929769591e-10,-8.802470132295879e-11,-1.5177178519329398e-06,-0.0,6.400394537891494e-11
0.062,0.0,4.7061743362833896e-05,-3.59918192559031e-09,5.85591329968244e-10,-3.71165589063612e-06,-0.0,3.8988348045958583e-10
0.082,0.0,7.32884003671915e-05,-9.38213692440689e-09,2.02311423930916e-09,-7.174628132738099e-06,-0.0,1.4902511867575087e-09
0.102,0.0,0.000104836337950704,-2.01116459337679e-08,4.58174707877726e-09,-1.21062645731026e-05,-0.0,4.350903871380724e-09
0.122,0.0,0.00014169699751098602,-3.8293587934194e-08,8.97282995358234e-09,-1.86652999622007e-05,-0.0,1.0633211780162323e-08
0.142,0.0,0.00018386037624308602,-6.68562143506525e-08,1.5832230662701898e-08,-2.69694496116794e-05,-0.0,2.288303124245171e-08
0.162,0.0,0.000231315029611945,-1.0835205957098301e-07,2.5535731488644703e-08,-3.709809933065179e-05,-0.0,4.474048771973144e-08
0.182,0.0,0.00028404807418118,-1.6471484996391e-07,3.85675063603708e-08,-4.90973836172114e-05,-0.0,8.114328786326878e-08
0.202,0.0,0.00034204519079754304,-2.3739860198236798e-07,5.5222144699059404e-08,-6.298851188517559e-05,-0.0,1.3852094751431027e-07
0.222,0.0,0.000405290628131675,-3.27330358445872e-07,7.56109848173421e-08,-7.87680449036493e-05,-0.0,2.2497581745206872e-07
0.242,0.0,0.00047376720657083,-4.3482688178221206e-07,9.96548130714709e-08,-9.64047776188365e-05,-0.0,3.504390324434066e-07
0.262,0.0,0.0005474563224668469,-5.592215106528129e-07,1.27240892076982e-07,-0.000115842677404709,-0.0,5.26796135746801e-07
0.282,0.0,0.0006263379527344231,-6.992907405550879e-07,1.5803878794659299e-07,-0.000137003806482578,-0.0,7.679827886784336e-07
0.302,0.0,0.000710390659802945,-8.53254564614701e-07,1.91517708444517e-07,-0.000159786992058737,-0.0,1.0900420348360854e-06
0.322,0.0,0.000799591596915108,-1.01863211518252e-06,2.2706576289591102e-07,-0.000184068655826283,-0.0,1.5111359287634311e-06
0.342,0.0,0.000893916513776111,-1.19238185755927e-06,2.64096874064055e-07,-0.00020970764667412,-0.0,2.0515147192486405e-06
0.362,0.0,0.000993339762549348,-1.37071117710085e-06,3.01497601612858e-07,-0.000236551633319599,-0.0,2.733453783368792e-06
0.382,0.0,0.00109783430419902,-1.54919614254016e-06,3.3821033491785803e-07,-0.000264438827117839,-0.0,3.5811567282062634e-06
0.402,0.0,0.00120737171517243,-1.72370353871016e-06,3.734323797649e-07,-0.000293200208638678,-0.0,4.620622193765556e-06
0.422,0.0,0.0013219221944320801,-1.89042166523343e-06,4.06248623106884e-07,-0.00032266137758915896,-0.0,5.8794773418027095e-06
0.442,0.0,0.00144145457082039,-2.04506642981415e-06,4.3562883984266005e-07,-0.00035264357484574905,-0.0,7.386777304223372e-06
0.462,0.0,0.00156593631077203,-2.18281583923108e-06,4.605608098746e-07,-0.000382968204345399,-0.0,9.172778912320717e-06
0.482,0.0,0.0016953335263543401,-2.2989036457360802e-06,4.7999627586551e-07,-0.00041346191130521803,-0.0,1.1268709299849344e-05
0.502,0.0,0.00182961098365065,-2.38870327740178e-06,4.93006972228708e-07,-0.00044395709962748495,-0.0,1.370652676537328e-05
0.522,0.0,0.00196873211146871,-2.44766776462464e-06,4.98756102228435e-07,-0.000474291011421522,-0.0,1.6518661501728574e-05
0.542,0.0,0.00211265901039054,-2.47190963161646e-06,4.96394669308843e-07,-0.000504307959757338,-0.0,1.9737744790651693e-05
0.562,0.0,0.00226135246214289,-2.45772341213545e-06,4.851873312079199e-07,-0.000533861779469716,-0.0,2.3396346974134304e-05
0.582,0.0,0.00241477193928998,-2.40178930527271e-06,4.6443620741821797e-07,-0.000562814899666125,-0.0,2.7526713796646746e-05
