# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.00216812349532377,-0.000226740469516739,-0.00105705708398173,0.000313101672858136,5.11029231057966e-05,1.80229669952552e-05,4.79879214852155e-06,5.40227492666284e-08,1.11769450613527e-06
0.02,-0.00225643226959647,-0.000249587996398069,-0.00107534530921073,0.000615679316698511,9.86108090593478e-05,3.34764621088005e-05,5.47054760828664e-06,7.20182596093416e-08,1.15748820755685e-06
0.03,-0.00239978362408503,-0.000286273627111103,-0.00110505296824599,0.000897841644974323,0.000139143069930353,4.38733270816484e-05,6.56508106187689e-06,1.0131338348899e-07,1.2230669314585e-06
0.04,-0.0025927646987873,-0.000334809405068738,-0.00114504674866694,0.00115089982860724,0.000169730005217513,4.68880870002764e-05,8.04699919876578e-06,1.40905612393619e-07,1.31333054933528e-06
0.05,-0.00282842369672246,-0.000392606646945706,-0.00119379025019334,0.00136781871007605,0.000187975248940979,4.0430677258288e-05,9.87090863181527e-06,1.89474673440373e-07,1.42676980112025e-06
0.06,-0.00309881260165123,-0.000456647508728961,-0.00124939139895075,0.00154350814438211,0.000192172035176468,2.27122735622733e-05,1.19850569319264e-05,2.45457038332232e-07,1.56149471514247e-06
0.07,-0.00339557759919049,-0.000523676062698165,-0.00130965980286692,0.00167493187319484,0.000181366135497274,-7.69846664430236e-06,1.43353440119683e-05,3.07130293748268e-07,1.71526806563411e-06
0.08,-0.00371053574029306,-0.00059039185232902,-0.00137217199638275,0.0017610323275083,0.000155363956759396,-5.18298640324092e-05,1.68693103385215e-05,3.72700498356427e-07,1.88554232246263e-06
0.09,-0.00403618060696482,-0.000653629873719775,-0.00143434262248997,0.00180249023873163,0.000114689787865896,-0.000110272996446004,1.95397249527617e-05,4.40385759259653e-07,2.0694988924366e-06
0.1,-0.00436607063975642,-0.000710513675654047,-0.00149349983584125,0.00180135533475744,6.05008650178302e-05,-0.000183159082862447,2.23074538734021e-05,5.0849003795933e-07,2.26408900929286e-06
0.11,-0.00469506972894935,-0.00075857232948074,-0.00154696348373678,0.0017605966086098,-5.527760798657e-06,-0.000270148626957556,2.51433801779449e-05,5.75462535193284e-07,2.46607630066208e-06
0.12,-0.00501942840193338,-0.00079581678879641,-0.00159212482431154,0.00168362633912156,-8.13349590105562e-05,-0.000370432534131948,2.80292591319194e-05,6.39939736887479e-07,2.67208171853247e-06
0.13,-0.00533671291702812,-0.000820775964671594,-0.00162652657924324,0.00157385080824049,-0.000164608438345284,-0.000482745603598802,3.09575111253741e-05,7.00769122157059e-07,2.8786320307787e-06
0.14,-0.00564560633551786,-0.000832497044962993,-0.00164794193355799,0.0014342930417891,-0.000252911224329241,-0.000605393010986904,3.39300674253641e-05,7.57015417263832e-07,3.08221331413064e-06
0.15,-0.00594561814505617,-0.00083051767093097,-0.00165445068154805,0.00126732028247579,-0.000343791094098287,-0.000736290511960898,3.69564758251957e-05,8.07951918109899e-07,3.27933077567845e-06
0.16,-0.00623674589454305,-0.000814819230584657,-0.00164451012886416,0.00107449327766283,-0.000434868081736182,-0.000873018990761672,4.00515351568422e-05,8.53040627043479e-07,3.46657572216733e-06
0.17,-0.00651913306875502,-0.000785770648508459,-0.00161701770583898,0.000856538121668625,-0.000523898970034588,-0.00101289355492839,4.32327535220069e-05,8.91905642860706e-07,3.64069961461224e-06
0.18,-0.00679276245662246,-0.000744070793187934,-0.00157136167652147,0.000613426583919308,-0.000608821003449782,-0.00115304659631446,4.65179139659585e-05,9.2430435951692e-07,3.79869397171274e-06
0.19,-0.00705721470741518,-0.000690695331312321,-0.0015074560093266,0.000344539468880541,-0.000687779436488215,-0.00129052312439772,4.99229868721735e-05,9.50100593952683e-07,3.93787355466014e-06
