# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.000349000890332272,5.43079396791469e-05,-0.00385405402372533,6.65333468606492e-05,1.36011546383259e-05,-0.0005894002019919519,1.2622830769719802e-07,3.1343437196895196e-09,1.52011250159016e-05
0.02,0.000329498828766177,4.89360414477319e-05,-0.0037248622650859604,0.000130305892093424,2.6158910263980104e-05,-0.00116665501029032,1.25549103672546e-07,3.0790247387731e-09,1.5235682806896802e-05
0.03,0.00029802458876016,4.04945497779714e-05,-0.0035121995144633,0.00018870921270608602,3.67269488808084e-05,-0.00171980380812476,1.24429822465813e-07,2.9886773358141197e-09,1.52932705678367e-05
0.04,0.000256053139279177,2.9697426982266303e-05,-0.00322002501732105,0.00023942861834645,4.454278670921721e-05,-0.00223725650540187,1.22889273418011e-07,2.86599701718985e-09,1.5373877783136403e-05
0.05,0.000205517432725238,1.7443351547075198e-05,-0.00285382795357805,0.000280563398134064,4.90951085580207e-05,-0.00270798085960466,1.2095323552650598e-07,2.71460019751869e-09,1.54774943246086e-05
0.06,0.000148689062713919,4.7285712324704495e-06,-0.00242056989896226,0.000310717677252469,5.01649031622189e-05,-0.00312169125603939,1.18653912327913e-07,2.53887689517535e-09,1.56041149337949e-05
0.07,8.804164318620759e-05,-7.44748194945681e-06,-0.0019286060048694898,0.000329056094720114,4.7836701338934005e-05,-0.00346903786402233,1.1602924440738e-07,2.34381498237785e-09,1.57537448240392e-05
0.08,2.6107424413197e-05,-1.8173679878243104e-05,-0.00138758217036551,0.000335321476896485,4.24796718081829e-05,-0.00374179395465619,1.13122090477531e-07,2.13480515724779e-09,1.59264062786178e-05
0.09,-3.4662098317535104e-05,-2.67063282350916e-05,-0.000808305767683972,0.000329814842289561,3.4701711291808194e-05,-0.00393303799588551,1.09979291254262e-07,1.9174367343804603e-09,1.61221460911503e-05
0.1,-9.202153690656491e-05,-3.25282527605028e-05,-0.000202588161966099,0.000313341141067792,2.52825529939109e-05,-0.0040373260582284,1.0665063394031199e-07,1.69729471354107e-09,1.6341043663818802e-05
0.11,-0.000144034462460355,-3.53827727280889e-05,0.00041694170391133,0.000287126823061457,1.50939642471531e-05,-0.00405084919045736,1.03187738897609e-07,1.4797683626219298e-09,1.6583219548289498e-05
0.12,-0.000189147598757728,-3.5280584445599895e-05,0.00103705208451586,0.00025271739108864504,5.01608559374012e-06,-0.00397156986072269,9.96428938744658e-08,1.26988075350684e-09,1.68488441845996e-05
0.13,-0.000226232988689738,-3.24807307128627e-05,0.00164414951923248,0.000211864342353699,-4.14119492992127e-06,-0.00379933137858556,9.60678647324565e-08,1.07214736308911e-09,1.71381465658973e-05
0.14,-0.00025459776194609104,-2.74496409868375e-05,0.0022245426652243,0.00016641122061036598,-1.1704156584591901e-05,-0.00353593445411545,9.25127147329904e-08,8.904700716629131e-10,1.74514225332039e-05
0.15,-0.000273964033232592,-2.08043510314828e-05,0.00276472387302058,0.000118187881415129,-1.7182832620541103e-05,-0.00318517570816462,8.902466681846538e-08,7.28070758706691e-10,1.7789042385931897e-05
0.16,-0.000284423972433552,-1.3247219628560302e-05,0.00325166226820272,6.892059624703941e-05,-2.02972290201884e-05,-0.00275284397958249,8.56470446819294e-08,5.87466333785293e-10,1.8151457482376898e-05
0.17,-0.0002863769599947,-5.4996609642088e-06,0.0036731011715951797,2.0163464340653896e-05,-2.09818567619578e-05,-0.00224667160143229,8.24183285100229e-08,4.70484583900555e-10,1.8539205501456197e-05
0.18,-0.000280456791878627,1.7583430910892899e-06,0.004017852130342729,-2.67459863993409e-05,-1.93707521793057e-05,-0.00167623933338075,7.93713598993253e-08,3.7831781041805704e-10,1.89529140440724e-05
