# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,9.465817772532391e-07,6.73466979505719e-11,6.71329535017246e-11,6.73466979505719e-11,6.08103757492412e-11,6.035126620380461e-11,6.08103757492412e-11,-6.38416461319963e-09,6.12650449580885e-11,-6.38416461319963e-09,-0.0,-0.0,-0.0,0.0,-0.0,0.0
0.022,0.0,2.6874059870021698e-05,-2.5764196608844502e-11,-1.15927731300037e-10,-2.5764196608844502e-11,1.02729962506805e-11,-1.40515915626989e-10,1.02729962506805e-11,-9.16465715718775e-07,1.29017786549924e-10,-9.16465715718775e-07,-0.0,-0.0,-0.0,2.362599591558986e-11,-4.8516442594342796e-15,2.362599591558986e-11
0.042,0.0,6.63365273484074e-05,9.37030551520714e-10,-9.58087339425268e-11,9.37030551520714e-10,4.63502920633224e-10,-1.43464433828614e-10,4.63502920633224e-10,-3.84475933781454e-06,9.33232201360471e-11,-3.84475933781454e-06,-0.0,-0.0,-0.0,4.1049090684187004e-10,-2.1867308678576075e-14,4.1049090684187004e-10
0.062,0.0,0.000119323297914122,4.94273964086299e-09,-1.09372456148984e-10,4.94273964086299e-09,1.47222998275318e-09,-1.640550691173e-10,1.47222998275318e-09,-9.44562464528257e-06,1.19880072098216e-10,-9.44562464528257e-06,-0.0,-0.0,-0.0,2.5101593287292046e-09,-5.3478918024051626e-14,2.5101593287292046e-09
0.082,0.0,0.00018582001017773602,1.53402598647802e-08,-1.21792910873935e-10,1.53402598647802e-08,5.318776693215539e-09,-9.91506136448235e-11,5.318776693215539e-09,-1.83077161558643e-05,1.16262988682957e-10,-1.83077161558643e-05,-0.0,-0.0,-0.0,9.623536021568925e-09,-1.0976813105871941e-13,9.623536021568925e-09
0.102,0.0,0.000265808631207581,3.65288517805752e-08,-1.1129459329401201e-10,3.65288517805752e-08,1.5264166935413798e-08,1.0893129023859801e-11,1.5264166935413798e-08,-3.09213137266978e-05,8.53993165254795e-11,-3.09213137266978e-05,-0.0,-0.0,-0.0,2.8144243679913504e-08,-1.8036562032407628e-13,2.8144243679913504e-08
0.122,0.0,0.000359267460985997,7.33918995955404e-08,-9.06155876214061e-11,7.33918995955404e-08,3.49018995945944e-08,1.29697922138289e-10,3.49018995945944e-08,-4.76800927184185e-05,5.6307363902638096e-11,-4.76800927184185e-05,-0.0,-0.0,-0.0,6.88325495358282e-08,-2.484149115367552e-13,6.88325495358282e-08
0.142,0.0,0.00046617113777348894,1.30766933347942e-07,-7.28457152273986e-11,1.30766933347942e-07,6.83220386160334e-08,2.95216414802879e-10,6.83220386160334e-08,-6.89005003145291e-05,2.78932656865009e-11,-6.89005003145291e-05,-0.0,-0.0,-0.0,1.4817543619938444e-07,-3.019859151964333e-13,1.4817543619938444e-07
0.162,0.0,0.000586490644377564,2.1265933870287102e-07,-6.48906295971919e-11,2.1265933870287102e-07,1.1976826037756902e-07,3.4984493922875203e-10,1.1976826037756902e-07,-9.483138723306469e-05,-3.6818721124275796e-11,-9.483138723306469e-05,-0.0,-0.0,-0.0,2.8979867194581103e-07,-2.937798844846058e-13,2.8979867194581103e-07
0.182,0.0,0.0007201933153250019,3.21883615808411e-07,-6.497969258706829e-11,3.21883615808411e-07,1.9358733498771998e-07,3.7554682556762796e-10,1.9358733498771998e-07,-0.00012566197304681,-7.72407155647597e-11,-0.00012566197304681,-0.0,-0.0,-0.0,5.258948413930188e-07,-1.6029154313189928e-13,5.258948413930188e-07
0.202,0.0,0.000867242844935908,4.596095593272779e-07,-7.737223310996921e-11,4.596095593272779e-07,2.93731501297131e-07,3.46761729954164e-10,2.93731501297131e-07,-0.00016153186347193,-1.31564387272117e-10,-0.00016153186347193,-0.0,-0.0,-0.0,8.986467738934476e-07,1.1246681322026986e-13,8.986467738934476e-07
0.222,0.0,0.00102759929630124,6.248126435948671e-07,-4.77503916541657e-11,6.248126435948671e-07,4.2403536502078703e-07,2.469603453347e-10,4.2403536502078703e-07,-0.000202533134239927,-1.61607717900981e-10,-0.000202533134239927,-0.0,-0.0,-0.0,1.4616212004204938e-06,5.668468417806585e-13,1.4616212004204938e-06
0.242,0.0,0.00120121911115253,8.14205101984582e-07,-2.2499381175791103e-11,8.14205101984582e-07,5.88064296041293e-07,1.6300414281654098e-10,5.88064296041293e-07,-0.000248709680903463,-1.49383805007678e-10,-0.000248709680903463,-0.0,-0.0,-0.0,2.2810939806750758e-06,1.1222244612390809e-12,2.2810939806750758e-06
0.262,0.0,0.00138805512063266,1.0225413784092399e-06,-8.142235134499301e-12,1.0225413784092399e-06,7.8856886858981e-07,5.90680112194643e-11,7.8856886858981e-07,-0.000300059248511603,-1.1709442050411e-10,-0.000300059248511603,-0.0,-0.0,-0.0,3.4372787157389237e-06,1.6925920417254033e-12,3.4372787157389237e-06
0.282,0.0,0.00158805655695434,1.24253146626628e-06,2.56216282832429e-11,1.24253146626628e-06,1.02785127527771e-06,-1.92247648824787e-11,1.02785127527771e-06,-0.000356536720281698,-5.1560598718081704e-11,-0.000356536720281698,-0.0,-0.0,-0.0,5.025440228218057e-06,2.0805357377863627e-12,5.025440228218057e-06
0.302,0.0,0.0018011690659556,1.4649823507015301e-06,8.661270051702142e-11,1.4649823507015301e-06,1.30769136916747e-06,-2.27017440572755e-11,1.30769136916747e-06,-0.000418057566055617,3.1591815096479004e-11,-0.000418057566055617,-0.0,-0.0,-0.0,7.1568762396651436e-06,2.105893205925281e-12,7.1568762396651436e-06
0.322,0.0,0.0020273347205339,1.6790325107174601e-06,7.32128877499341e-11,1.6790325107174601e-06,1.6290328641980301e-06,8.95699111829781e-14,1.6290328641980301e-06,-0.00048450194558122695,9.27307855833928e-11,-0.00048450194558122695,-0.0,-0.0,-0.0,9.959754821286302e-06,1.7080323839878076e-12,9.959754821286302e-06
0.342,0.0,0.00226649203496987,1.87265732478194e-06,9.94228696936606e-11,1.87265732478194e-06,1.99228279527131e-06,4.58810276324259e-11,1.99228279527131e-06,-0.000555719364065642,1.56514264755725e-10,-0.000555719364065642,-0.0,-0.0,-0.0,1.3579803048899337e-05,8.104228369345414e-13,1.3579803048899337e-05
0.362,0.0,0.0025185759801287897,2.0324633009121498e-06,1.0354286975016e-10,2.0324633009121498e-06,2.3973804435762797e-06,1.24301132881317e-10,2.3973804435762797e-06,-0.0006315334742633019,1.8920907443639602e-10,-0.0006315334742633019,-0.0,-0.0,-0.0,1.818084677056972e-05,-5.861582084288967e-13,1.818084677056972e-05
0.382,0.0,0.00278351799954218,2.14421314906352e-06,7.399426804011391e-11,2.14421314906352e-06,2.84377790653629e-06,1.64794638509491e-10,2.84377790653629e-06,-0.000711746732965331,1.6919775985044098e-10,-0.000711746732965331,-0.0,-0.0,-0.0,2.3945203473352586e-05,-2.15567078234904e-12,2.3945203473352586e-05
0.402,0.0,0.00306124602635054,2.1930045962704104e-06,3.27240771550789e-11,2.1930045962704104e-06,3.33070285702183e-06,1.91957045074134e-10,3.33070285702183e-06,-0.000796145608682056,1.34972907511649e-10,-0.000796145608682056,-0.0,-0.0,-0.0,3.107393806498036e-05,-3.5436751111158495e-12,3.107393806498036e-05
0.422,0.0,0.00335168450113299,2.16335996426347e-06,1.2750455030758401e-11,2.16335996426347e-06,3.85704027562741e-06,2.1053373089545002e-10,3.85704027562741e-06,-0.0008845052174771699,7.51396918693543e-11,-0.0008845052174771699,-0.0,-0.0,-0.0,3.978699516149893e-05,-4.649575653698315e-12,3.978699516149893e-05
0.442,0.0,0.00365475439058019,2.03933776802944e-06,-1.6847914901623e-11,2.03933776802944e-06,4.42124374788714e-06,1.66815985944252e-10,4.42124374788714e-06,-0.000976592200946986,8.50404926722301e-12,-0.000976592200946986,-0.0,-0.0,-0.0,5.03232101822278e-05,-4.996594610965107e-12,5.03232101822278e-05
0.462,0.0,0.0039703732070486,1.80481011372313e-06,-2.24309483477547e-11,1.80481011372313e-06,5.02158150975309e-06,1.05702580548842e-10,5.02158150975309e-06,-0.0010721680596551,-1.3222902380333698e-11,-0.0010721680596551,-0.0,-0.0,-0.0,6.294020339564046e-05,-4.937464211999675e-12,6.294020339564046e-05
0.482,0.0,0.00429845502894684,1.44348775826896e-06,2.7992406632365297e-12,1.44348775826896e-06,5.65616334981643e-06,5.0646065794746703e-11,5.65616334981643e-06,-0.0011709931012929599,-5.1104901155738795e-11,-0.0011709931012929599,-0.0,-0.0,-0.0,7.791418365645524e-05,-4.450209538203617e-12,7.791418365645524e-05
0.502,0.0,0.00463891052199105,9.390465678129308e-07,-1.11290614417152e-11,9.390465678129308e-07,6.32281126693733e-06,-2.01638098255527e-11,6.32281126693733e-06,-0.00127282903011596,-3.4185609434401303e-11,-0.00127282903011596,-0.0,-0.0,-0.0,9.553967305722158e-05,-3.826441900192009e-12,9.553967305722158e-05
0.522,0.0,0.00499164696128534,2.75464668458319e-07,1.82361403422794e-11,2.75464668458319e-07,7.01912266268548e-06,-3.74158567442518e-11,7.01912266268548e-06,-0.00137744073009994,-9.19490671288199e-12,-0.00137744073009994,-0.0,-0.0,-0.0,0.00011612915657139125,-3.51758824073497e-12,0.00011612915657139125
0.542,0.0,0.00535656825426631,-5.63171328791368e-07,3.70741694041539e-11,-5.63171328791368e-07,7.74239125430497e-06,-4.71449880026035e-11,7.74239125430497e-06,-0.0014845973255230198,2.41463577273956e-11,-0.0014845973255230198,-0.0,-0.0,-0.0,0.0001400126587666145,-3.688440249329502e-12,0.0001400126587666145
0.562,0.0,0.0057335749644626,-1.59236162307454e-06,1.4268308290499999e-11,-1.59236162307454e-06,8.48992746791131e-06,-8.45147902955889e-12,8.48992746791131e-06,-0.00159407315707756,8.551906751116641e-11,-0.00159407315707756,-0.0,-0.0,-0.0,0.00016753725479101803,-4.724384920672737e-12,0.00016753725479101803
0.582,0.0,0.00612256433606988,-2.82707122723254e-06,9.66807315947607e-14,-2.82707122723254e-06,9.25896434872401e-06,5.3393502743625394e-11,9.25896434872401e-06,-0.00170564851200471,1.00143895130934e-10,-0.00170564851200471,-0.0,-0.0,-0.0,0.00019906652168691255,-6.702012403477166e-12,0.00019906652168691255
0.602,0.0,0.00652343031938505,-4.28179081372927e-06,-7.853446073646109e-13,-4.28179081372927e-06,1.0046748796064e-05,1.02745272987531e-10,1.0046748796064e-05,-0.0018191102772468898,9.117636616803671e-11,-0.0018191102772468898,-0.0,-0.0,-0.0,0.0002349799383089266,-8.598467991677378e-12,0.0002349799383089266
0.622,0.0,0.00693606359703564,-5.9703899208485495e-06,-1.17686856253806e-11,-5.9703899208485495e-06,1.0850670179006699e-05,1.55265023098103e-10,1.0850670179006699e-05,-0.0019342532007029102,8.613519645826591e-11,-0.0019342532007029102,-0.0,-0.0,-0.0,0.0002756722479772983,-1.0510466989184412e-11,0.0002756722479772983
0.642,0.0,0.0073603516109928,-7.90595140657091e-06,-2.20826311639651e-11,-7.90595140657091e-06,1.16682441536748e-05,1.7726251373193698e-10,1.16682441536748e-05,-0.0020508808725409103,5.5456079518843604e-11,-0.0020508808725409103,-0.0,-0.0,-0.0,0.00032155280425162126,-1.2172059209852734e-11,0.00032155280425162126
0.662,0.0,0.007796178590437079,-1.01006761409289e-05,7.4798906103633e-14,-1.01006761409289e-05,1.2497270822449601e-05,1.41618732870044e-10,1.2497270822449601e-05,-0.00216880645629286,-6.905829121855e-12,-0.00216880645629286,-0.0,-0.0,-0.0,0.0003730449027554821,-1.2687453766091625e-11,0.0003730449027554821
0.682,0.0,0.008243425580369241,-1.25658590226225e-05,1.4931866745438303e-11,-1.25658590226225e-05,1.33359854622632e-05,1.0389981699595601e-10,1.33359854622632e-05,-0.00228785368205065,-4.26812688319706e-11,-0.00228785368205065,-0.0,-0.0,-0.0,0.00043058511499605726,-1.1844514940881256e-11,0.00043058511499605726
0.702,0.0,0.00870197047106352,-1.53117059862685e-05,5.90251929975369e-11,-1.53117059862685e-05,1.41828955369767e-05,3.62136702781027e-11,1.41828955369767e-05,-0.0024078579787598603,-4.71772075682409e-11,-0.0024078579787598603,-0.0,-0.0,-0.0,0.0004946226439620238,-1.0634100784570264e-11,0.0004946226439620238
