# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-2.0046583388642603e-11,
0.004,-2.95495733666836e-11,
0.006,-3.9508258639843795e-11,
0.008,-4.6656275235219495e-11,
0.01,-4.87180146697306e-11,
0.012,-5.01771890688716e-11,
0.014,-5.76232258843992e-11,
0.016,-7.08151549532874e-11,
0.018,-8.347814896178191e-11,
0.02,-9.172173573819409e-11,
0.022,-9.69147866374942e-11,
0.024,-1.00874203200317e-10,
0.026,-1.03032795805541e-10,
0.028,-1.02960786622315e-10,
0.03,-1.02104943375247e-10,
0.032,-1.01878895896846e-10,
0.034,-1.02232126053685e-10,
0.036,-1.02899921230953e-10,
0.038,-1.04285992760246e-10,
0.04,-1.0621502643563301e-10,
0.042,-1.0718492739303799e-10,
0.044,-1.05987220134819e-10,
0.046,-1.03334743423237e-10,
0.048,-1.00918945342136e-10,
0.05,-9.93504015976723e-11,
0.052,-9.795067777721058e-11,
0.054,-9.61925109938383e-11,
0.056,-9.4261628330792e-11,
0.058,-9.221768465109321e-11,
0.06,-8.960229782056209e-11,
0.062,-8.62074125573753e-11,
0.064,-8.26323932177625e-11,
0.066,-7.980975818502109e-11,
0.068,-7.83402064164841e-11,
0.07,-7.83364847540453e-11,
0.072,-7.94619103685951e-11,
0.074,-8.09988447949299e-11,
0.076,-8.22332044771162e-11,
0.078,-8.28885553153133e-11,
0.08,-8.300250414035821e-11,
0.082,-8.252704896228091e-11,
0.084,-8.14394542498863e-11,
0.086,-8.014282978533129e-11,
0.088,-7.9233945811008e-11,
0.09,-7.876159437768371e-11,
0.092,-7.81012690781584e-11,
0.094,-7.6677196409759e-11,
0.096,-7.44549143729196e-11,
0.098,-7.16130515424335e-11,
0.1,-6.81659672710109e-11,
0.102,-6.42312670838319e-11,
0.104,-6.039329892540499e-11,
0.106,-5.73851117467209e-11,
0.108,-5.54068084430553e-11,
0.11,-5.396111504096129e-11,
0.112,-5.23170232176924e-11,
0.114,-4.9940141329809604e-11,
0.116,-4.65236757526162e-11,
0.118,-4.1909636670393604e-11,
0.12,-3.618857090103271e-11,
0.122,-2.98211003258027e-11,
0.124,-2.35137487048646e-11,
0.126,-1.7883494081759102e-11,
0.128,-1.3164287844481799e-11,
0.13,-9.131677635034019e-12,
0.132,-5.2523776817070096e-12,
0.134,-9.67572323434242e-13,
0.136,4.0304447700479995e-12,
0.138,9.676637110928881e-12,
0.14,1.56294960892061e-11,
0.142,2.15034915105982e-11,
0.144,2.70830256546196e-11,
0.146,3.2420093453345e-11,
0.148,3.781264634579821e-11,
0.15,4.3686221003639403e-11,
0.152,5.03872869924416e-11,
0.154,5.7951341040816493e-11,
0.156,6.60080159778381e-11,
0.158,7.39545272084963e-11,
0.16,8.130840325834092e-11,
0.162,8.79659471514497e-11,
0.164,9.41854350137668e-11,
0.166,1.00376313927714e-10,
0.168,1.0688199054040201e-10,
0.17,1.1382467068786901e-10,
0.172,1.20999088951039e-10,
0.174,1.2789141752307502e-10,
0.176,1.3392808337695402e-10,
0.178,1.38842180500379e-10,
0.18,1.42836331793196e-10,
0.182,1.46371991617651e-10,
0.184,1.49799911625639e-10,
0.186,1.5318139754111e-10,
0.188,1.56381201068002e-10,
0.19,1.5922425105198e-10,
0.192,1.61551357512505e-10,
0.194,1.6323374076409501e-10,
0.196,1.64257888384097e-10,
0.198,1.64837549186656e-10,
0.2,1.65410904082031e-10,
0.202,1.66469599381188e-10,
0.204,1.68308438598435e-10,
0.206,1.70839551586591e-10,
0.208,1.73587317656991e-10,
