# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.000319157455271175,-0.0005268658736388309,-0.0024556594197715,-5.6004810530808995e-05,-0.000108965092890578,-0.000317170661235398,1.0499802005776401e-07,2.89461040273861e-07,6.130860414261e-06
0.02,-0.0003054371907724,-0.0004920031639629281,-0.0024085005975879197,-0.00011069449362637199,-0.00021255219830848202,-0.00063376349720755,1.05545148426135e-07,2.8724555035529997e-07,6.20253129897409e-06
0.03,-0.000282772984025932,-0.000436035413540906,-0.0023284860982204897,-0.00016273447224336398,-0.000305710112450578,-0.000948856010122987,1.06443068951256e-07,2.8358555471633394e-07,6.32217523755259e-06
0.04,-0.00025149888550486297,-0.00036202079935585896,-0.00221366454176049,-0.00021075915103322199,-0.00038401876807080403,-0.0012608628407644801,1.0767110915443302e-07,2.78529473396873e-07,6.49008580666836e-06
0.05,-0.000212136639263599,-0.000273957362266425,-0.0020616382688767,-0.00025337503102216,-0.000443950240284917,-0.00156726860996718,1.09200860063535e-07,2.72144452189013e-07,6.70668324748538e-06
0.06,-0.00016543800268600302,-0.00017652352289441398,-0.00186986986333206,-0.000289183279886993,-0.000483068445131541,-0.00186443267324155,1.10996702098933e-07,2.64515676816859e-07,6.9725224988480805e-06
0.07,-0.000112424017020741,-7.47769477796955e-05,-0.00163603923463439,-0.000316823787034454,-0.000500153819184784,-0.0021474816667709103,1.1301647163393302e-07,2.55745434764373e-07,7.288301886380271e-06
0.08,-5.44125562412164e-05,2.6166772830732898e-05,-0.00135842771413422,-0.000335039601459339,-0.000495244578103112,-0.002410299880494,1.15212260822736e-07,2.45951892140904e-07,7.65487136843729e-06
0.09,6.973850308806351e-06,0.000121452522494073,-0.00103630438499651,-0.000342757504404692,-0.00046959220641682196,-0.00264562135558825,1.17531341413862e-07,2.3526755554759196e-07,8.07323913550762e-06
0.1,6.98261905959811e-05,0.000206778051550605,-0.000670290213159876,-0.000339177688516095,-0.000425535231820929,-0.00284522167186982,1.19917201280268e-07,2.2383739612395703e-07,8.54457533193562e-06
0.11,0.000131996778494704,0.000278639102127054,-0.000262677212934637,-0.00032386344463250803,-0.000366301618082005,-0.00300020206093295,1.22310680302213e-07,2.11816624643666e-07,9.07021172462142e-06
0.12,0.000191177097573807,0.00033450956765121204,0.000182317481602379,-0.000296820665406885,-0.00029575576291679303,-0.0031013539981109,1.24651190049331e-07,1.99368122148695e-07,9.651636285696291e-06
0.13,0.000245002581097532,0.000372944118163323,0.0006583795249083179,-0.000258557024091322,-0.00021811060039058202,-0.00313958887194368,1.26877999451413e-07,1.8665954927535899e-07,1.02904818836511e-05
0.14,0.000291177866677349,0.000393597067014822,0.00115702059615399,-0.000210111913800661,-0.000137628219478892,-0.00310641464129939,1.28931566363749e-07,1.738601779596e-07,1.0988508583603802e-05
0.15,0.000327613223274164,0.000397158317205362,0.00166760668627576,-0.000153050542676796,-5.83333635400775e-05,-0.00299443940838876,1.30754892677749e-07,1.61137510227294e-07,1.1747579430623199e-05
0.16,0.000352560866423551,0.000385214391747225,0.0021774975206564897,-8.94187560779236e-05,1.62370307067779e-05,-0.00279788036928988,1.32294878471848e-07,1.48653768775358e-07,1.2569630013322901e-05
0.17,0.00036473900483341496,0.00036004914209466804,0.0026722995011399103,-2.16588799213879e-05,8.322846142589051e-05,-0.0025130554973094897,1.33503648726319e-07,1.3656236151442803e-07,1.34566325563501e-05
0.18,0.00036343183255003596,0.000324404065844281,0.0031362306502081,4.7509236240642204e-05,0.000140593164175852,-0.0021388345079861103,1.34339824438846e-07,1.25004435749279e-07,1.44105557438569e-05
0.19,0.00034855529835071497,0.000281221655635015,0.0035525917758639,0.00011523416454592901,0.000187136384466199,-0.0016770252164156698,1.34769708686954e-07,1.1410564598917999e-07,1.5433321902429902e-05
0.2,0.000320681216031563,0.000233396410638186,0.00390433332954656,0.000178695033773227,0.000222484554663921,-0.00113267152897036,1.3476835741069698e-07,1.0397326156279199e-07,1.65267635407482e-05
0.21,0.00028101587130564,0.000183556859772506,0.00417470219564799,0.00023526704961722002,0.000246983025542489,-0.0005142403154282541,1.3432050456125902e-07,9.46937356756652e-08,1.76925815243599e-05
0.22,0.00023133338107419102,0.000133898228568031,0.00434794708639471,0.000282676809636877,0.000261537971437938,0.00016632337120576698,1.334213119057e-07,8.63308461175283e-08,1.89323073298975e-05
0.23,0.00017386825519551298,8.607956574911009e-05,0.00441005565756984,0.000319134368489744,0.00026742252732384904,0.0008936895144404179,1.3207691531608e-07,7.89244997598301e-08,2.02472718510845e-05
0.24,0.00011117546721438501,4.11918243508959e-05,0.00434949140942974,0.00034343086261838903,0.000266070484226997,0.00164939612660647,1.30304741909147e-07,7.24902689701437e-08,2.1638583103167603e-05
0.25,4.5969453562359396e-05,-2.0464162177189397e-07,0.00415789450237005,0.000354993500452613,0.000258881550746927,0.0024122661944783698,1.28133576024421e-07,6.70196991953269e-08,2.3107114885862197e-05
0.26,-1.9044504025804897e-05,-3.79825446090788e-05,0.00383070843178811,0.000353893576730558,0.000247060156560915,0.00315898416128455,1.25603356784736e-07,6.24813946548846e-08,2.46535080206192e-05
0.27,-8.133232749860508e-05,-7.230620973769341e-05,0.00336769462779413,0.00034080749461632597,0.000231505220362429,0.00386481798846756,1.22764695882997e-07,5.8822855021687994e-08,2.62781851900559e-05
0.28,-0.000138673104280107,-0.000103467138072629,0.00277329985185594,0.00031693513750978797,0.00021276172900045902,0.00450446307928084,1.1967811123903e-07,5.59730019882053e-08,2.79813797009084e-05
0.29,-0.000189269453902962,-0.00013171984082465201,0.00205684687205856,0.000283883874125189,0.00019103713288496298,0.00505297522725289,1.1641298016905198e-07,5.3845302607778704e-08,2.97631777023285e-05
0.3,-0.000231817949106421,-0.00015714070212173,0.00123252711834036,0.00024352959370791202,0.000166277382149804,0.0054867521782566,1.13046224539448e-07,5.2341368077902305e-08,3.1623572563048e-05
0.31,-0.000265535224033529,-0.000179529353146747,0.000319184338583034,0.000197868124258981,0.000138289895466732,0.0057845181867291606,1.0966074980030401e-07,5.13548838294891e-08,3.35625292945971e-05
0.32,-0.00029013979710485496,-0.00019836636312030602,-0.0006601100902363991,0.000148870976499334,0.000106894792832914,0.0059282637277943105,1.06343669507912e-07,5.07757107523686e-08,3.55800561575136e-05
0.33,-0.00030579398114396697,-0.000212833651115668,-0.00167867757133216,9.83585160431713e-05,7.208207860228159e-05,0.00590409362805479,1.03184356582091e-07,5.049398910285151e-08,3.76762799573308e-05
0.34,-0.00031301408804442404,-0.00022189579774728,-0.00270702453675067,4.790148607372129e-05,3.41515972411843e-05,0.00570294127925422,1.0027237168235301e-07,5.04040766520258e-08,3.9851521077191997e-05
0.35,-0.00031256005181874903,-0.00022443240001900698,-0.0037137731037176704,-1.24148050963409e-06,-6.18537342395958e-06,0.00532111392291075,9.769532726679501e-08,5.04081610226854e-08,4.21063640464914e-05
0.36,-0.000305317283000367,-0.000219404763862851,-0.00466668966909172,-4.81467479782815e-05,-4.77593145415074e-05,0.00476064354614939,9.55367526396106e-08,5.04194025311881e-08,4.44417194411012e-05
0.37,-0.00029218385443154,-0.00020603542358846498,-0.0055337669648344206,-9.22096813325664e-05,-8.896005605158051e-05,0.004029428786581839,9.387403012192499e-08,5.036448734597861e-08,4.6858873167227207e-05
0.38,-0.000273974984735427,-0.000183976821164752,-0.006284314286868029,-0.00013309463810418402,-0.0001278203012576,0.00314116437679484,9.27764749528613e-08,5.01855001394707e-08,4.93595196981785e-05
0.39,-0.000251354372122959,-0.00015344624781661102,-0.00689001279881395,-0.000170659341599899,-0.00016215828096855,0.00211506506434157,9.23036312606381e-08,4.98410590556722e-08,5.19457765942183e-05
0.4,-0.00022479852323127,-0.00011530775830021999,-0.00732589747960913,-0.000204864533530639,-0.000189765151679872,0.000975399776458226,9.250385314568599e-08,4.93066919163067e-08,5.4620178605658206e-05
0.41,-0.00019459621752621498,-7.10877738111019e-05,-0.00757123367027164,-0.00023568102499320497,-0.000208616867972993,-0.00024914152225987004,9.34132334173576e-08,4.8574469188279505e-08,5.73856507879689e-05
0.42,-0.000160881111866424,-2.29187559339919e-05,-0.007610263400272591,-0.000263006084797214,-0.000217086791382428,-0.0015262215629924401,9.505493279573641e-08,4.76519443662799e-08,6.0245461280871705e-05
0.43,-0.000123691698119843,2.65862770186043e-05,-0.0074328038698477095,-0.000286599569754863,-0.000214134663455702,-0.0028207414415000603,9.743894956744311e-08,4.65604842189967e-08,6.32031556474189e-05
0.44,-8.304980994947329e-05,7.45175285295052e-05,-0.00703468689966722,-0.000306047517797243,-0.00019944983351741598,-0.004095809575490121,1.00562354082498e-07,4.53330981482707e-08,6.626247585502621e-05
0.45,-3.9046966572621e-05,0.000117892813182173,-0.00641803333780911,-0.00032075743014250296,-0.000173531498478503,-0.0053137666587959,1.04409994590146e-07,4.4011896364201506e-08,6.942726802936011e-05
0.46,8.07276245107856e-06,0.00015390012517069198,-0.00559136013380824,-0.000329985593479247,-0.000137695574307223,-0.006437241319422729,1.0895566139744198e-07,4.26453197113506e-08,7.27013839504234e-05
0.47,5.78439511471959e-05,0.000180133818039216,-0.00456952015086409,-0.000332893005820615,-9.40058341073158e-05,-0.007430213147424729,1.14163676008603e-07,4.1285289247597403e-08,7.608858182531641e-05
0.48,0.00010953370174559499,0.000194800511395716,-0.00337347615188652,-0.000328623218718693,-4.51351498104762e-05,-0.0082590611312268,1.1999085169912699e-07,3.9984420988446406e-08,7.959243211668851e-05
0.49,0.000162123966912307,0.00019687420646356398,-0.00202991130402762,-0.000316393066075408,5.8299036989176005e-06,-0.00889357600741257,1.2638875290798e-07,3.87934409477965e-08,8.32162341018436e-05
