# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-6.491887948009839e-11,
0.004,-2.54299070702432e-11,
0.006,1.16358439401749e-11,
0.008,4.64048473708634e-11,
0.01,7.81642962348465e-11,
0.012,1.0695612154743299e-10,
0.014,1.3367668833041802e-10,
0.016,1.59199546902104e-10,
0.018,1.83907365303089e-10,
0.02,2.08112445069175e-10,
0.022,2.32293224913166e-10,
0.024,2.56889328566509e-10,
0.026,2.8213650489138996e-10,
0.028,3.08103882847869e-10,
0.03,3.34707003738395e-10,
0.032,3.6161298970944995e-10,
0.034,3.8818308367986104e-10,
0.036,4.13565216851952e-10,
0.038,4.36896656139371e-10,
0.04,4.57499065501621e-10,
0.042,4.74981000839248e-10,
0.044,4.8925644098785e-10,
0.046,5.005181354293471e-10,
0.048,5.0915167542018e-10,
0.05,5.15600141799799e-10,
0.052,5.20286468208389e-10,
0.054,5.236541138385299e-10,
0.056,5.262099720224189e-10,
0.058,5.28427584765597e-10,
0.06,5.305535076474189e-10,
0.062,5.32483632999179e-10,
0.064,5.33785178990104e-10,
0.066,5.33796765142696e-10,
0.068,5.31722738100308e-10,
0.07,5.26712569219313e-10,
0.072,5.17958575387163e-10,
0.074,5.04820552711896e-10,
0.076,4.86941084279465e-10,
0.078,4.64300841791009e-10,
0.08,4.3719745186752605e-10,
0.082,4.0618626549436597e-10,
0.084,3.7203765269696497e-10,
0.086,3.35718213989236e-10,
0.088,2.9834398920307e-10,
0.09,2.61054030119068e-10,
0.092,2.2481887731521503e-10,
0.094,1.90267809439617e-10,
0.096,1.57626572613701e-10,
0.098,1.26792242301752e-10,
0.1,9.74838467393591e-11,
0.102,6.93697699798248e-11,
0.104,4.21165673279114e-11,
0.106,1.53801799957781e-11,
0.108,-1.1206868729302199e-11,
0.11,-3.80255776257313e-11,
0.112,-6.54450542183349e-11,
0.114,-9.37903188965928e-11,
0.116,-1.23301175522318e-10,
0.118,-1.5408772033977e-10,
0.12,-1.86105347188509e-10,
0.122,-2.19170097608496e-10,
0.124,-2.53013953984212e-10,
0.126,-2.87358553145067e-10,
0.128,-3.21972636307769e-10,
0.13,-3.56675410310368e-10,
0.132,-3.9126829297108797e-10,
0.134,-4.2542789401319e-10,
0.136,-4.5863641548845396e-10,
0.138,-4.90211243269418e-10,
0.14,-5.19424680856858e-10,
0.142,-5.456430838144759e-10,
0.144,-5.68419239167166e-10,
0.146,-5.87528867064357e-10,
0.148,-6.02989489500912e-10,
0.15,-6.15093568606068e-10,
0.152,-6.244393227032381e-10,
0.154,-6.319003079885889e-10,
0.156,-6.38486444160082e-10,
0.158,-6.45119993290631e-10,
0.16,-6.524282800506611e-10,
0.162,-6.606644436160811e-10,
0.164,-6.697852599319109e-10,
0.166,-6.79606787734205e-10,
0.168,-6.89918818270536e-10,
0.17,-7.00495761550525e-10,
0.172,-7.11030781696816e-10,
0.174,-7.21064218348955e-10,
0.176,-7.29962388669336e-10,
0.178,-7.369678744572719e-10,
0.18,-7.413161310146391e-10,
0.182,-7.42389280686601e-10,
0.184,-7.39850245000494e-10,
0.186,-7.33693941201712e-10,
0.188,-7.241922044096469e-10,
0.19,-7.11775292813836e-10,
0.192,-6.96927884258509e-10,
0.194,-6.80148769388971e-10,
0.196,-6.61962097393717e-10,
0.198,-6.429329649568339e-10,
0.2,-6.23655190686509e-10,
0.202,-6.04714163288672e-10,
0.204,-5.86643837444109e-10,
0.206,-5.69889071586777e-10,
0.208,-5.54775244945548e-10,
0.21,-5.41487999938953e-10,
0.212,-5.300665476456769e-10,
0.214,-5.20403049052521e-10,
0.216,-5.122309770077589e-10,
0.218,-5.05097070918582e-10,
0.22,-4.98341253107285e-10,
0.222,-4.911251861323179e-10,
0.224,-4.82527709648388e-10,
0.226,-4.716787042371289e-10,
0.228,-4.5787558378397197e-10,
0.23,-4.40645555111277e-10,
0.232,-4.1976388866772994e-10,
0.234,-3.95267834186669e-10,
0.236,-3.6749180585358103e-10,
0.238,-3.37109262199915e-10,
0.24,-3.05139198499982e-10,
0.242,-2.7288223328592303e-10,
0.244,-2.41782780539767e-10,
0.246,-2.13243926535826e-10,
0.248,-1.88436134529095e-10,
0.25,-1.68140218605586e-10,
0.252,-1.52655883927924e-10,
0.254,-1.41790565802683e-10,
0.256,-1.34920011060496e-10,
0.258,-1.31090401272926e-10,
0.26,-1.29125938962081e-10,
0.262,-1.27722895969949e-10,
0.264,-1.2553994724995999e-10,
0.266,-1.21311332106642e-10,
0.268,-1.13996215408225e-10,
0.27,-1.0294151648408501e-10,
0.272,-8.80045806849704e-11,
0.274,-6.958400626009189e-11,
0.276,-4.85439482565831e-11,
0.278,-2.6064112408591502e-11,
0.28,-3.4717984286347703e-12,
0.282,1.78983972477678e-11,
0.284,3.68034924978086e-11,
0.286,5.2163023151424e-11,
0.288,6.312322812031911e-11,
0.29,6.91269986701634e-11,
0.292,6.998749100592811e-11,
0.294,6.595018487676499e-11,
0.296,5.77185714830526e-11,
0.298,4.64164363794418e-11,
0.3,3.34717679786059e-11,
0.302,2.04342252416294e-11,
0.304,8.7672997308877e-12,
0.306,-3.32577142228627e-13,
0.308,-6.05480758638641e-12,
0.31,-8.02874178072042e-12,
0.312,-6.33236128165451e-12,
0.314,-1.47070378005973e-12,
0.316,5.68042320235149e-12,
0.318,1.3978587825176199e-11,
0.32,2.2163724032855102e-11,
0.322,2.902207633118e-11,
0.324,3.35247436101907e-11,
0.326,3.49194737174392e-11,
0.328,3.27850183130252e-11,
0.33,2.70704953236865e-11,
0.332,1.81257244080858e-11,
0.334,6.69990883129954e-12,
0.336,-6.12407716148823e-12,
0.338,-1.9071535704816802e-11,
0.34,-3.08681290461012e-11,
0.342,-4.04304244630933e-11,
0.344,-4.7005496873768205e-11,
0.346,-5.02362315684175e-11,
0.348,-5.01594389447837e-11,
0.35,-4.71611326265036e-11,
0.352,-4.1912031865434895e-11,
0.354,-3.52932471936408e-11,
0.356,-2.83102191174158e-11,
0.358,-2.1991141234661898e-11,
0.36,-1.7275215180613198e-11,
0.362,-1.49066193010915e-11,
0.364,-1.5352788575841998e-11,
0.366,-1.87584031257908e-11,
0.368,-2.49362300098832e-11,
0.37,-3.33906249575553e-11,
0.372,-4.33700230681548e-11,
0.374,-5.3945242978342905e-11,
0.376,-6.41076620243088e-11,
0.378,-7.2878072103198e-11,
0.38,-7.941814459839291e-11,
0.382,-8.31400936783654e-11,
0.384,-8.380812957006609e-11,
0.386,-8.161358536185809e-11,
0.388,-7.719246840072529e-11,
0.39,-7.15567679159082e-11,
0.392,-6.593700796581879e-11,
0.394,-6.15719575664929e-11,
0.396,-5.95061912872379e-11,
0.398,-6.04488906420797e-11,
0.4,-6.47118878482486e-11,
0.402,-7.220774275364951e-11,
0.404,-8.2474551596181e-11,
0.406,-9.47097984305102e-11,
0.408,-1.07822267667544e-10,
0.41,-1.2052473950644698e-10,
0.412,-1.31479586835308e-10,
0.414,-1.3948393010548099e-10,
0.416,-1.43659743861655e-10,
0.418,-1.4360858482603e-10,
0.42,-1.39497601874607e-10,
0.422,-1.32055004317168e-10,
0.424,-1.22466002546132e-10,
0.426,-1.1217926094889699e-10,
0.428,-1.0265983441994001e-10,
0.43,-9.51478378799918e-11,
0.432,-9.048537029486791e-11,
0.434,-8.90491574824674e-11,
0.436,-9.078391229851491e-11,
0.438,-9.52964252992141e-11,
0.44,-1.01962742565966e-10,
0.442,-1.1002080512524899e-10,
0.444,-1.18649650048609e-10,
0.446,-1.2705206241683498e-10,
0.448,-1.3455120533177698e-10,
0.45,-1.40691341613229e-10,
0.452,-1.4531501717548301e-10,
0.454,-1.4858642979217e-10,
0.456,-1.5094522924666902e-10,
0.458,-1.52999058690416e-10,
0.46,-1.5538473315015502e-10,
0.462,-1.58637395460408e-10,
0.464,-1.63099917868685e-10,
0.466,-1.6888547313291501e-10,
0.468,-1.75884961104003e-10,
0.47,-1.83799817833073e-10,
0.472,-1.92184183191253e-10,
0.474,-2.00493555439513e-10,
0.476,-2.0814681133952698e-10,
0.478,-2.14606199311698e-10,
0.48,-2.1946659096892098e-10,
0.482,-2.22531775972385e-10,
0.484,-2.2385286301200902e-10,
0.486,-2.23713757319345e-10,
0.488,-2.22564788915081e-10,
0.49,-2.20919176802806e-10,
0.492,-2.19235307553562e-10,
0.494,-2.17812885630614e-10,
0.496,-2.16732723289186e-10,
0.498,-2.15863573766051e-10,
0.5,-2.1493972319061998e-10,
0.502,-2.13683792713839e-10,
0.504,-2.1192601709162202e-10,
0.506,-2.09671400900013e-10,
0.508,-2.0709383698918802e-10,
0.51,-2.04476219116145e-10,
0.512,-2.0214129914547302e-10,
0.514,-2.00412683986004e-10,
0.516,-1.99613682372491e-10,
0.518,-2.000768920815e-10,
0.52,-2.02124621172635e-10,
0.522,-2.05998099310084e-10,
0.524,-2.1174987396168803e-10,
0.526,-2.1914538740998e-10,
0.528,-2.2762712255524602e-10,
0.53,-2.3637364714883303e-10,
0.532,-2.44447305611821e-10,
