# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,0.0232645309862742,-1.78965068465454e-05,-0.00921966536991993,0.00782526890106683,0.000185308819287558,-0.000792273823271989,0.000602473235385316,3.46596434630573e-08,8.56299273443428e-05
0.02,0.0202662727427748,-0.000107255929916624,-0.009237743482812541,0.0151423989529786,0.000354274320758013,-0.001620133529323,0.000640014056935702,1.3701412885083102e-07,8.796073730708209e-05
0.03,0.0154805113434189,-0.000249187684010618,-0.00924525696339167,0.0214762613541926,0.000491663607226894,-0.0025149350722357897,0.000700876033207309,3.03827604533937e-07,9.179967473670391e-05
0.04,0.00920923244373553,-0.000433702225811909,-0.00921035317151399,0.0264154042669971,0.000584383359392919,-0.00349990564092024,0.000782583544791637,5.29601531409558e-07,9.707994503936321e-05
0.05,0.0018463327189408398,-0.000647795916467791,-0.00909242068194473,0.0296382177394213,0.000622353319784054,-0.00458688134427491,0.000881832895278376,8.069632040385791e-07,0.000103711594323913
0.06,-0.00614867149380281,-0.0008763407950501269,-0.00884570557788493,0.0309327902082573,0.0005991627164879259,-0.00577393771303971,0.000994643671206763,1.1269691498982799e-06,0.000111584863884687
0.07,-0.0142809855735935,-0.0011031066285787,-0.008423471261261771,0.030209140128689,0.000512466144550569,-0.00704410087698713,0.00111653869626795,1.47946578332479e-06,0.000120574225254474
0.08,-0.0220527292723148,-0.0013118391490400901,-0.00778238919703693,0.0275030915522019,0.000364096467377029,-0.00836524528300398,0.00124274291328681,1.8534881905106601e-06,0.000130542910258977
0.09,-0.0289946897322657,-0.00148731650209018,-0.0068868331764966794,0.0229716932749001,0.000159894487362763,-0.009691195043111441,0.00136839072458644,2.2376766244787702e-06,0.00014134773256452299
0.1,-0.0346954315186288,-0.00161631048420416,-0.00571275976477586,0.0168807048517625,-9.07235648307194e-05,-0.0109639576086386,0.0014887311645561802,2.62069034656387e-06,0.000152843990574066
0.11,-0.0388258156084984,-0.0016883894059093198,-0.00425089108406816,0.009585238653992429,-0.000375421102094179,-0.0121169373655803,0.0015993207577191099,2.99159978988442e-06,0.000164890246130006
0.12,-0.0411573762307546,-0.00169651414798657,-0.00250896958829803,0.00150511109069615,-0.000679764821365606,-0.0130789089812108,0.0016961949775952199,3.3402404666848302e-06,0.000177352788533802
0.13,-0.0415735058259192,-0.00163739658821434,-0.0005129231226527611,-0.00690321574040274,-0.000988153709960488,-0.013778480588656,0.00177601077421628,3.6575153416046403e-06,0.000190109617461722
0.14,-0.0400729595505936,-0.0015116083296845,0.00169314354273064,-0.0151760493007593,-0.00128478655747803,-0.0141487481586468,0.00183615455952259,3.93563624064781e-06,0.000203053809513102
0.15,-0.0367657639759312,-0.00132344586589341,0.00404813365530441,-0.0228711781120435,-0.00155460283450655,-0.014131835797953,0.0018748121889667,4.16829893300615e-06,0.000216096169111513
0.16,-0.0318621535563123,-0.00108057450367941,0.00647624516328475,-0.0295939668892161,-0.0017841382327997198,-0.0136830315160542,0.00189099970548605,4.350790491739701e-06,0.000229167102884302
0.17,-0.0256556221028977,-0.000793486420134318,0.00889021535802564,-0.035019206554017,-0.0019622462716504803,-0.0127742618570318,0.0018845557731596,4.48003112954378e-06,0.000242217695104094
0.18,-0.0185015326273307,-0.000474817474665296,0.0111953236675701,-0.0389074797614258,-0.00208064991383831,-0.0113966980350707,0.0018560986909459398,4.55455569820288e-06,0.000255219998124238
0.19,-0.0107929562639212,-0.000138572601746439,0.0132939128025453,-0.0411152602851457,-0.00213430080483486,-0.00956234628922861,0.00180695253323019,4.57444229147352e-06,0.00026816658415680097
0.2,-0.00293550038413732,0.000200689050877169,0.0150901660315292,-0.0415984503471054,-0.00212153735403201,-0.0073045411206567,0.00173904823378586,4.54119683969514e-06,0.000281069431842484
0.21,0.00467715965014154,0.0005286601056687179,0.0164948735787392,-0.040409534067827,-0.00204404543516,-0.0046773269688809,0.0016548062659717802,4.4576032483241e-06,0.000293958241952409
0.22,0.0116854977049902,0.000832037633775952,0.0174299327661982,-0.0376889520133868,-0.0019066362983696898,-0.0017537772408134599,0.0015570079604807,4.32754859828034e-06,0.000306878290844584
0.23,0.0177828217077487,0.0010991847059617,0.0178323522986291,-0.0336516524403338,-0.00171686496665029,0.0013766443027251301,0.0014486624598546,4.155832331531189e-06,0.000319887938038648
0.24,0.0227294813029215,0.00132067075139403,0.0176575680239748,-0.0285700290521376,-0.00148451881965271,0.0046115287498667895,0.00133287588033985,3.94796735949075e-06,0.000333055905932145
