# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-0.00275355888107791,3.2151534918879805e-05,-0.000361257778581668,0.000634519217743629,-2.9258227766463398e-05,-4.244247750944871e-05,7.98470114924901e-06,1.8897650896742e-09,1.32308546482901e-07
0.02,-0.00305328163150605,4.7838465017878294e-05,-0.00035248718860963503,0.0012208850906928802,-5.5487312808390504e-05,-8.379430309954209e-05,1.08130891259684e-05,5.36736061796294e-09,1.3126870336586198e-07
0.03,-0.0035346427246495103,7.26404131073802e-05,-0.000338321617677427,0.0017135085455205,-7.587587321224699e-05,-0.00012305120869293798,1.54298107264895e-05,1.1033777752131799e-08,1.29603116948664e-07
0.04,-0.0041714542236557794,0.000104644115340589,-0.000319388593500577,0.00207176899180874,-8.80321193911239e-05,-0.000159371330706065,2.16932570954758e-05,1.87000449199076e-08,1.27408294709299e-07
0.05,-0.00492912971208078,0.000141365448452101,-0.00029647194169862297,0.00226211127503339,-9.01550654581864e-05,-0.000192131801717365,2.9413467139150798e-05,2.81121258438335e-08,1.2481024144571302e-07
0.06,-0.00576658643441703,0.000179926240346624,-0.000270431338633958,0.00225971258173263,-8.11628040978834e-05,-0.00022095927887682998,3.8359820057643295e-05,3.8960852734302404e-08,1.2195611183712302e-07
0.07,-0.0066384592909913605,0.000217257995307733,-0.000242117238738748,0.00204962999451077,-6.0768843161702795e-05,-0.000245731034682587,4.82701248725478e-05,5.0893888824346695e-08,1.1900449870065101e-07
0.08,-0.00749748189113068,0.000250317469455125,-0.000212291687510396,0.0016273786306062901,-2.9501484415994104e-05,-0.00026654691475418797,5.88605959151864e-05,6.35291730971645e-08,1.1611501835098801e-07
0.09,-0.0082968858155601,0.000276298335915874,-0.000181564764326822,0.000998931489080209,1.13344507811087e-05,-0.00028367610449424904,6.98361783563183e-05,7.64692402043905e-08,1.13437895906086e-07
0.1,-0.00899267705209647,0.000292823711832748,-0.000150354416800201,0.00018017146003761599,5.974992797660439e-05,-0.000297485787944527,8.09007023183145e-05,8.93157801047178e-08,1.11104244680304e-07
0.11,-0.009545666735716279,0.000298106019446732,-0.00011887450065211699,-0.0008041399983246191,0.00011321045473590401,-0.00030836103746522797,9.17663945662658e-05,1.01683805891886e-07,1.0921767633192198e-07
0.12,-0.00992315937386309,0.00029106336403399104,-8.71522953986522e-05,-0.00192178687645258,0.000168810402322442,-0.00031662636434748597,0.000102162356757592,1.1321483381504901e-07,1.0784777719316099e-07
0.13,-0.0101002325788788,0.000271385094533648,-5.5073067882841796e-05,-0.00313480809343236,0.00022346962769536,-0.00032247915685111497,0.00011184171993009399,1.2358854403734e-07,1.0702584940943401e-07
0.14,-0.0100605746470199,0.000239543171194762,-2.2445860509301398e-05,-0.0044013786403012,0.000274137828797582,-0.00032594376384840497,0.00012058729616356001,1.32532480043895e-07,1.0674315384566801e-07
0.15,-0.009796876981765859,0.000196750068919362,1.09179944948062e-05,-0.00567775141593493,0.000317991923895841,-0.000326852435943252,0.000128215659737005,1.39829453282752e-07,1.0695171748582599e-07
0.16,-0.00931080475483775,0.000144867862217763,4.512376519696521e-05,-0.00692015945069474,0.00035261273885703597,-0.000324856029641038,0.000134579692005749,1.45322441107805e-07,1.0756759417969e-07
0.17,-0.00861258952293802,8.627656034286221e-05,8.012014014493671e-05,-0.00808659449125807,0.000376129297542025,-0.00031946372211234797,0.000139569708756667,1.48916893334053e-07,1.0847630660272e-07
0.18,-0.0077203008980515206,2.37124331983142e-05,0.000115643624031319,-0.00913839726366502,0.000387321841682802,-0.00031010742103805,0.00014311335050501498,1.50580488532742e-07,1.0954006036196802e-07
0.19,-0.00665886087277634,-3.99111938885369e-05,0.000151188115261746,-0.0100416146260331,0.000385678098079033,-0.00029622351545351497,0.000145174452420754,1.50340498735469e-07,1.10606217304038e-07
0.2,-0.0054588649218470795,-0.000101687493709242,0.000186004329994457,-0.0107680971065625,0.000371400966609357,-0.000277342459237334,0.000145751121531331,1.4827902437523198e-07,1.1151645047249901e-07
0.21,-0.0041552700329773795,-0.00015889119150873601,0.000219130253381826,-0.0112963254342005,0.00034536941719219197,-0.000253175656265442,0.000144873237362324,1.44526445070741e-07,1.1211598087262002e-07
0.22,-0.0027860031807216603,-0.00020913356743258501,0.000249450192698629,-0.0116119657862377,0.000309057670380173,-0.0002236893322779,0.000142599563143746,1.3925349264789902e-07,1.1226231601231599e-07
0.23,-0.0013905362790762302,-0.000250487951812797,0.000275776705103371,-0.0117081605401161,0.000264420450311728,-0.000189156489952855,0.000139014614376559,1.32662388546427e-07,1.1183296876895599e-07
0.24,-8.46690236868852e-06,-0.000281578942333986,0.000296947056025517,-0.0115855649414102,0.00021375405798193701,-0.000150180465954171,0.000134225386700068,1.2497749806967098e-07,1.1073172643643301e-07
0.25,0.00132186085843354,-0.000301631591516973,0.00031192422365764903,-0.0112521413956447,0.00015954410980308,-0.000107686741825934,0.00012835800211664,1.1643593997391901e-07,1.0889315566951198e-07
0.26,0.0025646636477909303,-0.000310479904114309,0.00031989196936426203,-0.0107227234212629,0.000104310993647829,-6.28831284807793e-05,0.0001215542971952,1.07278554254628e-07,1.06285159911276e-07
0.27,0.0036879228889020203,-0.00030853689647971803,0.000320334172710817,-0.010018362020546,5.0463461479515294e-05,-1.7191841862840302e-05,0.00011396835280920601,9.77415774338307e-08,1.0290954163296e-07
0.28,0.00466445325898986,-0.00029673098774224904,0.000313090375100806,-0.00916546944239067,1.69420773053648e-07,2.78400691711352e-05,0.000105762954304698,8.8049307789889e-08,9.88006524322167e-08
0.29,0.0054728017971631205,-0.000276415450895989,0.000298382059337721,-0.00819477969828879,-4.47489260036495e-05,7.06433115332999e-05,9.710597381451801e-05,7.84079678725128e-08,9.40223307990101e-08
