# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,5.24652075964179e-11,
0.004,4.9846769843869205e-11,
0.006,4.51587206217129e-11,
0.008,4.09609061864534e-11,
0.01,3.87705877499177e-11,
0.012,3.8814742631991e-11,
0.014,4.14402315447635e-11,
0.016,4.71936793814796e-11,
0.018,5.56345130603481e-11,
0.02,6.49266836692558e-11,
0.022,7.296586584298821e-11,
0.024,7.860125065023841e-11,
0.026,8.17451658200872e-11,
0.028,8.28552505139106e-11,
0.03,8.25408608015968e-11,
0.032,8.125866151080341e-11,
0.034,7.90547837067443e-11,
0.036,7.56933496646777e-11,
0.038,7.11461404247425e-11,
0.04,6.58754057966711e-11,
0.042,6.06043341654674e-11,
0.044,5.58968208663707e-11,
0.046,5.1947826851525e-11,
0.048,4.8623384910384795e-11,
0.05,4.5619314444055e-11,
0.052,4.2683731040226107e-11,
0.054,3.98293925979434e-11,
0.056,3.73664876248604e-11,
0.058,3.56767830588598e-11,
0.06,3.4879355391439304e-11,
0.062,3.46250136013294e-11,
0.064,3.4142035917943e-11,
0.066,3.25078242134325e-11,
0.068,2.90278661245556e-11,
0.07,2.35462235657524e-11,
0.072,1.65214518747374e-11,
0.074,8.82118644812925e-12,
0.076,1.35244779098538e-12,
0.078,-5.26738329727939e-12,
0.08,-1.0835072703219e-11,
0.082,-1.5453238012329e-11,
0.084,-1.93062398615194e-11,
0.086,-2.24901322235024e-11,
0.088,-2.49835743650914e-11,
0.09,-2.67120351175147e-11,
0.092,-2.7610435042570502e-11,
0.094,-2.7659107909580897e-11,
0.096,-2.69366743897338e-11,
0.098,-2.5700134845091602e-11,
0.1,-2.44220835361247e-11,
0.102,-2.3713971639392e-11,
0.104,-2.4160261423428398e-11,
0.106,-2.6165080868545697e-11,
0.108,-2.98843153351532e-11,
0.11,-3.52337242443335e-11,
0.112,-4.19324905916546e-11,
0.114,-4.95750521484522e-11,
0.116,-5.774175428024561e-11,
0.118,-6.61160772001084e-11,
0.12,-7.45331080253612e-11,
0.122,-8.29196136395177e-11,
0.124,-9.118010292036221e-11,
0.126,-9.913284070862629e-11,
0.128,-1.0654678307869099e-10,
0.13,-1.13232916276319e-10,
0.132,-1.19102301280306e-10,
0.134,-1.24149278156827e-10,
0.136,-1.28391402208115e-10,
0.138,-1.31824129888482e-10,
0.14,-1.34416453985468e-10,
0.142,-1.3613119740635e-10,
0.144,-1.36945385250548e-10,
0.146,-1.36864541301358e-10,
0.148,-1.35932273285271e-10,
0.15,-1.3422451841410601e-10,
0.152,-1.3182156880389798e-10,
0.154,-1.28784133862967e-10,
0.156,-1.2517443675695e-10,
0.158,-1.21113955712205e-10,
0.16,-1.16803084973646e-10,
0.162,-1.12445809265173e-10,
0.164,-1.08133172531705e-10,
0.166,-1.03814401354323e-10,
0.168,-9.941187057799579e-11,
0.17,-9.497807270421421e-11,
0.172,-9.073139816569349e-11,
0.174,-8.692544739314401e-11,
0.176,-8.368155630153221e-11,
0.178,-8.0955690194414e-11,
0.18,-7.86712703885289e-11,
0.182,-7.68749317704485e-11,
0.184,-7.57431152164382e-11,
0.186,-7.54157479283368e-11,
0.188,-7.581099697248209e-11,
0.19,-7.660509588376319e-11,
0.192,-7.74108386805213e-11,
0.194,-7.80026005573194e-11,
0.196,-7.83921360479607e-11,
0.198,-7.86948459277533e-11,
0.2,-7.89087276265852e-11,
0.202,-7.87925092617646e-11,
0.204,-7.79327030084023e-11,
0.206,-7.59319749978835e-11,
0.208,-7.25708026949271e-11,
0.21,-6.78412883963408e-11,
0.212,-6.18657669519762e-11,
0.214,-5.479111671558271e-11,
0.216,-4.67397395843807e-11,
0.218,-3.7830034982689e-11,
0.22,-2.82238775669718e-11,
0.222,-1.8156082966850898e-11,
0.224,-7.93209163550301e-12,
0.226,2.0991626690160903e-12,
0.228,1.1593250534464e-11,
0.23,2.0278499626163e-11,
0.232,2.8025289743160004e-11,
0.234,3.4873170717295497e-11,
0.236,4.0979509281105296e-11,
0.238,4.65021393843671e-11,
0.24,5.1484231572978394e-11,
0.242,5.58213136561442e-11,
0.244,5.933891506937809e-11,
0.246,6.192911237711171e-11,
0.248,6.36475921729911e-11,
0.25,6.47003896945151e-11,
0.252,6.533307506751391e-11,
0.254,6.5708464194365e-11,
0.256,6.58611798946379e-11,
0.258,6.574855363847139e-11,
0.26,6.53400051248101e-11,
0.262,6.466831906953981e-11,
0.264,6.38147935919838e-11,
0.266,6.28625333887032e-11,
0.268,6.18706608601779e-11,
0.27,6.08903692748345e-11,
0.272,6.000282020462321e-11,
0.274,5.93456559842641e-11,
0.276,5.91091599514968e-11,
0.278,5.95015247194501e-11,
0.28,6.069459826348329e-11,
0.282,6.27716917504026e-11,
0.284,6.57071487231654e-11,
0.286,6.939600590770811e-11,
0.288,7.37148294686938e-11,
0.29,7.85591196736007e-11,
0.292,8.381154697400391e-11,
0.294,8.92566345051301e-11,
0.296,9.452161313024271e-11,
0.298,9.91240740732245e-11,
0.3,1.02630021975852e-10,
0.302,1.04829829059346e-10,
0.304,1.0580824952801501e-10,
0.306,1.05850466041118e-10,
0.308,1.0524163220686801e-10,
0.31,1.04093975113432e-10,
0.312,1.0231568804635101e-10,
0.314,9.97363200824849e-11,
0.316,9.62969815484588e-11,
0.318,9.21753824811712e-11,
0.32,8.776596573968291e-11,
0.322,8.3533427110351e-11,
0.324,7.98324251107409e-11,
0.326,7.67916921594359e-11,
0.328,7.43052284414991e-11,
0.33,7.2107227635983e-11,
0.332,6.98773888154931e-11,
0.334,6.73361042581032e-11,
0.336,6.43158043079976e-11,
0.338,6.08036499144834e-11,
0.34,5.69421485264153e-11,
0.342,5.29727312753713e-11,
0.344,4.91321577320447e-11,
0.346,4.55493337560101e-11,
0.348,4.22044705986801e-11,
0.35,3.89808705351713e-11,
0.352,3.5778937405326997e-11,
0.354,3.26168527010174e-11,
0.356,2.964961418569361e-11,
0.358,2.70941008117332e-11,
0.36,2.51124226397847e-11,
0.362,2.37326463613999e-11,
0.364,2.2856387304347898e-11,
0.366,2.2338949182754998e-11,
0.368,2.20765433071068e-11,
0.37,2.2033983405563303e-11,
0.372,2.21956309818403e-11,
0.374,2.24841024036689e-11,
0.376,2.27175450487722e-11,
0.378,2.26474345044293e-11,
0.38,2.20595611375711e-11,
0.382,2.08773312433601e-11,
0.384,1.9208225462384e-11,
0.386,1.73114891603705e-11,
0.388,1.550654463256e-11,
0.39,1.4062351517809599e-11,
0.392,1.3107600692787801e-11,
0.394,1.25916196056341e-11,
0.396,1.2310639257000901e-11,
0.398,1.1991525801875e-11,
0.4,1.13983841584041e-11,
0.402,1.04133964793188e-11,
0.404,9.05724297778169e-12,
0.406,7.451155764391281e-12,
0.408,5.75549655800554e-12,
0.41,4.12376805552693e-12,
0.412,2.6868260005253702e-12,
0.414,1.55499463311902e-12,
0.416,8.192893839054879e-13,
0.418,5.47380779790611e-13,
0.42,7.845098071190351e-13,
0.422,1.56655309923323e-12,
0.424,2.93603168958955e-12,
0.426,4.941612664916269e-12,
0.428,7.612002259276991e-12,
0.43,1.09182716245587e-11,
0.432,1.4753790517747698e-11,
0.434,1.89522308141083e-11,
0.436,2.33373176391399e-11,
0.438,2.77742055307243e-11,
0.44,3.21905321424348e-11,
0.442,3.65565869251389e-11,
0.444,4.08418216344385e-11,
0.446,4.49782710303616e-11,
0.448,4.88519792682522e-11,
0.45,5.2321116307982294e-11,
0.452,5.52434619452614e-11,
0.454,5.7498554906052395e-11,
0.456,5.90052237850945e-11,
0.458,5.974518794745701e-11,
0.46,5.97944145732989e-11,
0.462,5.934244241089839e-11,
0.464,5.866850728592289e-11,
0.466,5.80609616641424e-11,
0.468,5.7707577056344794e-11,
0.47,5.76178954884578e-11,
0.472,5.7633312824708594e-11,
0.474,5.7530884671125294e-11,
0.476,5.71650094527237e-11,
0.478,5.6562854885691895e-11,
0.48,5.5918421630930796e-11,
0.482,5.54975025264001e-11,
0.484,5.5522039618966496e-11,
0.486,5.61065731537929e-11,
0.488,5.727091798669479e-11,
0.49,5.89929783144e-11,
0.492,6.1242173640683e-11,
0.494,6.39638674868384e-11,
0.496,6.703986347356071e-11,
0.498,7.027943428735171e-11,
0.5,7.347240809705019e-11,
0.502,7.647947195581441e-11,
0.504,7.92940456061206e-11,
0.506,8.202171504089779e-11,
0.508,8.477970706462609e-11,
0.51,8.75753096664537e-11,
0.512,9.02356024904473e-11,
0.514,9.242546488321859e-11,
0.516,9.37390973480465e-11,
0.518,9.381934141324999e-11,
0.52,9.24614002627032e-11,
0.522,8.96750296268767e-11,
0.524,8.569164039310199e-11,
0.526,8.09087271914467e-11,
0.528,7.577845567901058e-11,
0.53,7.067592035089929e-11,
0.532,6.58062936082091e-11,
0.534,6.12001184485205e-11,
0.536,5.67957850081122e-11,
0.538,5.25495907306887e-11,
0.54,4.8494190703536e-11,
0.542,4.47071661391788e-11,
0.544,4.1223546158647295e-11,
0.546,3.7972494784063504e-11,
0.548,3.4799333380798e-11,
0.55,3.15644935766454e-11,
0.552,2.82462762023781e-11,
0.554,2.4966318941421e-11,
0.556,2.1911874315249502e-11,
0.558,1.92044455482335e-11,
0.56,1.68039724132016e-11,
0.562,1.45142837419413e-11,
0.564,1.2088678880427099e-11,
0.566,9.371398248749712e-12,
0.568,6.391801041415219e-12,
0.57,3.3601541893751805e-12,
0.572,5.72154759832298e-13,
0.574,-1.7235395529628502e-12,
0.576,-3.4283954841699902e-12,
0.578,-4.6254542773605795e-12,
0.58,-5.5377982953672505e-12,
