# Fourier-transform spectra:
# Units: energy[eV], Jm[1/Angstrom^2], |Jm|^2 [1/Angstrom^4]
Energy_eV,Re_Jm_x,Re_Jm_y,Re_Jm_z,Im_Jm_x,Im_Jm_y,Im_Jm_z,Abs2_Jm_x,Abs2_Jm_y,Abs2_Jm_z
0.01,-4.824239702979821e-05,0.000342109404196649,-0.0012027055316741302,-1.7221620967371202e-05,6.86896429421477e-05,-0.000164959959655514,2.62391309992449e-09,1.21757111487306e-07,1.4737123842091e-06
0.02,-4.1069777334607106e-05,0.000322221422706017,-0.00118271353009208,-3.3107842790209196e-05,0.000134764416651823,-0.000331522209787881,2.7828558645354104e-09,1.2198809324619602e-07,1.50871826984551e-06
0.03,-2.97359558870341e-05,0.00028994474206516603,-0.0011475225121364901,-4.64358834978649e-05,0.000195721898571487,-0.000500907429825309,3.04051834874291e-09,1.22375015031663e-07,1.5677161691142401e-06
0.04,-1.51114725523129e-05,0.000246538884110652,-0.00109450717718331,-5.61969054484179e-05,0.000249277683862306,-0.000673599088064001,3.38644878467773e-09,1.22920785050281e-07,1.65168169234643e-06
0.05,1.6988804505178302e-06,0.00019367992846155302,-0.0010203436921630699,-6.167601551624879e-05,0.000293457857274931,-0.000849038534704095,3.80681708474571e-09,1.23629428685266e-07,1.76196768354944e-06
0.06,1.9455413056268303e-05,0.000133381188896774,-0.000921336426443529,-6.25032597910468e-05,0.000326673365392483,-0.00102539285158146,4.2851705816971e-09,1.24506029208368e-07,1.9002913107660999e-06
0.07,3.6892293144614504e-05,6.79015640804322e-05,-0.000793803769378572,-5.86711209571192e-05,0.000347772931824367,-0.0011994136961189599,4.80334172783308e-09,1.25556634514285e-07,2.06871763871737e-06
0.08,5.2824514979152097e-05,-3.52268265969717e-07,-0.0006344994827900151,-5.05176692753989e-05,0.000356073020604492,-0.00136640047606803,5.34246429180124e-09,1.26788120095338e-07,2.26963985465972e-06
0.09,6.62423341792546e-05,-6.89237717740804e-05,-0.00044104317975930993,-3.8678195336703706e-05,0.00035136521318566,-0.00152027540602809,5.88404963202025e-09,1.2820799935257e-07,2.50575639658606e-06
0.1,7.63840466524362e-05,-0.000135399245954178,-0.000212332026491051,-2.40114448288212e-05,0.000333903008183231,-0.0016537715792153,6.411072065769079e-09,1.29824174678771e-07,2.78004532569407e-06
0.11,8.278058634294e-05,-0.000197491103574307,5.1094202448885796e-05,-7.5091149550363605e-06,0.000304371303697354,-0.0017587284526682301,6.9090122826888905e-09,1.31644626505425e-07,3.09573638774868e-06
0.12,8.52686714992105e-05,-0.000253108957301182,0.000346760934128167,9.80121358522623e-06,0.000263842563371381,-0.0018264824576656898,7.3668101269835e-09,1.3367704251247302e-07,3.45628131359794e-06
0.13,8.39727557918274e-05,-0.00030041722266880097,0.00067006242603874,2.69491930483983e-05,0.00021372385803579,-0.00184833421062403,7.777682721233721e-09,1.35928395169739e-07,3.86532300895206e-06
0.14,7.925943177671309e-05,-0.000337879286161548,0.0010141793998106401,4.31011950224697e-05,0.000155698652208599,-0.00181606842185938,8.139770537932409e-09,1.3840448231661197e-07,4.32666436787509e-06
0.15,7.167080983893599e-05,-0.000364289320548035,0.00137012282156383,5.76183761927494e-05,9.16664771978964e-05,-0.00172249846365739,8.456582258058108e-09,1.41109452107221e-07,4.8442375034721196e-06
0.16,6.18454469281529e-05,-0.000378793441540746,0.00172690898269118,7.00882253170428e-05,2.3682661397325198e-05,-0.00156200498703939,8.737218633835531e-09,1.44045339805143e-07,5.42207421403541e-06
0.17,5.04364220598135e-05,-0.000380902049101328,0.0020718635264516698,8.0327659791878e-05,-4.6100737730737396e-05,-0.00133103719487938,8.996365597835342e-09,1.4721164902890903e-07,6.0642784863931095e-06
0.18,3.803607042883879e-05,-0.000370494918259405,0.0023910445190650103,8.835900842621021e-05,-0.000115492549998107,-0.00102854649087248,9.25405702373067e-09,1.50605013561109e-07,6.77500177603691e-06
0.19,2.51157447092548e-05,-0.000347820002400075,0.00266976758096885,9.43632170001575e-05,-0.000182319014792853,-0.000656325192643435,9.53521735491927e-09,1.54218977224625e-07,7.558421694890711e-06
0.2,1.1986937948443699e-05,-0.00031348614243696096,0.0028932099518595602,9.86170200841986e-05,-0.000244479787871639,-0.000219227643646342,9.869003331667081e-09,1.58043928177768e-07,8.41872458527792e-06
0.21,-1.21256231304143e-06,-0.000268449119882791,0.0030470655709414303,0.000101422391924333,-0.000300003816695178,0.00027474292724919303,1.0287971891016e-08,1.6206721999751898e-07,9.36009226969009e-06
0.22,-1.4506795287013199e-05,-0.000213989928337006,0.00311822011393692,0.00010303718061912801,-0.000347104905695362,0.000814491480681186,1.08271076994381e-08,1.66273504987463e-07,1.0386693051063001e-05
0.23,-2.8046278755216998e-05,-0.00015168391051799,0.00309541360994429,0.000103615417604634,-0.000384235977794635,0.00138603441324365,1.1522748517398e-08,1.70645295341829e-07,1.1502676811324e-05
0.24,-4.20540476757361e-05,-8.335960252798921e-05,0.0029698587872835,0.000103164464204438,-0.000410140137120182,0.0019728437892496103,1.24114496005018e-08,1.75163755410586e-07,1.27121738331858e-05
