# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.01000000 -0.639044621377801E-002 -0.775590765688801E-002  0.637251947788398E-001 -0.130950614604996E-002 -0.232508145184733E-002  0.820909441218364E-002  0.304736428490768E+002  0.533316522900432E+002 -0.183765774142324E+003 -0.143832642496007E+003 -0.174565696342150E+003  0.143429157401428E+004
      0.02000000 -0.574320151435702E-002 -0.640192964578246E-002  0.605184745097172E-001 -0.243816165355411E-002 -0.419154069024679E-002  0.157509669346393E-001  0.284383995836650E+002  0.481704442412725E+002 -0.176257042801793E+003 -0.646324077038648E+002 -0.720455526283226E+002  0.681058240486604E+003
      0.03000000 -0.479189956493144E-002 -0.452767533671768E-002  0.555442941388572E-001 -0.324288674726815E-002 -0.528107233247171E-002  0.220405313387103E-001  0.253297027349574E+002  0.406211554655998E+002 -0.164358711969534E+003 -0.359511450866320E+002 -0.339688073027949E+002  0.416720123254335E+003
      0.04000000 -0.369612903617796E-002 -0.256850124669338E-002  0.493063748641978E-001 -0.364605661782811E-002 -0.550275604852509E-002  0.266460700851518E-001  0.215158583801863E+002  0.319632503346871E+002 -0.148933766135846E+003 -0.207976089812593E+002 -0.144526027294340E+002  0.277440179894088E+003
      0.05000000 -0.262576871374178E-002 -0.915193884829969E-003  0.424128775683561E-001 -0.364633982931445E-002 -0.499660851708823E-002  0.293397189181717E-001  0.174139615777683E+002  0.234921823136972E+002 -0.131072445676555E+003 -0.118198711027894E+002 -0.411973594480685E+001  0.190921136097311E+003
      0.06000000 -0.172632053538169E-002  0.196603696308054E-003  0.354943267413969E-001 -0.331127955422463E-002 -0.405850016897746E-002  0.301194882652423E-001  0.134214093036851E+002  0.162244142883154E+002 -0.111985474537416E+003 -0.647584524597893E+001  0.737507945937106E+000  0.133147791720311E+003
      0.07000000 -0.109377279950864E-002  0.729181098424424E-003  0.291185090260681E-001 -0.275554354827082E-002 -0.302242824254680E-002  0.291984000072001E-001  0.986003656981617E+001  0.107181642349345E+002 -0.928830714565387E+002 -0.351686222081233E+001  0.234457234476055E+001  0.936261940013187E+002
      0.08000000 -0.763778955140621E-003  0.810594802976272E-003  0.237156731732578E-001 -0.211222946506072E-002 -0.214959686786862E-002  0.269608846933503E-001  0.694261213056201E+001  0.704774274486648E+001 -0.748525922867862E+002 -0.214883948877977E+001  0.228055265245476E+001  0.667224131729431E+002
      0.09000000 -0.715229573729329E-003  0.651330806421523E-003  0.195273149430613E-001 -0.150524915296706E-002 -0.156494962847852E-002  0.238922829523443E-001  0.476436873356598E+001  0.491366933469991E+001 -0.587504823318004E+002 -0.178866590913625E+001  0.162886610370685E+001  0.488344495509336E+002
      0.10000000 -0.884468668370712E-003  0.450815381162217E-003  0.165890221056149E-001 -0.102888755636204E-002 -0.125675485698927E-002  0.204933317045958E-001  0.331576342421513E+001  0.382863458987774E+001 -0.451252618989902E+002 -0.199071334803512E+001  0.101467042177125E+001  0.373376569656573E+002
      0.11000000 -0.118458646059462E-002  0.332179392790412E-003  0.147517851888690E-001 -0.737326357693274E-003 -0.112651685326323E-002  0.171962564344283E-001  0.250866685647552E+001  0.330500187881026E+001 -0.341858059424863E+002 -0.242381994496958E+001  0.679682795926215E+000  0.301840957617730E+002
      0.12000000 -0.152453484235911E-002  0.324921134405477E-003  0.137375341281230E-001 -0.643706299017032E-003 -0.105794832885998E-002  0.143004360632252E-001  0.220734889345867E+001  0.298430984151632E+001 -0.258221946612559E+002 -0.285944918943966E+001  0.609428822872851E+000  0.257664041097122E+002
