# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_both_y,Jm_both_x,En_both_z,En_both_x
0.002,0.0,3.73336887697226e-07,-3.96089350485649e-10,-2.56512461593601e-10,-2.2390667686126602e-09,0.0,0.0
0.022,0.0,1.05992721524563e-05,-3.3337092753683503e-10,-1.46789076688534e-10,-3.6317943990435794e-07,0.0,3.691554062665742e-12
0.042,0.0,2.61634792217965e-05,-2.62740648257579e-10,-6.50400609274757e-10,-1.5185742838665898e-06,0.0,6.402563929790039e-11
0.062,0.0,4.7061743362833896e-05,-1.43508289515219e-10,-2.36363491991721e-09,-3.7156647878723e-06,0.0,3.902019196468083e-10
0.082,0.0,7.32884003671915e-05,1.5396246904078101e-10,-6.23022329771291e-09,-7.185230786625549e-06,-0.0,1.4920462358835949e-09
0.102,0.0,0.000104836337950704,7.145957122294e-10,-1.3905875118741799e-08,-1.21279307222024e-05,-0.0,4.357494984227687e-09
0.122,0.0,0.00014169699751098602,1.5157680634462399e-09,-2.7390050357225298e-08,-1.8703690168276e-05,-0.0,1.0652084506540478e-08
0.142,0.0,0.00018386037624308602,2.54816704181743e-09,-4.89880108860746e-08,-2.7031895688307898e-05,-0.0,2.2928994507586513e-08
0.162,0.0,0.000231315029611945,3.93089368565931e-09,-8.078707494833781e-08,-3.71941572399293e-05,-0.0,4.484058469424065e-08
0.182,0.0,0.00028404807418118,5.73677720355796e-09,-1.2462085000591303e-07,-4.92392440219477e-05,-0.0,8.134401588852898e-08
0.202,0.0,0.00034204519079754304,8.04626899578278e-09,-1.8206390676115898e-07,-6.31904972568074e-05,-0.0,1.3889806548219143e-07
0.222,0.0,0.000405290628131675,1.09590877455366e-08,-2.54428027335169e-07,-7.904652981097191e-05,-0.0,2.2564663991393865e-07
0.242,0.0,0.00047376720657083,1.46374754015766e-08,-3.42570104380717e-07,-9.677829474481159e-05,-0.0,3.51577968884053e-07
0.262,0.0,0.0005474563224668469,1.93033343727697e-08,-4.4674311300141704e-07,-0.00011633208780290801,-0.0,5.286538412865162e-07
0.282,0.0,0.0006263379527344231,2.5207325045847597e-08,-5.66791550402293e-07,-0.00013763208650179498,-0.0,7.709093142557441e-07
0.302,0.0,0.000710390659802945,3.271090397144e-08,-7.02270377353161e-07,-0.000160579033297032,-0.0,1.0945136931061858e-06
0.322,0.0,0.000799591596915108,4.2254947336817996e-08,-8.52369024266115e-07,-0.000185051024086621,-0.0,1.5177860191809662e-06
0.342,0.0,0.000893916513776111,5.43108781084136e-08,-1.0156893829197e-06,-0.00021090850030156298,-0.0,2.061168274584582e-06
0.362,0.0,0.000993339762549348,6.94436881243984e-08,-1.1903817349588899e-06,-0.00023800069898584703,-0.0,2.7471666284271585e-06
0.382,0.0,0.00109783430419902,8.819689136814301e-08,-1.37428574995772e-06,-0.00026616699010660697,-0.0,3.600258685365626e-06
0.402,0.0,0.00120737171517243,1.11139458072854e-07,-1.56524841439164e-06,-0.00029523907593127297,-0.0,4.646762947371856e-06
0.422,0.0,0.0013219221944320801,1.38795097571861e-07,-1.76108763101264e-06,-0.000325043210333681,-0.0,5.914675486197064e-06
0.442,0.0,0.00144145457082039,1.71745210646307e-07,-1.95921157333308e-06,-0.000355401772374572,-0.0,7.433474550006418e-06
0.462,0.0,0.00156593631077203,2.1056712355069498e-07,-2.15671277844006e-06,-0.000386136771478098,-0.0,9.23389870713683e-06
0.482,0.0,0.0016953335263543401,2.557811849356e-07,-2.3504667303667098e-06,-0.00041707475444475696,-0.0,1.134771589605141e-05
0.502,0.0,0.00182961098365065,3.07794034653227e-07,-2.5374676199747797e-06,-0.00044804783697283205,-0.0,1.380748533663781e-05
0.522,0.0,0.00196873211146871,3.66977882642922e-07,-2.7145578991923198e-06,-0.00047889288070530704,-0.0,1.6646300059986755e-05
0.542,0.0,0.00211265901039054,4.33597784510363e-07,-2.87870416518294e-06,-0.000509453584013916,-0.0,1.989751770639686e-05
0.562,0.0,0.00226135246214289,5.079381604457151e-07,-3.02696941751674e-06,-0.000539582772274427,-0.0,2.3594497474932997e-05
0.582,0.0,0.00241477193928998,5.901970761499239e-07,-3.15651641004788e-06,-0.000569141906359675,-0.0,2.777033698229115e-05
0.602,0.0,0.00257287561526484,6.80557911705826e-07,-3.26456571317388e-06,-0.000598001552039035,-0.0,3.245760626375832e-05
0.622,0.0,0.0027356203747144698,7.790739270732329e-07,-3.34859316950082e-06,-0.000626043460248446,-0.0,3.768809557408416e-05
0.642,0.0,0.00290296182415331,8.85765552191704e-07,-3.40637851580005e-06,-0.000653162946566734,-0.0,4.3492592195002816e-05
0.662,0.0,0.00307485430295453,1.00048860519839e-06,-3.4363312118702203e-06,-0.000679267981963878,-0.0,4.99006813227018e-05
0.682,0.0,0.0032512508946338603,1.1231041404397e-06,-3.43725442254018e-06,-0.0007042782062434509,-0.0,5.694055336315834e-05
0.702,0.0,0.00343210343846583,1.25338361779291e-06,-3.40803332379366e-06,-0.000728125962462859,-0.0,6.463883491328418e-05
0.722,0.0,0.00361736254138686,1.39107987410026e-06,-3.34774398295595e-06,-0.0007507583250942639,-0.0,7.302046364740271e-05
0.742,0.0,0.0038069775902154295,1.53585040152516e-06,-3.25577531520248e-06,-0.00077213828423646,-0.0,8.210861431538945e-05
0.762,0.0,0.00400089676417376,1.68728603411793e-06,-3.13204147909199e-06,-0.00079224438755543,-0.0,9.19246728552537e-05
0.782,0.0,0.00419906704771576,1.8449763943384102e-06,-2.9768820728292e-06,-0.000811067795414004,-0.0,0.00010248822872236475
0.802,0.0,0.00440143424362371,2.00851581915644e-06,-2.79084237511459e-06,-0.000828610720556107,-0.0,0.00011381707759682646
0.822,0.0,0.0046079429864278295,2.17746049266601e-06,-2.57467903915503e-06,-0.0008448872182299549,-0.0,0.0001259272579550656
0.842,0.0,0.00481853675611089,2.3514203656403e-06,-2.3293877029140097e-06,-0.000859924487775923,-0.0,0.00013883314752629374
0.862,0.0,0.00503315789207877,2.52991238894768e-06,-2.05644673126967e-06,-0.000873762028022852,-0.0,0.00015254760912330198
0.882,0.0,0.00525174760743561,2.71244398695117e-06,-1.7575758654953899e-06,-0.000886449751143482,-0.0,0.00016708215989804187
0.902,0.0,0.0054742460035275,2.898511980218e-06,-1.43483753399765e-06,-0.000898045493164008,-0.0,0.0001824471486776789
0.922,0.0,0.00570059208475918,3.0875698909709803e-06,-1.09042779185626e-06,-0.000908614397684315,-0.0,0.00019865194151330142
0.942,0.0,0.00593072377370227,3.27908988489541e-06,-7.267900034028709e-07,-0.0009182304120932961,-0.0,0.0002157051596635095
0.962,0.0,0.00616457792644396,3.4724879062080103e-06,-3.4658863876792395e-07,-0.000926975504599074,-0.0,0.00023361496604249073
0.982,0.0,0.00640209034821361,3.66727768157895e-06,4.73002291104562e-08,-0.00093493699608827,-0.0,0.00025238935258433873
1.002,0.0,0.00664319580927838,3.8629911904155295e-06,4.5194476697250604e-07,-0.00094220643748554,-0.0,0.00027203642146481874
1.022,0.0,0.00688782806108741,4.0591165638873905e-06,8.643608576317959e-07,-0.0009488793753391109,-0.0,0.0002925646893295887
1.042,0.0,0.00713591985266135,4.2551927153852995e-06,1.2813954287768102e-06,-0.000955052430287449,-0.0,0.0003139833806130649
1.062,0.0,0.00738740294724655,4.45090199675318e-06,1.69985097700287e-06,-0.000960822214520151,-0.0,0.0003363026882635697
1.082,0.0,0.007642208139201791,4.64590928540822e-06,2.1165590265860803e-06,-0.0009662861438234869,-0.0,0.0003595340549246655
1.102,0.0,0.00790026527112651,4.84000543306306e-06,2.52852359129886e-06,-0.000971540971759473,-0.0,0.00038369046160397884
1.122,0.0,0.0081615032512496,5.0330206404081e-06,2.93280775416247e-06,-0.000976679620823203,-0.0,0.00040878665724268076
1.142,0.0,0.00842585007099406,5.22476016458906e-06,3.3262583841276403e-06,-0.000981791090765698,-0.0,0.00043483934469040796
1.162,0.0,0.008693232822837479,5.41504780083732e-06,3.70579873601008e-06,-0.00098695966793981,-0.0,0.0004618673600609779
1.182,0.0,0.00896357771835898,5.6037154602619695e-06,4.0684651121197406e-06,-0.000992264124700982,-0.0,0.0004898918079499608
1.202,0.0,0.00923681010649807,5.79068659875926e-06,4.4116609437292606e-06,-0.000997777410167049,-0.0,0.0005189361746150092
1.222,0.0,0.00951285449204143,5.97579673710697e-06,4.73272508329238e-06,-0.00100356674150778,-0.0,0.0005490264154643268
1.242,0.0,0.00979163455433255,6.1588659497331905e-06,5.02912033221983e-06,-0.0010096922702246599,-0.0,0.0005801910123881303
