# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-5.55671691047429e-11,
0.004,-5.34447954999125e-11,
0.006,-4.576222410556079e-11,
0.008,-3.5192433509928994e-11,
0.01,-2.41855887426863e-11,
0.012,-1.3735181422877198e-11,
0.014,-4.05588236355652e-12,
0.016,5.10797778410795e-12,
0.018,1.4339705528239599e-11,
0.02,2.3736719817597098e-11,
0.022,3.2384734091819796e-11,
0.024,3.90284896635867e-11,
0.026,4.313120662457549e-11,
0.028,4.51855890448477e-11,
0.03,4.6239188470729393e-11,
0.032,4.7310673670290394e-11,
0.034,4.909975503848299e-11,
0.036,5.19294377834466e-11,
0.038,5.579977884274869e-11,
0.04,6.05233027132945e-11,
0.042,6.58612851432634e-11,
0.044,7.155365111591479e-11,
0.046,7.72852892684433e-11,
0.048,8.2728146300281e-11,
0.05,8.764831623296419e-11,
0.052,9.190986294613859e-11,
0.054,9.533707598691799e-11,
0.056,9.764038208874929e-11,
0.058,9.857737056554139e-11,
0.06,9.82189474969501e-11,
0.062,9.702435301659719e-11,
0.064,9.56116585944193e-11,
0.066,9.441510455940209e-11,
0.068,9.351510586101459e-11,
0.07,9.27450049212115e-11,
0.072,9.192903428122909e-11,
0.074,9.103138854474139e-11,
0.076,9.01351670899296e-11,
0.078,8.93356462610317e-11,
0.08,8.8651598917991e-11,
0.082,8.79817992546923e-11,
0.084,8.711130656737399e-11,
0.086,8.57983014404328e-11,
0.088,8.392615874893799e-11,
0.09,8.16059262831533e-11,
0.092,7.912215957588219e-11,
0.094,7.6759443227233e-11,
0.096,7.46526018193968e-11,
0.098,7.275065811426469e-11,
0.1,7.087459533108609e-11,
0.102,6.881802360864009e-11,
0.104,6.64601961100392e-11,
0.106,6.384215886565789e-11,
0.108,6.113229782294449e-11,
0.11,5.84710064836811e-11,
0.112,5.580403753795799e-11,
0.114,5.28482447618626e-11,
0.116,4.9227866510994194e-11,
0.118,4.4682908692561594e-11,
0.12,3.92084932526653e-11,
0.122,3.30449797522644e-11,
0.124,2.6536624227666596e-11,
0.126,1.99548494237662e-11,
0.128,1.3404382774563198e-11,
0.13,6.86946900711188e-12,
0.132,3.42061090470902e-13,
0.134,-6.09208235839562e-12,
0.136,-1.2277865119324e-11,
0.138,-1.8076846391479997e-11,
0.14,-2.34175186140807e-11,
0.142,-2.8275073759694298e-11,
0.144,-3.2628875661753096e-11,
0.146,-3.6454348779219e-11,
0.148,-3.9751096735021194e-11,
0.15,-4.2568884635282e-11,
0.152,-4.50054659955215e-11,
0.154,-4.7185708866900596e-11,
0.156,-4.9247731024539696e-11,
0.158,-5.134769451472049e-11,
0.16,-5.36673278414173e-11,
0.162,-5.6392377286079996e-11,
0.164,-5.96460673350441e-11,
0.166,-6.340490389348759e-11,
0.168,-6.74559144941212e-11,
0.17,-7.143782635349959e-11,
0.172,-7.495258150963949e-11,
0.174,-7.769178991305709e-11,
0.176,-7.952795550099379e-11,
0.178,-8.05517373303017e-11,
0.18,-8.105183272547169e-11,
0.182,-8.143188521932409e-11,
0.184,-8.207299044332719e-11,
0.186,-8.31918334160275e-11,
0.188,-8.477184889635149e-11,
0.19,-8.661296470551389e-11,
0.192,-8.846707793599059e-11,
0.194,-9.016739300184179e-11,
0.196,-9.167197999697429e-11,
0.198,-9.301178394946129e-11,
0.2,-9.420099157447129e-11,
0.202,-9.518481314914009e-11,
0.204,-9.586317466256229e-11,
0.206,-9.617132922654139e-11,
0.208,-9.615735323957479e-11,
0.21,-9.599534838851789e-11,
0.212,-9.59123241312341e-11,
0.214,-9.606466084082199e-11,
0.216,-9.644054604078558e-11,
0.218,-9.68576036826727e-11,
0.22,-9.706753349339e-11,
0.222,-9.69057652110309e-11,
0.224,-9.63858428367415e-11,
0.226,-9.567129204079629e-11,
0.228,-9.49455528891911e-11,
0.23,-9.427825021017259e-11,
0.232,-9.35875512197087e-11,
0.234,-9.27189755530263e-11,
0.236,-9.156841573658929e-11,
0.238,-9.015124054186999e-11,
0.24,-8.857644596391649e-11,
0.242,-8.696510433748249e-11,
0.244,-8.538552571246829e-11,
0.246,-8.3847697134719e-11,
0.248,-8.234743004333159e-11,
0.25,-8.091959614830019e-11,
0.252,-7.966062384929899e-11,
0.254,-7.870034576045e-11,
0.256,-7.813298964638749e-11,
0.258,-7.79478413460175e-11,
0.26,-7.80120586829565e-11,
0.262,-7.813007395109329e-11,
0.264,-7.814508944876869e-11,
0.266,-7.800683474569389e-11,
0.268,-7.77513253288424e-11,
0.27,-7.741390244471879e-11,
0.272,-7.69603021163986e-11,
0.274,-7.630962409142629e-11,
0.276,-7.5441727365554e-11,
0.278,-7.450069956778159e-11,
0.28,-7.37975776288679e-11,
0.282,-7.368808879076909e-11,
0.284,-7.439452547262299e-11,
0.286,-7.588175761152289e-11,
0.288,-7.786157924273719e-11,
0.29,-7.991998497029879e-11,
0.292,-8.16950059990908e-11,
0.294,-8.30122080011731e-11,
0.296,-8.391246433034419e-11,
0.298,-8.456450603673609e-11,
0.3,-8.511794586955949e-11,
0.302,-8.559096753911619e-11,
0.304,-8.5871211804443e-11,
0.306,-8.583450064734559e-11,
0.308,-8.54957765394258e-11,
0.31,-8.50700916915188e-11,
0.312,-8.487987332909419e-11,
0.314,-8.516320863361299e-11,
0.316,-8.592305445519739e-11,
0.318,-8.693422336417299e-11,
0.32,-8.790700523759479e-11,
0.322,-8.868724494832919e-11,
0.324,-8.934853515486609e-11,
0.326,-9.011856123725119e-11,
0.328,-9.120546528888259e-11,
0.33,-9.265455050326029e-11,
0.332,-9.432840509337029e-11,
0.334,-9.600496076994429e-11,
0.336,-9.750910850917719e-11,
0.338,-9.878913588092979e-11,
0.34,-9.991030894161669e-11,
0.342,-1.01005152111495e-10,
0.344,-1.02237764206548e-10,
0.346,-1.03800576292246e-10,
0.348,-1.0591017233141e-10,
0.35,-1.08758708089345e-10,
0.352,-1.12421646576798e-10,
0.354,-1.16779589571186e-10,
0.356,-1.21522537694253e-10,
0.358,-1.2625125480834001e-10,
0.36,-1.30615630976956e-10,
0.362,-1.34401758810403e-10,
0.364,-1.37524412495806e-10,
0.366,-1.3995986006851302e-10,
0.368,-1.41695269692612e-10,
0.37,-1.42742004693584e-10,
0.372,-1.43192602482507e-10,
0.374,-1.43258561844237e-10,
0.376,-1.43241950149473e-10,
0.378,-1.43447450806837e-10,
0.38,-1.44083831295914e-10,
0.382,-1.45205662476035e-10,
0.384,-1.46716554799348e-10,
0.386,-1.4842143482428e-10,
0.388,-1.50096703391095e-10,
0.39,-1.5154638242943301e-10,
0.392,-1.52625874812746e-10,
0.394,-1.53237275385001e-10,
0.396,-1.53319984761662e-10,
0.398,-1.52861727302019e-10,
0.4,-1.51931939436807e-10,
0.402,-1.50709017638261e-10,
0.404,-1.49465355413382e-10,
0.406,-1.48502142661977e-10,
0.408,-1.4806667407997e-10,
0.41,-1.48299971775636e-10,
0.412,-1.49234840180273e-10,
0.414,-1.50821040559186e-10,
0.416,-1.52937188383838e-10,
0.418,-1.55375271166659e-10,
0.42,-1.57825327668848e-10,
0.422,-1.59901866658543e-10,
0.424,-1.6122470613039401e-10,
0.426,-1.61522651688298e-10,
0.428,-1.6070886878913e-10,
0.43,-1.58896448424388e-10,
0.432,-1.56358860681055e-10,
0.434,-1.53461047689721e-10,
0.436,-1.50583001041469e-10,
0.438,-1.4804590869466e-10,
0.44,-1.46050094480156e-10,
0.442,-1.44641765960018e-10,
0.444,-1.43724271918845e-10,
0.446,-1.43109305644425e-10,
0.448,-1.4257827294991e-10,
0.45,-1.41919543925542e-10,
0.452,-1.40931223671492e-10,
0.454,-1.39412573679396e-10,
0.456,-1.3717842170804e-10,
0.458,-1.34108694943065e-10,
0.46,-1.30208676962406e-10,
0.462,-1.25637864290213e-10,
0.464,-1.20682110104973e-10,
0.466,-1.15680496456216e-10,
0.468,-1.1094433229926401e-10,
0.47,-1.06702352452515e-10,
0.472,-1.03081698982801e-10,
0.474,-1.00111942541466e-10,
0.476,-9.773587268075349e-11,
